Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,18.19197,-1,-1,Login,None,-1
2,81.35491,0,0,Start,None,-1
3,88.29542,0,0,None,Right,1
4,91.10335,0,0,None,Right,1
5,92.98603,0,0,None,Right,2
6,94.58562,0,0,None,Right,2
7,94.85226,0,0,None,Right,2
8,96.20219,0,0,None,Left,1
9,96.48544,0,0,None,Left,1
10,96.90202,0,0,None,Right,1
11,97.16842,0,0,None,Right,1
12,97.46867,0,0,None,Right,2
13,97.48533,0,0,Success,None,-1
14,103.6672,0,1,Start,None,-1
15,106.5833,0,1,None,Right,1
16,106.8335,0,1,None,Right,1
17,107.1001,0,1,None,Right,1
18,107.3834,0,1,None,Right,1
19,107.9497,0,1,None,Right,1
20,108.4664,0,1,None,Left,1
21,108.8328,0,1,None,Left,1
22,109.1494,0,1,None,Left,1
23,109.8993,0,1,None,Up,1
24,110.1659,0,1,None,Right,1
25,110.6325,0,1,None,Left,1
26,111.1324,0,1,None,Down,1
27,111.399,0,1,None,Down,1
28,111.6823,0,1,None,Right,1
29,112.1322,0,1,None,Right,1
30,112.3988,0,1,None,Right,1
31,112.6988,0,1,None,Right,1
32,113.0322,0,1,None,Up,1
33,113.7987,0,1,None,Up,1
34,114.2652,0,1,None,Up,0
35,114.7319,0,1,None,Up,0
36,115.015,0,1,None,Right,1
37,115.7482,0,1,None,Down,1
38,116.0148,0,1,None,Down,1
39,116.2649,0,1,None,Down,0
40,116.5314,0,1,None,Down,0
41,116.7818,0,1,None,Left,1
42,117.5981,0,1,None,Up,1
43,117.8645,0,1,None,Up,1
44,118.131,0,1,None,Left,1
45,118.5482,0,1,None,Left,1
46,118.8146,0,1,None,Left,1
47,119.081,0,1,None,Left,1
48,119.3311,0,1,None,Left,1
49,119.5975,0,1,None,Left,1
50,119.8642,0,1,None,Left,1
51,120.4306,0,1,None,Down,1
52,120.6973,0,1,None,Down,1
53,120.9639,0,1,None,Right,1
54,121.3641,0,1,None,Right,1
55,121.6305,0,1,None,Right,1
56,121.897,0,1,None,Right,1
57,122.1636,0,1,None,Right,1
58,122.4137,0,1,None,Right,1
59,122.6805,0,1,None,Right,1
60,122.9468,0,1,None,Right,1
61,123.9134,0,1,None,Left,1
62,124.2969,0,1,None,Up,1
63,124.7798,0,1,None,Up,1
64,126.5963,0,1,None,Down,1
65,128.5126,0,1,None,Left,1
66,129.1791,0,1,None,Down,1
67,129.7455,0,1,None,Right,1
68,130.4456,0,1,None,Up,1
69,131.662,0,1,None,Left,1
70,137.1779,0,1,None,Up,1
71,137.4443,0,1,None,Up,0
72,137.7107,0,1,None,Up,0
73,138.4605,0,1,None,Left,1
74,138.7271,0,1,None,Left,1
75,138.9772,0,1,None,Left,1
76,139.2437,0,1,None,Left,1
77,139.4939,0,1,None,Up,0
78,139.7603,0,1,None,Up,0
79,140.077,0,1,None,Left,1
80,140.327,0,1,None,Left,1
81,140.5935,0,1,None,Left,1
82,140.86,0,1,None,Up,0
83,141.21,0,1,None,Down,1
84,141.5099,0,1,None,Down,1
85,141.7765,0,1,None,Down,0
86,142.1431,0,1,None,Down,0
87,143.0429,0,1,None,Right,1
88,143.2929,0,1,None,Right,1
89,143.5595,0,1,None,Down,0
90,144.6259,0,1,None,Right,1
91,144.876,0,1,None,Right,1
92,145.1425,0,1,None,Right,1
93,145.3927,0,1,None,Right,1
94,145.7591,0,1,None,Right,1
95,146.0093,0,1,None,Right,1
96,146.2759,0,1,None,Left,1
97,146.5425,0,1,None,Left,1
98,146.8089,0,1,None,Left,1
99,148.2421,0,1,None,Up,1
100,148.6086,0,1,None,Up,1
101,148.8586,0,1,None,Up,0
102,149.1251,0,1,None,Down,1
103,149.3751,0,1,None,Down,1
104,150.2584,0,1,None,Left,1
105,150.9415,0,1,None,Right,1
106,151.3746,0,1,None,Right,1
107,151.9081,0,1,None,Right,1
108,152.3245,0,1,None,Right,1
109,152.7746,0,1,None,Down,0
110,153.041,0,1,None,Down,0
111,153.6076,0,1,None,Up,1
112,153.8577,0,1,None,Up,1
113,154.5074,0,1,None,Up,0
114,154.774,0,1,None,Up,0
