Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,8.412771,-1,-1,Login,None,-1
2,9.879725,0,0,Start,None,-1
3,10.76015,0,0,None,Left,1
4,11.01344,0,0,None,Left,1
5,11.26689,0,0,None,Left,1
6,11.54719,0,0,None,Down,1
7,11.80041,0,0,None,Down,1
8,12.05386,0,0,None,Down,1
9,12.30728,0,0,None,Down,1
10,12.56071,0,0,None,Right,1
11,12.81429,0,0,None,Right,1
12,13.06755,0,0,None,Right,1
13,13.38767,0,0,None,Right,1
14,13.78782,0,0,None,Right,1
15,14.04124,0,0,None,Right,1
16,14.29468,0,0,None,Right,1
17,14.60144,0,0,None,Right,1
18,14.85488,0,0,None,Right,1
19,15.10829,0,0,None,Right,1
20,15.37509,0,0,None,Right,1
21,15.86856,0,0,None,Up,0
22,16.16199,0,0,None,Right,1
23,16.41545,0,0,None,Up,1
24,16.66915,0,0,None,Up,1
25,16.92231,0,0,None,Up,1
26,17.82931,0,0,None,Up,1
27,18.12278,0,0,None,Left,1
28,18.3896,0,0,None,Left,1
29,18.72296,0,0,None,Left,1
30,18.73627,0,0,Success,None,-1
