Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,6.287461,-1,-1,Login,None,-1
2,8.821813,0,0,Start,None,-1
3,10.22249,0,0,None,Right,1
4,10.64924,0,0,None,Right,1
5,11.14289,0,0,None,Right,2
6,11.42293,0,0,None,Right,2
7,11.67612,0,0,None,Right,2
8,11.92964,0,0,None,Down,1
9,12.18328,0,0,None,Right,1
10,12.43639,0,0,None,Up,2
11,12.44974,0,0,Success,None,-1
12,14.8106,0,1,Start,None,-1
13,16.91805,0,1,None,Right,1
14,17.34546,0,1,None,Down,1
15,17.59854,0,1,None,Down,2
16,17.98511,0,1,None,Down,2
17,18.23854,0,1,None,Right,1
18,18.49244,0,1,None,Right,1
19,18.7456,0,1,None,Right,1
20,18.99919,0,1,None,Right,1
21,19.25227,0,1,None,Up,2
22,19.50565,0,1,None,Up,2
23,19.79949,0,1,None,Up,2
24,20.06589,0,1,None,Right,1
25,20.07923,0,1,Success,None,-1
26,22.01341,0,2,Start,None,-1
27,22.73358,0,2,None,Right,1
28,23.12029,0,2,None,Right,1
29,23.60052,0,2,None,Down,1
30,24.10751,0,2,None,Right,1
31,24.36101,0,2,None,Right,1
32,24.61422,0,2,None,Right,1
33,24.86764,0,2,None,Right,1
34,25.12106,0,2,None,Right,1
35,25.37449,0,2,None,Right,1
36,25.62819,0,2,None,Right,1
37,25.88136,0,2,None,Right,1
38,26.13521,0,2,None,Down,1
39,26.56176,0,2,None,Left,1
40,26.82837,0,2,None,Left,0
41,27.08235,0,2,None,Down,1
42,27.33543,0,2,None,Left,2
43,27.70889,0,2,None,Left,3
44,27.96279,0,2,None,Left,3
45,28.21587,0,2,None,Left,3
46,28.46897,0,2,None,Left,3
47,28.72242,0,2,None,Left,3
48,28.97625,0,2,None,Left,4
49,29.61613,0,2,None,Down,1
50,29.88278,0,2,None,Left,1
51,30.14958,0,2,None,Left,1
52,30.41632,0,2,None,Left,1
53,30.67,0,2,None,Left,1
54,30.92318,0,2,None,Left,1
55,31.18999,0,2,None,Up,1
56,31.44355,0,2,None,Up,1
57,31.69681,0,2,None,Up,1
58,31.95024,0,2,None,Right,1
59,32.2039,0,2,None,Right,1
60,32.45728,0,2,None,Right,1
61,32.71061,0,2,None,Right,1
62,32.964,0,2,None,Right,1
63,33.21744,0,2,None,Right,1
64,33.23076,0,2,Success,None,-1
65,34.83128,0,3,Start,None,-1
66,35.99171,0,3,None,Right,1
67,36.53863,0,3,None,Down,1
68,36.79233,0,3,None,Left,1
69,37.04544,0,3,None,Left,1
70,38.17921,0,3,None,Left,2
71,38.486,0,3,None,Left,2
72,38.73941,0,3,None,Down,1
73,39.05988,0,3,None,Down,1
74,39.31295,0,3,None,Down,1
75,39.5666,0,3,None,Right,1
76,39.82036,0,3,None,Right,1
77,40.07344,0,3,None,Right,1
78,40.32665,0,3,None,Right,1
79,40.58007,0,3,None,Right,1
80,40.83351,0,3,None,Right,1
81,41.08704,0,3,None,Right,1
82,41.34051,0,3,None,Right,1
83,41.5938,0,3,None,Right,1
84,41.84721,0,3,None,Right,1
85,42.10065,0,3,None,Right,1
86,42.35485,0,3,None,Right,1
87,42.60793,0,3,None,Right,1
88,42.96766,0,3,None,Up,1
89,43.28772,0,3,None,Up,1
90,43.5551,0,3,None,Up,1
91,43.82186,0,3,None,Up,1
92,44.08826,0,3,None,Left,1
93,44.39545,0,3,None,Left,1
94,44.64853,0,3,None,Left,1
95,44.90213,0,3,None,Left,1
96,44.91545,0,3,Success,None,-1
97,46.31555,0,4,Start,None,-1
98,47.7295,0,4,None,Right,1
99,47.98279,0,4,None,Right,1
100,48.23623,0,4,None,Right,2
101,48.56971,0,4,None,Down,0
102,48.82344,0,4,None,Right,2
103,49.07703,0,4,None,Right,2
104,49.33014,0,4,None,Right,2
105,49.34346,0,4,Success,None,-1
106,50.38367,-1,-1,Logout,None,-1
