Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,16.75252,-1,-1,Login,None,-1
2,22.38934,0,0,Start,None,-1
3,28.31302,0,0,None,Up,1
4,28.70288,0,0,None,Down,1
5,29.45254,0,0,None,Right,1
6,31.9271,0,0,None,Down,1
7,32.84357,0,0,None,Right,1
8,33.09369,0,0,None,Right,2
9,48.70715,0,0,None,Right,2
10,49.3406,0,0,None,Right,2
11,49.65713,0,0,None,Up,1
12,50.0402,0,0,None,Right,1
13,50.05688,0,0,Success,None,-1
14,56.36403,0,1,Start,None,-1
15,65.19561,0,1,None,Right,1
16,66.06216,0,1,None,Up,1
17,66.31228,0,1,None,Up,2
18,66.57871,0,1,None,Up,2
19,67.11195,0,1,None,Right,1
20,67.3955,0,1,None,Right,1
21,67.6619,0,1,None,Right,1
22,67.92848,0,1,None,Right,1
23,68.42835,0,1,None,Down,2
24,68.79502,0,1,None,Down,2
25,69.19489,0,1,None,Right,1
26,69.4615,0,1,None,Down,1
27,69.47816,0,1,Success,None,-1
28,72.39454,0,2,Start,None,-1
29,80.25948,0,2,None,Right,1
30,80.72601,0,2,None,Right,1
31,81.00927,0,2,None,Right,1
32,81.52583,0,2,None,Right,1
33,82.57568,0,2,None,Right,1
34,82.84232,0,2,None,Right,1
35,83.60895,0,2,None,Down,1
36,90.50743,0,2,None,Right,1
37,91.74068,0,2,None,Right,1
38,92.65758,0,2,None,Right,1
39,92.95728,0,2,None,Down,1
40,93.24033,0,2,None,Down,1
41,93.59048,0,2,None,Down,1
42,95.20666,0,2,None,Left,1
43,95.63998,0,2,None,Left,1
44,95.89004,0,2,None,Left,1
45,96.15644,0,2,None,Left,1
46,96.5063,0,2,None,Up,1
47,96.78955,0,2,None,Right,2
48,97.1729,0,2,None,Right,3
49,97.55606,0,2,None,Right,3
50,98.82253,0,2,None,Down,1
51,99.0891,0,2,None,Down,1
52,100.1392,0,2,None,Right,1
53,101.472,0,2,None,Up,1
54,102.2719,0,2,None,Up,2
55,102.6718,0,2,None,Up,2
56,103.3549,0,2,None,Up,2
57,103.6882,0,2,None,Right,1
58,104.1881,0,2,None,Up,1
59,104.4382,0,2,None,Up,1
60,105.1713,0,2,None,Down,1
61,105.4546,0,2,None,Left,2
62,105.7213,0,2,None,Left,2
63,105.9878,0,2,None,Left,2
64,106.2544,0,2,None,Left,2
65,106.8209,0,2,None,Left,2
66,107.0876,0,2,None,Left,2
67,107.5875,0,2,None,Left,2
68,108.204,0,2,None,Down,1
69,110.9535,0,2,None,Down,0
70,117.3859,0,2,None,Right,1
71,117.6523,0,2,None,Right,1
