Date,Name,FirstGameplay,WholeFrequency,RecentFrequency,LastGameplay,LastTimeSpent,Puzzle,Simulation,Action,RTS,RPG,MOBA
20220117,zjq,8,3,7,40,1,,1,,,1,
20220117,wqy,13,2,2,0,1,1,,1,1,,
20220117,z,15,1,4,3,0.5,1,1,1,,,
20220117,lrx,14,3,8,200,2,,,1,,1,
20220117,tty,20,2,4,7,60,1,,,,,
20220117,mjt,12,1,2,1,1.5,,,1,,,1
20220117,lyx,4,1,3,3,0.5,1,,,,,
20220118,zhp,10,2,4,1,2,,,,,,1
20220118,yxy,5,3,5,8,1,1,,1,,1,
20220118,clx,10,4,8,100,1,1,,,,,
20220118,mrs,14,3,5,3,2,1,,,,1,
20220118,lcl,15,1,1,1,0.3,1,,,,,
20220118,hbh,15,2,2,1,1.5,,,,,,1
20220118,xly,10,2,1,0,0.5,1,1,,,,
20220118,rhj,22,1,7,20,0.2,1,,1,1,,
20220118,cjh,22,1,3,1,1,,,,1,1,1
20220118,yxm,17,1,2,1,3,1,1,,,1,
20220118,zt,20,2,1,1,1.5,,,,1,,1
20220222,lmm,10,1,1,1,0.5,1,,,,1,
20220222,ycx,14,3,8,500,3,1,1,1,,,
20220222,yzw,11,1,1,1,1,1,,,,,1
20220222,jh,12,1,1,0,1,,,1,,,
20220223,fsq,12,1,2,1,1,1,1,1,,,
20220223,lrn,10,4,8,3000,2,,1,,,,
20220223,jyr,12,2,1,1,0.5,1,,,,1,1
20220224,gq,10,2,8,180,3,1,,,,,
20220224,lmh,16,1,3,2,0.5,1,,,,1,1
20220224,ljy,12,3,5,15,3,1,1,,,1,
20220224,szy,14,2,7,20,0.3,,1,,,,1
20220224,lbh,18,2,2,1,0.5,,1,,,1,
20220224,s,6,2,4,7,1,1,1,,,1,
20220224,zxy,19,2,5,15,3,1,1,,,1,1
20220224,sxq,10,1,2,1,0.5,1,,1,,,
20220224,zht,12,3,8,400,1,,,1,,,
20220226,ljy,18,2,1,1,0.5,,,,,,1
20220226,lyx,10,3,2,0,1.5,,,1,,,
20220226,lzx,17,1,7,60,0.5,1,,,,1,
20220226,kyh,10,1,2,1,0.5,,1,,,1,
20220226,lx,10,2,2,0,0.3,1,1,,,1,1
20220227,wsy,12,1,3,60,1,1,1,,,,
20220327,zwx,20,1,4,7,0.5,1,,1,,,
20220327,lzh,10,1,3,1,2,1,1,1,1,1,
20220327,jyf,15,2,5,1,0.5,1,1,,,,
20220327,qzh,12,2,5,20,2,1,1,,,1,
20220327,scy,10,1,3,3,2,1,1,,,,
20220327,mqt,0,1,1,0,2,1,,1,,1,1
20220327,gdc,14,1,5,30,0.5,,1,1,,,
20220327,ljh,9,1,2,1,0.6,1,,,,,1
20220327,lxy ,14,2,7,60,0.5,1,,1,,,
20220327,zmy,12,2,4,3,0.2,1,1,1,,,
20220328,zj,8,2,5,6,3,1,1,1,,,1
20220328,tsh,8,1,1,1,1,,1,1,,1,1
20220328,ljy,12,2,5,15,2,1,1,,,,1
20220328,yl,5,1,2,1,3,,,,,1,1
20220328,hyx,11,1,7,100,1,1,,,,,
20220328,lzh,10,2,4,1,0.2,1,,,,1,
20220328,mws,6,1,3,2,1,,,1,,,1
20220328,mqg,10,4,8,180,2,1,1,,,,
20220328,kfy ,15,1,3,0,0.5,,1,,,1,
20220328,lmx ,10,2,4,5,0.2,1,,,,,1
20220329,yyq,11,3,7,3,0.2,1,,,,,
20220329,lgx,12,1,1,1,1,,,,,1,1
20220329,ljl,10,1,3,3,1.5,1,1,,1,,
20220329,zhx,12,1,5,15,2,1,1,,,,
