SubNo,Chapter,Level,PassedFlag,TimeSpent
1,1,1,1,31.2495594024658
1,1,2,1,176.737533569336
1,1,3,1,57.6006774902344
1,1,4,1,10.3833465576172
1,2,1,1,1048.9560546875
1,2,2,1,58.6841735839844
1,2,3,1,49.3836135864258
1,2,4,1,223.432556152344
1,2,5,1,128.526443481445
1,3,1,1,182.438369750977
1,3,2,1,269.487213134766
1,3,3,1,219.482650756836
2,1,1,1,16.8334159851074
2,1,2,1,67.7504653930664
2,1,3,1,21.483247756958
2,1,4,1,10.7167348861694
2,2,1,1,257.578460693359
2,2,2,1,22.8165645599365
2,2,3,1,18.4667129516602
2,2,4,1,180.72184753418
2,2,5,1,41.833324432373
2,3,1,1,83.9654693603516
2,3,2,1,138.943496704102
2,3,3,1,502.329315185547
3,1,1,1,47.1169548034668
3,1,2,1,160.505584716797
3,1,3,1,20.9499187469482
3,1,4,1,6.58330488204956
3,2,1,1,108.895797729492
3,2,2,1,31.3663635253906
3,2,3,1,26.7997360229492
3,2,4,1,238.730133056641
3,2,5,1,75.783073425293
3,3,1,1,136.926025390625
3,3,2,1,168.721740722656
3,3,3,1,156.190231323242
4,1,1,1,12.7000036239624
4,1,2,1,323.746612548828
4,1,3,1,29.4163055419922
4,1,4,1,12.6833734512329
4,2,1,1,617.106384277344
4,2,2,1,28.0997257232666
4,2,3,1,14.8500928878784
4,2,4,1,249.796142578125
4,2,5,1,649.15380859375
4,3,1,1,316.742492675781
4,3,2,1,108.195793151855
4,3,3,1,152.573654174805
5,1,1,1,38.7166595458984
5,1,2,1,217.250045776367
5,1,3,1,48.4670677185059
5,1,4,1,11.9832792282104
5,2,1,1,581.602844238281
5,2,2,1,60.8343124389648
5,2,3,1,36.6997451782227
5,2,4,1,143.675033569336
5,2,5,1,960.433471679688
5,3,1,1,145.542694091797
5,3,2,1,473.673614501953
5,3,3,1,458.625640869141
6,1,1,1,40.3000297546387
6,1,2,1,98.0806579589844
6,1,3,1,18.4833583831787
6,1,4,1,14.1500215530396
6,2,1,1,276.773803710938
6,2,2,1,31.0994300842285
6,2,3,1,22.3997802734375
6,2,4,1,97.3638305664062
6,2,5,1,30.2329483032227
6,3,1,1,173.171737670898
6,3,2,1,330.019927978516
6,3,3,1,396.617431640625
7,1,1,1,51.483814239502
7,1,2,1,769.899597167969
7,1,3,1,22.7998924255371
7,1,4,1,14.8001136779785
7,2,1,1,804.292846679688
7,2,2,1,64.7676696777344
7,2,3,1,49.8836975097656
7,2,4,1,379.110565185547
7,2,5,1,70.5169906616211
7,3,1,1,250.846572875977
7,3,2,1,105.846542358398
7,3,3,1,660.525512695312
8,1,1,1,11.1168012619019
8,1,2,1,70.4003372192383
8,1,3,1,16.5167541503906
8,1,4,1,9.85004997253418
8,2,1,1,339.288726806641
8,2,2,1,31.98291015625
8,2,3,1,21.9665565490723
8,2,4,1,94.1808319091797
8,2,5,1,40.1832809448242
8,3,1,1,86.4317321777344
8,3,2,1,456.788696289062
8,3,3,1,510.771514892578
9,1,1,1,23.332389831543
9,1,2,1,344.105041503906
9,1,3,1,22.6998996734619
9,1,4,1,14.3667306900024
9,2,1,1,526.67724609375
9,2,2,1,35.5831184387207
9,2,3,1,31.8494434356689
9,2,4,1,128.643463134766
9,2,5,1,71.7668762207031
9,3,1,1,573.588623046875
9,3,2,1,803.996337890625
9,3,3,0,425.162536621094
10,1,1,1,29.6995697021484
10,1,2,1,110.495986938477
10,1,3,1,14.0000562667847
10,1,4,1,8.2333459854126
10,2,1,1,384.777404785156
10,2,2,1,48.5503540039062
10,2,3,1,18.799861907959
10,2,4,1,66.117431640625
10,2,5,1,653.116333007812
10,3,1,1,203.900756835938
10,3,2,1,1196.65649414062
10,3,3,1,281.958282470703
11,1,1,1,12.0667181015015
11,1,2,1,38.0664863586426
11,1,3,1,14.8667192459106
11,1,4,1,6.38333463668823
11,2,1,1,100.013938903809
11,2,2,1,24.4164352416992
11,2,3,1,19.1000213623047
11,2,4,1,41.8499145507812
11,2,5,1,60.5009346008301
11,3,1,1,319.678466796875
11,3,2,1,104.546379089355
11,3,3,1,212.117340087891
12,1,1,1,33.682861328125
12,1,2,1,439.044616699219
12,1,3,1,21.8832111358643
12,1,4,1,11.4166307449341
12,2,1,1,1259.92224121094
12,2,2,1,124.86043548584
12,2,3,1,83.2486724853516
12,2,4,1,471.488800048828
12,2,5,1,68.1340560913086
12,3,1,1,826.6806640625
12,3,2,0,975.276306152344
13,1,1,1,19.6333065032959
13,1,2,1,283.208984375
13,1,3,1,11.4165744781494
13,1,4,1,7.66668510437012
13,2,1,1,99.1799697875977
13,2,2,1,31.1662311553955
13,2,3,1,16.3831348419189
13,2,4,1,105.646499633789
13,2,5,1,93.6474456787109
13,3,1,1,85.5152816772461
13,3,2,1,142.008880615234
13,3,3,1,122.177810668945
14,1,1,1,80.4324264526367
14,1,2,1,176.754257202148
14,1,3,1,27.6330127716064
14,1,4,1,10.3666391372681
14,2,1,1,486.130615234375
14,2,2,1,33.3662490844727
14,2,3,1,27.3163738250732
14,2,4,1,185.020401000977
14,2,5,1,219.632125854492
14,3,1,1,122.760688781738
14,3,2,1,364.855072021484
14,3,3,1,391.345001220703
15,1,1,1,34.783016204834
15,1,2,1,69.9002304077148
15,1,3,1,25.3831176757812
15,1,4,1,8.15012741088867
15,2,1,1,288.145904541016
15,2,2,1,120.578727722168
15,2,3,1,16.8333683013916
15,2,4,1,166.739517211914
15,2,5,1,270.802734375
15,3,1,1,163.42268371582
15,3,2,1,185.820510864258
15,3,3,1,1129.6005859375
16,1,1,1,11.5168285369873
16,1,2,1,79.6329727172852
16,1,3,1,15.1834125518799
16,1,4,1,8.71668815612793
16,2,1,1,813.041687011719
16,2,2,1,30.0828609466553
16,2,3,1,21.9666156768799
16,2,4,1,56.6005859375
16,2,5,1,39.7331581115723
16,3,1,1,100.329788208008
16,3,2,1,36.0330238342285
16,3,3,1,678.226928710938
17,1,1,1,38.7165908813477
17,1,2,1,255.761413574219
17,1,3,1,31.2161846160889
17,1,4,1,30.816291809082
17,2,1,1,145.725250244141
17,2,2,1,26.966402053833
17,2,3,1,24.3331718444824
17,2,4,1,203.583526611328
17,2,5,1,97.0804443359375
17,3,1,1,72.4167251586914
17,3,2,1,242.179229736328
17,3,3,1,106.795608520508
18,1,1,1,38.0497856140137
18,1,2,1,452.856475830078
18,1,3,1,60.9506072998047
18,1,4,1,24.6998138427734
18,2,1,1,3292.66430664062
18,2,2,1,329.209930419922
18,2,3,1,96.7470855712891
18,2,4,1,73.3331985473633
18,2,5,1,30.266242980957
18,3,1,1,107.496887207031
18,3,2,0,361.74609375
19,1,1,1,12.6000204086304
19,1,2,1,98.1134490966797
19,1,3,1,26.4330310821533
19,1,4,1,10.7333660125732
19,2,1,1,277.721740722656
19,2,2,1,65.2508392333984
19,2,3,1,19.7498893737793
19,2,4,1,32.9494743347168
19,2,5,1,35.1162147521973
19,3,1,1,224.798034667969
19,3,2,1,82.9485549926758
19,3,3,1,86.5482940673828
20,1,1,1,16.9667320251465
20,1,2,1,100.630378723145
20,1,3,1,22.3831443786621
