Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,25.22098,-1,-1,Login,None,-1
2,64.00426,0,0,Start,None,-1
3,83.32099,0,0,None,Up,1
4,85.42099,0,0,None,Up,0
5,86.73759,0,0,None,Down,1
6,87.35426,0,0,None,Down,1
7,87.98759,0,0,None,Up,1
8,88.23759,0,0,None,Up,1
9,88.48759,0,0,None,Right,1
10,89.00427,0,0,None,Down,1
11,89.3376,0,0,None,Right,1
12,89.67091,0,0,None,Right,2
13,90.10424,0,0,None,Right,2
14,90.35425,0,0,None,Right,2
15,95.2542,0,0,None,Right,2
16,95.27095,0,0,Success,None,-1
17,105.9375,0,1,Start,None,-1
18,109.8709,0,1,None,Right,1
19,110.1876,0,1,None,Right,1
20,111.021,0,1,None,Right,1
21,112.2542,0,1,None,Right,1
22,113.1875,0,1,None,Left,1
23,113.4376,0,1,None,Left,1
24,120.1042,0,1,None,Right,1
25,120.3708,0,1,None,Right,1
26,120.6209,0,1,None,Right,1
27,122.4375,0,1,None,Up,1
28,126.4876,0,1,None,Right,1
29,127.2542,0,1,None,Down,1
30,128.0709,0,1,None,Right,1
31,128.3375,0,1,None,Right,1
32,128.5875,0,1,None,Left,1
33,129.0209,0,1,None,Left,1
34,129.271,0,1,None,Left,1
35,129.5709,0,1,None,Left,1
36,129.821,0,1,None,Left,1
37,130.0876,0,1,None,Left,1
38,130.7375,0,1,None,Right,1
39,131.2542,0,1,None,Right,1
40,131.8875,0,1,None,Up,1
41,132.1376,0,1,None,Up,0
42,132.7209,0,1,None,Left,1
43,133.0376,0,1,None,Left,1
44,134.6209,0,1,None,Up,0
45,135.2209,0,1,None,Down,1
46,135.4709,0,1,None,Down,1
47,135.7209,0,1,None,Down,0
48,136.2709,0,1,None,Right,1
49,137.0876,0,1,None,Up,1
50,138.8375,0,1,None,Up,1
51,139.5876,0,1,None,Down,1
52,140.0042,0,1,None,Right,1
53,140.2708,0,1,None,Right,1
54,140.5209,0,1,None,Right,1
55,142.4376,0,1,None,Left,1
56,142.9875,0,1,None,Right,1
57,143.2376,0,1,None,Right,1
58,143.6376,0,1,None,Up,1
59,143.8876,0,1,None,Up,0
60,144.1542,0,1,None,Up,0
61,144.5041,0,1,None,Down,1
62,145.0209,0,1,None,Left,1
63,145.9375,0,1,None,Left,1
