Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,62.59885,-1,-1,Login,None,-1
2,123.5319,0,0,Start,None,-1
3,149.1484,0,0,None,Right,1
4,149.4149,0,0,None,Right,1
5,149.6816,0,0,None,Right,2
6,159.8819,0,0,None,Right,2
7,160.4485,0,0,None,Down,1
8,160.8486,0,0,None,Right,1
9,161.8819,0,0,None,Right,1
10,162.2486,0,0,None,Up,1
11,162.2652,0,0,Success,None,-1
12,168.1818,0,1,Start,None,-1
13,183.5651,0,1,None,Right,1
14,184.1984,0,1,None,Down,1
15,184.7151,0,1,None,Right,1
16,185.2485,0,1,None,Right,1
17,187.0151,0,1,None,Left,1
18,187.2651,0,1,None,Left,1
19,187.8318,0,1,None,Right,1
20,188.1651,0,1,None,Right,1
21,189.5318,0,1,None,Up,1
22,189.9484,0,1,None,Up,1
23,190.4318,0,1,None,Down,1
24,190.7151,0,1,None,Right,1
25,191.0318,0,1,None,Right,1
26,194.0819,0,1,None,Right,1
27,196.4319,0,1,None,Left,1
28,197.6652,0,1,None,Down,1
29,198.7151,0,1,None,Down,0
30,199.7652,0,1,None,Down,0
31,200.1985,0,1,None,Right,1
32,200.5319,0,1,None,Down,0
33,201.6152,0,1,None,Right,1
34,201.9319,0,1,None,Up,1
35,202.3652,0,1,None,Left,1
36,203.1818,0,1,None,Left,1
37,203.5819,0,1,None,Left,1
38,204.0319,0,1,None,Left,1
39,204.4985,0,1,None,Left,1
40,204.8318,0,1,None,Up,1
41,205.165,0,1,None,Right,1
42,205.4151,0,1,None,Right,1
43,206.3985,0,1,None,Down,1
44,206.8151,0,1,None,Right,1
45,207.1317,0,1,None,Right,1
46,209.2152,0,1,None,Left,1
47,209.4819,0,1,None,Left,1
48,209.7485,0,1,None,Left,1
49,210.0151,0,1,None,Left,1
50,213.5319,0,1,None,Up,1
51,213.7985,0,1,None,Up,0
52,214.0486,0,1,None,Up,0
53,214.3319,0,1,None,Left,1
54,214.5819,0,1,None,Up,0
55,214.9819,0,1,None,Right,1
56,221.6819,0,1,None,Right,1
57,222.4319,0,1,None,Left,1
58,222.8318,0,1,None,Down,1
59,223.1652,0,1,None,Right,1
60,223.8318,0,1,None,Left,1
61,224.0985,0,1,None,Down,1
62,224.4318,0,1,None,Right,1
63,226.4818,0,1,None,Right,1
64,227.3151,0,1,None,Right,1
65,227.6651,0,1,None,Right,1
66,227.9819,0,1,None,Right,1
67,228.4487,0,1,None,Up,1
68,228.7485,0,1,None,Left,1
69,229.2319,0,1,None,Left,1
70,229.5489,0,1,None,Left,1
71,229.9485,0,1,None,Left,1
72,230.6317,0,1,None,Right,1
73,230.9651,0,1,None,Right,1
74,231.2818,0,1,None,Right,1
75,231.7151,0,1,None,Up,1
76,232.0817,0,1,None,Left,1
77,232.4984,0,1,None,Left,1
78,232.8817,0,1,None,Left,1
79,233.4317,0,1,None,Left,1
80,235.1151,0,1,None,Down,1
81,235.4152,0,1,None,Down,1
82,235.9818,0,1,None,Right,1
83,236.8818,0,1,None,Left,1
84,256.0316,0,1,None,Right,1
85,256.6317,0,1,None,Right,1
86,257.0316,0,1,None,Right,1
87,257.3316,0,1,None,Right,1
88,257.665,0,1,None,Up,1
89,260.465,0,1,None,Right,1
90,261.3983,0,1,None,Left,1
91,261.665,0,1,None,Left,1
92,262.0483,0,1,None,Left,1
93,262.4482,0,1,None,Left,1
94,266.215,0,1,None,Right,1
95,266.515,0,1,None,Right,1
96,267.4149,0,1,None,Right,1
97,268.115,0,1,None,Left,1
98,268.415,0,1,None,Left,1
99,268.7982,0,1,None,Left,1
100,269.3316,0,1,None,Up,1
101,269.665,0,1,None,Left,1
102,283.7649,0,1,None,Right,1
103,284.3649,0,1,None,Left,1
104,284.8815,0,1,None,Left,1
105,285.1316,0,1,None,Left,1
106,285.3816,0,1,None,Left,1
107,285.6482,0,1,None,Left,1
108,286.1649,0,1,None,Up,0
109,286.4315,0,1,None,Up,0
110,286.6816,0,1,None,Down,1
111,286.9316,0,1,None,Down,1
112,287.1816,0,1,None,Down,0
113,287.4649,0,1,None,Right,1
114,287.7149,0,1,None,Down,0
115,287.9816,0,1,None,Down,0
116,288.3149,0,1,None,Right,1
117,288.5816,0,1,None,Right,1
118,288.9649,0,1,None,Right,1
119,289.4149,0,1,None,Right,1
120,290.3816,0,1,None,Right,1
121,290.8148,0,1,None,Up,1
122,291.2482,0,1,None,Right,1
123,291.4982,0,1,None,Right,1
124,291.7649,0,1,None,Down,1
125,292.1482,0,1,None,Up,1
126,292.4149,0,1,None,Up,1
127,292.7649,0,1,None,Down,1
128,293.0649,0,1,None,Right,1
129,293.3649,0,1,None,Left,1
130,293.6315,0,1,None,Left,1
131,294.0149,0,1,None,Right,1
132,294.2649,0,1,None,Right,1
133,299.4482,0,1,None,Right,1
134,299.8649,0,1,None,Right,1
135,300.6148,0,1,None,Right,1
136,301.2481,0,1,None,Left,1
137,301.4982,0,1,None,Left,1
138,301.9649,0,1,None,Right,1
139,302.4148,0,1,None,Down,1
140,302.6649,0,1,None,Down,1
141,302.9149,0,1,None,Down,1
142,303.3149,0,1,None,Left,2
143,306.4815,0,1,None,Down,1
144,306.7315,0,1,None,Down,1
145,306.9815,0,1,None,Left,1
146,307.3148,0,1,None,Left,1
147,307.5815,0,1,None,Left,1
148,308.5148,0,1,None,Up,1
149,308.8315,0,1,None,Up,1
150,309.4481,0,1,None,Right,3
151,309.8814,0,1,None,Right,3
152,310.4648,0,1,None,Down,1
153,310.7815,0,1,None,Right,1
154,311.0481,0,1,None,Right,1
155,311.5481,0,1,None,Up,2
156,311.9649,0,1,None,Up,2
157,312.4649,0,1,None,Up,2
158,312.8481,0,1,None,Right,1
159,313.1649,0,1,None,Up,1
160,315.9981,0,1,None,Left,2
161,316.3815,0,1,None,Left,2
162,316.6315,0,1,None,Left,2
163,317.3148,0,1,None,Left,2
164,317.9648,0,1,None,Up,1
165,318.2649,0,1,None,Left,1
166,318.5149,0,1,None,Left,1
167,318.8814,0,1,None,Left,1
168,319.4648,0,1,None,Right,1
169,319.7315,0,1,None,Down,1
170,320.0148,0,1,None,Left,1
171,320.4315,0,1,None,Left,1
172,324.0148,0,1,None,Left,1
173,326.0815,0,1,None,Down,1
174,326.4148,0,1,None,Right,1
175,326.6648,0,1,None,Right,1
176,326.9148,0,1,None,Right,1
177,327.1814,0,1,None,Right,1
178,327.4314,0,1,None,Right,1
179,327.6815,0,1,None,Right,1
180,327.9315,0,1,None,Right,1
181,328.1815,0,1,None,Right,1
182,328.6648,0,1,None,Down,1
183,328.9148,0,1,None,Down,1
184,329.5315,0,1,None,Left,2
185,329.7815,0,1,None,Left,2
186,330.0815,0,1,None,Left,2
187,330.5148,0,1,None,Left,2
188,331.1148,0,1,None,Left,2
189,331.4815,0,1,None,Left,2
190,336.4648,0,1,None,Right,1
191,336.7151,0,1,None,Right,1
192,336.9815,0,1,None,Right,1
193,337.248,0,1,None,Right,1
194,337.5648,0,1,None,Right,1
195,337.8648,0,1,None,Right,1
196,338.1648,0,1,None,Right,1
197,338.4314,0,1,None,Up,1
198,338.698,0,1,None,Up,1
199,338.9481,0,1,None,Up,1
200,339.1981,0,1,None,Up,1
201,339.4647,0,1,None,Up,1
202,339.7148,0,1,None,Up,1
203,339.9648,0,1,None,Up,1
204,340.3648,0,1,None,Left,1
205,340.7148,0,1,None,Left,1
206,340.9648,0,1,None,Left,1
207,341.2314,0,1,None,Left,1
208,341.6147,0,1,None,Down,0
209,341.9648,0,1,None,Left,1
210,342.2314,0,1,None,Left,1
211,342.8648,0,1,None,Down,1
212,343.1148,0,1,None,Down,0
213,343.4147,0,1,None,Right,1
214,343.8648,0,1,None,Right,4
215,352.8647,0,1,None,Up,1
216,353.7814,0,1,None,Right,1
217,354.048,0,1,None,Right,1
218,354.3813,0,1,None,Right,1
219,354.7148,0,1,None,Right,1
220,354.9648,0,1,None,Right,1
221,355.2314,0,1,None,Down,1
222,355.5148,0,1,None,Down,1
223,355.7648,0,1,None,Down,1
224,356.0313,0,1,None,Down,1
225,356.3147,0,1,None,Left,1
226,356.5814,0,1,None,Left,1
227,356.9647,0,1,None,Left,1
228,357.3814,0,1,None,Left,1
229,357.7814,0,1,None,Left,1
230,358.6313,0,1,None,Up,1
231,359.0313,0,1,None,Left,1
232,359.2979,0,1,None,Left,1
233,359.6647,0,1,None,Down,1
234,359.9648,0,1,None,Right,2
235,360.3647,0,1,None,Right,2
236,360.7148,0,1,None,Right,2
237,361.048,0,1,None,Right,2
238,361.7148,0,1,None,Up,1
239,361.998,0,1,None,Right,1
240,362.3647,0,1,None,Down,2
241,362.6147,0,1,None,Down,2
242,363.0647,0,1,None,Down,2
243,363.6647,0,1,None,Right,1
244,363.9813,0,1,None,Down,1
245,364.2646,0,1,None,Left,2
246,364.5147,0,1,None,Left,2
247,364.7813,0,1,None,Left,2
248,365.0313,0,1,None,Left,2
249,365.3647,0,1,None,Left,2
250,365.7647,0,1,None,Down,1
251,366.1147,0,1,None,Left,1
252,366.648,0,1,None,Left,1
253,366.9146,0,1,None,Left,1
254,367.3149,0,1,None,Left,1
255,367.8146,0,1,None,Up,1
256,368.1313,0,1,None,Left,2
257,368.4979,0,1,None,Left,3
258,369.1313,0,1,None,Left,3
259,369.498,0,1,None,Down,1
260,369.7813,0,1,None,Left,1
261,370.1146,0,1,None,Left,1
262,370.3813,0,1,None,Left,1
263,370.8313,0,1,None,Up,1
264,371.1813,0,1,None,Up,1
265,371.4313,0,1,None,Right,1
266,371.6813,0,1,None,Right,1
267,372.0313,0,1,None,Down,2
268,372.2979,0,1,None,Down,2
269,372.6813,0,1,None,Left,1
270,373.0313,0,1,None,Down,1
271,373.4646,0,1,None,Right,2
272,373.7147,0,1,None,Right,2
273,374.0313,0,1,None,Right,2
274,374.2813,0,1,None,Right,2
275,374.548,0,1,None,Right,2
276,375.0313,0,1,None,Right,2
277,375.2813,0,1,None,Right,2
278,375.5479,0,1,None,Right,2
279,375.798,0,1,None,Down,1
280,376.1313,0,1,None,Right,1
281,376.5646,0,1,None,Up,2
282,376.8146,0,1,None,Up,2
283,377.0646,0,1,None,Up,0
284,377.5646,0,1,None,Left,1
285,377.9313,0,1,None,Left,1
286,378.3145,0,1,None,Left,1
287,378.5645,0,1,None,Left,1
288,379.0813,0,1,None,Right,1
289,379.3479,0,1,None,Right,1
290,379.598,0,1,None,Up,1
291,379.948,0,1,None,Left,2
292,380.298,0,1,None,Left,2
293,380.6646,0,1,None,Left,2
294,381.4479,0,1,None,Left,2
295,381.998,0,1,None,Left,2
