Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,17.62358,-1,-1,Login,None,-1
2,46.49018,0,0,Start,None,-1
3,65.69019,0,0,None,Right,1
4,65.94021,0,0,None,Right,1
5,67.25683,0,0,None,Left,1
6,67.50688,0,0,None,Left,1
7,68.95683,0,0,None,Right,1
8,69.25684,0,0,None,Right,1
9,69.50687,0,0,None,Right,2
10,69.85683,0,0,None,Right,2
11,70.29018,0,0,None,Right,2
12,72.14017,0,0,None,Left,1
13,72.39017,0,0,None,Left,1
14,75.14014,0,0,None,Up,0
15,75.79018,0,0,None,Left,1
16,76.05682,0,0,None,Left,1
17,76.90681,0,0,None,Up,1
18,77.30681,0,0,None,Right,1
19,77.57343,0,0,None,Right,2
20,77.82347,0,0,None,Right,2
21,79.5068,0,0,None,Right,2
22,80.84016,0,0,None,Down,1
23,81.22347,0,0,None,Left,1
24,81.49015,0,0,None,Left,1
25,81.94016,0,0,None,Left,1
26,82.20678,0,0,None,Left,1
27,82.4568,0,0,None,Down,1
28,82.97347,0,0,None,Right,1
29,83.22351,0,0,None,Right,2
30,83.49014,0,0,None,Right,2
31,83.74015,0,0,None,Right,2
32,97.00678,0,0,None,Down,0
33,97.27347,0,0,None,Down,0
34,99.69005,0,0,Pause,None,-1
35,105.9401,0,0,Restart,None,-1
36,106.8234,0,0,None,Down,1
37,107.3901,0,0,None,Up,1
38,107.7068,0,0,None,Right,1
39,107.9568,0,0,None,Right,1
40,108.2234,0,0,None,Right,2
41,108.5401,0,0,None,Right,2
42,108.9234,0,0,None,Right,2
43,113.0068,0,0,Pause,None,-1
44,115.1568,0,0,Stop,None,-1
45,129.9567,0,0,Start,None,-1
46,131.7567,0,0,None,Right,1
47,132.0234,0,0,None,Right,1
48,132.3899,0,0,None,Right,2
49,132.64,0,0,None,Right,2
50,132.99,0,0,None,Right,2
51,133.4234,0,0,None,Right,2
52,133.44,0,0,Success,None,-1
53,137.4234,0,1,Start,None,-1
54,140.5568,0,1,None,Right,1
55,140.8234,0,1,None,Right,1
56,141.0734,0,1,None,Right,1
57,141.34,0,1,None,Right,1
58,141.5901,0,1,None,Right,1
59,142.2067,0,1,None,Left,1
60,142.4567,0,1,None,Left,1
61,142.7067,0,1,None,Left,1
62,142.9567,0,1,None,Left,1
63,143.2233,0,1,None,Left,1
64,143.6567,0,1,None,Right,1
65,144.39,0,1,None,Right,1
66,146.0233,0,1,None,Up,1
67,146.2733,0,1,None,Up,0
68,146.5234,0,1,None,Right,1
69,147.1568,0,1,None,Left,1
70,147.5567,0,1,None,Down,1
71,147.8067,0,1,None,Down,1
72,148.34,0,1,None,Right,1
73,148.59,0,1,None,Right,1
74,148.8567,0,1,None,Right,1
75,149.99,0,1,None,Right,1
76,150.3733,0,1,None,Up,1
77,158.79,0,1,None,Left,1
78,159.04,0,1,None,Left,1
79,159.3067,0,1,None,Left,1
80,162.7899,0,1,None,Right,1
81,163.0399,0,1,None,Right,1
82,163.3067,0,1,None,Left,1
83,163.5733,0,1,None,Left,1
84,163.84,0,1,None,Left,1
85,164.8399,0,1,Pause,None,-1
86,166.2899,0,1,Stop,None,-1
87,172.7566,0,1,Start,None,-1
88,175.4066,0,1,None,Right,1
89,175.6567,0,1,None,Right,1
90,175.9567,0,1,None,Right,1
91,176.4733,0,1,None,Left,1
92,176.7233,0,1,None,Left,1
93,182.3567,0,1,None,Up,1
94,182.6567,0,1,None,Up,0
95,182.9233,0,1,None,Up,0
96,183.2567,0,1,None,Right,1
97,183.7567,0,1,None,Right,1
98,184.0233,0,1,None,Right,1
99,184.5065,0,1,None,Right,1
100,185.0567,0,1,None,Right,1
101,185.5067,0,1,None,Down,1
102,186.8567,0,1,None,Right,1
103,187.1232,0,1,None,Right,1
104,187.3732,0,1,None,Down,1
105,187.6233,0,1,None,Down,0
106,187.8899,0,1,None,Left,1
107,188.1399,0,1,None,Left,1
108,188.39,0,1,None,Left,1
109,188.6566,0,1,None,Left,1
110,188.9233,0,1,None,Left,1
111,189.1899,0,1,None,Left,1
112,189.4399,0,1,None,Left,1
113,189.6899,0,1,None,Left,1
114,189.9566,0,1,None,Left,1
115,190.2232,0,1,None,Left,1
116,190.4899,0,1,None,Left,1
117,190.7399,0,1,None,Up,1
