Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,29.46503,-1,-1,Login,None,-1
2,77.81493,0,0,Start,None,-1
3,94.89819,0,0,None,Up,1
4,95.61498,0,0,None,Down,1
5,96.06499,0,0,None,Right,1
6,96.36497,0,0,None,Right,1
7,96.66492,0,0,None,Right,2
8,97.06499,0,0,None,Right,2
9,97.63158,0,0,None,Right,2
10,98.21498,0,0,None,Right,2
11,98.23163,0,0,Success,None,-1
12,103.6316,0,1,Start,None,-1
13,107.2481,0,1,None,Up,1
14,107.5982,0,1,None,Up,0
15,108.0149,0,1,None,Right,1
16,108.2816,0,1,None,Right,1
17,108.5482,0,1,None,Right,1
18,108.8149,0,1,None,Right,1
19,109.2815,0,1,None,Right,1
20,109.765,0,1,None,Right,1
21,110.0816,0,1,None,Down,1
22,110.6149,0,1,None,Down,1
23,111.4484,0,1,None,Left,1
24,111.8149,0,1,None,Left,1
25,112.0815,0,1,None,Left,1
26,112.4649,0,1,None,Left,1
27,112.9149,0,1,None,Up,1
28,113.2315,0,1,None,Up,1
29,114.0482,0,1,None,Right,1
30,115.265,0,1,None,Left,1
31,115.5482,0,1,None,Left,1
32,118.0816,0,1,None,Down,1
33,123.1149,0,1,Pause,None,-1
34,125.0481,0,1,Restart,None,-1
35,128.0648,0,1,None,Right,1
36,128.3149,0,1,None,Right,1
37,128.5815,0,1,None,Right,1
38,128.8315,0,1,None,Right,1
39,129.0815,0,1,None,Right,1
40,129.3648,0,1,None,Right,1
41,129.8815,0,1,None,Right,1
42,130.6482,0,1,None,Left,1
43,130.8982,0,1,None,Left,1
44,131.2649,0,1,None,Left,1
45,131.5649,0,1,None,Left,1
46,131.9149,0,1,None,Down,1
47,132.2815,0,1,None,Down,0
48,132.7149,0,1,None,Right,1
49,132.9816,0,1,None,Right,1
50,133.2481,0,1,None,Right,1
51,133.5815,0,1,None,Right,1
52,134.0649,0,1,None,Up,1
53,134.6648,0,1,None,Left,1
54,134.9149,0,1,None,Left,1
55,135.1649,0,1,None,Left,1
56,135.4149,0,1,None,Left,1
57,136.2481,0,1,None,Up,1
58,138.4482,0,1,Pause,None,-1
59,140.9982,0,1,Resume,None,-1
60,142.5149,0,1,Pause,None,-1
61,143.8981,0,1,Stop,None,-1
62,152.998,0,1,Start,None,-1
63,166.3815,0,1,None,Down,1
64,166.6814,0,1,None,Down,0
65,167.0315,0,1,None,Down,0
66,167.5315,0,1,None,Right,1
67,167.7982,0,1,None,Right,1
68,168.0814,0,1,None,Right,1
69,168.4981,0,1,None,Right,1
70,169.7815,0,1,None,Left,1
71,170.2981,0,1,None,Up,1
72,170.5815,0,1,None,Up,1
73,170.9147,0,1,None,Up,0
74,171.2315,0,1,None,Right,1
75,171.4981,0,1,None,Right,1
76,171.7481,0,1,None,Right,1
77,172.1147,0,1,None,Down,1
78,172.3814,0,1,None,Down,1
79,172.6315,0,1,None,Down,0
80,173.0315,0,1,None,Left,1
81,173.298,0,1,None,Left,1
82,173.6315,0,1,None,Left,1
83,174.6815,0,1,None,Up,1
84,174.9815,0,1,None,Up,1
85,176.2815,0,1,None,Left,1
86,176.5315,0,1,None,Left,1
87,176.7815,0,1,None,Left,1
88,177.0481,0,1,None,Left,1
89,178.8647,0,1,None,Left,1
90,179.6314,0,1,None,Down,1
91,179.9147,0,1,None,Down,1
92,180.5981,0,1,None,Up,1
93,182.9981,0,1,Pause,None,-1
94,186.1147,0,1,Stop,None,-1
95,194.1314,0,1,Start,None,-1
96,201.8481,0,1,Pause,None,-1
97,203.6147,0,1,Resume,None,-1
98,205.6481,0,1,Pause,None,-1
99,209.0814,0,1,Resume,None,-1
100,216.8814,0,1,None,Right,1
101,220.848,0,1,None,Right,1
102,221.1813,0,1,None,Right,1
103,221.4314,0,1,None,Right,1
104,221.698,0,1,None,Right,1
105,221.948,0,1,None,Right,1
106,222.298,0,1,None,Right,1
107,222.698,0,1,None,Right,1
108,222.948,0,1,None,Right,1
109,223.198,0,1,None,Right,1
110,223.4646,0,1,None,Right,1
111,223.8314,0,1,None,Right,0
112,224.148,0,1,None,Right,0
113,224.698,0,1,None,Left,1
114,224.948,0,1,None,Left,1
115,225.198,0,1,None,Left,1
116,225.448,0,1,None,Left,1
117,225.698,0,1,None,Left,1
118,225.9647,0,1,None,Left,1
119,226.3314,0,1,None,Left,1
120,226.6814,0,1,None,Left,1
121,226.948,0,1,None,Left,1
122,227.2146,0,1,None,Left,1
123,227.5146,0,1,None,Left,1
124,227.9646,0,1,None,Left,1
125,228.2146,0,1,None,Left,1
126,255.4813,0,1,Pause,None,-1
127,256.748,0,1,Resume,None,-1
128,257.7979,0,1,Pause,None,-1
129,258.6646,0,1,Stop,None,-1
130,277.048,0,1,Start,None,-1
131,287.9146,0,1,Pause,None,-1
132,289.9478,0,1,Stop,None,-1
133,291.6144,0,0,Start,None,-1
134,308.6478,0,0,Pause,None,-1
135,309.9478,0,0,Stop,None,-1
136,310.7478,0,1,Start,None,-1
137,330.2477,0,1,None,Right,1
138,330.4978,0,1,None,Right,1
139,331.7477,0,1,None,Left,1
140,332.2478,0,1,None,Right,1
141,332.4978,0,1,None,Right,1
142,333.1978,0,1,None,Up,1
143,333.7478,0,1,None,Down,1
144,344.1478,0,1,None,Right,1
145,344.3979,0,1,None,Right,1
146,344.6479,0,1,None,Right,1
147,351.5144,0,1,None,Right,1
148,351.7645,0,1,None,Right,1
149,352.0311,0,1,None,Right,1
150,352.4478,0,1,None,Down,1
151,352.7144,0,1,None,Down,1
152,352.9645,0,1,None,Down,1
153,353.5978,0,1,None,Left,2
154,354.731,0,1,None,Left,3
155,355.0144,0,1,None,Left,3
156,355.3644,0,1,None,Left,3
157,356.4144,0,1,None,Left,3
158,356.7978,0,1,None,Left,3
159,357.2478,0,1,None,Left,4
160,359.4644,0,1,None,Left,5
161,360.3477,0,1,None,Left,5
162,360.8644,0,1,None,Left,5
163,362.0977,0,1,None,Right,1
164,362.3477,0,1,None,Right,1
165,365.931,0,1,None,Right,1
166,366.8477,0,1,None,Left,1
167,368.3143,0,1,None,Left,1
168,371.0477,0,1,None,Right,1
169,371.4144,0,1,None,Right,1
170,371.6644,0,1,None,Right,1
171,371.931,0,1,None,Right,1
172,372.181,0,1,None,Right,1
173,372.431,0,1,None,Right,1
174,372.6977,0,1,None,Right,1
175,372.9644,0,1,None,Right,1
176,373.231,0,1,None,Right,1
177,373.9977,0,1,None,Up,1
178,374.2977,0,1,None,Up,1
179,374.731,0,1,None,Left,1
180,375.0977,0,1,None,Up,1
181,375.6644,0,1,None,Left,1
182,376.031,0,1,None,Left,1
183,376.2811,0,1,None,Left,1
184,376.6143,0,1,None,Left,1
185,377.2643,0,1,None,Left,1
186,377.281,0,1,Success,None,-1
187,384.381,0,2,Start,None,-1
188,393.5309,0,2,None,Left,1
189,394.231,0,2,None,Left,2
190,394.9643,0,2,None,Right,1
191,396.7476,0,2,None,Left,1
192,397.0643,0,2,None,Left,2
193,397.8143,0,2,None,Up,1
194,398.2477,0,2,None,Right,2
195,398.5309,0,2,None,Right,2
196,398.8143,0,2,None,Right,2
197,399.1143,0,2,None,Right,2
198,399.3976,0,2,None,Right,3
199,399.6477,0,2,Defeat,None,-1
200,402.181,0,2,Restart,None,-1
201,404.231,0,2,None,Down,1
202,405.2477,0,2,None,Left,1
203,405.5143,0,2,None,Left,2
204,406.0976,0,2,None,Left,2
205,406.9977,0,2,None,Up,1
206,407.6643,0,2,None,Right,2
207,407.9143,0,2,None,Right,2
208,408.1809,0,2,None,Right,2
209,408.4477,0,2,None,Right,2
210,408.6977,0,2,None,Right,3
211,408.9643,0,2,Defeat,None,-1
212,412.5476,0,2,Undo,None,-1
213,418.3643,0,2,None,Left,1
214,418.6643,0,2,None,Left,1
215,418.9143,0,2,None,Left,1
216,419.2476,0,2,None,Left,1
217,419.4976,0,2,None,Left,1
218,419.7476,0,2,None,Left,1
219,420.4643,0,2,None,Right,1
220,420.7143,0,2,None,Down,2
221,420.9643,0,2,None,Down,2
222,421.7643,0,2,None,Down,2
223,422.4142,0,2,None,Left,1
224,422.8642,0,2,None,Down,1
225,423.4476,0,2,None,Right,2
226,423.7143,0,2,None,Right,2
227,423.9643,0,2,None,Right,2
228,424.2309,0,2,None,Right,2
229,424.4809,0,2,None,Right,2
230,424.731,0,2,None,Right,2
231,424.9976,0,2,None,Right,2
232,425.2477,0,2,None,Right,2
233,425.4977,0,2,None,Right,2
234,425.7477,0,2,None,Right,2
235,426.0143,0,2,None,Right,2
236,426.2809,0,2,None,Right,2
237,426.5477,0,2,None,Right,2
238,427.1476,0,2,None,Down,1
239,427.5642,0,2,None,Right,1
240,427.9809,0,2,None,Up,2
241,428.3477,0,2,None,Up,2
242,428.8643,0,2,None,Up,2
243,429.1976,0,2,None,Up,2
244,429.7977,0,2,None,Right,1
245,430.1143,0,2,None,Up,1
246,430.4809,0,2,None,Left,2
247,430.9977,0,2,None,Left,2
248,431.2977,0,2,None,Left,2
249,432.8476,0,2,None,Left,2
250,432.8643,0,2,Success,None,-1
251,435.7476,0,3,Start,None,-1
252,444.7809,0,3,None,Right,1
253,445.1476,0,3,None,Right,1
254,445.4809,0,3,None,Right,2
255,445.7477,0,3,None,Right,2
256,446.0308,0,3,None,Right,2
257,447.7308,0,3,None,Right,2
258,447.7475,0,3,Success,None,-1
259,460.6309,1,0,Start,None,-1
260,475.2309,1,0,None,Up,1
261,476.2309,1,0,None,Right,1
262,477.2975,1,0,None,Up,1
263,479.0809,1,0,None,Up,1
264,479.8809,1,0,None,Right,1
265,480.7808,1,0,None,Right,1
266,481.0975,1,0,None,Right,1
267,481.3475,1,0,None,Right,1
268,481.5976,1,0,None,Right,1
269,481.8642,1,0,None,Right,1
270,482.1476,1,0,None,Right,1
271,483.1475,1,0,None,Left,1
272,490.7809,1,0,None,Left,1
273,501.0475,1,0,None,Down,1
274,501.3308,1,0,None,Down,1
275,501.5808,1,0,None,Down,0
276,501.9641,1,0,None,Down,0
277,502.3142,1,0,None,Down,0
278,502.8641,1,0,None,Right,0
279,503.1976,1,0,None,Right,0
280,503.7642,1,0,None,Up,1
281,504.2142,1,0,None,Right,1
282,504.5308,1,0,None,Right,1
283,504.9475,1,0,None,Down,1
284,505.2141,1,0,None,Down,1
285,505.4642,1,0,None,Down,1
286,506.4308,1,0,None,Left,2
287,507.0641,1,0,None,Left,3
288,507.4976,1,0,None,Left,0
289,507.8308,1,0,None,Left,0
290,509.3475,1,0,None,Right,1
291,510.0641,1,0,None,Down,1
292,510.3475,1,0,None,Down,1
293,511.0142,1,0,None,Left,1
294,511.2808,1,0,None,Left,1
295,511.7641,1,0,None,Up,1
296,512.0308,1,0,None,Up,2
297,514.4808,1,0,None,Down,1
298,515.0308,1,0,None,Left,1
299,515.9642,1,0,None,Up,2
300,516.3475,1,0,None,Up,2
301,520.6642,1,0,None,Down,1
302,526.7475,1,0,Pause,None,-1
303,527.9974,1,0,Restart,None,-1
304,530.2141,1,0,None,Up,1
305,530.4641,1,0,None,Up,1
306,531.3641,1,0,None,Right,1
307,531.6308,1,0,None,Right,1
308,531.8974,1,0,None,Right,1
309,532.8975,1,0,None,Right,0
310,533.5807,1,0,None,Down,1
311,533.8308,1,0,None,Down,0
312,534.0975,1,0,None,Right,1
313,534.3641,1,0,None,Right,0
314,534.7141,1,0,None,Right,0
315,535.0975,1,0,None,Down,1
316,535.4474,1,0,None,Right,1
317,535.8141,1,0,None,Down,2
318,536.9974,1,0,None,Down,2
319,538.3975,1,0,None,Left,1
320,539.3974,1,0,None,Right,1
321,548.8308,1,0,Redo,None,0
322,551.6973,1,0,Pause,None,-1
323,553.0974,1,0,Restart,None,-1
324,561.7474,1,0,Pause,None,-1
