Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,31.203,-1,-1,Login,None,-1
2,94.26955,0,0,Start,None,-1
3,104.1529,0,0,None,Right,1
4,104.403,0,0,None,Right,1
5,104.6696,0,0,None,Right,2
6,105.2697,0,0,None,Right,2
7,105.5363,0,0,None,Right,2
8,105.7863,0,0,None,Right,2
9,105.803,0,0,Success,None,-1
10,113.8863,0,1,Start,None,-1
11,117.6862,0,1,None,Right,1
12,117.9363,0,1,None,Right,1
13,118.7863,0,1,None,Right,1
14,119.7363,0,1,None,Right,1
15,120.5696,0,1,None,Right,1
16,121.3029,0,1,None,Right,1
17,121.5529,0,1,None,Right,1
18,122.3196,0,1,None,Left,1
19,122.8196,0,1,None,Left,1
20,123.2697,0,1,None,Left,1
21,123.7362,0,1,None,Left,1
22,124.3196,0,1,None,Up,1
23,124.5862,0,1,None,Up,0
24,125.0028,0,1,None,Down,1
25,125.3695,0,1,None,Down,1
26,125.9363,0,1,None,Left,1
27,126.2029,0,1,None,Left,1
28,127.2862,0,1,None,Right,1
29,127.5529,0,1,None,Right,1
30,128.3696,0,1,None,Left,1
31,129.6195,0,1,None,Up,1
32,130.2196,0,1,None,Right,1
33,130.4696,0,1,None,Right,1
34,131.0362,0,1,None,Right,1
35,131.6528,0,1,None,Left,1
36,132.0696,0,1,None,Left,1
37,132.9696,0,1,None,Up,1
38,133.5197,0,1,None,Down,1
39,133.9362,0,1,None,Right,1
40,134.1862,0,1,None,Right,1
41,134.4362,0,1,None,Right,1
42,134.9196,0,1,None,Right,1
43,135.3696,0,1,None,Left,1
44,135.6196,0,1,None,Left,1
45,135.8862,0,1,None,Left,1
46,136.1362,0,1,None,Left,1
47,136.3862,0,1,None,Left,1
48,136.6362,0,1,None,Left,1
49,136.9028,0,1,None,Left,1
50,137.1695,0,1,None,Left,1
51,137.7195,0,1,None,Down,1
52,138.1195,0,1,None,Down,0
53,138.6695,0,1,None,Right,1
54,139.1196,0,1,None,Right,1
55,139.3862,0,1,None,Right,1
56,139.6362,0,1,None,Right,1
57,139.9028,0,1,None,Right,1
58,140.1528,0,1,None,Right,1
59,141.2862,0,1,None,Left,1
60,141.5362,0,1,None,Left,1
61,141.7862,0,1,None,Left,1
62,142.0862,0,1,None,Left,1
63,143.0695,0,1,None,Right,1
64,149.4862,0,1,None,Right,1
65,150.1028,0,1,None,Right,1
66,150.3862,0,1,None,Right,1
67,150.6362,0,1,None,Right,1
68,151.1195,0,1,None,Up,1
69,152.1028,0,1,None,Down,1
70,152.7195,0,1,None,Up,1
71,158.1528,0,1,None,Left,1
72,158.4028,0,1,None,Left,1
73,159.2361,0,1,None,Up,1
74,159.7028,0,1,None,Left,1
75,159.9528,0,1,None,Left,1
76,160.7361,0,1,None,Right,1
77,161.8528,0,1,None,Down,1
78,162.4195,0,1,None,Down,1
79,163.7695,0,1,None,Up,1
80,164.2695,0,1,None,Up,1
81,165.9695,0,1,None,Down,1
82,166.4861,0,1,None,Down,1
83,170.7361,0,1,None,Right,1
84,171.1861,0,1,None,Right,1
85,171.6027,0,1,None,Right,1
86,171.8528,0,1,None,Right,1
87,172.1195,0,1,None,Right,1
88,172.3696,0,1,None,Right,1
89,172.6361,0,1,None,Right,1
90,173.5196,0,1,None,Right,1
91,174.0361,0,1,None,Right,0
92,174.7532,0,1,None,Up,1
93,175.1694,0,1,None,Up,1
94,175.5693,0,1,None,Up,1
95,176.0527,0,1,None,Up,1
96,176.5694,0,1,None,Down,1
97,176.836,0,1,None,Down,1
98,177.0861,0,1,None,Down,1
99,177.3361,0,1,None,Down,1
100,177.7026,0,1,None,Down,1
101,177.9527,0,1,None,Down,1
102,178.4028,0,1,None,Left,1
103,178.6694,0,1,None,Left,1
104,179.0195,0,1,None,Left,2
105,180.2195,0,1,None,Left,3
106,180.9027,0,1,None,Left,3
107,181.8861,0,1,None,Down,1
108,182.1361,0,1,None,Down,1
109,182.6361,0,1,None,Left,1
110,183.2361,0,1,None,Up,1
111,183.8694,0,1,None,Left,1
112,184.3695,0,1,None,Right,1
113,185.0695,0,1,None,Right,1
114,185.436,0,1,None,Up,1
115,185.7527,0,1,None,Left,3
116,186.086,0,1,None,Left,3
117,186.336,0,1,None,Left,3
118,186.7528,0,1,None,Left,4
119,187.3027,0,1,None,Left,5
120,188.086,0,1,None,Right,1
121,188.336,0,1,None,Right,1
122,188.6026,0,1,None,Right,1
123,188.8528,0,1,None,Right,1
124,189.1028,0,1,None,Right,1
125,189.3528,0,1,None,Right,1
126,189.8528,0,1,None,Right,1
127,190.1194,0,1,None,Right,1
128,190.386,0,1,None,Right,1
129,190.6694,0,1,None,Up,1
130,190.9528,0,1,None,Up,1
131,191.3027,0,1,None,Left,1
132,191.5528,0,1,None,Left,1
133,191.8195,0,1,None,Left,1
134,192.0861,0,1,None,Left,1
135,192.4028,0,1,None,Up,1
136,192.8361,0,1,None,Left,1
137,193.1528,0,1,None,Left,1
138,193.5198,0,1,None,Left,1
139,193.5364,0,1,Success,None,-1
140,199.0861,0,2,Start,None,-1
141,205.1028,0,2,None,Left,1
142,205.7694,0,2,None,Left,2
143,206.4193,0,2,None,Left,2
144,207.0528,0,2,None,Down,1
145,207.5028,0,2,None,Down,1
146,207.9028,0,2,None,Down,1
147,208.2693,0,2,None,Down,1
148,208.8194,0,2,None,Right,1
149,209.086,0,2,None,Right,1
150,209.336,0,2,None,Right,1
151,209.586,0,2,None,Right,1
152,209.8361,0,2,None,Right,1
153,210.1028,0,2,None,Right,1
154,210.3694,0,2,None,Right,1
155,210.636,0,2,None,Right,1
156,210.8861,0,2,None,Right,1
