Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,64.66942,-1,-1,Login,None,-1
2,106.0027,0,0,Start,None,-1
3,114.0694,0,0,None,Right,1
4,114.3194,0,0,None,Right,1
5,115.7361,0,0,None,Right,2
6,115.9861,0,0,None,Right,2
7,116.6361,0,0,None,Right,2
8,117.1195,0,0,None,Right,2
9,117.1361,0,0,Success,None,-1
10,123.8027,0,1,Start,None,-1
11,127.1194,0,1,None,Right,1
12,130.6194,0,1,None,Right,1
13,130.9861,0,1,None,Right,1
14,131.5361,0,1,None,Right,1
15,131.9527,0,1,None,Right,1
16,132.2694,0,1,None,Right,1
17,132.7194,0,1,None,Right,1
18,133.2194,0,1,None,Left,1
19,135.8194,0,1,None,Left,1
20,136.0694,0,1,None,Left,1
21,136.3361,0,1,None,Left,1
22,136.8194,0,1,None,Up,1
23,137.2194,0,1,None,Up,0
24,137.6527,0,1,None,Right,1
25,138.2194,0,1,None,Down,1
26,138.6527,0,1,None,Left,1
27,139.0194,0,1,None,Left,1
28,139.4861,0,1,None,Left,1
29,140.1694,0,1,None,Left,1
30,140.436,0,1,None,Left,1
31,140.6861,0,1,None,Down,1
32,141.386,0,1,None,Up,1
33,141.6526,0,1,None,Up,1
34,141.9027,0,1,None,Up,0
35,142.1527,0,1,None,Up,0
36,142.5694,0,1,None,Down,1
37,142.8194,0,1,None,Down,1
38,143.0694,0,1,None,Down,0
39,143.4527,0,1,None,Right,1
40,143.7527,0,1,None,Right,1
41,144.0193,0,1,None,Right,1
42,144.2694,0,1,None,Right,1
43,145.036,0,1,None,Right,1
44,145.3026,0,1,None,Right,1
45,145.5527,0,1,None,Right,1
46,145.9027,0,1,None,Up,1
47,150.2027,0,1,None,Left,1
48,150.4527,0,1,None,Left,1
49,150.7027,0,1,None,Left,1
50,150.9527,0,1,None,Left,1
51,151.2194,0,1,None,Up,1
52,151.6027,0,1,None,Up,0
53,152.2527,0,1,None,Right,1
54,152.686,0,1,None,Down,1
55,153.1195,0,1,None,Down,1
56,153.7027,0,1,None,Down,0
57,153.9527,0,1,None,Down,0
58,159.336,0,1,None,Left,1
59,159.6026,0,1,None,Left,1
60,163.4194,0,1,None,Up,1
61,163.6694,0,1,None,Up,1
62,165.286,0,1,Pause,None,-1
63,168.0193,0,1,Stop,None,-1
64,176.7026,0,1,Start,None,-1
65,177.936,0,1,None,Up,1
66,178.3026,0,1,None,Up,0
67,184.5026,0,1,None,Down,1
68,185.9194,0,1,None,Right,1
69,186.3526,0,1,None,Up,1
70,186.6693,0,1,None,Up,0
71,187.0026,0,1,None,Right,1
72,192.0526,0,1,None,Left,1
73,192.3026,0,1,None,Left,1
74,192.5526,0,1,None,Left,1
75,192.8693,0,1,None,Left,1
76,193.1693,0,1,None,Left,1
77,193.4859,0,1,None,Down,1
78,194.2194,0,1,None,Down,1
79,194.5526,0,1,None,Down,1
80,194.8693,0,1,None,Down,1
81,195.2193,0,1,None,Right,2
82,195.4694,0,1,None,Right,3
83,195.7359,0,1,None,Right,3
84,196.0023,0,1,None,Right,3
85,197.6026,0,1,None,Right,3
86,198.0193,0,1,None,Right,3
87,199.0192,0,1,None,Left,1
88,199.2692,0,1,None,Left,1
89,199.5193,0,1,None,Left,1
90,199.7859,0,1,None,Left,1
91,200.0359,0,1,None,Left,1
92,200.2859,0,1,None,Left,1
93,200.5526,0,1,None,Left,1
94,200.8193,0,1,None,Up,1
95,201.0859,0,1,None,Up,1
96,201.3359,0,1,None,Right,1
97,201.6026,0,1,None,Right,1
98,201.8526,0,1,None,Right,1
99,202.1026,0,1,None,Right,1
100,202.3693,0,1,None,Right,1
101,202.6359,0,1,None,Right,1
102,202.9026,0,1,None,Right,1
103,202.9193,0,1,Success,None,-1
104,205.1692,0,2,Start,None,-1
105,210.0192,0,2,None,Right,1
106,210.4192,0,2,None,Right,1
107,210.7026,0,2,None,Right,2
108,210.9526,0,2,Defeat,None,-1
109,213.136,0,2,Restart,None,-1
110,213.4859,0,2,None,Left,1
111,214.0026,0,2,None,Left,2
112,214.8693,0,2,None,Left,2
113,215.3026,0,2,None,Down,1
114,215.6026,0,2,None,Down,1
115,215.8526,0,2,None,Down,1
116,216.1026,0,2,None,Down,1
117,216.3692,0,2,None,Right,1
118,216.6193,0,2,None,Right,1
119,216.8858,0,2,None,Right,1
120,217.1359,0,2,None,Right,1
121,217.4025,0,2,None,Right,1
122,217.6692,0,2,None,Right,1
123,217.9192,0,2,None,Right,1
124,218.1859,0,2,None,Right,1
125,218.4359,0,2,None,Right,1
126,218.6859,0,2,None,Right,1
127,218.9526,0,2,None,Right,1
128,219.2192,0,2,None,Right,1
129,219.4692,0,2,None,Right,1
130,219.8026,0,2,None,Up,1
131,220.1692,0,2,None,Up,1
132,220.4192,0,2,None,Up,1
133,220.6692,0,2,None,Left,1
134,220.9192,0,2,None,Left,1
135,221.1692,0,2,None,Up,1
136,221.4359,0,2,None,Left,1
137,221.6859,0,2,None,Left,1
138,221.7025,0,2,Success,None,-1
139,223.5525,0,3,Start,None,-1
140,230.5692,0,3,None,Right,1
141,230.9026,0,3,None,Right,1
142,231.2026,0,3,None,Right,2
143,231.7026,0,3,None,Right,2
144,232.0192,0,3,None,Up,1
145,232.8026,0,3,None,Right,1
146,233.1026,0,3,None,Right,1
147,233.4025,0,3,None,Down,1
148,233.4192,0,3,Success,None,-1
149,246.7858,1,0,Start,None,-1
150,251.1525,1,0,None,Up,1
151,251.5359,1,0,None,Right,1
152,251.8859,1,0,None,Up,1
153,252.4025,1,0,None,Right,1
154,252.7525,1,0,None,Up,1
155,257.2192,1,0,None,Right,1
156,257.6025,1,0,None,Right,1
157,257.9859,1,0,None,Right,1
158,258.3358,1,0,None,Right,1
159,258.5859,1,0,None,Right,1
160,260.3359,1,0,None,Left,1
161,260.6025,1,0,None,Left,1
162,260.8525,1,0,None,Left,1
163,261.3025,1,0,None,Left,1
164,261.5691,1,0,None,Left,1
165,262.4695,1,0,None,Up,1
166,262.8192,1,0,None,Up,1
167,263.3525,1,0,None,Up,1
168,265.1359,1,0,None,Right,1
169,265.4025,1,0,None,Right,1
170,265.6525,1,0,None,Right,1
171,265.9025,1,0,None,Right,1
172,266.1691,1,0,None,Right,1
173,266.4192,1,0,None,Right,1
174,266.6692,1,0,None,Right,1
175,266.9192,1,0,None,Down,1
176,267.4858,1,0,None,Down,1
177,267.8859,1,0,None,Down,1
178,268.1525,1,0,None,Down,1
179,268.4025,1,0,None,Down,1
180,268.6692,1,0,None,Down,1
181,268.9858,1,0,None,Down,1
182,269.2858,1,0,None,Left,1
183,269.5358,1,0,None,Left,2
184,271.7192,1,0,None,Right,1
185,272.4525,1,0,None,Up,1
186,272.8191,1,0,None,Up,1
187,273.2524,1,0,None,Up,1
188,273.8192,1,0,None,Up,1
189,274.1025,1,0,None,Left,1
190,274.7358,1,0,None,Left,1
191,276.1192,1,0,None,Left,1
192,276.3692,1,0,None,Left,1
193,276.6358,1,0,None,Left,1
194,280.1025,1,0,Redo,None,0
195,284.7691,1,0,Redo,None,0
196,286.5191,1,0,Undo,None,1
197,287.1858,1,0,Undo,None,1
198,289.9691,1,0,Pause,None,-1
199,290.8191,1,0,Restart,None,-1
200,293.8691,1,0,None,Up,1
201,294.4191,1,0,None,Right,1
202,294.919,1,0,None,Up,1
203,295.3858,1,0,None,Right,1
204,296.0525,1,0,None,Right,1
205,299.2358,1,0,None,Down,1
206,299.7025,1,0,None,Right,1
207,300.0024,1,0,None,Right,0
208,301.0691,1,0,None,Left,1
209,301.3358,1,0,None,Up,1
210,301.6024,1,0,None,Up,1
211,301.8524,1,0,None,Up,1
212,302.1191,1,0,None,Right,1
213,302.3691,1,0,None,Right,1
214,302.8358,1,0,None,Down,1
215,303.1191,1,0,None,Right,1
216,303.3691,1,0,None,Right,1
217,304.3524,1,0,None,Down,1
218,305.0691,1,0,None,Right,1
219,305.5191,1,0,None,Down,1
220,305.7691,1,0,None,Right,1
221,306.0858,1,0,None,Right,1
222,306.3358,1,0,None,Right,1
223,306.5858,1,0,None,Right,1
224,307.6858,1,0,None,Right,1
225,308.0024,1,0,None,Right,0
226,308.5024,1,0,None,Down,1
227,308.7858,1,0,None,Right,0
228,309.5694,1,0,None,Left,1
229,309.8358,1,0,None,Left,1
230,310.0858,1,0,None,Left,1
231,310.3358,1,0,None,Left,1
232,310.5858,1,0,None,Left,1
233,310.8358,1,0,None,Left,1
234,311.1024,1,0,None,Left,0
235,311.4691,1,0,None,Down,2
236,312.1524,1,0,None,Down,2
237,312.7691,1,0,None,Up,1
238,313.0358,1,0,None,Left,1
239,313.3024,1,0,None,Left,2
240,313.619,1,0,None,Down,1
241,315.0858,1,0,None,Up,1
242,315.5024,1,0,None,Up,1
243,315.7524,1,0,None,Left,1
244,316.0024,1,0,None,Up,1
245,316.2858,1,0,None,Left,1
246,316.5858,1,0,None,Left,1
247,316.9524,1,0,None,Left,1
248,317.3024,1,0,None,Left,1
249,317.569,1,0,None,Up,1
250,317.8191,1,0,None,Right,1
251,318.1357,1,0,None,Up,1
252,318.3858,1,0,None,Up,1
253,318.6523,1,0,None,Left,1
254,318.9024,1,0,None,Left,1
255,319.1858,1,0,None,Down,2
256,319.4358,1,0,Defeat,None,-1
257,322.8357,1,0,Undo,None,-1
258,323.269,1,0,None,Right,1
259,323.5358,1,0,None,Right,1
260,323.8023,1,0,None,Right,1
261,324.1857,1,0,None,Right,1
262,324.4357,1,0,None,Right,1
263,324.6857,1,0,None,Right,1
264,327.1191,1,0,None,Right,1
265,327.3857,1,0,None,Right,1
266,327.6357,1,0,None,Right,1
267,327.8857,1,0,None,Right,1
268,328.1523,1,0,None,Down,1
269,328.7024,1,0,None,Down,1
270,329.3858,1,0,None,Left,1
271,329.6524,1,0,None,Up,1
272,329.969,1,0,None,Left,1
273,330.7524,1,0,None,Right,1
274,331.0024,1,0,None,Right,1
275,331.2524,1,0,None,Right,1
276,331.5191,1,0,None,Down,1
277,331.7691,1,0,None,Down,1
278,332.0191,1,0,None,Down,1
279,332.2857,1,0,None,Right,1
280,332.5357,1,0,None,Right,1
281,332.819,1,0,None,Right,1
282,333.1024,1,0,None,Right,0
283,333.6691,1,0,None,Down,1
284,333.9357,1,0,None,Right,0
285,334.4691,1,0,None,Right,0
286,334.819,1,0,None,Right,0
287,335.1357,1,0,None,Down,1
288,335.4023,1,0,None,Right,1
289,335.6524,1,0,None,Right,0
290,335.9024,1,0,None,Up,4
291,336.6191,1,0,None,Up,4
292,337.169,1,0,None,Up,4
293,338.4857,1,0,None,Left,1
294,338.7357,1,0,None,Left,1
295,339.0358,1,0,None,Left,1
296,339.3024,1,0,None,Up,1
297,339.5524,1,0,None,Left,1
298,339.8191,1,0,None,Up,1
299,340.0691,1,0,None,Left,1
300,340.3357,1,0,None,Left,1
301,340.5858,1,0,None,Left,1
302,340.8358,1,0,None,Left,1
303,341.1024,1,0,None,Left,1
304,341.3524,1,0,None,Left,1
305,341.6024,1,0,None,Left,1
306,341.8524,1,0,None,Left,1
307,342.1191,1,0,None,Down,1
308,342.3857,1,0,None,Left,1
309,342.6358,1,0,None,Left,1
310,342.9024,1,0,None,Left,1
311,343.1524,1,0,None,Left,1
312,343.5191,1,0,None,Up,2
313,343.7691,1,0,Defeat,None,-1
314,344.9191,1,0,Undo,None,-1
315,345.3691,1,0,None,Right,1
316,345.7024,1,0,None,Right,1
317,345.9524,1,0,None,Right,1
318,346.2191,1,0,None,Right,1
319,346.5691,1,0,None,Right,1
320,347.0691,1,0,None,Right,0
321,347.6357,1,0,None,Right,0
322,348.0357,1,0,None,Down,1
323,348.3357,1,0,None,Right,1
324,348.7691,1,0,None,Down,1
325,349.6357,1,0,None,Right,1
326,351.7357,1,0,None,Down,1
327,352.019,1,0,None,Left,0
328,352.4691,1,0,None,Down,1
329,352.7191,1,0,None,Left,1
330,353.0691,1,0,None,Up,2
331,353.5857,1,0,None,Right,1
332,354.019,1,0,None,Up,1
333,354.5691,1,0,None,Left,0
334,354.9357,1,0,None,Down,1
335,355.1857,1,0,None,Left,1
336,355.4357,1,0,None,Up,2
337,355.7857,1,0,None,Right,1
338,356.219,1,0,None,Up,0
339,356.8857,1,0,None,Up,0
340,357.3357,1,0,None,Left,1
341,357.6857,1,0,None,Up,0
342,357.9357,1,0,None,Up,0
343,358.1857,1,0,None,Right,1
344,358.5691,1,0,None,Right,0
345,358.8357,1,0,None,Up,0
346,359.1024,1,0,None,Left,1
347,359.619,1,0,None,Left,0
348,359.869,1,0,None,Left,0
349,360.1857,1,0,None,Right,1
350,360.4357,1,0,None,Right,0
351,362.519,1,0,None,Down,1
352,362.769,1,0,None,Down,1
353,363.019,1,0,None,Right,0
354,363.319,1,0,None,Up,1
355,363.5857,1,0,None,Right,1
356,363.8357,1,0,None,Right,1
357,364.0857,1,0,None,Right,1
358,364.3523,1,0,None,Up,1
359,364.619,1,0,None,Up,1
360,364.969,1,0,None,Up,1
361,365.269,1,0,None,Left,1
362,365.619,1,0,None,Left,1
363,366.3191,1,0,None,Left,1
364,366.6357,1,0,None,Down,0
365,367.069,1,0,None,Down,0
366,367.3191,1,0,None,Down,0
367,367.869,1,0,None,Right,1
368,368.1357,1,0,None,Right,1
369,368.4023,1,0,None,Right,1
370,368.6523,1,0,None,Right,1
371,368.9023,1,0,None,Right,1
372,369.1523,1,0,None,Right,1
373,369.4024,1,0,None,Right,1
374,369.6691,1,0,None,Right,1
375,369.9357,1,0,None,Right,0
376,370.3023,1,0,None,Down,1
377,370.5691,1,0,None,Right,1
378,370.8191,1,0,None,Up,4
379,371.0857,1,0,None,Up,4
380,371.3357,1,0,None,Up,4
381,372.4523,1,0,None,Up,0
382,372.7023,1,0,None,Up,0
383,373.2357,1,0,None,Left,1
384,373.5023,1,0,None,Left,1
385,374.5356,1,0,Pause,None,-1
386,375.719,1,0,Restart,None,-1
387,378.269,1,0,None,Left,1
388,378.5357,1,0,None,Right,1
389,378.7857,1,0,None,Right,1
390,379.0357,1,0,None,Right,1
391,379.3023,1,0,None,Right,0
392,379.5523,1,0,None,Right,0
