Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,25.3128,-1,-1,Login,None,-1
2,69.69619,0,0,Start,None,-1
3,78.56278,0,0,None,Right,1
4,78.82948,0,0,None,Right,1
5,79.07951,0,0,None,Right,2
6,79.52944,0,0,None,Right,2
7,79.97947,0,0,None,Right,2
8,82.39612,0,0,None,Right,2
9,82.41277,0,0,Success,None,-1
10,87.64609,0,1,Start,None,-1
11,101.1627,0,1,None,Down,1
12,101.4128,0,1,None,Down,0
13,106.9961,0,1,None,Right,1
14,107.3461,0,1,None,Right,1
15,107.6294,0,1,None,Right,1
16,108.2795,0,1,None,Right,1
17,108.5461,0,1,None,Right,1
18,109.9128,0,1,None,Right,1
19,111.3794,0,1,None,Right,1
20,111.646,0,1,None,Right,1
21,111.8961,0,1,None,Right,1
22,112.1461,0,1,None,Right,1
23,112.4461,0,1,None,Down,1
24,112.7628,0,1,None,Down,1
25,113.2128,0,1,None,Left,1
26,113.4794,0,1,None,Left,2
27,113.746,0,1,None,Left,3
28,115.3127,0,1,None,Left,3
29,117.4794,0,1,None,Right,1
30,117.7961,0,1,None,Down,1
31,118.0461,0,1,None,Down,1
32,125.9794,0,1,None,Right,1
33,126.2294,0,1,None,Right,1
34,126.496,0,1,None,Right,1
35,127.296,0,1,None,Up,1
36,127.596,0,1,None,Up,1
37,130.5461,0,1,None,Up,1
38,131.6794,0,1,None,Up,1
39,132.1794,0,1,None,Left,1
40,132.4294,0,1,None,Left,1
41,132.6794,0,1,None,Left,1
42,132.946,0,1,None,Left,1
43,133.2127,0,1,None,Left,1
44,133.696,0,1,None,Right,1
45,134.0794,0,1,None,Up,1
46,135.5794,0,1,None,Down,1
47,135.946,0,1,None,Right,1
48,136.1961,0,1,None,Right,1
49,136.4627,0,1,None,Right,1
50,138.9294,0,1,Redo,None,0
51,141.7293,0,1,Redo,None,0
52,148.446,0,1,Redo,None,0
53,148.6961,0,1,Redo,None,0
54,149.7126,0,1,None,Right,1
55,150.9294,0,1,Undo,None,1
56,151.8127,0,1,Undo,None,1
57,152.7628,0,1,Redo,None,1
58,153.646,0,1,Redo,None,1
59,155.9293,0,1,Undo,None,1
60,156.1959,0,1,Undo,None,1
61,156.446,0,1,Undo,None,1
62,156.7128,0,1,Undo,None,1
63,156.9793,0,1,Undo,None,1
64,157.2293,0,1,Undo,None,1
65,157.496,0,1,Undo,None,1
66,157.746,0,1,Undo,None,1
67,158.0126,0,1,Undo,None,1
68,158.2627,0,1,Undo,None,1
69,158.5293,0,1,Undo,None,1
70,158.7794,0,1,Undo,None,1
71,159.0294,0,1,Undo,None,1
72,159.296,0,1,Undo,None,1
73,159.546,0,1,Undo,None,1
74,159.796,0,1,Undo,None,1
75,160.0626,0,1,Undo,None,1
76,160.3127,0,1,Undo,None,1
77,160.5793,0,1,Undo,None,1
78,160.8294,0,1,Undo,None,1
79,161.0959,0,1,Undo,None,1
80,161.346,0,1,Undo,None,1
81,161.596,0,1,Undo,None,3
82,161.846,0,1,Undo,None,3
83,162.1126,0,1,Undo,None,2
84,162.3626,0,1,Undo,None,1
85,162.746,0,1,None,Down,1
86,163.2126,0,1,None,Left,1
87,163.4626,0,1,None,Left,1
88,163.7127,0,1,None,Left,1
89,164.146,0,1,None,Up,1
90,164.4793,0,1,None,Up,0
91,164.7959,0,1,None,Right,2
92,165.1959,0,1,None,Right,2
93,165.6293,0,1,None,Down,1
94,165.896,0,1,None,Right,1
95,166.1627,0,1,None,Up,2
96,166.4293,0,1,None,Up,2
97,166.9793,0,1,None,Right,1
98,167.2794,0,1,None,Up,1
99,167.6793,0,1,None,Left,2
100,167.9294,0,1,None,Left,2
101,169.0793,0,1,None,Down,1
102,169.3293,0,1,None,Down,1
103,170.2459,0,1,Undo,None,1
104,170.5626,0,1,Undo,None,1
105,170.8292,0,1,Undo,None,2
106,171.246,0,1,Undo,None,2
107,171.9793,0,1,None,Down,1
108,172.3293,0,1,None,Left,1
109,172.596,0,1,None,Up,2
110,173.1127,0,1,None,Right,1
111,173.3959,0,1,None,Up,1
112,173.6459,0,1,None,Left,2
113,173.896,0,1,None,Left,2
114,174.1793,0,1,None,Left,2
115,174.4293,0,1,None,Left,2
116,176.3294,0,1,None,Left,2
117,176.7959,0,1,None,Right,1
118,177.0459,0,1,None,Right,1
119,177.296,0,1,None,Right,1
120,177.546,0,1,None,Right,1
121,177.8126,0,1,None,Down,1
122,178.0626,0,1,None,Down,1
123,178.3293,0,1,None,Down,1
124,178.5795,0,1,None,Down,1
125,178.846,0,1,None,Left,1
126,179.1127,0,1,None,Left,1
127,179.3793,0,1,None,Left,1
128,179.6459,0,1,None,Left,1
129,179.9126,0,1,None,Left,1
130,180.1627,0,1,None,Left,1
131,180.4293,0,1,None,Up,1
132,180.896,0,1,None,Right,1
133,181.1627,0,1,None,Right,2
134,181.4127,0,1,None,Right,2
135,181.896,0,1,None,Right,2
136,182.3627,0,1,None,Down,1
137,182.6127,0,1,None,Right,1
138,182.9126,0,1,None,Up,2
139,183.1627,0,1,None,Up,2
140,183.4127,0,1,None,Up,2
141,183.9126,0,1,None,Right,1
142,184.1627,0,1,None,Up,1
143,184.4293,0,1,None,Left,2
144,184.6794,0,1,None,Left,2
145,184.946,0,1,None,Left,2
146,185.9127,0,1,None,Left,3
147,187.996,0,1,None,Down,1
