Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,12.97878,-1,-1,Login,None,-1
2,36.7622,0,0,Start,None,-1
3,50.49537,0,0,None,Right,1
4,50.94537,0,0,None,Right,1
5,51.29531,0,0,None,Right,2
6,51.71197,0,0,None,Right,2
7,52.07873,0,0,None,Right,2
8,53.97868,0,0,None,Up,1
9,54.51202,0,0,None,Right,1
10,54.94531,0,0,None,Right,1
11,55.42867,0,0,None,Left,1
12,56.12872,0,0,None,Right,1
13,56.82869,0,0,None,Down,1
14,57.27871,0,0,None,Left,2
15,57.29535,0,0,Success,None,-1
16,60.92868,0,1,Start,None,-1
17,63.51197,0,1,None,Right,1
18,63.84526,0,1,None,Right,1
19,64.1787,0,1,None,Right,1
20,64.71199,0,1,None,Right,1
21,66.37868,0,1,None,Left,1
22,66.86197,0,1,None,Left,1
23,67.27862,0,1,None,Right,1
24,67.5953,0,1,None,Right,1
25,69.0953,0,1,None,Left,1
26,69.42868,0,1,None,Left,1
27,69.82867,0,1,None,Right,1
28,70.17864,0,1,None,Right,1
29,70.51202,0,1,None,Right,1
30,70.94529,0,1,None,Right,1
31,74.91201,0,1,None,Left,1
32,75.32864,0,1,None,Left,1
33,75.71197,0,1,None,Left,1
34,76.31194,0,1,None,Left,1
35,76.92863,0,1,None,Up,1
36,82.91194,0,1,None,Right,1
37,83.29526,0,1,None,Right,1
38,83.86195,0,1,None,Down,1
39,84.12859,0,1,None,Down,1
40,84.37866,0,1,None,Down,0
41,84.76194,0,1,None,Down,0
42,85.02864,0,1,None,Left,1
43,85.44525,0,1,None,Left,1
44,85.76201,0,1,None,Right,1
45,86.01201,0,1,None,Right,1
46,86.27859,0,1,None,Right,1
47,86.52859,0,1,None,Right,1
48,86.97861,0,1,None,Up,1
49,87.86192,0,1,None,Down,1
50,88.49525,0,1,None,Up,1
51,89.06194,0,1,None,Left,1
52,89.32864,0,1,None,Left,1
53,89.59523,0,1,None,Left,1
54,89.86194,0,1,None,Left,1
55,90.54516,0,1,None,Right,1
56,90.91199,0,1,None,Left,1
57,91.1786,0,1,None,Left,1
58,91.44522,0,1,None,Left,1
59,91.71199,0,1,None,Left,1
60,91.97858,0,1,None,Left,1
61,94.29521,0,1,Undo,None,1
62,94.72856,0,1,Undo,None,1
63,95.11192,0,1,Undo,None,1
64,95.42854,0,1,Undo,None,1
65,97.42854,0,1,Redo,None,1
66,99.57854,0,1,None,Up,1
67,100.4119,0,1,None,Up,0
68,101.3119,0,1,None,Right,1
69,101.6619,0,1,None,Right,1
70,102.0618,0,1,None,Right,1
71,102.6118,0,1,None,Right,1
72,102.9785,0,1,None,Right,1
73,103.3618,0,1,None,Down,1
74,107.1285,0,1,None,Left,1
75,107.5285,0,1,None,Left,1
76,107.9619,0,1,None,Left,1
77,108.4951,0,1,None,Down,1
78,109.0118,0,1,None,Up,1
79,109.3785,0,1,None,Up,1
80,109.8785,0,1,None,Up,0
81,110.4785,0,1,None,Left,1
82,111.0785,0,1,None,Left,1
83,112.1785,0,1,None,Right,1
84,112.4618,0,1,None,Right,1
85,112.7118,0,1,None,Right,1
86,116.1119,0,1,None,Down,1
87,116.5618,0,1,None,Right,1
88,117.0118,0,1,None,Right,1
89,118.9784,0,1,None,Left,1
90,119.2618,0,1,None,Left,1
91,119.5284,0,1,None,Left,1
92,119.8618,0,1,None,Left,1
93,121.3617,0,1,Pause,None,-1
94,123.7284,0,1,Stop,None,-1
95,131.1784,0,1,Start,None,-1
96,134.5784,0,1,None,Right,1
97,134.9118,0,1,None,Right,1
98,135.1784,0,1,None,Right,1
99,135.4284,0,1,None,Right,1
100,136.195,0,1,None,Down,1
101,136.5783,0,1,None,Down,0
102,136.8617,0,1,None,Right,1
103,137.2449,0,1,None,Right,1
104,137.7784,0,1,None,Up,1
105,138.6117,0,1,None,Left,1
106,139.0117,0,1,None,Left,1
107,139.295,0,1,None,Left,1
108,139.695,0,1,None,Left,1
109,140.095,0,1,None,Up,1
110,141.0783,0,1,None,Right,1
111,141.5449,0,1,None,Down,1
112,141.9283,0,1,None,Down,1
113,142.2783,0,1,None,Right,1
114,142.5783,0,1,None,Right,1
115,142.9783,0,1,None,Right,1
116,143.395,0,1,None,Up,1
117,144.1117,0,1,None,Left,1
118,144.5283,0,1,None,Left,1
119,144.9117,0,1,None,Left,1
120,145.4117,0,1,None,Up,1
121,146.0617,0,1,None,Left,1
122,146.6783,0,1,None,Down,1
123,147.0116,0,1,None,Down,1
124,147.4783,0,1,None,Right,1
125,148.3117,0,1,None,Up,1
126,148.5783,0,1,None,Up,1
127,149.2117,0,1,None,Right,1
128,149.4783,0,1,None,Right,1
129,149.7283,0,1,None,Right,1
130,150.1115,0,1,None,Down,1
131,150.3615,0,1,None,Down,1
132,150.9283,0,1,None,Left,1
133,151.2284,0,1,None,Left,1
134,151.6117,0,1,None,Left,1
135,151.995,0,1,None,Up,1
136,152.2616,0,1,None,Up,1
137,153.0449,0,1,None,Right,1
138,153.4783,0,1,None,Down,1
139,153.8783,0,1,None,Right,1
140,154.1783,0,1,None,Right,1
141,154.6783,0,1,None,Left,1
142,154.9283,0,1,None,Left,1
143,155.1783,0,1,None,Left,1
144,155.4283,0,1,None,Left,1
145,155.8783,0,1,None,Left,1
146,156.3449,0,1,None,Left,1
147,156.9617,0,1,None,Up,1
148,157.7616,0,1,None,Right,1
149,158.0282,0,1,None,Right,1
150,158.3783,0,1,None,Right,1
151,159.0616,0,1,None,Right,1
152,159.3117,0,1,None,Right,1
153,159.5782,0,1,None,Right,1
154,160.1782,0,1,None,Down,1
155,160.7949,0,1,None,Left,1
156,161.0782,0,1,None,Left,1
157,161.3449,0,1,None,Left,1
158,161.6282,0,1,None,Down,1
159,162.0282,0,1,None,Right,1
160,162.2783,0,1,None,Right,1
161,162.6616,0,1,None,Right,1
162,162.9949,0,1,None,Up,1
163,163.3616,0,1,None,Up,1
164,163.9782,0,1,None,Left,1
165,164.2282,0,1,None,Left,1
166,164.5948,0,1,None,Left,1
167,164.8782,0,1,None,Left,1
168,165.1282,0,1,None,Left,1
169,165.4131,0,1,None,Left,1
170,165.6961,0,1,None,Left,1
