Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,19.51711,-1,-1,Login,None,-1
2,107.2666,0,0,Start,None,-1
3,111.1166,0,0,None,Right,1
4,111.8333,0,0,None,Left,1
5,112.2666,0,0,None,Right,1
6,112.7333,0,0,None,Right,1
7,112.9833,0,0,None,Right,2
8,113.6167,0,0,None,Right,2
9,114.1999,0,0,None,Up,1
10,114.5167,0,0,None,Right,1
11,114.7833,0,0,None,Right,1
12,115.0333,0,0,None,Down,1
13,115.0499,0,0,Success,None,-1
14,118.8333,0,0,Start,None,-1
15,119.4666,0,0,None,Up,1
16,119.7166,0,0,None,Up,0
17,120.0833,0,0,None,Up,0
18,120.6167,0,0,None,Down,1
19,120.8832,0,0,None,Down,1
20,121.1333,0,0,None,Right,1
21,121.6833,0,0,None,Up,1
22,121.9499,0,0,None,Right,1
23,122.1999,0,0,None,Right,2
24,122.4499,0,0,None,Right,2
25,122.8332,0,0,None,Up,1
26,123.1333,0,0,None,Right,1
27,123.3833,0,0,None,Right,1
28,123.6666,0,0,None,Down,1
29,123.6832,0,0,Success,None,-1
30,125.6165,0,1,Start,None,-1
31,128.3332,0,1,None,Right,1
32,132.8332,0,1,None,Right,1
33,133.0999,0,1,None,Right,1
34,133.6832,0,1,None,Right,1
35,138.3332,0,1,None,Up,1
36,138.6332,0,1,None,Up,0
37,139.1832,0,1,None,Down,1
38,142.6165,0,1,None,Right,1
39,144.0331,0,1,None,Right,1
40,144.8998,0,1,None,Right,1
41,145.6331,0,1,None,Down,1
42,145.9832,0,1,None,Down,0
43,146.3832,0,1,None,Left,1
44,146.7165,0,1,None,Down,0
45,150.9497,0,1,None,Left,1
46,151.1998,0,1,None,Left,1
47,151.5831,0,1,None,Up,1
48,160.1162,0,1,None,Up,1
49,160.3829,0,1,None,Left,1
50,160.7996,0,1,None,Down,1
51,161.0662,0,1,None,Down,1
52,161.3163,0,1,None,Down,0
53,161.5997,0,1,None,Left,1
54,161.8498,0,1,None,Left,1
55,162.1162,0,1,None,Left,1
56,162.5495,0,1,None,Left,1
57,162.8162,0,1,None,Left,1
58,163.0663,0,1,None,Left,1
59,163.3163,0,1,None,Left,1
60,163.5828,0,1,None,Down,1
61,163.8331,0,1,None,Down,1
62,164.0997,0,1,None,Down,1
63,164.3497,0,1,None,Down,1
64,164.6162,0,1,None,Right,1
65,164.8662,0,1,None,Right,1
66,165.1328,0,1,None,Right,1
67,165.383,0,1,None,Right,1
68,165.633,0,1,None,Right,1
69,165.8997,0,1,None,Right,1
70,166.1497,0,1,None,Right,1
71,166.4163,0,1,None,Right,1
72,166.6829,0,1,None,Right,1
73,167.0995,0,1,None,Up,1
74,167.3495,0,1,None,Up,1
75,167.6161,0,1,None,Right,2
76,168.1328,0,1,None,Right,3
77,168.8661,0,1,None,Down,1
78,169.3161,0,1,None,Right,1
79,169.5661,0,1,None,Right,1
80,170.0328,0,1,None,Up,2
81,170.5994,0,1,None,Left,2
82,170.8495,0,1,None,Left,2
83,171.0997,0,1,None,Left,2
84,171.4162,0,1,None,Right,1
85,171.6662,0,1,None,Right,1
86,171.9164,0,1,None,Right,1
87,172.1997,0,1,None,Right,1
88,172.583,0,1,None,Up,1
89,172.833,0,1,None,Up,1
90,173.3163,0,1,None,Left,1
91,173.783,0,1,None,Down,2
92,174.0831,0,1,None,Down,2
93,174.683,0,1,None,Left,1
94,176.1494,0,1,None,Right,1
95,176.4162,0,1,None,Right,1
96,176.8327,0,1,None,Down,1
97,177.1661,0,1,None,Left,2
98,177.4161,0,1,None,Left,2
99,180.0661,0,1,None,Left,2
100,180.8663,0,1,None,Down,1
101,181.9329,0,1,None,Up,1
102,182.183,0,1,None,Up,1
103,182.433,0,1,None,Up,0
104,183.2663,0,1,None,Left,1
105,183.5329,0,1,None,Left,2
106,183.783,0,1,None,Left,2
107,184.0496,0,1,None,Left,2
108,184.3163,0,1,None,Left,2
109,184.9664,0,1,None,Right,1
110,185.2164,0,1,None,Right,1
111,185.4664,0,1,None,Right,1
112,185.733,0,1,None,Right,1
113,185.9996,0,1,None,Right,1
114,186.2496,0,1,None,Right,1
115,186.5163,0,1,None,Right,1
116,186.783,0,1,None,Right,1
117,187.1163,0,1,None,Up,1
118,187.3829,0,1,None,Up,1
119,187.6329,0,1,None,Up,1
120,187.8996,0,1,None,Left,1
121,188.1496,0,1,None,Left,1
122,188.3996,0,1,None,Left,1
123,188.6663,0,1,None,Left,1
124,188.9329,0,1,None,Left,1
125,189.1995,0,1,None,Left,1
126,189.4496,0,1,None,Left,1
127,189.6996,0,1,None,Left,1
128,189.9496,0,1,None,Left,1
129,190.8663,0,1,None,Left,1
130,191.1829,0,1,None,Left,1
131,191.4329,0,1,None,Left,1
132,191.6829,0,1,None,Left,1
133,191.933,0,1,None,Left,1
134,192.3496,0,1,None,Down,1
135,192.6663,0,1,None,Down,1
136,192.9329,0,1,None,Down,1
137,193.3662,0,1,None,Right,1
138,193.7829,0,1,None,Down,1
139,194.0662,0,1,None,Right,1
140,194.3328,0,1,None,Right,1
141,196.0163,0,1,Redo,None,0
142,196.4996,0,1,Redo,None,0
143,197.5996,0,1,Undo,None,1
144,197.8829,0,1,Undo,None,1
145,198.1495,0,1,Undo,None,1
146,198.3995,0,1,Undo,None,1
147,198.6662,0,1,Undo,None,1
148,198.9162,0,1,Undo,None,1
149,199.1663,0,1,Undo,None,1
150,199.4163,0,1,Undo,None,1
151,199.6829,0,1,Undo,None,1
152,199.9495,0,1,Undo,None,1
153,200.1995,0,1,Undo,None,1
154,200.4663,0,1,Undo,None,1
155,200.7329,0,1,Undo,None,1
156,200.9995,0,1,Undo,None,1
157,201.2496,0,1,Undo,None,1
158,201.4996,0,1,Undo,None,1
159,201.7662,0,1,Undo,None,1
160,202.0329,0,1,Undo,None,1
161,202.2829,0,1,Undo,None,1
162,202.5495,0,1,Undo,None,1
163,202.8162,0,1,Undo,None,1
164,203.0828,0,1,Undo,None,1
165,203.3329,0,1,Undo,None,1
166,203.5829,0,1,Undo,None,1
167,203.8329,0,1,Undo,None,1
168,204.0829,0,1,Undo,None,1
169,204.3495,0,1,Undo,None,1
170,204.5995,0,1,Undo,None,1
171,204.8496,0,1,Undo,None,1
172,205.1162,0,1,Undo,None,1
173,205.3828,0,1,Undo,None,1
174,205.6329,0,1,Undo,None,1
175,205.8829,0,1,Undo,None,2
176,206.4162,0,1,None,Down,1
177,206.6828,0,1,None,Down,1
178,207.0161,0,1,None,Left,1
179,207.2828,0,1,None,Left,1
180,207.6662,0,1,None,Up,1
181,207.9162,0,1,None,Up,1
182,208.1662,0,1,None,Right,2
183,208.4162,0,1,None,Right,2
184,208.6828,0,1,None,Right,2
185,208.9494,0,1,None,Right,2
186,209.1995,0,1,None,Right,2
187,210.0162,0,1,None,Right,2
188,210.3162,0,1,None,Left,1
189,210.5828,0,1,None,Left,1
190,210.8329,0,1,None,Left,1
191,211.0995,0,1,None,Left,1
192,211.3661,0,1,None,Left,1
193,211.6161,0,1,None,Left,1
194,211.8828,0,1,None,Left,2
195,212.1328,0,1,None,Down,1
196,212.8495,0,1,Undo,None,1
197,213.2494,0,1,Undo,None,2
198,213.6328,0,1,None,Down,1
199,213.8828,0,1,None,Down,1
200,214.1494,0,1,None,Left,1
201,214.4161,0,1,None,Left,1
202,214.6827,0,1,None,Up,1
203,214.9329,0,1,None,Up,1
204,215.1994,0,1,None,Right,2
205,215.4494,0,1,None,Right,2
206,215.6994,0,1,None,Right,2
207,215.9494,0,1,None,Right,2
208,216.2162,0,1,None,Right,2
209,216.4828,0,1,None,Right,2
210,216.7328,0,1,None,Right,2
