Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,28.89274,-1,-1,Login,None,-1
2,57.65938,0,0,Start,None,-1
3,61.62596,0,0,None,Right,1
4,61.87598,0,0,None,Right,1
5,62.1427,0,0,None,Right,2
6,62.3927,0,0,None,Right,2
7,63.45934,0,0,None,Down,1
8,63.72599,0,0,None,Right,1
9,64.00932,0,0,None,Right,1
10,64.34269,0,0,None,Up,1
11,64.35934,0,0,Success,None,-1
12,66.12593,0,1,Start,None,-1
13,67.70947,0,1,None,Right,1
14,68.0593,0,1,None,Right,1
15,68.50922,0,1,None,Right,1
16,69.00937,0,1,None,Right,1
17,69.27596,0,1,None,Right,1
18,69.79266,0,1,None,Right,1
19,71.09267,0,1,None,Down,1
20,71.74261,0,1,None,Left,1
21,71.99271,0,1,None,Left,1
22,72.25924,0,1,None,Left,1
23,72.50934,0,1,None,Left,1
24,72.77586,0,1,None,Left,1
25,73.04266,0,1,None,Left,1
26,73.3093,0,1,None,Left,1
27,73.65927,0,1,None,Left,1
28,73.92588,0,1,None,Left,1
29,75.90924,0,1,Pause,None,-1
30,77.37597,0,1,Resume,None,-1
31,87.37589,0,1,Pause,None,-1
32,88.97584,0,1,Resume,None,-1
33,90.00916,0,1,None,Down,1
34,90.25916,0,1,None,Right,0
35,90.5092,0,1,None,Right,0
36,90.77588,0,1,None,Right,0
37,91.04249,0,1,None,Right,0
38,91.29262,0,1,None,Right,0
39,91.55915,0,1,None,Up,1
40,91.90925,0,1,None,Right,1
41,92.1758,0,1,None,Right,1
42,92.44245,0,1,None,Right,1
43,92.69252,0,1,None,Right,1
44,92.95915,0,1,None,Right,1
45,93.99251,0,1,None,Up,1
46,97.04254,0,1,Undo,None,1
47,97.77585,0,1,Undo,None,1
48,98.67583,0,1,Redo,None,1
49,99.12583,0,1,Redo,None,1
50,99.52583,0,1,Redo,None,0
51,99.79256,0,1,Redo,None,0
52,100.9424,0,1,None,Right,1
53,101.1925,0,1,None,Right,1
54,101.4425,0,1,None,Right,1
55,101.7758,0,1,None,Right,1
