Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,16.75483,-1,-1,Login,None,-1
2,53.42141,0,0,Start,None,-1
3,61.08813,0,0,None,Up,1
4,61.33816,0,0,None,Up,0
5,61.67145,0,0,None,Down,1
6,61.97139,0,0,None,Right,1
7,62.2214,0,0,None,Right,1
8,62.47144,0,0,None,Right,2
9,62.73808,0,0,None,Right,2
10,63.92148,0,0,None,Right,2
11,64.18812,0,0,None,Right,2
12,64.20477,0,0,Success,None,-1
13,68.37149,0,1,Start,None,-1
14,71.40472,0,1,None,Right,1
15,71.65476,0,1,None,Right,1
16,71.90476,0,1,None,Right,1
17,73.17326,0,1,None,Right,1
18,73.43967,0,1,None,Right,1
19,74.05572,0,1,None,Left,1
20,74.37207,0,1,None,Left,1
21,74.88821,0,1,None,Left,1
22,75.28818,0,1,None,Down,1
23,75.6881,0,1,None,Right,1
24,76.02147,0,1,None,Right,1
25,76.45477,0,1,None,Up,1
26,76.80475,0,1,None,Right,1
27,77.07138,0,1,None,Right,1
28,77.3214,0,1,None,Right,1
29,78.12152,0,1,None,Left,1
30,78.90482,0,1,None,Up,1
31,79.1881,0,1,None,Left,1
32,79.45474,0,1,None,Left,1
33,79.72138,0,1,None,Left,1
34,80.37156,0,1,None,Down,1
35,80.95475,0,1,None,Down,1
36,81.20487,0,1,None,Down,0
37,81.73821,0,1,None,Up,1
38,82.15475,0,1,None,Left,1
39,82.53809,0,1,None,Right,1
40,82.87144,0,1,None,Right,1
41,83.27151,0,1,None,Down,1
42,83.6881,0,1,None,Left,1
43,83.9381,0,1,None,Left,1
44,84.18813,0,1,None,Left,1
45,84.45474,0,1,None,Right,1
46,84.83807,0,1,None,Right,1
47,85.5381,0,1,None,Right,1
48,85.78813,0,1,None,Right,1
49,86.10474,0,1,None,Up,1
50,86.80482,0,1,None,Left,1
51,87.07146,0,1,None,Left,1
52,87.90477,0,1,None,Left,1
53,88.28812,0,1,None,Right,1
54,88.5382,0,1,None,Right,1
55,88.7882,0,1,None,Right,1
56,89.48816,0,1,None,Left,1
57,89.75477,0,1,None,Left,1
58,90.17141,0,1,None,Left,1
59,90.65472,0,1,None,Right,1
60,91.6381,0,1,None,Right,1
61,98.47148,0,1,None,Up,1
62,98.87148,0,1,None,Up,0
63,99.27141,0,1,None,Up,0
64,99.63806,0,1,None,Down,1
65,99.90477,0,1,None,Down,1
66,100.1714,0,1,None,Down,0
67,100.5382,0,1,None,Right,1
68,100.8048,0,1,None,Right,1
69,104.5048,0,1,Undo,None,1
70,104.8547,0,1,Undo,None,1
71,105.1047,0,1,Undo,None,1
72,105.3548,0,1,Undo,None,1
73,105.6048,0,1,Undo,None,1
74,106.1714,0,1,Redo,None,1
75,106.6048,0,1,Redo,None,1
76,106.8715,0,1,Redo,None,1
77,107.1381,0,1,Redo,None,1
78,107.4047,0,1,Redo,None,1
79,107.6547,0,1,Redo,None,0
80,107.988,0,1,Redo,None,0
81,108.2547,0,1,Redo,None,0
82,108.5214,0,1,Redo,None,0
83,108.788,0,1,Undo,None,1
84,109.0547,0,1,Undo,None,1
85,109.3047,0,1,Undo,None,1
86,109.5547,0,1,Undo,None,1
87,109.8047,0,1,Undo,None,1
88,110.0547,0,1,Undo,None,1
89,110.3548,0,1,Undo,None,1
90,110.6214,0,1,Undo,None,1
91,110.888,0,1,Undo,None,1
92,111.2548,0,1,Undo,None,1
93,111.5214,0,1,Undo,None,1
94,111.788,0,1,Undo,None,1
95,112.038,0,1,Undo,None,1
96,112.4047,0,1,Undo,None,1
97,112.6713,0,1,Undo,None,1
98,112.9214,0,1,Undo,None,1
99,113.1714,0,1,Undo,None,1
100,113.4214,0,1,Undo,None,1
101,113.688,0,1,Undo,None,1
102,113.938,0,1,Undo,None,1
103,114.2047,0,1,Undo,None,1
104,114.5049,0,1,Undo,None,1
105,114.7713,0,1,Undo,None,1
106,115.038,0,1,Undo,None,1
107,115.3546,0,1,Undo,None,1
108,115.6548,0,1,Undo,None,1
109,115.9213,0,1,Undo,None,1
110,116.1714,0,1,Undo,None,1
111,116.4214,0,1,Undo,None,1
112,116.6714,0,1,Undo,None,1
113,116.938,0,1,Undo,None,1
114,119.8213,0,1,Undo,None,1
115,120.1047,0,1,Undo,None,1
116,120.3713,0,1,Undo,None,1
