Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,83.08535,-1,-1,Login,None,-1
2,119.7019,0,0,Start,None,-1
3,127.5187,0,0,None,Right,1
4,128.1686,0,0,None,Right,1
5,129.4686,0,0,None,Right,2
6,135.2519,0,0,None,Right,2
7,135.5019,0,0,None,Right,2
8,136.4353,0,0,None,Right,2
9,136.4519,0,0,Success,None,-1
10,154.2686,0,1,Start,None,-1
11,168.9853,0,1,None,Right,1
12,169.2354,0,1,None,Right,1
13,169.5019,0,1,None,Right,1
14,170.0686,0,1,None,Right,1
15,172.4853,0,1,None,Left,1
16,172.7353,0,1,None,Left,1
17,176.0852,0,1,None,Right,1
18,176.3853,0,1,None,Right,1
19,176.7853,0,1,None,Right,1
20,177.0519,0,1,None,Right,1
21,178.1686,0,1,None,Right,1
22,178.8186,0,1,None,Left,1
23,179.2686,0,1,None,Left,1
24,179.5685,0,1,None,Left,1
25,179.9852,0,1,None,Left,1
26,180.2519,0,1,None,Left,1
27,182.3185,0,1,None,Up,1
28,182.7852,0,1,None,Right,1
29,183.7686,0,1,None,Left,1
30,185.0352,0,1,None,Down,1
31,186.3853,0,1,None,Down,1
32,186.6852,0,1,None,Down,0
33,187.4686,0,1,None,Right,1
34,187.8685,0,1,None,Right,1
35,188.1685,0,1,None,Right,1
36,188.4853,0,1,None,Right,1
37,190.2352,0,1,None,Left,1
38,190.8185,0,1,None,Left,1
39,191.1685,0,1,None,Left,1
40,191.5686,0,1,None,Left,1
41,192.1352,0,1,None,Left,1
42,193.1352,0,1,None,Up,1
43,194.7519,0,1,None,Right,1
44,197.0019,0,1,Undo,None,1
45,200.5518,0,1,Pause,None,-1
46,203.8352,0,1,Resume,None,-1
47,209.2185,0,1,None,Down,1
48,209.6352,0,1,None,Down,0
49,210.0852,0,1,None,Right,1
50,210.3518,0,1,None,Right,1
51,210.6685,0,1,None,Right,1
52,211.0185,0,1,None,Right,1
53,211.3185,0,1,None,Right,1
54,211.9185,0,1,None,Up,1
55,213.7853,0,1,None,Right,1
56,214.5352,0,1,None,Left,1
57,214.9685,0,1,None,Left,1
58,215.3018,0,1,None,Left,1
59,215.9852,0,1,None,Left,1
60,216.5185,0,1,None,Left,1
61,217.2185,0,1,None,Up,1
62,217.8018,0,1,None,Right,1
