Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,34.43315,-1,-1,Login,None,-1
2,116.7831,0,0,Start,None,-1
3,139.8997,0,0,None,Right,1
4,141.3163,0,0,None,Right,1
5,141.6163,0,0,None,Right,2
6,141.983,0,0,None,Right,2
7,142.3997,0,0,None,Right,2
8,143.6664,0,0,None,Right,2
9,143.683,0,0,Success,None,-1
10,156.3997,0,1,Start,None,-1
11,172.5496,0,1,None,Right,1
12,172.9996,0,1,None,Right,1
13,173.4496,0,1,None,Right,1
14,175.4997,0,1,None,Right,1
15,176.1163,0,1,None,Right,1
16,176.5829,0,1,None,Right,1
17,177.4496,0,1,None,Right,1
18,178.6496,0,1,None,Left,1
19,179.0663,0,1,None,Left,1
20,179.4496,0,1,None,Left,1
21,179.8162,0,1,None,Left,1
22,182.0829,0,1,None,Up,1
23,191.8829,0,1,None,Down,1
24,192.1329,0,1,None,Down,1
25,193.9162,0,1,None,Up,1
26,194.4496,0,1,None,Right,1
27,194.7162,0,1,None,Right,1
28,194.9662,0,1,None,Right,1
29,199.1329,0,1,None,Left,1
30,199.5162,0,1,None,Left,1
31,199.7995,0,1,None,Left,1
32,200.6163,0,1,None,Up,1
33,201.1495,0,1,None,Up,0
34,202.0329,0,1,None,Down,1
35,202.3996,0,1,None,Down,1
36,202.9328,0,1,None,Down,0
37,203.8827,0,1,None,Up,1
38,209.5495,0,1,None,Up,1
39,209.8162,0,1,None,Up,0
40,210.4496,0,1,None,Down,1
41,211.3162,0,1,None,Down,1
42,212.3495,0,1,None,Up,1
43,212.8162,0,1,None,Right,1
44,213.1662,0,1,None,Right,1
45,213.5495,0,1,None,Right,1
46,213.9828,0,1,None,Right,1
47,214.3662,0,1,None,Right,1
48,214.7662,0,1,None,Right,1
49,215.2995,0,1,None,Right,1
50,215.6829,0,1,None,Right,1
51,216.1996,0,1,None,Right,0
52,217.3495,0,1,None,Left,1
53,217.6828,0,1,None,Left,1
54,217.9995,0,1,None,Left,1
55,218.3163,0,1,None,Left,1
56,218.5828,0,1,None,Left,1
57,219.2162,0,1,None,Left,1
58,219.4662,0,1,None,Left,1
59,219.7328,0,1,None,Left,1
60,221.5662,0,1,None,Left,1
61,221.9662,0,1,None,Left,1
62,222.3497,0,1,None,Left,1
63,222.6162,0,1,None,Left,1
64,223.6164,0,1,None,Right,1
65,223.9328,0,1,None,Right,1
66,224.2493,0,1,None,Right,1
67,224.4995,0,1,None,Right,1
68,225.4162,0,1,None,Down,1
69,225.7828,0,1,None,Down,0
70,226.4995,0,1,None,Down,0
71,226.7495,0,1,None,Down,0
72,227.4495,0,1,None,Up,1
73,227.7162,0,1,None,Up,1
74,228.0328,0,1,None,Up,0
75,228.2995,0,1,None,Up,0
76,229.1162,0,1,None,Down,1
77,229.3828,0,1,None,Down,1
78,230.8328,0,1,None,Up,1
79,231.0829,0,1,None,Up,1
80,232.0828,0,1,None,Down,1
81,235.5162,0,1,None,Right,1
82,235.8161,0,1,None,Right,1
83,236.1996,0,1,None,Right,1
84,264.1995,0,1,None,Left,1
85,264.4495,0,1,None,Left,1
86,264.7494,0,1,None,Left,1
87,265.8328,0,1,None,Up,1
88,266.2994,0,1,None,Up,0
89,267.1494,0,1,None,Down,1
90,267.4161,0,1,None,Down,1
91,270.9161,0,1,None,Down,0
92,271.1661,0,1,None,Down,0
93,271.4828,0,1,None,Down,0
94,273.2161,0,1,None,Left,1
95,273.4661,0,1,None,Left,1
96,273.7161,0,1,None,Left,1
97,274.3494,0,1,None,Up,1
98,275.3661,0,1,None,Right,1
99,275.6328,0,1,None,Right,1
100,276.0161,0,1,None,Right,1
101,276.3995,0,1,None,Right,1
102,276.7661,0,1,None,Right,1
103,277.0327,0,1,None,Right,1
104,292.9995,0,1,None,Down,1
105,293.7827,0,1,None,Down,0
106,294.7827,0,1,None,Up,1
107,299.8827,0,1,None,Left,1
108,300.216,0,1,None,Left,1
109,300.4661,0,1,None,Left,1
110,301.066,0,1,None,Up,1
111,301.8827,0,1,None,Right,1
112,302.2327,0,1,None,Right,1
113,302.4993,0,1,None,Right,1
114,302.7494,0,1,None,Right,1
115,303.5827,0,1,None,Left,1
116,304.116,0,1,None,Down,1
117,305.1827,0,1,None,Down,1
118,305.8827,0,1,None,Left,1
119,306.1494,0,1,None,Left,1
120,306.416,0,1,None,Left,1
121,307.1494,0,1,None,Up,1
