Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,16.87701,-1,-1,Login,None,-1
2,52.96029,0,0,Start,None,-1
3,57.14359,0,0,None,Right,1
4,58.22689,0,0,None,Left,1
5,58.57702,0,0,None,Right,1
6,58.87696,0,0,None,Right,1
7,59.27688,0,0,None,Right,2
8,59.6937,0,0,None,Right,2
9,60.02689,0,0,None,Right,2
10,60.82691,0,0,None,Right,2
11,60.84356,0,0,Success,None,-1
12,63.31023,0,1,Start,None,-1
13,67.49355,0,1,None,Right,1
14,67.76024,0,1,None,Right,1
15,68.87695,0,1,None,Right,1
16,69.12698,0,1,None,Right,1
17,71.5769,0,1,None,Right,1
18,72.29356,0,1,None,Right,1
19,73.76022,0,1,None,Left,1
20,74.24357,0,1,None,Up,1
21,74.61025,0,1,None,Left,1
22,74.94356,0,1,None,Left,1
23,78.17686,0,1,None,Left,1
24,78.51022,0,1,None,Down,1
25,78.86021,0,1,None,Right,1
26,80.12683,0,1,None,Right,1
27,81.24358,0,1,None,Right,1
28,81.54356,0,1,None,Right,1
29,83.39355,0,1,None,Right,1
30,84.41019,0,1,None,Down,1
31,84.67685,0,1,None,Down,0
32,85.27691,0,1,None,Left,1
33,87.44353,0,1,None,Right,1
34,91.89355,0,1,None,Left,1
35,92.14359,0,1,None,Left,1
36,92.66019,0,1,None,Left,1
37,92.92683,0,1,None,Left,1
38,93.19347,0,1,None,Up,1
39,93.44353,0,1,None,Up,1
40,93.69357,0,1,None,Up,0
41,93.96018,0,1,None,Up,0
42,94.31017,0,1,None,Right,1
43,94.56018,0,1,None,Right,1
44,94.82684,0,1,None,Right,1
45,95.07684,0,1,None,Right,1
46,95.34353,0,1,None,Right,1
47,95.59353,0,1,None,Right,1
48,96.16019,0,1,None,Right,1
49,96.41019,0,1,None,Right,1
50,96.6602,0,1,None,Right,0
51,96.92683,0,1,None,Right,0
52,98.27695,0,1,Redo,None,0
53,99.96022,0,1,Undo,None,1
54,100.2768,0,1,Undo,None,1
55,100.5269,0,1,Undo,None,1
56,100.7935,0,1,Undo,None,1
57,101.1436,0,1,Undo,None,1
58,101.7771,0,1,Redo,None,1
59,102.0435,0,1,Redo,None,1
60,102.3101,0,1,Redo,None,1
61,105.3768,0,1,None,Up,1
62,105.7768,0,1,None,Up,1
63,106.4769,0,1,None,Down,1
64,106.7269,0,1,None,Down,1
65,106.9935,0,1,None,Down,1
66,107.2435,0,1,None,Down,1
67,107.5101,0,1,None,Down,1
68,107.9935,0,1,None,Up,1
69,108.2602,0,1,None,Up,1
70,108.5268,0,1,None,Up,1
71,108.7769,0,1,None,Up,1
72,109.0435,0,1,None,Up,1
73,109.2936,0,1,None,Left,4
74,109.5602,0,1,None,Left,4
75,109.8268,0,1,None,Left,4
76,110.0768,0,1,None,Left,4
77,110.8935,0,1,None,Left,4
78,111.1935,0,1,None,Left,7
79,111.7768,0,1,None,Left,7
80,112.1102,0,1,None,Left,7
81,112.3768,0,1,None,Left,0
82,113.0436,0,1,None,Up,1
83,113.3435,0,1,None,Left,1
84,113.5935,0,1,None,Left,1
85,113.8436,0,1,None,Left,1
86,114.1101,0,1,None,Left,1
87,114.3601,0,1,None,Left,1
88,115.0601,0,1,None,Down,2
89,115.3101,0,1,Defeat,None,-1
90,117.7435,0,1,Restart,None,-1
91,119.4101,0,1,None,Left,1
92,119.6769,0,1,None,Left,1
93,119.9601,0,1,None,Left,1
94,120.2101,0,1,None,Left,1
95,120.4935,0,1,None,Down,1
96,120.7435,0,1,None,Down,1
97,121.0935,0,1,None,Down,1
98,121.3768,0,1,None,Down,1
99,121.6769,0,1,None,Right,1
100,121.9435,0,1,None,Right,1
101,122.1935,0,1,None,Right,1
102,122.4435,0,1,None,Right,1
103,122.7101,0,1,None,Right,1
104,122.9768,0,1,None,Right,1
105,123.2269,0,1,None,Right,1
106,123.4769,0,1,None,Up,1
107,123.7934,0,1,None,Up,0
108,124.2101,0,1,None,Down,1
109,124.5268,0,1,None,Left,1
110,124.7769,0,1,None,Left,1
111,125.0269,0,1,None,Left,1
112,125.2934,0,1,None,Left,1
113,125.5601,0,1,None,Left,1
114,126.0935,0,1,None,Right,1
115,126.3436,0,1,None,Up,1
116,126.6435,0,1,None,Right,2
117,126.9101,0,1,None,Right,2
118,127.1601,0,1,None,Right,2
119,127.6768,0,1,None,Right,2
120,127.9268,0,1,None,Up,0
121,128.2267,0,1,None,Right,2
122,128.6935,0,1,None,Right,3
123,128.9436,0,1,None,Right,4
124,129.4935,0,1,None,Right,4
125,129.9101,0,1,None,Right,4
126,130.1601,0,1,None,Right,0
127,132.5435,0,1,Undo,None,4
128,132.8934,0,1,Undo,None,4
129,133.1434,0,1,Undo,None,4
130,133.4268,0,1,Undo,None,3
131,133.6768,0,1,Undo,None,2
132,134.5935,0,1,Undo,None,2
133,135.2601,0,1,None,Up,0
134,135.6934,0,1,None,Left,1
135,136.2768,0,1,None,Left,1
136,138.6435,0,1,None,Down,1
137,139.1768,0,1,None,Right,1
138,139.5434,0,1,None,Right,1
139,139.8601,0,1,None,Right,1
140,140.1435,0,1,None,Right,1
141,140.3935,0,1,None,Right,1
142,140.7268,0,1,None,Right,1
143,141.1767,0,1,None,Right,1
144,141.6434,0,1,None,Right,1
145,142.0935,0,1,None,Left,1
146,142.4101,0,1,None,Up,1
147,142.7768,0,1,None,Right,2
148,143.5934,0,1,None,Down,1
149,143.8434,0,1,None,Down,1
150,144.6435,0,1,None,Right,1
151,145.3101,0,1,None,Up,1
152,146.91,0,1,None,Up,2
153,147.1768,0,1,None,Up,2
154,147.4934,0,1,None,Up,2
155,147.9101,0,1,None,Right,1
156,148.2101,0,1,None,Up,1
157,148.4934,0,1,None,Left,2
158,148.7434,0,1,None,Left,2
159,148.9934,0,1,None,Left,2
160,149.3768,0,1,None,Left,2
161,152.3767,0,1,None,Right,1
162,152.7101,0,1,None,Left,1
163,153.1767,0,1,None,Down,1
164,153.4267,0,1,None,Left,1
165,153.6934,0,1,None,Left,1
166,153.9434,0,1,None,Left,1
167,156.5768,0,1,None,Right,1
168,156.9101,0,1,None,Up,1
169,157.91,0,1,None,Right,2
170,158.3434,0,1,None,Right,2
171,158.7435,0,1,None,Left,1
172,159.5934,0,1,None,Right,1
173,159.86,0,1,None,Right,2
174,160.46,0,1,None,Right,2
175,161.2601,0,1,None,Up,1
176,161.9267,0,1,None,Right,1
177,162.4934,0,1,None,Right,1
178,162.7434,0,1,None,Down,1
179,162.9935,0,1,None,Down,1
180,163.2435,0,1,None,Down,1
181,163.5101,0,1,None,Down,1
182,163.7601,0,1,None,Down,1
183,164.0934,0,1,None,Left,1
184,164.3934,0,1,None,Left,1
185,164.6434,0,1,None,Left,1
186,164.8934,0,1,None,Left,1
187,165.16,0,1,None,Left,1
188,165.51,0,1,None,Up,1
189,165.8434,0,1,None,Right,2
190,166.1267,0,1,None,Right,2
191,166.3767,0,1,None,Right,2
192,166.6768,0,1,None,Right,2
193,167.2934,0,1,None,Down,1
194,167.5434,0,1,None,Right,1
195,167.8098,0,1,None,Up,2
196,168.06,0,1,None,Up,2
197,168.3934,0,1,None,Up,2
198,168.8433,0,1,None,Up,2
199,170.96,0,1,Undo,None,2
200,172.4601,0,1,Undo,None,2
201,172.7267,0,1,Undo,None,2
202,184.3434,0,1,Redo,None,2
203,184.6767,0,1,Redo,None,2
204,184.9934,0,1,Redo,None,2
205,186.01,0,1,Undo,None,2
206,186.2601,0,1,Undo,None,2
207,186.5101,0,1,Undo,None,2
208,186.8101,0,1,Undo,None,2
209,187.0934,0,1,Undo,None,1
210,187.3934,0,1,Undo,None,1
211,187.66,0,1,Undo,None,2
212,187.9267,0,1,Undo,None,2
213,188.1933,0,1,Undo,None,2
214,188.4433,0,1,Undo,None,2
215,188.7433,0,1,Undo,None,1
216,189.0934,0,1,Undo,None,1
217,189.4433,0,1,Undo,None,1
218,189.6933,0,1,Undo,None,1
219,189.9933,0,1,Undo,None,1
220,190.2433,0,1,Undo,None,1
221,190.4933,0,1,Undo,None,1
222,190.7433,0,1,Undo,None,1
223,191.01,0,1,Undo,None,1
224,191.26,0,1,Undo,None,1
225,191.5267,0,1,Undo,None,1
226,191.7933,0,1,Undo,None,1
227,192.0434,0,1,Undo,None,1
228,192.31,0,1,Undo,None,1
229,192.56,0,1,Undo,None,2
230,192.8266,0,1,Undo,None,2
231,193.0767,0,1,Undo,None,1
232,193.3433,0,1,Undo,None,1
233,193.5933,0,1,Undo,None,2
234,193.8433,0,1,Undo,None,2
235,194.11,0,1,Undo,None,1
236,194.36,0,1,Undo,None,1
237,194.6267,0,1,Undo,None,1
238,194.8933,0,1,Undo,None,1
239,195.1433,0,1,Undo,None,1
240,195.3934,0,1,Undo,None,1
241,195.66,0,1,Undo,None,1
242,195.91,0,1,Undo,None,1
243,196.1767,0,1,Undo,None,2
