Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,51.40518,-1,-1,Login,None,-1
2,97.15508,0,0,Start,None,-1
3,118.9051,0,0,None,Right,1
4,119.5551,0,0,None,Right,1
5,120.0384,0,0,None,Right,2
6,122.4218,0,0,None,Right,2
7,122.8217,0,0,None,Right,2
8,123.7551,0,0,None,Left,1
9,124.0218,0,0,None,Left,1
10,125.8551,0,0,None,Left,1
11,126.4718,0,0,None,Down,1
12,126.7883,0,0,None,Right,2
13,127.0884,0,0,None,Right,2
14,127.3384,0,0,None,Right,2
15,127.5884,0,0,None,Right,2
16,127.855,0,0,None,Right,2
17,128.1217,0,0,None,Right,2
18,128.4718,0,0,None,Up,1
19,128.7218,0,0,None,Right,1
20,129.0551,0,0,None,Right,1
21,129.3717,0,0,None,Down,1
22,129.6217,0,0,None,Down,1
23,129.8717,0,0,None,Left,1
24,130.1718,0,0,None,Up,2
25,130.4551,0,0,None,Right,1
26,130.7218,0,0,None,Up,1
27,130.9883,0,0,None,Left,2
28,131.2384,0,0,None,Left,2
29,131.7217,0,0,None,Left,3
30,132.4717,0,0,None,Up,1
31,132.8218,0,0,None,Left,1
32,133.0884,0,0,None,Left,1
33,133.4717,0,0,None,Left,1
34,133.8551,0,0,None,Left,2
35,134.555,0,0,None,Down,1
36,134.8717,0,0,None,Left,1
37,135.2717,0,0,None,Up,0
38,135.705,0,0,None,Left,1
39,136.1883,0,0,None,Up,1
40,136.5218,0,0,None,Right,2
41,136.7884,0,0,None,Right,2
42,137.0384,0,0,None,Right,2
43,137.2884,0,0,None,Right,2
44,138.1051,0,0,None,Right,2
45,138.455,0,0,None,Right,2
46,138.9717,0,0,None,Right,2
47,139.4051,0,0,None,Right,2
48,139.6884,0,0,None,Down,1
49,140.2051,0,0,None,Right,1
50,140.4551,0,0,None,Right,1
51,140.8217,0,0,None,Up,1
52,141.0883,0,0,None,Up,1
53,141.3383,0,0,None,Left,1
54,141.5884,0,0,None,Down,2
55,141.8716,0,0,None,Right,1
56,142.2217,0,0,None,Down,1
57,142.4883,0,0,None,Left,2
58,142.755,0,0,None,Left,2
59,143.0383,0,0,None,Left,2
60,143.8551,0,0,None,Left,4
61,145.155,0,0,None,Left,4
62,145.1717,0,0,Success,None,-1
63,153.1051,0,0,Start,None,-1
64,154.405,0,0,None,Right,1
65,154.705,0,0,None,Right,1
66,154.955,0,0,None,Right,2
67,155.4883,0,0,None,Right,2
68,155.7717,0,0,None,Down,1
69,156.0383,0,0,None,Right,1
70,156.305,0,0,None,Right,1
