Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,52.56333,-1,-1,Login,None,-1
2,82.97998,0,0,Start,None,-1
3,110.9465,0,0,None,Right,1
4,117.4132,0,0,None,Right,1
5,117.7633,0,0,None,Right,2
6,118.28,0,0,None,Right,2
7,118.7799,0,0,None,Right,2
8,126.53,0,0,None,Right,2
9,126.5466,0,0,Success,None,-1
10,132.7965,0,1,Start,None,-1
11,141.9966,0,1,None,Right,1
12,142.2466,0,1,None,Right,1
13,142.4966,0,1,None,Right,1
14,142.7466,0,1,None,Right,1
15,148.2632,0,1,None,Right,1
16,148.5632,0,1,None,Right,1
17,152.6632,0,1,None,Left,1
18,152.9799,0,1,None,Left,1
19,153.3633,0,1,None,Left,1
20,153.8799,0,1,None,Left,1
21,154.6132,0,1,None,Left,1
22,154.9131,0,1,None,Right,1
23,155.2132,0,1,None,Right,1
24,155.4632,0,1,None,Right,1
25,156.4132,0,1,None,Right,1
26,156.6965,0,1,None,Right,1
27,163.4798,0,1,None,Down,1
28,163.7632,0,1,None,Down,0
29,165.4132,0,1,None,Up,1
30,169.1465,0,1,None,Left,1
31,169.4132,0,1,None,Left,1
32,169.6632,0,1,None,Left,1
33,170.2298,0,1,None,Up,1
34,170.9132,0,1,None,Left,1
35,171.3298,0,1,None,Right,1
36,171.7798,0,1,None,Down,1
37,172.0298,0,1,None,Down,1
38,172.4298,0,1,None,Left,1
39,172.7132,0,1,None,Right,1
40,172.9632,0,1,None,Right,1
41,173.2298,0,1,None,Right,1
42,173.4964,0,1,None,Right,1
43,173.9132,0,1,None,Up,1
44,174.3965,0,1,None,Up,1
45,174.9632,0,1,None,Down,1
46,177.6298,0,1,None,Right,1
47,177.8798,0,1,None,Right,1
48,178.1298,0,1,None,Right,1
49,178.3965,0,1,None,Right,1
50,178.6465,0,1,None,Right,1
51,178.9132,0,1,None,Down,1
52,179.1632,0,1,None,Down,1
53,179.4132,0,1,None,Down,1
54,179.6632,0,1,None,Down,1
55,179.9132,0,1,None,Down,1
56,180.1798,0,1,None,Down,1
57,180.4298,0,1,None,Left,1
58,180.6964,0,1,None,Left,1
59,180.9464,0,1,None,Left,1
60,181.1964,0,1,None,Left,1
61,181.4465,0,1,None,Left,1
62,181.7132,0,1,None,Up,1
63,181.9798,0,1,None,Up,1
64,182.2464,0,1,None,Up,0
65,182.4964,0,1,None,Up,0
66,182.7465,0,1,None,Up,0
67,183.0132,0,1,None,Up,0
68,183.2798,0,1,None,Left,1
69,183.5298,0,1,None,Left,1
70,183.7964,0,1,None,Left,1
71,184.0464,0,1,None,Up,1
72,184.3132,0,1,None,Up,0
73,184.5798,0,1,None,Up,0
74,184.8298,0,1,None,Left,1
75,185.0798,0,1,None,Left,1
76,185.3298,0,1,None,Up,0
77,185.5964,0,1,None,Up,0
78,185.8465,0,1,None,Left,2
79,186.1131,0,1,None,Down,1
80,186.3798,0,1,None,Down,1
81,186.6298,0,1,None,Down,1
82,186.9798,0,1,None,Up,1
83,187.2298,0,1,None,Up,1
84,187.4964,0,1,None,Up,1
85,187.7464,0,1,None,Up,0
86,188.1132,0,1,None,Left,3
87,188.6964,0,1,None,Left,3
88,190.6798,0,1,None,Right,1
89,190.9298,0,1,None,Right,1
90,191.1964,0,1,None,Down,1
91,191.4465,0,1,None,Down,1
92,191.7131,0,1,None,Down,1
93,192.1798,0,1,None,Left,1
94,192.4464,0,1,None,Left,1
95,192.6964,0,1,None,Left,1
96,192.9464,0,1,None,Left,1
97,193.2798,0,1,None,Left,1
98,193.7965,0,1,None,Up,1
99,194.1131,0,1,None,Up,1
100,194.3965,0,1,None,Up,1
101,194.8131,0,1,None,Up,1
102,195.0797,0,1,None,Up,1
103,195.5298,0,1,None,Right,1
104,196.4631,0,1,None,Left,1
105,196.7298,0,1,None,Left,0
106,197.3131,0,1,None,Down,1
107,197.5632,0,1,None,Down,1
108,197.8964,0,1,None,Down,1
109,198.1464,0,1,None,Down,1
110,198.3964,0,1,None,Right,1
111,198.8964,0,1,None,Up,1
112,199.2631,0,1,None,Up,2
113,200.0131,0,1,None,Up,2
114,200.9631,0,1,None,Left,1
115,201.3798,0,1,None,Up,1
116,202.0631,0,1,None,Right,2
117,202.3298,0,1,None,Right,2
118,202.5964,0,1,None,Right,2
119,202.8631,0,1,None,Right,2
120,203.1298,0,1,None,Right,2
121,203.3798,0,1,None,Right,2
122,203.7464,0,1,None,Right,2
123,204.1131,0,1,None,Right,2
124,204.4298,0,1,None,Right,2
125,204.8131,0,1,None,Right,2
126,205.9631,0,1,None,Right,2
127,206.2131,0,1,None,Right,2
128,206.4798,0,1,None,Right,2
129,207.6297,0,1,None,Up,1
130,207.8797,0,1,None,Up,1
131,208.4131,0,1,None,Right,1
132,209.063,0,1,None,Right,1
133,209.4464,0,1,None,Down,1
134,209.6964,0,1,None,Down,1
135,209.9464,0,1,None,Down,1
136,210.1964,0,1,None,Down,1
137,210.5298,0,1,None,Left,1
138,210.8297,0,1,None,Up,1
139,211.0797,0,1,None,Up,2
140,211.5631,0,1,None,Right,1
141,211.8797,0,1,None,Up,1
142,212.1631,0,1,None,Left,2
143,212.4297,0,1,None,Left,2
144,212.6798,0,1,None,Left,2
145,213.8131,0,1,None,Right,1
146,214.0797,0,1,None,Right,1
147,214.5798,0,1,None,Down,1
148,214.8463,0,1,None,Down,1
149,215.0964,0,1,None,Down,1
150,215.3464,0,1,None,Down,1
151,215.6131,0,1,None,Down,1
152,216.5631,0,1,None,Left,1
153,216.8131,0,1,None,Left,1
154,217.0797,0,1,None,Left,1
155,217.3297,0,1,None,Left,1
156,217.5964,0,1,None,Left,1
157,217.863,0,1,None,Left,1
158,218.1131,0,1,None,Left,1
159,218.3631,0,1,None,Left,1
160,218.6297,0,1,None,Left,1
161,218.8797,0,1,None,Left,1
162,219.1463,0,1,None,Left,1
163,219.3964,0,1,None,Left,1
164,219.8963,0,1,None,Up,1
165,220.163,0,1,None,Up,2
166,220.413,0,1,None,Up,2
167,221.0131,0,1,None,Up,2
168,221.4963,0,1,None,Left,1
169,221.863,0,1,None,Up,1
170,222.2131,0,1,None,Right,2
171,222.4631,0,1,None,Right,2
172,222.7131,0,1,None,Right,2
173,222.9797,0,1,None,Right,2
174,223.2298,0,1,None,Right,2
175,223.4963,0,1,None,Right,2
176,223.7464,0,1,None,Right,2
177,223.9964,0,1,None,Right,2
178,224.2464,0,1,None,Right,3
179,226.013,0,1,None,Left,1
180,226.2631,0,1,None,Left,1
181,226.5131,0,1,None,Left,1
182,226.7797,0,1,None,Left,1
183,227.0298,0,1,None,Left,1
184,227.2798,0,1,None,Left,1
185,227.5463,0,1,None,Left,1
186,227.7963,0,1,None,Left,1
187,228.0464,0,1,None,Left,1
188,228.3131,0,1,None,Down,1
189,228.5631,0,1,None,Down,1
190,228.8131,0,1,None,Down,1
