Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,35.90924,-1,-1,Login,None,-1
2,70.02591,0,0,Start,None,-1
3,79.32581,0,0,None,Up,1
4,79.57585,0,0,None,Up,0
5,79.84244,0,0,None,Right,1
6,80.09251,0,0,None,Right,1
7,87.65926,0,0,None,Down,1
8,87.92593,0,0,None,Down,1
9,88.19257,0,0,None,Right,2
10,88.45926,0,0,None,Right,2
11,90.15923,0,0,None,Up,1
12,90.47589,0,0,None,Right,1
13,90.7259,0,0,None,Right,1
14,90.74255,0,0,Success,None,-1
15,93.57587,0,1,Start,None,-1
16,100.6759,0,1,None,Down,1
17,101.2259,0,1,None,Right,1
18,101.4759,0,1,None,Right,1
19,101.7259,0,1,None,Right,1
20,101.9759,0,1,None,Right,1
21,102.4592,0,1,None,Right,1
22,102.7925,0,1,None,Right,1
23,103.1592,0,1,None,Up,1
24,103.8425,0,1,None,Up,1
25,104.0925,0,1,None,Up,0
26,104.3592,0,1,None,Up,0
27,104.6258,0,1,None,Up,0
28,104.8759,0,1,None,Left,1
29,105.1425,0,1,None,Left,1
30,105.4092,0,1,None,Left,1
31,105.6759,0,1,None,Left,1
32,105.9259,0,1,None,Left,1
33,106.1759,0,1,None,Down,1
34,106.4425,0,1,None,Right,1
35,108.9091,0,1,None,Right,1
36,109.1592,0,1,None,Right,1
37,109.4092,0,1,None,Right,1
38,109.6592,0,1,None,Right,1
39,109.9592,0,1,None,Right,1
40,110.5092,0,1,None,Left,1
41,111.2592,0,1,None,Right,1
42,111.6425,0,1,None,Right,1
43,111.8925,0,1,None,Right,1
44,112.1592,0,1,None,Up,1
45,112.4258,0,1,None,Up,1
46,112.6759,0,1,None,Up,1
47,112.9425,0,1,None,Up,1
48,113.2092,0,1,None,Up,1
49,113.4759,0,1,None,Left,1
50,113.7259,0,1,None,Left,1
51,113.9759,0,1,None,Left,1
52,114.2425,0,1,None,Left,1
53,114.5092,0,1,None,Left,1
54,114.7592,0,1,None,Left,1
55,115.0258,0,1,None,Left,1
56,115.2759,0,1,None,Left,1
57,115.5259,0,1,None,Left,1
58,115.7925,0,1,None,Left,1
59,116.0592,0,1,None,Left,1
60,116.3258,0,1,None,Left,1
61,116.5758,0,1,None,Left,1
62,116.8425,0,1,None,Down,1
63,117.0925,0,1,None,Down,1
64,117.3425,0,1,None,Down,1
65,117.6092,0,1,None,Down,1
66,117.8759,0,1,None,Down,1
67,118.1425,0,1,None,Down,1
68,118.4091,0,1,None,Down,1
69,118.6592,0,1,None,Down,1
70,118.9092,0,1,None,Down,1
71,119.1592,0,1,None,Right,1
72,119.4092,0,1,None,Right,1
73,119.6592,0,1,None,Right,1
74,119.9259,0,1,None,Right,1
75,120.1925,0,1,None,Right,1
76,120.4591,0,1,None,Up,1
77,120.8592,0,1,None,Left,2
78,122.0092,0,1,None,Left,3
79,122.2592,0,1,None,Left,3
80,124.5591,0,1,None,Up,0
81,124.8092,0,1,None,Up,0
82,125.0758,0,1,None,Up,0
83,125.3425,0,1,None,Right,1
84,125.6092,0,1,None,Right,1
85,125.8592,0,1,None,Right,1
86,126.1092,0,1,None,Right,1
87,126.3758,0,1,None,Right,1
88,126.6425,0,1,None,Right,1
89,126.8925,0,1,None,Right,1
90,127.1425,0,1,None,Right,2
91,127.3925,0,1,None,Right,3
92,127.6592,0,1,None,Right,3
93,127.9758,0,1,None,Down,1
94,128.2258,0,1,None,Down,1
95,128.4925,0,1,None,Right,1
96,128.7591,0,1,None,Right,1
97,129.0091,0,1,None,Up,1
98,129.2592,0,1,None,Up,2
99,129.5258,0,1,None,Up,2
100,130.0757,0,1,None,Up,2
101,130.3258,0,1,None,Up,2
102,130.5758,0,1,None,Left,1
103,131.1925,0,1,None,Up,1
104,131.5758,0,1,None,Up,1
105,131.9258,0,1,None,Right,1
106,132.1925,0,1,None,Right,1
107,132.5258,0,1,None,Down,1
108,132.9758,0,1,None,Down,1
109,133.4592,0,1,None,Up,1
110,133.7258,0,1,None,Left,2
111,133.9758,0,1,None,Left,2
112,134.2425,0,1,None,Left,2
113,134.4925,0,1,None,Left,2
114,135.2592,0,1,None,Left,2
115,136.4591,0,1,None,Down,1
116,136.7091,0,1,None,Left,1
117,136.9592,0,1,None,Left,1
118,137.2092,0,1,None,Left,1
119,137.7758,0,1,None,Right,1
120,138.0591,0,1,None,Up,1
121,138.4091,0,1,None,Right,2
