Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,19.78924,-1,-1,Login,None,-1
2,53.82252,0,0,Start,None,-1
3,61.42247,0,0,None,Right,1
4,61.6725,0,0,None,Right,1
5,63.08924,0,0,None,Left,1
6,63.35584,0,0,None,Up,1
7,63.62242,0,0,None,Up,0
8,63.87246,0,0,None,Up,0
9,64.38917,0,0,None,Right,1
10,64.72263,0,0,None,Down,1
11,65.7892,0,0,None,Right,2
12,66.05579,0,0,None,Right,2
13,66.30583,0,0,None,Right,2
14,66.57244,0,0,None,Right,2
15,66.5891,0,0,Success,None,-1
16,70.88913,0,1,Start,None,-1
17,73.25591,0,1,None,Right,1
18,73.52245,0,1,None,Right,1
19,73.83914,0,1,None,Right,1
20,74.35579,0,1,None,Up,1
21,74.60581,0,1,None,Up,0
22,77.98922,0,1,None,Down,1
23,78.25578,0,1,None,Down,1
24,79.03909,0,1,None,Right,1
25,79.48912,0,1,None,Right,1
26,80.00578,0,1,None,Right,1
27,80.50577,0,1,None,Right,1
28,81.38912,0,1,None,Right,1
29,81.63912,0,1,None,Right,1
30,81.90576,0,1,None,Right,1
31,82.20583,0,1,None,Down,1
32,82.47235,0,1,None,Down,1
33,82.7224,0,1,None,Down,1
34,82.97243,0,1,None,Down,1
35,83.23916,0,1,None,Left,1
36,83.48917,0,1,None,Left,1
37,83.75579,0,1,None,Left,1
38,84.02232,0,1,None,Left,1
39,84.2724,0,1,None,Left,1
40,84.5391,0,1,None,Left,1
41,84.79015,0,1,None,Left,1
42,85.05654,0,1,None,Left,1
43,85.32294,0,1,None,Left,1
44,85.58934,0,1,None,Left,1
45,85.85574,0,1,None,Left,1
46,86.15574,0,1,None,Up,1
47,86.53916,0,1,None,Up,1
48,87.08918,0,1,None,Right,2
49,87.50574,0,1,None,Right,2
50,87.75581,0,1,None,Right,2
51,88.00581,0,1,None,Right,2
52,88.27245,0,1,None,Right,2
53,88.53903,0,1,None,Right,3
54,88.80565,0,1,None,Right,4
55,91.02238,0,1,None,Up,0
56,91.68909,0,1,None,Right,4
57,92.50573,0,1,None,Left,1
58,92.87238,0,1,None,Down,1
59,93.13902,0,1,None,Down,1
60,93.38905,0,1,None,Right,1
61,93.78905,0,1,None,Right,1
62,94.15573,0,1,None,Up,1
63,94.58908,0,1,None,Up,0
64,94.90572,0,1,None,Right,1
65,95.17236,0,1,None,Right,1
66,95.42238,0,1,None,Right,1
67,96.00573,0,1,None,Up,1
68,98.37236,0,1,None,Down,1
69,98.62236,0,1,None,Down,1
70,98.88902,0,1,None,Left,1
71,102.4057,0,1,Redo,None,0
72,106.789,0,1,Undo,None,1
73,107.3057,0,1,Undo,None,1
74,107.7224,0,1,Undo,None,1
75,108.039,0,1,Undo,None,1
76,108.489,0,1,Undo,None,1
77,108.7557,0,1,Undo,None,1
78,109.0223,0,1,Undo,None,1
79,109.2723,0,1,Undo,None,1
80,109.5223,0,1,Undo,None,1
81,109.789,0,1,Undo,None,1
82,110.0557,0,1,Undo,None,1
83,110.3223,0,1,Undo,None,1
84,110.5723,0,1,Undo,None,1
85,110.8223,0,1,Undo,None,4
86,111.2723,0,1,Undo,None,4
87,111.5224,0,1,Undo,None,3
88,111.789,0,1,Undo,None,2
89,112.5557,0,1,Undo,None,2
90,112.8223,0,1,Undo,None,2
91,113.2223,0,1,Undo,None,2
92,113.5057,0,1,Undo,None,2
93,113.839,0,1,Undo,None,1
94,115.389,0,1,None,Left,1
95,115.9723,0,1,None,Left,1
96,116.2223,0,1,None,Left,1
97,120.089,0,1,None,Up,1
98,120.4889,0,1,None,Up,1
99,120.739,0,1,None,Up,1
100,120.989,0,1,None,Right,1
101,121.5056,0,1,None,Right,1
102,121.8722,0,1,None,Right,1
103,122.3556,0,1,None,Down,0
104,122.6222,0,1,None,Down,0
105,122.9057,0,1,None,Left,1
106,123.2223,0,1,None,Left,1
107,123.6723,0,1,None,Down,1
108,123.9389,0,1,None,Down,1
109,124.189,0,1,None,Down,1
110,124.4554,0,1,None,Right,1
111,124.8721,0,1,None,Right,1
112,125.2054,0,1,None,Up,1
113,125.5887,0,1,None,Left,2
114,130.5556,0,1,None,Down,1
115,130.8057,0,1,None,Down,1
116,131.1556,0,1,None,Right,1
117,131.4056,0,1,None,Right,1
118,131.6556,0,1,None,Right,1
119,131.9222,0,1,None,Right,1
120,132.3556,0,1,None,Right,1
121,132.7889,0,1,None,Right,1
122,133.1056,0,1,None,Right,1
123,133.6222,0,1,None,Left,1
124,133.8722,0,1,None,Left,1
125,134.1222,0,1,None,Left,1
126,134.3722,0,1,None,Left,1
127,134.6222,0,1,None,Left,1
128,134.8723,0,1,None,Left,1
129,135.139,0,1,None,Left,1
130,135.4056,0,1,None,Left,1
131,135.989,0,1,None,Up,1
132,136.4391,0,1,None,Right,1
133,136.8222,0,1,None,Up,1
134,137.3388,0,1,None,Left,2
135,140.0388,0,1,None,Left,2
136,142.6221,0,1,Undo,None,2
137,143.4722,0,1,None,Up,1
138,143.7888,0,1,None,Left,1
139,144.1555,0,1,None,Down,2
140,144.4554,0,1,None,Down,2
141,144.8055,0,1,None,Right,1
