Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,16.58036,-1,-1,Login,None,-1
2,48.64698,0,0,Start,None,-1
3,62.28028,0,0,None,Right,1
4,67.18024,0,0,None,Right,1
5,67.58026,0,0,None,Right,2
6,68.73023,0,0,None,Right,2
7,69.1636,0,0,None,Right,2
8,69.66361,0,0,None,Right,2
9,69.68026,0,0,Success,None,-1
10,75.91353,0,1,Start,None,-1
11,83.63022,0,1,None,Up,1
12,84.13022,0,1,None,Down,1
13,84.66355,0,1,None,Right,1
14,87.4969,0,1,None,Down,1
15,87.79684,0,1,None,Down,0
16,88.44687,0,1,None,Down,0
17,88.73021,0,1,None,Right,1
18,89.19685,0,1,None,Left,1
19,98.96352,0,1,None,Right,1
20,99.59686,0,1,None,Right,1
21,100.4301,0,1,None,Right,1
22,101.1968,0,1,None,Right,1
23,101.7469,0,1,None,Right,1
24,104.4135,0,1,None,Right,1
25,104.9302,0,1,None,Down,0
26,105.4301,0,1,None,Left,1
27,105.8635,0,1,None,Up,1
28,106.3968,0,1,None,Up,1
29,106.9635,0,1,None,Left,1
30,107.2301,0,1,None,Left,1
31,107.5802,0,1,None,Left,1
32,107.8968,0,1,None,Left,1
33,108.3135,0,1,None,Left,1
34,108.5636,0,1,None,Left,1
35,123.8135,0,1,None,Right,1
36,124.1468,0,1,None,Right,1
37,124.3969,0,1,None,Right,1
38,126.0134,0,1,None,Down,1
39,126.4468,0,1,None,Down,1
40,126.8467,0,1,None,Right,1
41,127.1469,0,1,None,Right,1
42,127.4134,0,1,None,Right,1
43,127.8135,0,1,None,Down,0
44,128.2634,0,1,None,Right,1
45,128.7634,0,1,None,Right,1
46,129.1135,0,1,None,Down,0
47,129.3801,0,1,None,Right,1
48,129.6634,0,1,None,Down,1
49,129.9468,0,1,None,Down,1
50,130.3469,0,1,None,Left,2
51,130.6301,0,1,None,Left,3
52,136.0634,0,1,None,Left,3
53,136.3468,0,1,None,Left,3
54,136.7634,0,1,None,Left,3
55,138.1967,0,1,None,Left,3
56,138.8134,0,1,None,Left,4
57,139.5133,0,1,None,Right,1
58,139.88,0,1,None,Right,1
59,140.1968,0,1,None,Right,1
60,140.4968,0,1,None,Right,1
61,140.7634,0,1,None,Right,1
62,141.0801,0,1,None,Right,1
63,141.3467,0,1,None,Right,1
64,141.7967,0,1,None,Up,1
65,142.0634,0,1,None,Left,0
66,142.33,0,1,None,Up,1
67,142.6134,0,1,None,Left,1
68,142.9967,0,1,None,Left,1
69,143.3135,0,1,None,Left,1
70,143.6634,0,1,None,Left,1
71,144.08,0,1,None,Left,1
72,144.4467,0,1,None,Left,1
73,144.4634,0,1,Success,None,-1
74,149.8467,0,2,Start,None,-1
75,159.0633,0,2,None,Right,1
76,159.4633,0,2,None,Right,1
77,162.1133,0,2,None,Right,2
78,162.3633,0,2,Defeat,None,-1
79,165.2299,0,2,Undo,None,-1
80,167.7466,0,2,None,Right,2
81,167.9971,0,2,Defeat,None,-1
82,169.33,0,2,Restart,None,-1
83,170.48,0,2,None,Down,1
84,170.8299,0,2,None,Left,1
85,171.08,0,2,None,Left,2
86,172.3633,0,2,None,Left,2
87,175.7468,0,2,None,Down,1
88,176.0632,0,2,None,Down,1
89,176.6633,0,2,None,Down,1
90,177.0467,0,2,None,Right,1
91,177.3133,0,2,None,Right,1
92,177.5799,0,2,None,Right,1
93,177.8299,0,2,None,Right,1
94,178.0799,0,2,None,Right,1
95,178.33,0,2,None,Right,1
96,178.5967,0,2,None,Right,1
97,178.8633,0,2,None,Right,1
98,179.1134,0,2,None,Right,1
99,179.38,0,2,None,Right,1
100,179.6466,0,2,None,Right,1
101,179.8966,0,2,None,Right,1
102,180.1467,0,2,None,Right,1
103,180.4466,0,2,None,Up,1
104,180.8133,0,2,None,Up,1
105,181.1633,0,2,None,Up,1
106,181.5966,0,2,None,Left,1
107,181.8466,0,2,None,Left,1
108,182.2132,0,2,None,Left,1
109,182.8799,0,2,None,Left,1
110,183.2632,0,2,None,Up,1
111,183.2799,0,2,Success,None,-1
112,197.0799,0,3,Start,None,-1
113,200.1966,0,3,None,Left,1
114,200.5965,0,3,None,Down,1
115,201.2298,0,3,None,Right,1
116,201.6132,0,3,None,Up,1
117,203.3466,0,3,None,Down,1
118,205.2965,0,3,None,Right,1
119,205.5804,0,3,None,Right,1
120,205.9467,0,3,None,Right,2
121,206.4632,0,3,None,Right,2
122,206.8632,0,3,None,Right,2
123,207.1465,0,3,None,Right,2
124,207.8632,0,3,None,Up,1
125,207.8799,0,3,Success,None,-1
126,228.6797,1,0,Start,None,-1
127,234.9465,1,0,None,Down,1
128,237.1464,1,0,None,Down,1
129,237.4464,1,0,None,Down,1
130,239.2465,1,0,None,Right,1
131,239.5631,1,0,None,Right,1
132,239.8297,1,0,None,Right,1
133,240.0797,1,0,None,Right,0
134,240.4631,1,0,None,Down,1
135,240.9465,1,0,None,Down,1
136,242.6131,1,0,None,Right,1
137,243.0631,1,0,None,Right,1
138,243.3964,1,0,None,Right,1
139,243.6631,1,0,None,Right,1
140,243.9964,1,0,None,Right,1
141,245.313,1,0,None,Up,1
142,245.9464,1,0,None,Up,1
143,246.3465,1,0,None,Up,1
144,246.6131,1,0,None,Up,1
145,246.9465,1,0,None,Up,1
146,247.3131,1,0,None,Up,1
147,247.7131,1,0,None,Up,1
148,248.1631,1,0,None,Left,1
149,248.4464,1,0,None,Up,1
150,249.8131,1,0,None,Up,1
151,250.4464,1,0,None,Right,1
152,251.2464,1,0,None,Right,1
153,251.6131,1,0,None,Right,1
154,251.9797,1,0,None,Right,1
155,252.4964,1,0,None,Right,1
156,252.9464,1,0,None,Right,1
157,253.1964,1,0,None,Right,1
158,253.7297,1,0,None,Down,1
159,253.9798,1,0,None,Down,1
160,254.2298,1,0,None,Down,4
161,255.8964,1,0,None,Right,0
162,256.3464,1,0,None,Down,4
163,257.0464,1,0,None,Left,1
164,257.2965,1,0,None,Left,1
165,257.713,1,0,None,Left,1
166,258.1131,1,0,None,Down,1
167,258.3631,1,0,None,Down,1
168,258.6131,1,0,None,Down,1
169,259.3797,1,0,None,Right,1
170,259.6297,1,0,None,Right,1
171,259.8797,1,0,None,Right,0
172,260.2964,1,0,None,Up,1
173,260.6464,1,0,None,Right,0
174,260.9797,1,0,None,Right,0
175,261.463,1,0,None,Up,1
176,262.0964,1,0,None,Right,0
177,262.3464,1,0,None,Left,1
178,262.5964,1,0,None,Left,1
179,262.863,1,0,None,Left,1
180,263.1131,1,0,None,Left,1
181,263.3797,1,0,None,Left,1
182,263.7797,1,0,None,Up,1
183,264.1964,1,0,None,Up,1
184,264.763,1,0,None,Up,1
185,265.1297,1,0,None,Left,1
186,265.4964,1,0,None,Left,1
187,265.8297,1,0,None,Left,1
188,266.1296,1,0,None,Up,1
189,266.3964,1,0,None,Up,1
190,266.6465,1,0,None,Left,1
191,267.0464,1,0,None,Left,1
192,267.2964,1,0,None,Left,1
193,267.563,1,0,None,Left,1
194,267.8131,1,0,None,Left,1
195,268.363,1,0,None,Left,1
196,268.6797,1,0,None,Down,2
197,268.9297,1,0,Defeat,None,-1
198,271.963,1,0,Undo,None,-1
199,274.5964,1,0,None,Down,2
200,274.863,1,0,Defeat,None,-1
201,275.5963,1,0,Restart,None,-1
