Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,15.33734,-1,-1,Login,None,-1
2,72.55399,0,0,Start,None,-1
3,81.18738,0,0,None,Right,1
4,81.45403,0,0,None,Right,1
5,81.70406,0,0,None,Right,2
6,85.17079,0,0,None,Right,2
7,86.68738,0,0,None,Right,2
8,87.35397,0,0,None,Right,2
9,87.37062,0,0,Success,None,-1
10,93.10393,0,1,Start,None,-1
11,97.55393,0,1,None,Right,1
12,101.4207,0,1,None,Right,1
13,101.9539,0,1,None,Right,1
14,102.6207,0,1,None,Right,1
15,103.004,0,1,None,Right,1
16,103.3373,0,1,None,Right,1
17,104.3707,0,1,None,Right,1
18,105.2207,0,1,None,Left,1
19,108.004,0,1,None,Left,1
20,108.2706,0,1,None,Left,1
21,108.5373,0,1,None,Left,1
22,109.354,0,1,None,Up,1
23,110.6207,0,1,None,Down,1
24,110.9707,0,1,None,Down,1
25,117.3206,0,1,None,Up,1
26,117.6373,0,1,None,Up,1
27,117.9873,0,1,None,Up,0
28,119.0707,0,1,None,Left,1
29,125.0707,0,1,None,Down,1
30,127.3372,0,1,None,Down,1
31,132.1205,0,1,None,Right,1
32,132.4372,0,1,None,Right,1
33,132.7206,0,1,None,Right,1
34,133.0205,0,1,None,Right,1
35,133.3372,0,1,None,Right,1
36,133.7538,0,1,None,Up,1
37,134.3206,0,1,None,Left,1
38,137.4205,0,1,None,Right,1
39,138.1539,0,1,None,Up,1
40,139.1372,0,1,None,Up,0
41,139.9372,0,1,None,Down,1
42,140.5205,0,1,None,Down,1
43,141.1705,0,1,None,Left,1
44,141.4538,0,1,None,Left,1
45,141.7038,0,1,None,Left,1
46,142.0705,0,1,None,Left,1
47,142.4038,0,1,None,Up,1
48,142.9205,0,1,None,Up,1
49,143.3539,0,1,None,Up,0
50,149.1372,0,1,None,Left,1
51,149.4038,0,1,None,Left,1
52,149.6538,0,1,None,Left,1
53,149.9872,0,1,None,Left,1
54,150.2872,0,1,None,Left,1
55,150.6371,0,1,None,Left,1
56,151.1372,0,1,None,Down,1
57,151.4038,0,1,None,Down,1
58,151.6538,0,1,None,Down,1
59,151.9372,0,1,None,Down,1
60,152.7371,0,1,None,Right,2
61,153.5538,0,1,None,Right,3
62,153.8205,0,1,None,Right,3
63,154.0705,0,1,None,Right,3
64,154.3371,0,1,None,Right,3
65,154.5871,0,1,None,Right,3
66,155.6871,0,1,None,Down,1
67,156.3371,0,1,None,Right,1
68,156.6371,0,1,None,Right,1
69,156.8872,0,1,None,Right,1
70,157.5705,0,1,None,Right,1
71,158.0206,0,1,None,Up,1
72,160.6538,0,1,None,Right,2
73,164.3538,0,1,None,Left,1
74,164.7537,0,1,None,Left,4
75,165.7037,0,1,None,Left,4
76,166.2538,0,1,None,Left,4
77,166.5205,0,1,None,Left,4
78,166.8038,0,1,None,Left,4
79,167.1205,0,1,None,Left,4
80,170.6205,0,1,None,Down,1
81,171.1204,0,1,None,Left,1
82,171.3872,0,1,None,Left,1
83,171.9538,0,1,None,Left,1
84,177.3371,0,1,None,Right,1
85,177.7371,0,1,None,Up,0
86,178.3372,0,1,None,Left,1
87,186.8537,0,1,Undo,None,1
88,187.2205,0,1,Undo,None,1
89,187.5704,0,1,Undo,None,1
90,187.8371,0,1,Undo,None,1
91,188.2204,0,1,Undo,None,1
92,188.5204,0,1,Undo,None,1
93,188.8037,0,1,Undo,None,4
94,189.1704,0,1,Undo,None,4
95,189.4205,0,1,Undo,None,4
96,189.7371,0,1,Undo,None,4
97,190.0537,0,1,Undo,None,4
98,190.3204,0,1,Undo,None,4
99,190.6871,0,1,Undo,None,1
100,191.1537,0,1,Undo,None,2
101,191.5371,0,1,Undo,None,1
102,191.9204,0,1,Undo,None,1
103,192.2538,0,1,Undo,None,1
104,192.9537,0,1,Undo,None,1
105,193.3371,0,1,Undo,None,1
106,193.6704,0,1,Undo,None,1
107,193.9204,0,1,Undo,None,3
108,195.5204,0,1,Undo,None,3
109,195.9204,0,1,Undo,None,3
110,196.187,0,1,Undo,None,3
111,202.9538,0,1,None,Down,1
112,209.487,0,1,None,Right,1
113,209.8704,0,1,None,Right,1
114,210.2204,0,1,None,Right,1
115,210.487,0,1,None,Right,1
116,210.9704,0,1,None,Right,1
117,211.237,0,1,None,Right,1
118,211.5704,0,1,None,Right,1
119,211.9371,0,1,None,Right,1
120,212.487,0,1,None,Up,1
121,213.1536,0,1,None,Right,2
122,213.487,0,1,None,Right,2
123,214.0204,0,1,None,Down,1
124,214.3704,0,1,None,Right,1
125,214.7203,0,1,None,Up,2
126,214.9703,0,1,None,Up,2
127,215.237,0,1,None,Up,2
128,215.7371,0,1,None,Left,1
129,216.437,0,1,None,Right,1
130,216.687,0,1,None,Right,1
131,217.137,0,1,None,Up,1
132,217.5204,0,1,None,Left,2
133,217.787,0,1,None,Left,2
134,218.0536,0,1,None,Left,2
135,218.3537,0,1,None,Left,2
136,219.0536,0,1,None,Left,2
137,219.937,0,1,None,Up,1
138,220.4704,0,1,None,Left,1
139,220.8371,0,1,None,Left,1
140,221.237,0,1,None,Down,1
141,223.387,0,1,None,Right,2
142,223.7703,0,1,None,Right,2
143,224.1203,0,1,None,Right,2
144,224.6703,0,1,None,Right,2
145,225.487,0,1,None,Up,1
146,225.9704,0,1,None,Right,1
147,226.3536,0,1,None,Down,2
148,226.6203,0,1,None,Down,2
149,226.937,0,1,None,Down,2
150,230.4704,0,1,None,Down,2
151,232.3203,0,1,None,Right,1
152,242.037,0,1,None,Left,1
153,242.3036,0,1,None,Left,1
154,243.0369,0,1,None,Right,1
155,245.6535,0,1,None,Up,1
156,246.0204,0,1,None,Up,1
157,246.5369,0,1,None,Up,1
158,246.9703,0,1,None,Left,1
159,247.2203,0,1,None,Left,1
160,247.5369,0,1,None,Left,1
161,247.9203,0,1,None,Left,1
162,249.2703,0,1,None,Right,1
163,250.087,0,1,None,Left,1
164,251.2203,0,1,None,Right,1
165,252.8869,0,1,None,Right,1
166,253.6703,0,1,None,Down,1
167,253.9702,0,1,None,Down,0
168,254.7203,0,1,None,Left,1
169,255.0036,0,1,None,Left,1
170,255.2869,0,1,None,Left,1
171,255.6869,0,1,None,Left,1
172,256.2703,0,1,None,Left,1
173,256.9203,0,1,None,Up,1
174,257.487,0,1,None,Right,1
175,266.7536,0,1,None,Right,1
176,267.1035,0,1,None,Right,1
177,267.5536,0,1,None,Right,1
178,267.9035,0,1,None,Right,1
179,268.2203,0,1,None,Right,1
180,268.6869,0,1,None,Right,1
181,269.0702,0,1,None,Up,1
182,269.3536,0,1,None,Up,1
183,269.6203,0,1,None,Up,1
184,270.0369,0,1,None,Left,4
185,270.8703,0,1,None,Up,1
186,271.4202,0,1,None,Left,1
187,271.6869,0,1,None,Left,1
188,271.9702,0,1,None,Left,1
189,272.3536,0,1,None,Left,1
190,272.8369,0,1,None,Down,1
191,273.2202,0,1,None,Right,4
192,273.9203,0,1,None,Left,1
193,274.4035,0,1,None,Down,0
194,274.6535,0,1,None,Down,0
195,280.4869,0,1,None,Up,1
196,280.7369,0,1,None,Up,1
197,281.4702,0,1,None,Right,1
198,281.7702,0,1,None,Right,1
199,282.0202,0,1,None,Right,1
200,282.2868,0,1,None,Right,1
201,282.6869,0,1,None,Right,1
202,282.9369,0,1,None,Right,1
203,283.5369,0,1,None,Down,1
204,283.7869,0,1,None,Down,1
205,284.0535,0,1,None,Down,1
206,284.3036,0,1,None,Down,1
207,284.5702,0,1,None,Down,1
208,284.8536,0,1,None,Down,1
209,285.1537,0,1,None,Down,1
210,285.4535,0,1,None,Down,1
211,285.8035,0,1,None,Down,1
212,286.4036,0,1,None,Left,2
213,286.6536,0,1,None,Left,2
214,286.9202,0,1,None,Left,2
215,287.2535,0,1,None,Left,2
216,287.5036,0,1,None,Left,2
217,287.7537,0,1,None,Left,2
218,288.3535,0,1,None,Left,2
219,289.0202,0,1,None,Down,1
220,289.4202,0,1,None,Left,1
221,289.7535,0,1,None,Up,2
222,294.4868,0,1,Undo,None,2
223,296.2035,0,1,None,Left,1
224,296.6869,0,1,None,Up,1
225,296.9702,0,1,None,Right,2
226,297.2203,0,1,None,Right,2
227,297.4868,0,1,None,Right,2
228,297.7536,0,1,None,Right,2
229,299.4036,0,1,None,Down,1
230,299.9702,0,1,None,Right,1
231,300.2535,0,1,None,Right,1
232,300.6536,0,1,None,Up,1
233,301.1033,0,1,None,Up,1
234,301.8368,0,1,None,Left,2
235,302.1201,0,1,None,Left,2
236,302.3702,0,1,None,Left,2
237,302.8035,0,1,None,Left,2
238,303.3035,0,1,None,Left,4
239,303.6702,0,1,None,Left,4
240,304.3535,0,1,None,Down,1
241,304.9202,0,1,None,Right,1
242,305.1702,0,1,None,Right,1
243,305.437,0,1,None,Right,1
244,305.8702,0,1,None,Right,1
245,306.2202,0,1,None,Down,1
246,306.6202,0,1,None,Right,1
247,306.8868,0,1,None,Up,2
248,315.9702,0,1,None,Right,1
249,316.2202,0,1,None,Right,1
250,316.4702,0,1,None,Right,1
251,316.9035,0,1,None,Up,1
252,317.2036,0,1,None,Up,1
253,317.6035,0,1,None,Up,1
254,318.1535,0,1,None,Up,1
255,318.5702,0,1,None,Left,1
256,318.8535,0,1,None,Left,1
257,319.2535,0,1,None,Left,1
258,319.5035,0,1,None,Left,1
259,320.2035,0,1,None,Right,1
260,321.0868,0,1,None,Down,1
261,321.3368,0,1,None,Down,0
262,321.7702,0,1,None,Up,1
263,322.0368,0,1,None,Up,1
264,324.4035,0,1,None,Left,1
265,324.6535,0,1,None,Left,1
266,324.9201,0,1,None,Left,1
267,324.9368,0,1,Success,None,-1
268,330.5368,0,2,Start,None,-1
269,340.3035,0,2,None,Left,1
270,340.7701,0,2,None,Up,1
271,341.0201,0,2,None,Up,0
272,341.2867,0,2,None,Left,2
273,343.8701,0,2,None,Left,2
274,344.4201,0,2,None,Up,1
275,344.7867,0,2,None,Left,1
276,345.2368,0,2,None,Down,2
277,345.5534,0,2,None,Down,2
278,345.8201,0,2,None,Down,2
279,346.1033,0,2,None,Down,2
280,346.8034,0,2,None,Down,2
281,347.2867,0,2,None,Left,1
282,347.6534,0,2,None,Down,1
283,348.0701,0,2,None,Right,2
284,348.3367,0,2,None,Right,2
285,348.5867,0,2,None,Right,2
286,348.8367,0,2,None,Right,2
287,349.0868,0,2,None,Right,2
288,349.5201,0,2,None,Right,2
289,349.7701,0,2,None,Right,2
290,350.0367,0,2,None,Right,2
291,350.2867,0,2,None,Right,2
292,350.5533,0,2,None,Right,2
