Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,55.2314,-1,-1,Login,None,-1
2,99.94804,0,0,Start,None,-1
3,111.4813,0,0,None,Right,1
4,111.8812,0,0,None,Right,1
5,112.1479,0,0,None,Down,1
6,112.4812,0,0,None,Right,2
7,112.8147,0,0,None,Right,2
8,113.298,0,0,None,Up,1
9,113.6313,0,0,None,Right,1
10,113.8814,0,0,None,Right,1
11,113.898,0,0,Success,None,-1
12,118.748,0,1,Start,None,-1
13,121.9813,0,1,None,Down,1
14,123.6313,0,1,None,Right,1
15,123.8979,0,1,None,Right,1
16,124.598,0,1,None,Right,1
17,124.848,0,1,None,Right,1
18,127.4479,0,1,None,Right,1
19,127.698,0,1,None,Right,1
20,127.9646,0,1,None,Right,1
21,128.298,0,1,None,Left,1
22,128.5645,0,1,None,Left,1
23,129.0814,0,1,None,Up,1
24,129.5813,0,1,None,Right,1
25,130.8813,0,1,None,Down,1
26,131.2479,0,1,None,Left,1
27,131.5146,0,1,None,Left,1
28,131.7646,0,1,None,Left,1
29,132.0146,0,1,None,Left,1
30,132.3979,0,1,None,Up,1
31,132.7813,0,1,None,Right,1
32,133.2313,0,1,None,Right,1
33,133.598,0,1,None,Right,1
34,134.0147,0,1,None,Right,1
35,134.648,0,1,None,Left,1
36,134.948,0,1,None,Left,1
37,135.2146,0,1,None,Left,1
38,135.6312,0,1,None,Up,1
39,136.0313,0,1,None,Up,0
40,136.7479,0,1,None,Left,1
41,136.998,0,1,None,Left,1
42,137.2645,0,1,None,Right,1
43,137.7645,0,1,None,Right,1
44,138.0145,0,1,None,Right,1
45,140.8312,0,1,None,Left,1
46,141.3312,0,1,None,Down,1
47,141.7313,0,1,None,Down,1
48,144.6812,0,1,None,Right,1
49,144.9645,0,1,None,Right,1
50,145.2813,0,1,None,Right,1
51,145.5812,0,1,None,Right,1
52,145.9312,0,1,None,Right,1
53,146.2979,0,1,None,Left,1
54,146.5479,0,1,None,Left,1
55,146.8312,0,1,None,Down,0
56,147.2812,0,1,None,Up,1
57,147.7312,0,1,None,Left,1
58,148.0145,0,1,None,Left,1
59,148.2646,0,1,None,Left,1
60,148.9313,0,1,None,Down,1
61,149.5812,0,1,None,Left,1
