Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,51.39463,-1,-1,Login,None,-1
2,99.49427,0,0,Start,None,-1
3,109.5442,0,0,Pause,None,-1
4,112.5109,0,0,Resume,None,-1
5,114.8775,0,0,None,Up,1
6,115.1276,0,0,None,Up,0
7,116.1276,0,0,None,Up,0
8,116.7943,0,0,None,Right,1
9,117.0609,0,0,None,Right,1
10,117.661,0,0,None,Down,1
11,117.9276,0,0,None,Down,1
12,118.6442,0,0,None,Up,1
13,119.1277,0,0,None,Right,2
14,120.1442,0,0,None,Right,2
15,120.6276,0,0,None,Right,2
16,121.1277,0,0,None,Right,2
17,121.1443,0,0,Success,None,-1
18,124.1942,0,1,Start,None,-1
19,127.8442,0,1,None,Right,1
20,128.1109,0,1,None,Right,1
21,128.3776,0,1,None,Right,1
22,128.7276,0,1,None,Right,1
23,131.2942,0,1,None,Up,1
24,131.5443,0,1,None,Up,0
25,131.8109,0,1,None,Left,1
26,132.0609,0,1,None,Left,1
27,132.6942,0,1,None,Right,1
28,133.1109,0,1,None,Up,0
29,133.9109,0,1,None,Down,1
30,134.2109,0,1,None,Right,1
31,134.4776,0,1,None,Right,1
32,134.7276,0,1,None,Right,1
33,134.9942,0,1,None,Right,1
34,135.6942,0,1,None,Left,1
35,136.011,0,1,None,Left,1
36,136.461,0,1,None,Down,1
37,136.7942,0,1,None,Down,0
38,137.0609,0,1,None,Down,0
39,138.9442,0,1,None,Left,1
40,139.2776,0,1,None,Left,1
41,139.5442,0,1,None,Left,1
42,140.4109,0,1,None,Down,0
43,140.6775,0,1,None,Down,0
44,141.0275,0,1,None,Up,1
45,141.2776,0,1,None,Up,1
46,141.5442,0,1,None,Left,1
47,141.8109,0,1,None,Left,1
48,142.0775,0,1,None,Left,1
49,142.3276,0,1,None,Left,1
50,142.5942,0,1,None,Left,1
51,142.9609,0,1,None,Up,1
52,143.5442,0,1,None,Up,1
53,143.8608,0,1,None,Right,4
54,144.7442,0,1,None,Right,4
55,144.9942,0,1,None,Right,4
56,145.2442,0,1,None,Right,4
57,145.7442,0,1,None,Down,0
58,145.9942,0,1,None,Down,0
59,146.5108,0,1,None,Up,1
60,146.8275,0,1,None,Right,1
61,147.1275,0,1,None,Down,0
62,147.3942,0,1,None,Down,0
63,147.8775,0,1,None,Right,1
64,148.1275,0,1,None,Right,1
65,148.3775,0,1,None,Down,0
66,149.9276,0,1,None,Right,1
67,150.9942,0,1,None,Left,1
68,151.7442,0,1,None,Right,1
69,151.9942,0,1,None,Right,1
70,152.2609,0,1,None,Down,0
71,152.7275,0,1,None,Left,1
72,153.0609,0,1,None,Down,1
73,153.8608,0,1,None,Left,4
74,154.1108,0,1,None,Left,4
75,156.7608,0,1,None,Left,4
76,157.1275,0,1,None,Left,4
77,157.5108,0,1,None,Left,4
78,158.7775,0,1,None,Left,4
79,159.1608,0,1,None,Left,4
80,159.7941,0,1,None,Up,1
81,160.0442,0,1,None,Left,1
82,160.3275,0,1,None,Left,1
83,160.6442,0,1,None,Down,2
84,160.9108,0,1,Defeat,None,-1
85,165.6441,0,1,Restart,None,-1
86,167.1608,0,1,None,Up,1
87,167.9108,0,1,None,Left,1
88,168.3775,0,1,None,Left,1
89,168.8941,0,1,None,Left,1
90,169.3609,0,1,None,Down,1
91,169.7441,0,1,None,Down,1
92,170.0108,0,1,None,Down,1
93,170.3108,0,1,None,Down,1
94,170.6608,0,1,None,Down,1
95,171.6275,0,1,None,Right,1
96,171.8941,0,1,None,Right,1
97,172.1607,0,1,None,Right,1
98,172.4108,0,1,None,Right,1
99,173.3108,0,1,None,Right,1
100,173.6441,0,1,None,Right,1
101,173.8941,0,1,None,Right,1
102,174.1441,0,1,None,Right,1
103,174.4108,0,1,None,Right,1
104,174.6774,0,1,None,Right,1
105,175.1441,0,1,None,Up,1
106,175.5441,0,1,None,Left,2
107,175.9774,0,1,None,Left,2
108,176.3274,0,1,None,Left,2
109,176.6775,0,1,None,Left,2
110,177.0274,0,1,None,Left,2
111,177.4607,0,1,None,Left,3
112,178.2774,0,1,None,Down,1
113,178.5774,0,1,None,Left,1
114,178.8275,0,1,None,Left,1
115,179.094,0,1,None,Left,1
116,179.3441,0,1,None,Left,1
117,179.9608,0,1,None,Up,1
118,180.3275,0,1,None,Up,1
119,180.6941,0,1,None,Up,1
120,181.0107,0,1,None,Right,1
121,181.2607,0,1,None,Right,1
122,181.5108,0,1,None,Right,1
123,181.7774,0,1,None,Right,1
124,182.0274,0,1,None,Right,1
125,182.3441,0,1,None,Right,1
126,182.3607,0,1,Success,None,-1
127,185.8275,0,2,Start,None,-1
128,189.8274,0,2,None,Up,1
129,190.5107,0,2,None,Right,1
130,190.7607,0,2,None,Right,1
131,191.0274,0,2,None,Right,2
132,191.294,0,2,Defeat,None,-1
133,193.4774,0,2,Restart,None,-1
134,194.5108,0,2,None,Left,1
135,194.7608,0,2,None,Left,2
136,195.0274,0,2,None,Left,2
137,195.6608,0,2,None,Up,1
138,195.9441,0,2,None,Up,1
139,196.2608,0,2,None,Up,1
140,196.6607,0,2,None,Right,1
141,196.9274,0,2,None,Right,1
142,197.1774,0,2,None,Right,1
143,197.4274,0,2,None,Right,1
144,197.6774,0,2,None,Right,1
145,197.9274,0,2,None,Right,1
146,198.194,0,2,None,Right,1
147,198.9274,0,2,None,Up,1
148,199.3607,0,2,None,Right,1
149,199.6107,0,2,None,Right,1
150,199.8773,0,2,None,Right,1
151,200.1273,0,2,None,Right,1
152,200.4107,0,2,None,Right,1
153,200.744,0,2,None,Down,1
154,201.0274,0,2,None,Down,1
155,201.3274,0,2,None,Down,1
156,201.794,0,2,None,Down,1
157,202.1608,0,2,None,Left,1
158,202.4774,0,2,None,Left,1
159,202.8274,0,2,None,Left,1
160,202.8441,0,2,Success,None,-1
161,205.1274,0,3,Start,None,-1
162,207.1107,0,3,None,Up,1
