Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,28.5472,-1,-1,Login,None,-1
2,74.06383,0,0,Start,None,-1
3,81.04711,0,0,None,Right,1
4,81.29714,0,0,None,Right,1
5,85.93045,0,0,None,Right,2
6,87.93047,0,0,None,Right,2
7,88.2971,0,0,None,Right,2
8,89.41379,0,0,None,Right,2
9,89.43044,0,0,Success,None,-1
10,93.4471,0,1,Start,None,-1
11,97.38046,0,1,None,Left,1
12,97.68044,0,1,None,Left,1
13,97.94709,0,1,None,Left,1
14,99.26381,0,1,None,Down,1
15,99.53044,0,1,None,Down,1
16,99.79707,0,1,None,Down,1
17,102.1304,0,1,None,Up,1
18,102.4471,0,1,None,Up,1
19,103.2304,0,1,None,Down,1
20,103.5138,0,1,None,Down,1
21,103.8638,0,1,None,Right,2
22,104.7971,0,1,None,Right,3
23,105.4138,0,1,None,Right,3
24,105.6804,0,1,None,Right,3
25,106.0304,0,1,None,Right,3
26,106.4138,0,1,None,Right,3
27,107.0971,0,1,None,Left,1
28,107.3471,0,1,None,Left,1
29,107.7138,0,1,None,Left,1
30,107.9804,0,1,None,Left,1
31,108.2471,0,1,None,Up,0
32,108.6804,0,1,None,Left,1
33,108.9638,0,1,None,Left,1
34,109.3138,0,1,None,Up,1
35,109.5804,0,1,None,Up,1
36,109.9471,0,1,None,Right,1
37,110.2137,0,1,None,Right,1
38,110.5137,0,1,None,Right,1
39,110.8304,0,1,None,Right,1
40,111.0804,0,1,None,Right,1
41,111.3304,0,1,None,Right,1
42,111.3471,0,1,Success,None,-1
43,114.3137,0,2,Start,None,-1
44,126.847,0,2,None,Down,1
45,132.7137,0,2,None,Left,1
46,133.0638,0,2,None,Left,2
47,134.0805,0,2,None,Left,2
48,134.5804,0,2,None,Up,1
49,134.8304,0,2,None,Up,1
50,135.097,0,2,None,Up,1
51,135.3637,0,2,None,Up,1
52,135.6137,0,2,None,Up,1
53,135.8638,0,2,None,Up,1
54,136.1138,0,2,None,Up,1
55,136.3804,0,2,None,Right,1
56,136.6304,0,2,None,Right,1
57,136.897,0,2,None,Right,1
58,137.147,0,2,None,Right,1
59,137.4137,0,2,None,Right,1
60,137.9804,0,2,None,Right,1
61,138.247,0,2,None,Right,1
62,138.497,0,2,None,Right,1
63,138.7637,0,2,None,Right,1
64,139.0137,0,2,None,Right,1
65,139.2803,0,2,None,Right,1
66,139.5303,0,2,None,Right,1
67,139.7803,0,2,None,Right,1
68,140.1303,0,2,None,Down,1
69,140.3803,0,2,None,Down,1
70,140.6971,0,2,None,Down,1
71,140.9637,0,2,None,Down,1
72,141.4303,0,2,None,Down,1
73,141.6804,0,2,None,Down,1
74,142.047,0,2,None,Left,1
75,142.2971,0,2,None,Left,1
76,142.6637,0,2,None,Left,1
77,142.9303,0,2,None,Left,1
78,142.947,0,2,Success,None,-1
79,145.997,0,3,Start,None,-1
80,151.2804,0,3,None,Left,1
81,151.5304,0,3,None,Left,1
82,152.547,0,3,None,Right,1
83,152.8303,0,3,None,Right,1
84,153.0803,0,3,None,Right,1
85,153.397,0,3,None,Right,1
86,153.7303,0,3,None,Right,2
87,154.1137,0,3,None,Right,2
88,154.447,0,3,None,Right,2
89,154.8636,0,3,None,Right,2
90,154.8803,0,3,Success,None,-1
91,165.9636,1,0,Start,None,-1
92,169.5968,1,0,None,Right,1
93,169.8468,1,0,None,Right,1
94,170.4137,1,0,None,Up,1
95,170.7803,1,0,None,Up,1
96,171.1969,1,0,None,Up,1
97,171.9303,1,0,None,Up,1
98,172.5469,1,0,None,Down,1
99,172.9136,1,0,None,Right,1
100,173.1636,1,0,None,Right,1
101,173.4469,1,0,None,Right,1
102,173.7137,1,0,None,Right,1
103,174.0636,1,0,None,Right,1
104,174.8969,1,0,None,Left,1
105,175.1471,1,0,None,Left,1
106,176.9469,1,0,None,Down,1
107,177.197,1,0,None,Down,0
108,177.447,1,0,None,Down,0
109,177.7636,1,0,None,Right,1
110,178.0302,1,0,None,Right,1
111,180.2302,1,0,None,Left,1
112,180.6803,1,0,None,Down,1
113,181.2635,1,0,None,Right,0
114,181.7636,1,0,None,Up,1
115,182.2803,1,0,None,Right,1
116,182.5803,1,0,None,Right,1
117,183.3302,1,0,None,Right,1
118,183.8469,1,0,None,Right,1
119,184.7136,1,0,None,Down,1
120,185.0137,1,0,None,Down,1
121,185.2802,1,0,None,Down,1
122,185.5303,1,0,None,Down,1
123,185.8469,1,0,None,Left,1
124,186.7135,1,0,None,Left,1
125,186.9636,1,0,None,Left,1
126,187.2303,1,0,None,Left,0
127,187.4803,1,0,None,Left,0
128,190.4136,1,0,None,Down,1
129,190.8636,1,0,None,Left,1
130,191.1302,1,0,None,Left,1
131,191.3969,1,0,None,Left,0
132,191.9635,1,0,None,Up,1
133,192.4136,1,0,None,Up,2
134,194.6802,1,0,None,Right,1
135,195.1302,1,0,None,Up,0
136,195.4469,1,0,None,Left,1
137,195.9133,1,0,None,Left,1
138,196.2636,1,0,None,Up,1
139,196.6302,1,0,None,Up,1
140,197.0136,1,0,None,Right,0
141,197.6135,1,0,None,Down,1
142,197.8635,1,0,None,Down,1
143,201.5302,1,0,Redo,None,0
144,202.2469,1,0,Redo,None,0
145,203.5469,1,0,Undo,None,1
146,204.0302,1,0,Undo,None,1
147,204.3635,1,0,Undo,None,1
148,204.6968,1,0,Undo,None,1
149,205.0136,1,0,Undo,None,1
150,205.2969,1,0,Undo,None,1
151,205.5968,1,0,Undo,None,1
152,205.9135,1,0,Undo,None,2
153,210.3302,1,0,None,Down,1
154,210.7302,1,0,None,Right,1
155,211.0135,1,0,None,Right,1
