Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,13.30544,-1,-1,Login,None,-1
2,64.07192,0,0,Start,None,-1
3,69.38856,0,0,None,Right,1
4,69.63857,0,0,None,Right,1
5,74.35527,0,0,None,Right,2
6,76.20525,0,0,None,Right,2
7,76.60531,0,0,None,Right,2
8,77.65526,0,0,None,Right,2
9,77.67191,0,0,Success,None,-1
10,81.82187,0,1,Start,None,-1
11,88.37192,0,1,None,Right,1
12,89.53853,0,1,None,Right,1
13,90.05526,0,1,None,Right,1
14,91.32186,0,1,None,Right,1
15,92.0052,0,1,None,Right,1
16,92.40515,0,1,None,Right,1
17,94.13853,0,1,None,Right,1
18,95.22184,0,1,None,Left,1
19,95.48847,0,1,None,Left,1
20,95.75519,0,1,None,Left,1
21,96.12184,0,1,None,Left,1
22,96.58847,0,1,None,Left,1
23,96.87184,0,1,None,Left,1
24,97.15517,0,1,None,Left,1
25,97.42182,0,1,None,Left,1
26,97.67184,0,1,None,Right,1
27,98.05517,0,1,None,Right,1
28,98.57183,0,1,None,Down,1
29,98.8552,0,1,None,Down,0
30,99.60516,0,1,None,Down,0
31,100.2552,0,1,None,Up,1
32,100.5718,0,1,None,Up,1
33,101.039,0,1,None,Right,1
34,101.3221,0,1,None,Right,1
35,101.7385,0,1,None,Right,1
36,102.0052,0,1,None,Right,1
37,102.3552,0,1,None,Right,1
38,103.0885,0,1,None,Down,1
39,103.6718,0,1,None,Down,1
40,104.1552,0,1,None,Down,0
41,104.7551,0,1,None,Right,1
42,105.0052,0,1,None,Right,1
43,105.5885,0,1,None,Right,1
44,106.0552,0,1,None,Right,1
45,106.4552,0,1,None,Right,1
46,106.7552,0,1,None,Right,0
47,107.3218,0,1,None,Down,1
48,107.6552,0,1,None,Down,1
49,107.9218,0,1,None,Down,1
50,108.2052,0,1,None,Left,1
51,108.4552,0,1,None,Left,1
52,108.7217,0,1,None,Left,1
53,108.9718,0,1,None,Left,1
54,109.2218,0,1,None,Left,1
55,109.4718,0,1,None,Left,1
56,109.7218,0,1,None,Left,1
57,109.9718,0,1,None,Left,1
58,110.2384,0,1,None,Left,1
59,110.4885,0,1,None,Left,1
60,111.0218,0,1,None,Up,1
61,112.6385,0,1,None,Up,0
62,113.2552,0,1,None,Left,2
63,115.0218,0,1,None,Down,1
64,115.2885,0,1,None,Down,1
65,115.5385,0,1,None,Left,1
66,116.1885,0,1,None,Up,1
67,116.7552,0,1,None,Left,1
68,117.1551,0,1,None,Up,0
69,117.8051,0,1,None,Right,1
70,118.0717,0,1,None,Right,1
71,118.8384,0,1,None,Up,1
72,119.4884,0,1,None,Left,3
73,119.7385,0,1,None,Left,3
74,121.2218,0,1,None,Down,1
75,121.4718,0,1,None,Down,1
76,121.7384,0,1,None,Left,1
77,122.2384,0,1,None,Up,1
78,122.7218,0,1,None,Up,2
79,123.4218,0,1,None,Up,2
80,125.1051,0,1,None,Left,1
81,125.5552,0,1,None,Up,1
82,125.9551,0,1,None,Up,1
83,126.4884,0,1,None,Right,1
84,127.1218,0,1,None,Down,2
85,127.4884,0,1,None,Down,2
86,128.2717,0,1,None,Left,1
87,128.8551,0,1,None,Down,2
88,129.3384,0,1,None,Right,2
89,129.5884,0,1,None,Right,2
90,130.8051,0,1,None,Down,1
91,131.0717,0,1,None,Down,1
92,131.3217,0,1,None,Down,1
93,131.8384,0,1,None,Left,1
94,132.1718,0,1,None,Left,1
95,133.1551,0,1,None,Up,1
96,133.4718,0,1,None,Up,2
97,134.6051,0,1,None,Left,1
98,135.0384,0,1,None,Up,1
99,135.4717,0,1,None,Right,2
100,135.7551,0,1,None,Right,2
101,136.5551,0,1,None,Up,1
102,137.0718,0,1,None,Up,1
103,137.3551,0,1,None,Right,1
104,137.6217,0,1,None,Right,1
105,137.8717,0,1,None,Right,1
106,138.1717,0,1,None,Right,1
