Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,20.75792,-1,-1,Login,None,-1
2,95.97424,0,0,Start,None,-1
3,118.1076,0,0,None,Left,1
4,118.7909,0,0,None,Right,1
5,121.4242,0,0,None,Right,1
6,121.9242,0,0,None,Right,1
7,122.6076,0,0,None,Right,2
8,125.8909,0,0,None,Right,2
9,126.8576,0,0,None,Right,2
10,127.7242,0,0,None,Left,1
11,128.8075,0,0,None,Left,1
12,129.1743,0,0,None,Left,1
13,131.3576,0,0,None,Up,1
14,138.6909,0,0,None,Right,2
15,139.1576,0,0,None,Right,2
16,139.6242,0,0,None,Right,2
17,140.0909,0,0,None,Left,1
18,140.3576,0,0,None,Left,1
19,140.6575,0,0,None,Left,1
20,141.0076,0,0,None,Down,1
21,141.3576,0,0,None,Down,1
22,141.6241,0,0,None,Right,2
23,141.9575,0,0,None,Right,2
24,142.3075,0,0,None,Right,2
25,142.8408,0,0,None,Up,1
26,143.2241,0,0,None,Up,1
27,143.9741,0,0,None,Up,0
28,144.8408,0,0,None,Left,1
29,145.3241,0,0,None,Left,1
30,145.5742,0,0,None,Left,1
31,145.8408,0,0,None,Left,1
32,146.1075,0,0,None,Left,1
33,146.3575,0,0,None,Left,1
34,146.6075,0,0,None,Left,1
35,146.8742,0,0,None,Left,1
36,147.1242,0,0,None,Left,1
37,147.5075,0,0,None,Down,1
38,147.7575,0,0,None,Down,1
39,148.0075,0,0,None,Down,1
40,148.2575,0,0,None,Down,1
41,148.5075,0,0,None,Down,1
42,148.9075,0,0,None,Right,1
43,149.1908,0,0,None,Right,1
44,149.4408,0,0,None,Right,1
45,150.2575,0,0,None,Right,1
46,150.5741,0,0,None,Right,1
47,150.8575,0,0,None,Right,1
48,151.1242,0,0,None,Right,1
49,151.3908,0,0,None,Right,1
50,151.6575,0,0,None,Right,1
51,151.9741,0,0,None,Right,1
52,152.2407,0,0,None,Right,1
53,152.4908,0,0,None,Right,1
54,152.7575,0,0,None,Right,1
55,153.1408,0,0,None,Up,1
56,153.3908,0,0,None,Up,1
57,153.6408,0,0,None,Up,1
58,153.8908,0,0,None,Up,1
59,154.3575,0,0,None,Up,1
60,154.6241,0,0,None,Left,1
61,154.8741,0,0,None,Left,1
62,155.2075,0,0,None,Left,2
63,156.1907,0,0,None,Right,1
64,156.4407,0,0,None,Right,1
65,156.7242,0,0,None,Left,1
66,157.1574,0,0,None,Left,1
67,157.5074,0,0,None,Down,0
68,157.9908,0,0,None,Right,1
69,160.2741,0,0,None,Right,1
70,160.5408,0,0,None,Right,1
71,160.9074,0,0,None,Up,1
72,161.1907,0,0,None,Up,1
73,161.4574,0,0,None,Up,1
74,161.8741,0,0,None,Left,1
75,162.1241,0,0,None,Left,1
76,162.3741,0,0,None,Left,1
77,162.6241,0,0,None,Left,1
78,162.8908,0,0,None,Left,1
79,163.1408,0,0,None,Left,1
80,163.3908,0,0,None,Left,1
81,163.6574,0,0,None,Left,1
82,163.9241,0,0,None,Left,1
83,164.1741,0,0,None,Left,1
84,164.4407,0,0,None,Left,1
85,164.6908,0,0,None,Left,1
86,164.9574,0,0,None,Left,1
87,165.2241,0,0,None,Down,1
88,165.5074,0,0,None,Down,1
89,165.8574,0,0,None,Down,1
90,166.1908,0,0,None,Right,1
91,166.4574,0,0,None,Right,1
92,166.7074,0,0,None,Right,1
93,166.9574,0,0,None,Right,1
94,167.2241,0,0,None,Right,1
95,167.4741,0,0,None,Right,1
96,167.7241,0,0,None,Right,1
97,167.9741,0,0,None,Right,1
98,168.2907,0,0,None,Right,2
99,168.5574,0,0,None,Right,2
100,168.8074,0,0,None,Right,2
101,169.1241,0,0,None,Right,2
102,169.5741,0,0,None,Right,2
103,171.6074,0,0,None,Up,1
104,172.174,0,0,None,Right,1
105,172.5407,0,0,None,Down,2
106,172.8574,0,0,None,Right,1
107,173.174,0,0,None,Down,1
108,173.5908,0,0,None,Left,2
109,173.9907,0,0,None,Left,2
110,174.374,0,0,None,Left,2
111,174.824,0,0,None,Left,3
112,175.8074,0,0,None,Up,1
113,176.2074,0,0,None,Left,1
114,176.5074,0,0,None,Left,1
115,176.874,0,0,None,Left,1
116,177.3074,0,0,None,Down,1
117,178.5907,0,0,None,Down,1
118,181.224,0,0,None,Right,1
119,183.7742,0,0,None,Down,0
120,184.0408,0,0,None,Down,0
121,184.3075,0,0,None,Down,0
122,185.5075,0,0,None,Right,2
123,186.4073,0,0,None,Right,2
124,186.8239,0,0,None,Right,2
125,187.3573,0,0,None,Up,1
126,187.7407,0,0,None,Right,1
127,188.0907,0,0,None,Right,1
128,188.874,0,0,None,Left,1
129,189.1573,0,0,None,Left,1
130,189.4573,0,0,None,Left,1
131,189.8073,0,0,None,Left,3
132,189.824,0,0,Success,None,-1
133,204.024,0,1,Start,None,-1
134,217.2239,0,1,None,Left,1
135,217.6073,0,1,None,Left,1
136,217.9573,0,1,None,Left,1
137,218.7739,0,1,None,Up,1
138,219.0239,0,1,None,Up,1
139,219.2739,0,1,None,Up,1
140,219.5406,0,1,None,Up,1
141,219.7906,0,1,None,Right,1
142,220.0406,0,1,None,Right,1
143,220.2906,0,1,None,Right,1
144,220.5572,0,1,None,Right,1
145,220.8239,0,1,None,Right,1
146,221.074,0,1,None,Right,1
147,221.3406,0,1,None,Right,1
148,221.6072,0,1,None,Right,1
149,221.8739,0,1,None,Right,1
150,222.1239,0,1,None,Right,1
151,222.3906,0,1,None,Right,1
152,222.6406,0,1,None,Right,1
153,222.8907,0,1,None,Right,1
154,223.1573,0,1,None,Down,1
155,223.4074,0,1,None,Down,1
156,223.674,0,1,None,Down,1
157,224.1739,0,1,None,Down,1
158,224.5573,0,1,None,Left,1
159,224.8573,0,1,None,Left,1
160,225.2405,0,1,None,Left,1
161,225.5906,0,1,None,Left,1
162,226.1573,0,1,None,Left,1
163,227.6239,0,1,None,Left,1
164,228.0072,0,1,None,Left,1
165,228.8239,0,1,None,Left,1
166,229.3072,0,1,None,Left,1
167,230.1239,0,1,None,Down,1
168,231.8739,0,1,None,Right,1
169,232.2239,0,1,None,Right,1
170,232.9572,0,1,None,Left,1
171,233.8239,0,1,None,Up,1
172,234.1573,0,1,None,Up,1
173,234.4572,0,1,None,Right,1
174,234.9239,0,1,None,Left,1
175,236.3905,0,1,None,Right,1
176,236.8238,0,1,None,Right,1
177,237.2072,0,1,None,Up,0
178,238.2572,0,1,None,Down,1
179,238.6739,0,1,None,Right,1
180,238.9405,0,1,None,Right,1
181,239.1905,0,1,None,Right,1
182,240.7572,0,1,None,Left,1
183,243.2072,0,1,None,Right,1
184,243.5238,0,1,None,Left,1
185,243.8073,0,1,None,Left,1
186,247.0072,0,1,None,Left,1
187,247.2572,0,1,None,Left,1
188,247.5238,0,1,None,Left,1
189,247.8238,0,1,None,Down,1
190,248.1238,0,1,None,Right,1
191,248.7238,0,1,None,Up,1
192,248.9905,0,1,None,Up,1
193,249.4572,0,1,None,Down,1
194,249.7738,0,1,None,Down,1
195,250.2571,0,1,None,Right,1
196,250.5072,0,1,None,Right,1
197,250.7738,0,1,None,Right,1
198,251.0238,0,1,None,Right,1
199,251.2904,0,1,None,Up,1
200,251.6238,0,1,None,Left,1
201,251.9405,0,1,None,Left,1
202,252.4738,0,1,None,Up,1
203,252.7238,0,1,None,Up,0
204,253.1071,0,1,None,Up,0
205,253.8905,0,1,None,Left,1
206,254.1405,0,1,None,Left,1
207,254.3905,0,1,None,Left,1
208,254.6571,0,1,None,Left,1
209,254.9072,0,1,None,Left,1
210,255.7238,0,1,None,Down,1
211,256.3571,0,1,None,Down,1
212,256.9072,0,1,None,Right,1
213,257.1738,0,1,None,Right,1
214,257.4238,0,1,None,Right,1
215,258.0572,0,1,None,Down,0
216,258.3072,0,1,None,Down,0
217,258.5738,0,1,None,Down,0
