Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,19.02261,-1,-1,Login,None,-1
2,101.939,0,0,Start,None,-1
3,117.4223,0,0,None,Right,1
4,118.7723,0,0,None,Right,1
5,119.2056,0,0,None,Right,2
6,119.8556,0,0,None,Right,2
7,121.4557,0,0,None,Right,2
8,123.8389,0,0,None,Left,1
9,124.1056,0,0,None,Left,1
10,124.8553,0,0,None,Left,1
11,125.1056,0,0,None,Left,1
12,125.8889,0,0,None,Up,1
13,126.439,0,0,None,Right,1
14,126.7222,0,0,None,Right,2
15,128.339,0,0,None,Up,0
16,128.789,0,0,None,Down,1
17,129.3723,0,0,None,Left,1
18,129.7556,0,0,None,Down,1
19,130.0389,0,0,None,Right,2
20,130.2889,0,0,None,Right,2
21,130.5723,0,0,None,Right,2
22,137.8723,0,0,None,Up,1
23,138.3389,0,0,None,Up,1
24,139.0722,0,0,None,Left,2
25,139.9056,0,0,None,Right,1
26,141.0222,0,0,None,Down,1
27,141.4056,0,0,None,Left,1
28,141.6722,0,0,None,Left,1
29,141.9223,0,0,None,Left,1
30,142.4889,0,0,None,Up,1
31,142.8889,0,0,None,Right,2
32,143.139,0,0,None,Right,2
33,150.0722,0,0,None,Right,2
34,150.5722,0,0,None,Right,2
35,150.8722,0,0,None,Right,2
36,151.7056,0,0,None,Down,1
37,152.0889,0,0,None,Right,1
38,153.1055,0,0,None,Left,1
39,153.9555,0,0,None,Up,1
40,154.3223,0,0,None,Right,2
41,154.5888,0,0,None,Right,2
42,155.7722,0,0,None,Down,1
43,156.5889,0,0,None,Right,1
44,156.9722,0,0,None,Right,1
45,157.7555,0,0,None,Up,1
46,158.5055,0,0,None,Left,2
47,158.9555,0,0,None,Up,1
48,159.2556,0,0,None,Left,1
49,159.6722,0,0,None,Down,2
50,160.3222,0,0,None,Right,1
51,160.6722,0,0,None,Down,1
52,161.4556,0,0,None,Left,2
53,161.8389,0,0,None,Left,2
54,162.2722,0,0,None,Left,3
55,167.8888,0,0,None,Left,3
56,167.9055,0,0,Success,None,-1
57,179.0388,0,1,Start,None,-1
58,187.8888,0,1,None,Right,1
59,188.4221,0,1,None,Right,1
60,188.9722,0,1,None,Right,1
61,189.4221,0,1,None,Right,1
62,189.8888,0,1,None,Right,1
63,190.2555,0,1,None,Right,1
64,197.5721,0,1,None,Right,1
65,197.8387,0,1,None,Right,1
66,198.3721,0,1,None,Left,1
67,198.7554,0,1,None,Left,1
68,202.0555,0,1,None,Left,1
69,202.3055,0,1,None,Left,1
70,202.5721,0,1,None,Left,1
71,203.2887,0,1,None,Left,1
72,204.4221,0,1,None,Up,1
73,204.8221,0,1,None,Right,1
74,205.4221,0,1,None,Right,1
75,206.0054,0,1,None,Down,1
76,206.2721,0,1,None,Down,1
77,206.5221,0,1,None,Down,0
78,206.7887,0,1,None,Down,0
79,207.2221,0,1,None,Left,1
80,207.5221,0,1,None,Left,1
81,207.7721,0,1,None,Left,1
82,208.1221,0,1,None,Up,1
83,208.4721,0,1,None,Up,1
84,209.1387,0,1,None,Right,1
85,209.3888,0,1,None,Right,1
86,209.6388,0,1,None,Right,1
87,209.9055,0,1,None,Right,1
88,210.4221,0,1,None,Down,1
89,210.6887,0,1,None,Down,1
90,211.7054,0,1,None,Up,1
91,211.972,0,1,None,Up,1
92,212.2554,0,1,None,Down,1
93,212.5054,0,1,None,Down,1
94,212.7721,0,1,None,Down,0
95,213.2054,0,1,None,Left,1
96,213.4555,0,1,None,Left,1
97,213.722,0,1,None,Left,1
98,213.9721,0,1,None,Left,1
99,214.2387,0,1,None,Left,1
100,217.172,0,1,None,Right,1
101,217.4387,0,1,None,Right,1
102,217.6887,0,1,None,Right,1
103,219.2054,0,1,None,Left,1
104,219.4554,0,1,None,Left,1
105,220.1386,0,1,None,Up,1
106,220.622,0,1,None,Right,1
107,221.222,0,1,None,Right,1
108,224.2387,0,1,Pause,None,-1
109,227.772,0,1,Restart,None,-1
110,234.922,0,1,None,Up,1
111,235.222,0,1,None,Up,0
112,235.7386,0,1,None,Down,1
113,236.1553,0,1,None,Down,1
114,236.5386,0,1,None,Down,0
115,236.8721,0,1,None,Right,1
116,237.172,0,1,None,Right,1
117,237.422,0,1,None,Right,1
118,238.5053,0,1,None,Right,1
119,238.7553,0,1,None,Right,1
120,239.0053,0,1,None,Left,1
121,239.422,0,1,None,Left,1
122,239.9553,0,1,None,Up,1
123,241.4386,0,1,None,Down,1
124,241.6886,0,1,None,Down,0
125,242.1554,0,1,None,Up,1
126,242.922,0,1,None,Up,1
127,243.4886,0,1,None,Right,1
128,243.8886,0,1,None,Left,1
129,244.222,0,1,None,Up,0
130,247.0219,0,1,Pause,None,-1
131,248.2719,0,1,Resume,None,-1
132,250.3387,0,1,Pause,None,-1
133,251.5053,0,1,Stop,None,-1
134,259.1053,0,1,Start,None,-1
135,263.1719,0,1,None,Right,1
136,263.4219,0,1,None,Right,1
137,263.6886,0,1,None,Right,1
138,263.9386,0,1,None,Right,1
139,264.1886,0,1,None,Right,1
140,264.8719,0,1,None,Right,1
141,266.7386,0,1,None,Down,1
142,266.9886,0,1,None,Down,0
143,267.2386,0,1,None,Right,1
144,267.4886,0,1,None,Right,1
145,267.7552,0,1,None,Right,1
146,268.0053,0,1,None,Right,1
147,268.6385,0,1,None,Down,1
148,269.1718,0,1,None,Down,1
149,269.5552,0,1,None,Left,1
150,269.8219,0,1,None,Left,2
151,270.0719,0,1,None,Left,3
152,276.0052,0,1,None,Down,1
153,276.5219,0,1,None,Left,1
154,277.5219,0,1,None,Left,1
155,278.4552,0,1,None,Up,0
156,278.8052,0,1,None,Right,1
157,279.5386,0,1,None,Up,0
158,280.4552,0,1,None,Right,1
159,280.7052,0,1,None,Right,1
160,281.3219,0,1,None,Up,1
161,281.6719,0,1,None,Left,1
162,281.9219,0,1,None,Left,3
163,282.1719,0,1,None,Left,3
164,282.4219,0,1,None,Left,3
165,282.6885,0,1,None,Left,3
166,282.9385,0,1,None,Left,4
167,283.4385,0,1,None,Left,5
168,291.4052,0,1,None,Down,1
169,291.8718,0,1,None,Left,1
170,292.2385,0,1,None,Left,1
171,292.5552,0,1,None,Left,1
172,292.8052,0,1,None,Left,1
173,293.2552,0,1,None,Up,2
174,293.7384,0,1,None,Up,2
175,295.6552,0,1,None,Up,2
176,296.0884,0,1,None,Left,1
177,296.3385,0,1,None,Left,1
178,296.5886,0,1,None,Up,1
179,297.0719,0,1,None,Up,1
180,297.6219,0,1,None,Right,1
181,297.8719,0,1,None,Right,1
182,298.1886,0,1,None,Down,2
183,298.505,0,1,None,Down,2
184,298.955,0,1,None,Down,2
185,299.355,0,1,None,Left,1
186,299.755,0,1,None,Down,1
187,300.105,0,1,None,Right,5
188,300.405,0,1,None,Right,5
189,301.755,0,1,None,Down,1
190,302.1217,0,1,None,Right,1
191,302.3718,0,1,None,Right,1
192,302.7552,0,1,None,Up,0
193,303.1884,0,1,None,Left,1
194,303.4388,0,1,None,Left,1
195,303.9552,0,1,None,Right,1
196,304.5719,0,1,None,Right,1
197,305.0052,0,1,None,Up,0
198,305.9384,0,1,None,Right,1
199,307.0218,0,1,None,Left,1
200,307.2718,0,1,None,Left,1
201,307.5219,0,1,None,Left,1
202,307.7885,0,1,None,Left,1
203,308.1718,0,1,None,Up,1
204,308.4384,0,1,None,Up,1
205,308.6884,0,1,None,Up,1
206,308.9384,0,1,None,Up,1
207,309.1884,0,1,None,Up,1
208,309.4385,0,1,None,Up,1
209,309.6885,0,1,None,Up,1
210,309.9385,0,1,None,Up,1
211,310.2051,0,1,None,Right,1
212,311.0552,0,1,None,Down,0
213,311.4051,0,1,None,Left,1
214,311.7552,0,1,None,Down,1
215,312.0551,0,1,None,Right,4
216,313.2384,0,1,None,Up,1
217,313.6718,0,1,None,Right,1
218,313.9218,0,1,None,Right,1
219,314.2551,0,1,None,Down,0
220,314.6551,0,1,None,Right,1
221,316.7051,0,1,Pause,None,-1
222,318.3217,0,1,Stop,None,-1
223,328.105,0,1,Start,None,-1
224,339.6051,0,1,None,Left,1
225,339.8717,0,1,None,Left,1
226,340.3051,0,1,None,Left,1
227,340.755,0,1,None,Down,1
228,341.0217,0,1,None,Down,1
229,341.2883,0,1,None,Down,1
230,341.5384,0,1,None,Down,1
231,342.1217,0,1,None,Right,1
232,342.755,0,1,None,Right,1
233,343.5717,0,1,None,Up,1
234,343.9051,0,1,None,Left,2
235,344.1717,0,1,None,Left,2
236,344.9051,0,1,None,Down,1
237,350.5717,0,1,None,Up,1
238,350.8217,0,1,None,Up,1
239,351.655,0,1,None,Down,1
240,352.155,0,1,None,Right,1
241,352.4051,0,1,None,Right,1
242,352.6551,0,1,None,Right,2
243,353.4717,0,1,None,Up,0
244,353.905,0,1,None,Right,2
245,354.4717,0,1,None,Down,1
