Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,12.6319,-1,-1,Login,None,-1
2,59.91506,0,0,Start,None,-1
3,65.04839,0,0,None,Right,1
4,65.29843,0,0,None,Right,1
5,66.54844,0,0,None,Up,1
6,68.26511,0,0,None,Left,1
7,68.59844,0,0,None,Left,1
8,68.89841,0,0,None,Left,1
9,70.71503,0,0,None,Right,1
10,71.18174,0,0,None,Right,1
11,71.68172,0,0,None,Right,1
12,72.03182,0,0,None,Down,1
13,72.41515,0,0,None,Right,2
14,72.78172,0,0,None,Right,2
15,73.09844,0,0,None,Right,2
16,74.39841,0,0,None,Right,2
17,74.41506,0,0,Success,None,-1
18,78.31509,0,1,Start,None,-1
19,80.33171,0,1,None,Right,1
20,80.59834,0,1,None,Right,1
21,80.94845,0,1,None,Right,1
22,81.48167,0,1,None,Right,1
23,81.78172,0,1,None,Right,1
24,82.08183,0,1,None,Right,1
25,84.59841,0,1,None,Up,1
26,84.99838,0,1,None,Up,0
27,85.64844,0,1,None,Left,1
28,85.93169,0,1,None,Left,1
29,86.29837,0,1,None,Left,1
30,86.59837,0,1,None,Left,1
31,87.19836,0,1,None,Down,1
32,87.59831,0,1,None,Down,1
33,88.16501,0,1,None,Left,1
34,88.49836,0,1,None,Left,1
35,89.03169,0,1,None,Down,0
36,89.93169,0,1,None,Right,1
37,90.33173,0,1,None,Right,1
38,90.66498,0,1,None,Right,1
39,90.93176,0,1,None,Right,1
40,91.21508,0,1,None,Right,1
41,91.71497,0,1,None,Down,0
42,91.99839,0,1,None,Right,1
43,92.83174,0,1,None,Up,1
44,93.19835,0,1,None,Right,1
45,93.44846,0,1,None,Right,1
46,93.74835,0,1,None,Right,1
47,94.19837,0,1,None,Down,1
48,94.465,0,1,None,Down,1
49,94.73162,0,1,None,Down,1
50,95.04833,0,1,None,Left,2
51,95.29835,0,1,None,Left,3
52,95.96498,0,1,None,Down,1
53,96.28178,0,1,None,Left,1
54,96.56499,0,1,None,Left,1
55,96.84833,0,1,None,Up,0
56,97.61498,0,1,None,Up,0
57,97.86498,0,1,None,Up,0
58,98.29831,0,1,None,Left,1
59,98.64838,0,1,None,Up,1
60,99.03173,0,1,None,Right,3
61,100.1649,0,1,None,Down,1
62,101.6316,0,1,Undo,None,1
63,101.9483,0,1,Undo,None,3
64,102.2651,0,1,Undo,None,1
65,102.5983,0,1,Undo,None,1
66,102.9317,0,1,Undo,None,1
67,103.1983,0,1,Undo,None,1
68,103.5316,0,1,Undo,None,1
69,104.0483,0,1,Undo,None,3
70,104.6316,0,1,Undo,None,2
71,105.5483,0,1,None,Down,1
72,105.9317,0,1,None,Left,1
73,106.1817,0,1,None,Left,1
74,106.4483,0,1,None,Left,1
75,106.6983,0,1,None,Left,1
76,106.965,0,1,None,Left,1
77,107.2317,0,1,None,Left,1
78,107.4817,0,1,None,Left,1
79,107.7483,0,1,None,Left,1
80,108.0149,0,1,None,Left,1
81,108.265,0,1,None,Left,1
82,109.1817,0,1,None,Up,1
83,109.4317,0,1,None,Up,0
84,109.765,0,1,None,Right,2
85,110.1483,0,1,None,Right,2
86,111.3316,0,1,None,Right,2
87,112.0983,0,1,None,Right,2
88,113.9817,0,1,None,Up,0
89,114.515,0,1,None,Down,1
90,114.9983,0,1,None,Right,1
91,115.2483,0,1,None,Right,1
92,115.515,0,1,None,Right,1
