Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,18.10072,-1,-1,Login,None,-1
2,76.66717,0,0,Start,None,-1
3,91.31724,0,0,None,Up,1
4,91.63385,0,0,None,Up,0
5,92.65048,0,0,None,Down,1
6,92.90053,0,0,None,Down,1
7,93.83384,0,0,None,Up,1
8,95.55052,0,0,None,Right,1
9,95.91715,0,0,None,Right,1
10,96.33375,0,0,None,Right,2
11,96.71722,0,0,None,Right,2
12,97.41722,0,0,None,Right,2
13,98.00047,0,0,None,Left,1
14,98.60046,0,0,None,Left,1
15,98.93385,0,0,None,Right,1
16,99.23382,0,0,None,Right,1
17,99.48382,0,0,None,Right,2
18,99.50047,0,0,Success,None,-1
19,104.1171,0,0,Start,None,-1
20,107.2005,0,0,None,Right,1
21,107.4672,0,0,None,Right,1
22,107.7338,0,0,None,Right,2
23,108.6505,0,0,None,Left,1
24,109.4005,0,0,None,Down,1
25,109.8172,0,0,None,Right,2
26,110.3672,0,0,None,Right,2
27,111.6672,0,0,None,Right,2
28,111.9672,0,0,None,Right,2
29,112.2337,0,0,None,Right,2
30,112.5004,0,0,None,Right,2
31,112.7505,0,0,None,Right,2
32,113.1171,0,0,None,Right,2
33,113.4171,0,0,None,Right,0
34,113.8505,0,0,None,Left,1
35,114.1171,0,0,None,Left,1
36,114.4506,0,0,None,Left,1
37,114.7172,0,0,None,Up,1
38,114.9838,0,0,None,Left,1
39,115.0004,0,0,Success,None,-1
40,117.8172,0,1,Start,None,-1
41,122.7504,0,1,None,Right,1
42,123.0504,0,1,None,Right,1
43,123.4837,0,1,None,Right,1
44,124.8005,0,1,None,Left,1
45,125.4172,0,1,None,Down,1
46,125.7339,0,1,None,Right,1
47,126.4671,0,1,None,Up,1
48,126.7505,0,1,None,Up,1
49,127.1171,0,1,None,Right,1
50,127.3671,0,1,None,Right,1
51,127.7171,0,1,None,Right,1
52,128.3171,0,1,None,Down,1
53,129.8504,0,1,None,Down,1
54,130.1504,0,1,None,Down,0
55,130.5004,0,1,None,Down,0
56,131.0837,0,1,None,Down,0
57,131.5171,0,1,None,Left,1
58,131.9171,0,1,None,Up,1
59,132.3171,0,1,None,Right,1
60,132.5837,0,1,None,Right,1
61,133.4505,0,1,None,Left,1
62,135.8171,0,1,None,Left,1
63,136.0838,0,1,None,Left,1
64,136.3504,0,1,None,Left,1
65,136.7671,0,1,None,Left,1
66,137.4171,0,1,None,Right,1
67,137.7171,0,1,None,Right,1
68,137.9837,0,1,None,Right,1
69,138.2337,0,1,None,Right,1
70,143.3336,0,1,None,Left,1
71,143.7671,0,1,None,Left,1
72,144.1003,0,1,None,Left,1
73,144.767,0,1,None,Up,1
74,145.0337,0,1,None,Up,0
75,145.2837,0,1,None,Up,0
76,145.6505,0,1,None,Left,1
77,146.2004,0,1,None,Right,1
78,146.7005,0,1,None,Left,1
79,150.0336,0,1,None,Left,1
80,150.2837,0,1,None,Left,1
81,150.5504,0,1,None,Left,1
82,150.8004,0,1,None,Left,1
83,151.067,0,1,None,Left,1
84,151.3336,0,1,None,Left,1
