Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,32.9613,-1,-1,Login,None,-1
2,77.32791,0,0,Start,None,-1
3,83.52786,0,0,None,Up,1
4,83.79447,0,0,None,Up,0
5,84.59453,0,0,None,Up,0
6,85.07787,0,0,None,Left,1
7,85.41122,0,0,None,Left,1
8,85.72784,0,0,None,Up,0
9,86.56115,0,0,None,Up,0
10,86.81116,0,0,None,Up,0
11,87.0779,0,0,None,Down,1
12,87.32796,0,0,None,Down,1
13,87.89452,0,0,None,Down,0
14,89.24454,0,0,None,Up,1
15,90.04455,0,0,None,Right,1
16,91.74449,0,0,None,Up,1
17,92.2778,0,0,None,Right,1
18,92.52789,0,0,None,Right,1
19,92.79447,0,0,None,Right,1
20,93.0445,0,0,None,Right,2
21,93.29453,0,0,None,Right,2
22,93.5611,0,0,None,Right,2
23,93.81114,0,0,None,Right,2
24,94.06115,0,0,None,Right,2
25,94.32798,0,0,None,Down,1
26,94.7611,0,0,None,Left,1
27,94.77775,0,0,Success,None,-1
28,98.44447,0,1,Start,None,-1
29,106.4779,0,1,None,Down,1
30,106.8779,0,1,None,Down,0
31,107.2611,0,1,None,Left,1
32,107.5444,0,1,None,Left,1
33,107.9445,0,1,None,Left,1
34,108.3111,0,1,None,Down,1
35,108.5945,0,1,None,Down,1
36,108.8611,0,1,None,Down,1
37,109.1611,0,1,None,Right,1
38,109.4279,0,1,None,Right,1
39,110.0778,0,1,None,Right,1
40,110.4444,0,1,None,Right,1
41,111.1111,0,1,None,Up,1
42,111.9945,0,1,None,Right,1
43,112.4111,0,1,None,Left,1
44,116.4279,0,1,None,Right,1
45,116.9945,0,1,None,Right,1
46,117.2445,0,1,None,Right,1
47,117.5111,0,1,None,Right,1
48,117.7777,0,1,None,Right,2
49,118.0278,0,1,None,Down,1
50,118.2944,0,1,None,Down,1
51,119.2944,0,1,None,Up,1
52,119.5444,0,1,None,Up,1
53,119.9111,0,1,None,Right,3
54,120.3778,0,1,None,Right,3
55,121.0111,0,1,None,Down,1
56,121.5778,0,1,None,Right,1
57,121.8278,0,1,None,Right,1
58,122.2111,0,1,None,Up,2
59,122.4611,0,1,None,Up,2
60,122.7944,0,1,None,Up,2
61,123.3945,0,1,None,Right,1
62,123.6611,0,1,None,Right,0
63,123.9277,0,1,None,Up,1
64,124.2944,0,1,None,Left,2
65,124.5444,0,1,None,Left,2
66,124.8444,0,1,None,Left,2
67,125.0944,0,1,None,Left,2
68,125.3611,0,1,None,Left,2
69,126.2278,0,1,None,Right,1
70,127.2944,0,1,None,Up,1
71,131.9944,0,1,None,Right,1
72,132.2611,0,1,None,Right,1
73,132.5111,0,1,None,Right,1
74,133.0277,0,1,None,Up,1
75,133.2944,0,1,None,Up,1
76,133.5445,0,1,None,Up,1
77,133.8111,0,1,None,Left,1
78,134.0778,0,1,None,Left,1
79,134.3778,0,1,None,Left,1
80,134.7443,0,1,None,Left,1
81,134.9944,0,1,None,Left,1
82,135.3445,0,1,None,Left,1
83,135.6111,0,1,None,Left,1
84,135.9444,0,1,None,Left,1
85,136.2944,0,1,None,Left,1
86,136.5445,0,1,None,Left,1
87,136.961,0,1,None,Down,0
88,137.3944,0,1,None,Left,1
89,137.7944,0,1,None,Right,1
90,138.3277,0,1,None,Right,1
91,138.6443,0,1,None,Down,1
92,138.9277,0,1,None,Down,0
93,139.6277,0,1,None,Right,1
94,139.8778,0,1,None,Right,1
95,140.1444,0,1,None,Right,1
96,140.3944,0,1,None,Right,1
97,140.861,0,1,None,Up,1
98,141.1944,0,1,None,Up,1
99,141.6278,0,1,None,Right,1
100,141.8944,0,1,None,Right,1
101,142.1444,0,1,None,Right,1
102,142.411,0,1,None,Right,1
103,142.661,0,1,None,Right,1
104,142.9277,0,1,None,Down,1
105,143.1778,0,1,None,Down,1
106,143.4278,0,1,None,Down,1
107,143.6778,0,1,None,Down,1
108,143.9444,0,1,None,Down,1
109,144.211,0,1,None,Down,1
110,144.461,0,1,None,Down,1
111,144.811,0,1,None,Down,1
112,145.7277,0,1,None,Left,2
113,145.9944,0,1,None,Left,2
114,146.2444,0,1,None,Left,2
115,146.511,0,1,None,Left,2
116,146.761,0,1,None,Left,2
117,147.0944,0,1,None,Left,2
118,147.3778,0,1,None,Left,2
119,147.6444,0,1,None,Left,2
120,148.0777,0,1,None,Left,3
121,148.5943,0,1,None,Left,4
122,149.4777,0,1,None,Left,4
123,150.461,0,1,None,Down,1
124,150.7277,0,1,None,Down,1
