Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,18.65443,-1,-1,Login,None,-1
2,96.30428,0,0,Start,None,-1
3,107.7043,0,0,None,Right,1
4,107.9543,0,0,None,Right,1
5,108.2209,0,0,None,Right,2
6,108.7209,0,0,None,Right,2
7,109.1209,0,0,None,Right,2
8,112.3543,0,0,None,Right,2
9,112.371,0,0,Success,None,-1
10,116.871,0,1,Start,None,-1
11,122.9044,0,1,None,Right,1
12,123.1877,0,1,None,Right,1
13,123.4377,0,1,None,Right,1
14,123.771,0,1,None,Right,1
15,124.021,0,1,None,Right,1
16,124.4209,0,1,None,Right,1
17,131.7043,0,1,None,Left,1
18,132.0209,0,1,None,Left,1
19,132.271,0,1,None,Left,1
20,133.2376,0,1,None,Down,1
21,133.5043,0,1,None,Down,0
22,133.9376,0,1,None,Right,1
23,134.2043,0,1,None,Right,1
24,134.5875,0,1,None,Right,1
25,134.8376,0,1,None,Right,1
26,135.1043,0,1,None,Up,1
27,135.5709,0,1,None,Left,1
28,135.8209,0,1,None,Left,1
29,136.5876,0,1,None,Right,1
30,138.0043,0,1,None,Left,1
31,138.3043,0,1,None,Left,1
32,138.5543,0,1,None,Left,1
33,140.6543,0,1,None,Up,1
34,140.9043,0,1,None,Up,0
35,141.4376,0,1,None,Up,0
36,141.7042,0,1,None,Up,0
37,142.2376,0,1,None,Down,1
38,142.5042,0,1,None,Down,1
39,142.7542,0,1,None,Down,0
40,143.0043,0,1,None,Down,0
41,143.3875,0,1,None,Right,1
42,143.6376,0,1,None,Right,1
43,143.9043,0,1,None,Right,1
44,144.2375,0,1,None,Right,1
45,144.4875,0,1,None,Right,1
46,144.7375,0,1,None,Right,1
47,145.2709,0,1,None,Right,1
48,146.3209,0,1,None,Left,1
49,146.5709,0,1,None,Left,1
50,146.8876,0,1,None,Left,1
51,147.1542,0,1,None,Left,1
52,147.4043,0,1,None,Left,1
53,147.9709,0,1,None,Right,1
54,148.3209,0,1,None,Up,1
55,148.5709,0,1,None,Up,1
56,149.3543,0,1,None,Down,1
57,150.6209,0,1,None,Left,1
58,150.8709,0,1,None,Left,1
59,151.1209,0,1,None,Left,1
60,151.3875,0,1,None,Left,1
61,151.8209,0,1,None,Up,1
62,152.1209,0,1,None,Right,1
63,152.4542,0,1,None,Right,1
64,152.7042,0,1,None,Right,1
65,152.9876,0,1,None,Right,1
66,153.3043,0,1,None,Down,1
67,157.1042,0,1,None,Down,1
68,157.3709,0,1,None,Down,0
69,157.6374,0,1,None,Left,1
70,157.8875,0,1,None,Left,1
71,158.1542,0,1,None,Left,1
72,161.2708,0,1,None,Down,0
73,161.5209,0,1,None,Down,0
74,161.8375,0,1,None,Up,1
75,162.0876,0,1,None,Up,1
76,162.3542,0,1,None,Up,0
77,162.6042,0,1,None,Up,0
78,162.8542,0,1,None,Up,0
79,163.1208,0,1,None,Down,1
80,163.5708,0,1,None,Left,1
81,163.8209,0,1,None,Left,1
82,164.0874,0,1,None,Left,1
83,164.4046,0,1,None,Left,1
84,164.671,0,1,None,Left,1
85,164.9875,0,1,None,Left,1
86,165.2375,0,1,None,Left,1
87,165.4875,0,1,None,Left,1
88,165.7375,0,1,None,Left,0
89,166.0042,0,1,None,Left,0
90,166.5208,0,1,None,Up,1
91,166.7875,0,1,None,Up,1
92,167.0375,0,1,None,Up,1
93,167.3042,0,1,None,Up,1
94,167.5542,0,1,None,Up,1
95,168.0041,0,1,None,Down,1
96,168.3042,0,1,None,Down,1
97,168.6708,0,1,None,Down,1
98,168.9208,0,1,None,Down,1
99,169.1709,0,1,None,Down,1
100,169.6875,0,1,None,Right,1
101,169.9375,0,1,None,Right,1
102,170.1875,0,1,None,Right,1
103,170.4375,0,1,None,Right,1
104,170.6875,0,1,None,Right,1
105,170.9375,0,1,None,Right,1
106,171.2041,0,1,None,Right,1
107,171.4542,0,1,None,Right,1
108,171.7042,0,1,None,Right,1
109,171.9708,0,1,None,Right,1
110,172.2208,0,1,None,Right,1
111,172.4875,0,1,None,Right,1
112,173.1708,0,1,None,Left,1
113,173.4208,0,1,None,Left,1
114,174.2041,0,1,None,Right,1
115,175.2542,0,1,None,Down,1
116,175.5042,0,1,None,Down,0
117,175.7708,0,1,None,Up,1
118,176.0208,0,1,None,Up,1
119,176.8542,0,1,None,Down,1
120,183.3541,0,1,None,Left,1
121,183.6708,0,1,None,Left,1
122,183.9708,0,1,None,Left,1
123,184.6208,0,1,None,Down,1
124,184.8875,0,1,None,Down,0
125,186.0041,0,1,None,Down,0
126,186.3041,0,1,None,Down,0
127,186.7541,0,1,None,Down,0
128,187.0041,0,1,None,Down,0
129,187.2541,0,1,None,Up,1
130,187.5208,0,1,None,Up,1
131,187.7708,0,1,None,Up,0
132,188.0374,0,1,None,Up,0
133,188.2874,0,1,None,Right,1
134,188.5375,0,1,None,Right,1
135,188.8041,0,1,None,Right,1
136,189.1375,0,1,None,Down,1
137,191.8542,0,1,None,Down,1
138,192.1208,0,1,None,Down,0
139,192.5874,0,1,None,Up,1
140,192.8374,0,1,None,Up,1
141,194.2207,0,1,None,Down,1
142,194.4707,0,1,None,Down,1
143,195.5374,0,1,None,Up,1
144,196.4541,0,1,None,Left,1
145,196.7208,0,1,None,Left,1
146,197.0041,0,1,None,Left,1
147,197.2874,0,1,None,Left,1
148,197.6207,0,1,None,Left,1
149,197.9877,0,1,None,Left,1
150,198.2541,0,1,None,Left,1
151,198.5208,0,1,None,Left,1
152,198.7708,0,1,None,Left,1
153,199.0374,0,1,None,Left,1
154,199.5374,0,1,None,Down,1
155,199.804,0,1,None,Down,1
156,200.054,0,1,None,Down,1
157,200.3041,0,1,None,Down,1
158,200.5707,0,1,None,Right,1
159,200.8207,0,1,None,Right,1
160,201.0707,0,1,None,Right,1
161,201.3374,0,1,None,Right,1
162,201.5874,0,1,None,Right,1
163,201.854,0,1,None,Right,1
164,202.1041,0,1,None,Right,1
165,202.3707,0,1,None,Right,1
166,202.6207,0,1,None,Right,1
167,202.8707,0,1,None,Right,1
168,203.1874,0,1,None,Up,0
169,203.8374,0,1,None,Up,0
170,204.0874,0,1,None,Up,0
171,204.5374,0,1,None,Up,0
172,204.8041,0,1,None,Up,0
173,205.0541,0,1,None,Right,1
174,205.5207,0,1,None,Right,1
175,205.7874,0,1,None,Up,0
176,206.0374,0,1,None,Up,0
177,206.2874,0,1,None,Up,0
178,206.5874,0,1,None,Left,1
179,206.9374,0,1,None,Up,1
180,207.1874,0,1,None,Up,0
181,207.6207,0,1,None,Right,2
182,208.4041,0,1,None,Right,2
183,209.0207,0,1,None,Up,1
184,209.2707,0,1,None,Up,1
185,209.7041,0,1,None,Down,1
186,210.0041,0,1,None,Down,1
187,210.2707,0,1,None,Down,1
188,210.6041,0,1,None,Right,1
189,210.9707,0,1,None,Up,2
190,211.3541,0,1,None,Up,2
191,211.8707,0,1,None,Up,2
192,212.5207,0,1,None,Right,1
193,212.7707,0,1,None,Right,0
194,213.0208,0,1,None,Up,1
195,213.4374,0,1,None,Left,2
196,213.704,0,1,None,Left,2
197,213.954,0,1,None,Left,2
198,214.2041,0,1,None,Left,2
199,214.4541,0,1,None,Left,2
200,214.8707,0,1,None,Right,1
201,215.9541,0,1,None,Down,1
202,216.2374,0,1,None,Down,0
203,216.5374,0,1,None,Left,1
204,216.7874,0,1,None,Left,1
205,217.0374,0,1,None,Left,1
206,217.4707,0,1,None,Up,1
207,217.7873,0,1,None,Right,2
208,221.454,0,1,None,Down,1
209,221.704,0,1,None,Down,0
210,222.0207,0,1,None,Right,1
211,222.3041,0,1,None,Right,1
212,222.5707,0,1,None,Right,1
213,222.8207,0,1,None,Right,1
214,223.0707,0,1,None,Right,1
215,223.4373,0,1,None,Down,1
216,223.7041,0,1,None,Down,1
217,223.9707,0,1,None,Down,1
218,224.2207,0,1,None,Down,1
219,224.5207,0,1,None,Left,1
220,224.7707,0,1,None,Left,1
221,225.0373,0,1,None,Left,1
222,225.2874,0,1,None,Left,1
223,225.554,0,1,None,Left,1
224,226.0374,0,1,None,Right,1
225,226.304,0,1,None,Right,1
226,226.554,0,1,None,Up,1
227,227.1373,0,1,None,Up,1
228,227.504,0,1,None,Left,2
229,227.7541,0,1,None,Left,2
230,228.8373,0,1,None,Down,1
231,229.2041,0,1,None,Left,1
232,229.4707,0,1,None,Left,1
233,229.7207,0,1,None,Left,1
234,230.054,0,1,None,Up,1
235,230.4542,0,1,None,Right,1
236,230.7207,0,1,None,Right,2
237,230.9873,0,1,None,Right,2
238,231.2373,0,1,None,Right,2
239,231.7373,0,1,None,Right,2
240,231.9873,0,1,None,Right,2
241,232.554,0,1,None,Right,2
242,233.3206,0,1,None,Down,1
243,233.604,0,1,None,Right,1
244,233.9706,0,1,None,Right,1
245,234.604,0,1,None,Left,1
246,234.8706,0,1,None,Up,2
247,235.1706,0,1,None,Up,2
248,235.6206,0,1,None,Right,1
249,235.9706,0,1,None,Up,1
250,236.404,0,1,None,Left,2
251,236.6707,0,1,None,Left,2
