SubNo,Train_4_destroy_you_seq,Train_5_destroy_you_seq,Bonus_1_destroy_you_seq,Train_4_destroy_you_count,Train_5_destroy_you_count,Bonus_1_destroy_you_count
1,0,NaN,NaN,4,0,0
2,1,NaN,NaN,5,0,0
3,0,2,2,10,1,1
4,1,2,NaN,3,2,0
5,2,2,2,1,6,1
6,1,NaN,NaN,1,0,0
7,2,NaN,NaN,1,0,0
8,2,NaN,NaN,1,0,0
9,1,1,2,4,3,3
10,0,2,NaN,1,6,0
11,NaN,2,2,0,1,1
12,0,1,2,6,1,1
13,1,NaN,NaN,2,0,0
14,1,2,NaN,4,3,0
15,1,1,2,2,3,2
16,0,NaN,NaN,3,0,0
17,2,NaN,NaN,1,0,0
18,1,NaN,NaN,1,0,0
19,NaN,1,2,0,1,4
20,2,NaN,2,1,0,1
21,0,1,2,2,1,1
22,0,2,2,7,5,1
23,1,2,2,3,2,2
24,1,1,2,2,3,1
25,1,NaN,NaN,2,0,0
26,0,1,NaN,3,4,0
27,NaN,1,NaN,0,5,0
28,2,1,NaN,1,6,0
29,1,NaN,2,4,0,9
30,2,NaN,2,1,0,1
31,1,NaN,NaN,1,0,0
32,1,2,2,1,1,1
33,2,NaN,NaN,1,0,0
34,0,2,2,2,1,5
35,1,NaN,2,1,0,2
36,0,NaN,2,4,0,2
37,0,NaN,2,4,0,1
38,1,2,2,5,14,2
39,0,1,2,3,2,3
40,1,2,2,1,3,3
41,1,1,2,4,1,3
42,NaN,1,NaN,0,1,0
43,1,1,2,3,2,1
44,2,NaN,2,5,0,4
45,1,1,2,4,1,1
46,1,NaN,NaN,5,0,0
47,0,NaN,NaN,3,0,0
48,1,NaN,NaN,3,0,0
49,1,2,2,1,7,1
50,2,1,NaN,12,2,0
51,1,1,2,10,1,1
52,NaN,NaN,2,0,0,1
53,2,1,NaN,2,1,0
54,2,2,NaN,2,4,0
55,2,NaN,NaN,5,0,0
56,0,2,2,4,1,1
57,NaN,NaN,NaN,0,0,0
58,1,2,NaN,2,1,0
59,0,NaN,NaN,5,0,0
60,2,1,NaN,7,3,0
61,1,NaN,2,3,0,1
62,1,NaN,2,3,0,1
63,2,1,2,15,1,1
64,0,2,2,7,2,1
