SubNo,Tutorial_2_nullify_you_count,Tutorial_3_nullify_you_count,Tutorial_4_nullify_you_count,Train_1_nullify_you_count,Train_2_nullify_you_count,Train_5_nullify_you_count,Bonus_1_nullify_you_count,Bonus_2_nullify_you_count,Bonus_3_nullify_you_count
1,0,2,0,5,0,2,0,0,0
2,0,1,0,3,0,1,0,0,1
3,2,3,0,5,0,4,3,3,3
4,1,1,0,12,0,11,2,0,0
5,0,2,0,3,0,18,0,0,0
6,1,0,0,5,0,1,2,0,1
7,0,0,0,5,0,0,3,0,0
8,0,1,0,8,1,1,3,6,4
9,0,0,0,11,0,0,9,1,0
10,0,0,0,6,0,9,1,1,0
11,0,0,0,3,0,1,0,0,1
12,0,0,0,19,0,0,2,0,0
13,4,0,0,1,0,1,0,0,0
14,0,1,0,4,0,0,1,0,0
15,0,1,0,6,2,8,3,5,6
16,0,0,0,22,0,1,3,0,0
17,0,1,0,1,0,0,0,0,0
18,0,6,0,98,1,0,2,3,0
19,0,2,0,6,0,1,2,0,0
20,0,1,0,8,0,0,1,1,5
21,1,0,0,3,0,0,1,0,9
22,0,1,0,27,0,3,1,8,0
23,1,2,0,6,0,1,2,1,4
24,0,1,0,5,0,3,1,0,2
25,0,2,0,1,0,0,1,0,0
26,0,1,0,20,0,4,1,0,0
27,0,0,0,2,0,1,0,1,1
28,0,1,0,2,0,5,2,1,0
29,0,1,0,2,0,0,7,0,0
30,0,0,0,3,0,2,1,0,2
31,0,7,0,7,0,1,3,1,2
32,14,1,0,20,0,0,0,0,0
33,2,0,0,2,0,0,0,0,2
34,2,0,0,6,0,0,0,1,0
35,0,1,0,3,0,0,0,0,0
36,0,2,0,6,1,1,3,0,0
37,0,1,0,4,0,1,0,0,3
38,0,1,0,9,0,12,5,1,6
39,0,2,0,57,0,1,2,5,3
40,0,4,0,5,0,7,1,1,3
41,0,2,0,28,1,0,1,4,0
42,0,1,0,8,0,2,1,1,2
43,0,1,0,6,0,1,2,1,2
44,0,0,0,16,0,1,0,2,0
45,0,0,0,26,0,2,4,2,9
46,0,1,0,2,0,3,1,0,0
47,0,1,0,58,0,0,1,5,0
48,0,0,0,7,0,1,1,0,1
49,0,1,0,7,0,7,2,1,0
50,0,1,0,7,0,2,2,9,1
51,0,1,0,8,0,5,1,0,4
52,0,0,0,2,0,1,1,1,0
53,1,1,0,19,0,1,2,4,0
54,0,1,0,11,0,5,0,2,1
55,0,0,0,12,0,1,4,0,0
56,0,2,0,20,0,1,2,2,0
57,1,3,0,1,0,0,0,0,0
58,0,2,0,3,0,3,0,0,1
59,0,1,0,5,0,0,0,1,0
60,0,1,0,3,0,7,3,4,3
61,2,6,3,40,0,0,1,2,2
62,0,0,0,4,0,0,1,1,1
63,0,0,0,8,0,0,1,4,7
64,0,1,0,5,0,3,1,0,0
