SubNo,Train_4_push_text_as_extension,Train_5_push_text_as_extension
1,0,0
2,0,0
3,1,0
4,0,1
5,0,1
6,0,0
7,1,0
8,0,0
9,1,1
10,0,1
11,0,0
12,0,0
13,0,0
14,0,1
15,1,0
16,0,0
17,0,0
18,1,0
19,0,0
20,0,0
21,0,0
22,0,1
23,1,1
24,0,1
25,0,0
26,1,1
27,0,1
28,1,1
29,0,0
30,0,0
31,1,0
32,0,1
33,1,0
34,0,0
35,0,0
36,0,0
37,1,0
38,1,1
39,0,0
40,0,1
41,1,0
42,0,0
43,0,1
44,0,0
45,1,0
46,0,0
47,0,0
48,0,0
49,0,1
50,1,0
51,1,0
52,0,0
53,0,0
54,0,1
55,1,0
56,0,0
57,0,0
58,0,1
59,0,0
60,0,1
61,1,0
62,1,0
63,1,0
64,0,0
