SubNo,Tutorial_1_push_dice_to_win,Tutorial_3_push_dice_to_win,Tutorial_4_push_sun_to_win,Tutorial_1_push_dice_counts,Tutorial_3_push_dice_counts,Tutorial_4_push_dice_counts
1,1,0,1,4,3,4
2,0,0,0,2,2,2
3,1,0,1,4,4,4
4,1,0,1,4,2,4
5,1,1,1,4,38,4
6,0,0,0,4,2,2
7,0,0,0,2,2,2
8,1,0,0,4,2,2
9,1,0,0,4,2,0
10,1,0,1,7,3,4
11,1,0,1,4,2,4
12,1,0,1,11,2,4
13,1,0,0,4,2,2
14,1,0,1,17,3,4
15,1,0,1,4,3,4
16,1,0,1,4,2,4
17,0,0,0,2,2,2
18,1,0,1,4,5,4
19,0,0,0,2,3,0
20,1,0,0,4,2,2
21,0,0,0,2,2,0
22,1,1,1,4,29,4
23,1,1,1,4,29,4
24,1,0,1,4,2,4
25,1,0,0,4,11,0
26,0,0,0,2,2,2
27,1,0,0,29,2,0
28,0,0,0,2,2,4
29,1,0,1,4,2,4
30,0,0,0,4,2,2
31,1,0,0,8,3,0
32,0,0,0,2,2,4
33,1,0,1,4,2,4
34,1,0,0,4,2,0
35,0,0,0,7,2,4
36,1,0,0,4,2,4
37,1,0,1,4,2,4
38,1,0,1,4,2,4
39,1,0,1,4,7,4
40,1,0,0,4,21,2
41,1,1,1,19,29,4
42,0,1,0,4,27,2
43,0,0,0,2,2,0
44,1,0,0,8,2,2
45,0,0,0,2,2,2
46,0,0,0,2,3,2
47,0,0,0,2,2,2
48,1,1,1,4,28,4
49,0,0,0,3,2,5
50,1,0,1,4,2,4
51,1,0,0,4,2,2
52,1,0,1,4,2,4
53,1,0,0,4,2,0
54,1,0,1,21,2,4
55,1,1,1,4,27,4
56,1,0,0,4,2,2
57,1,0,0,25,3,0
58,1,0,0,10,2,2
59,1,1,1,10,29,4
60,1,1,1,4,30,4
61,1,0,0,45,8,4
62,1,0,0,10,3,0
63,0,0,0,5,2,2
64,1,0,1,4,2,4
