SubNo,Chapter,Level,PassedFlag,TimeExploit,TimeExplore,StepsExploit,StepsExplore
1,1,1,1,7.03326,4.89995,12,2
1,1,2,1,4.29489722222222,1.30000714285714,7.02777777777778,2.28571428571429
1,1,3,1,5.56665000000001,1.51944999999999,6.625,2.33333333333333
1,1,4,1,4.79990000000004,1.29999999999998,5,2.5
1,2,1,1,6.31482516129032,0.837678260869563,6.9741935483871,2.21739130434783
1,2,2,1,5.00000000000003,0.883249999999975,9.5,2.25
1,2,3,1,4.83585714285722,0.682999999999841,8.14285714285714,2.33333333333333
1,2,4,1,4.4722857142857,1.21738888888891,7.64285714285714,2.33333333333333
1,2,5,1,4.17373076923077,0.901230769230761,6.46153846153846,2.15384615384615
1,3,1,1,7.90314285714288,0.734909090909055,6.38095238095238,2.09090909090909
1,3,2,1,5.37928260869564,0.768760000000038,6.30434782608696,2.32
1,3,3,1,6.83272413793103,1.35515384615386,5.37931034482759,2.23076923076923
2,1,1,1,2.79999,0.416719999999998,6.5,2
2,1,2,1,4.69743615384615,0.453307999999998,9.53846153846154,2
2,1,3,1,3.41666,0.677833333333335,7,2
2,1,4,1,5.34999999999999,0.7166,11,2
2,2,1,1,4.60489411764706,0.784655999999995,9.50980392156863,2.24
2,2,2,1,3.28330000000001,0.383366666666651,9.16666666666667,2
2,2,3,1,5.44443333333334,0.541749999999979,15,2
2,2,4,1,3.81998888888889,0.605558333333335,9.31111111111111,2
2,2,5,1,4.94998749999999,0.316700000000007,8.75,2
2,3,1,1,4.53823529411765,0.363883333333338,8.11764705882353,2
2,3,2,1,5.4374875,0.433330000000012,10.0416666666667,2
2,3,3,1,7.25227272727272,1.11660500000001,8.59090909090909,2.1
3,1,1,1,18.29998,3.2333,5,3
3,1,2,1,4.12960555555556,0.556446153846153,10.8888888888889,2.30769230769231
3,1,3,1,5.83330000000001,0.683400000000006,15.3333333333333,3
3,1,4,1,0.649999999999977,0.450000000000045,3,2
3,2,1,1,3.7036962962963,0.585019999999992,11.1481481481481,2.2
3,2,2,1,5.54002,0.5,15,2
3,2,3,1,3.99445,0.65825000000001,8,2.5
3,2,4,1,4.35255576923077,0.557894736842094,12.2307692307692,2.21052631578947
3,2,5,1,4.22081874999998,0.480000000000041,9.6875,2.2
3,3,1,1,4.01498000000001,0.886288235294106,8.7,2.11764705882353
3,3,2,1,3.95960500000001,0.628092307692284,9.375,2.15384615384615
3,3,3,1,3.68682051282051,0.629500000000007,9.61538461538461,2.05555555555556
4,1,1,1,0.708345000000001,2.41664999999999,3,2
4,1,2,1,5.98679583333333,1.20262631578948,12.7708333333333,2.21052631578947
4,1,3,1,3.86664999999999,0.691750000000013,8.5,2
4,1,4,1,2.36669999999998,0.600000000000023,5,2
4,2,1,1,7.3730423076923,1.16811250000002,7.6025641025641,2.16666666666667
