Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,39.41624,-1,-1,Login,None,-1
2,80.01631,0,0,Start,None,-1
3,88.34957,0,0,None,Right,1
4,88.78284,0,0,None,Right,1
5,89.54958,0,0,None,Right,2
6,90.56622,0,0,None,Right,2
7,90.94958,0,0,None,Right,2
8,91.79954,0,0,None,Up,1
9,92.51618,0,0,None,Down,1
10,93.36617,0,0,None,Left,1
11,93.61624,0,0,None,Left,1
12,93.88286,0,0,None,Left,1
13,94.59964,0,0,None,Up,1
14,94.94941,0,0,None,Right,2
15,95.19952,0,0,None,Right,2
16,95.44961,0,0,None,Right,2
17,98.63284,0,0,None,Up,0
18,100.6996,0,0,None,Down,1
19,105.3828,0,0,None,Left,1
20,105.7162,0,0,None,Left,1
21,106.1162,0,0,None,Left,1
22,107.1662,0,0,None,Down,1
23,107.5662,0,0,None,Right,2
24,107.8162,0,0,None,Right,2
25,108.4162,0,0,None,Right,2
26,110.8328,0,0,None,Right,2
27,112.6995,0,0,None,Left,1
28,113.1995,0,0,None,Up,1
29,113.6995,0,0,None,Right,2
30,113.7161,0,0,Success,None,-1
31,118.2661,0,1,Start,None,-1
32,134.3994,0,1,None,Right,1
33,134.6996,0,1,None,Right,1
34,134.9828,0,1,None,Right,1
35,136.9496,0,1,None,Left,1
36,137.4161,0,1,None,Left,1
37,138.0495,0,1,None,Down,1
38,138.3161,0,1,None,Down,0
39,138.5828,0,1,None,Down,0
40,139.3994,0,1,None,Up,1
41,143.3828,0,1,None,Right,1
42,143.7995,0,1,None,Right,1
43,144.5661,0,1,None,Right,1
44,144.9661,0,1,None,Right,1
45,145.3327,0,1,None,Right,1
46,148.8828,0,1,None,Left,1
47,149.1995,0,1,None,Left,1
48,149.4495,0,1,None,Left,1
49,149.8327,0,1,None,Left,1
50,151.0327,0,1,None,Right,1
51,151.5827,0,1,None,Left,1
52,151.8662,0,1,None,Left,1
53,152.3994,0,1,None,Up,1
54,152.7995,0,1,None,Right,1
55,153.0661,0,1,None,Right,1
56,153.516,0,1,None,Right,1
57,153.9161,0,1,None,Right,1
58,155.8995,0,1,None,Right,1
59,156.5494,0,1,None,Down,1
60,157.2994,0,1,None,Down,1
61,157.7661,0,1,None,Left,1
62,158.1327,0,1,None,Left,1
63,158.3993,0,1,None,Left,1
64,158.666,0,1,None,Left,1
65,159.5161,0,1,None,Right,1
66,159.9161,0,1,None,Left,1
67,160.6494,0,1,None,Up,1
68,161.0993,0,1,None,Right,1
69,161.3493,0,1,None,Right,1
70,161.9997,0,1,None,Right,1
71,162.2662,0,1,None,Right,1
72,162.7327,0,1,None,Right,1
73,163.2494,0,1,None,Right,1
74,163.4994,0,1,None,Right,1
75,163.7661,0,1,None,Right,1
76,164.1494,0,1,None,Right,1
77,164.5495,0,1,None,Right,0
78,165.0827,0,1,None,Left,1
79,165.4661,0,1,None,Left,1
80,165.7327,0,1,None,Left,1
81,165.9827,0,1,None,Left,1
82,166.2327,0,1,None,Left,1
83,166.4994,0,1,None,Left,1
84,166.766,0,1,None,Left,1
85,167.016,0,1,None,Left,1
86,167.2827,0,1,None,Left,1
87,170.2842,0,1,None,Right,1
88,171.1334,0,1,None,Up,1
89,171.9994,0,1,None,Down,1
90,172.2661,0,1,None,Down,1
91,174.2994,0,1,None,Left,1
92,174.8494,0,1,None,Up,1
93,178.2494,0,1,Redo,None,0
94,180.1661,0,1,None,Right,1
95,181.4661,0,1,None,Left,1
96,182.6161,0,1,None,Up,1
97,182.8827,0,1,None,Up,0
98,185.5495,0,1,None,Right,1
99,194.9161,0,1,Pause,None,-1
100,197.266,0,1,Restart,None,-1
101,220.1333,0,1,None,Right,1
102,220.6827,0,1,None,Right,1
103,221.216,0,1,None,Right,1
104,227.6492,0,1,None,Up,1
105,227.9158,0,1,None,Up,0
106,228.2158,0,1,None,Down,1
107,228.5325,0,1,None,Down,1
108,229.0659,0,1,None,Up,1
109,238.1992,0,1,None,Right,1
110,238.6492,0,1,None,Right,1
111,239.0492,0,1,None,Right,1
112,241.2492,0,1,None,Left,1
113,241.5492,0,1,None,Left,1
114,241.8158,0,1,None,Left,1
115,242.0659,0,1,None,Left,1
116,242.566,0,1,None,Left,1
117,243.1159,0,1,None,Left,1
118,243.6159,0,1,None,Left,1
119,244.6492,0,1,None,Right,1
120,245.0659,0,1,None,Right,1
121,245.3826,0,1,None,Right,1
122,245.6326,0,1,None,Right,1
123,254.9159,0,1,Pause,None,-1
124,256.5659,0,1,Restart,None,-1
125,269.7159,0,1,None,Right,1
126,270.0491,0,1,None,Right,1
127,270.4991,0,1,None,Right,1
128,271.2159,0,1,None,Right,1
129,272.3992,0,1,None,Right,1
130,273.5159,0,1,None,Right,1
131,366.7655,0,1,None,Right,1
132,367.5155,0,1,None,Right,1
133,373.7489,0,1,None,Up,1
134,374.5489,0,1,None,Left,1
135,374.949,0,1,None,Left,1
136,380.3655,0,1,None,Down,1
137,380.7155,0,1,None,Down,1
138,381.7822,0,1,None,Up,1
139,384.0822,0,1,None,Up,1
140,384.3655,0,1,None,Up,0
141,384.7655,0,1,None,Up,0
142,385.4155,0,1,None,Down,1
143,387.7657,0,1,None,Left,1
144,388.7822,0,1,None,Left,1
145,389.8321,0,1,None,Left,1
146,390.8821,0,1,None,Left,1
147,391.5822,0,1,None,Left,1
148,392.0655,0,1,None,Left,1
149,392.5822,0,1,None,Left,1
150,418.2656,0,1,EnableHint,None,-1
151,421.9322,0,1,ToggleHint,None,-1
152,450.3655,0,1,None,Right,1
153,450.6321,0,1,None,Right,1
154,451.0155,0,1,None,Right,1
155,451.6488,0,1,None,Right,1
156,491.5653,0,1,None,Right,1
157,492.2486,0,1,None,Right,1
158,492.7487,0,1,None,Right,1
159,499.4986,0,1,ToggleHint,None,-1
160,500.4986,0,1,ToggleHint,None,-1
161,512.2319,0,1,Pause,None,-1
162,513.5654,0,1,Stop,None,-1
163,530.0153,0,1,Start,None,-1
164,530.0153,0,1,EnableHint,None,-1
165,550.0486,0,1,None,Down,1
166,550.5319,0,1,None,Down,0
167,550.7985,0,1,None,Down,0
168,551.0485,0,1,None,Down,0
169,552.1819,0,1,None,Left,1
170,552.4319,0,1,None,Left,1
171,552.6985,0,1,None,Left,1
172,553.3485,0,1,None,Down,1
173,553.7319,0,1,None,Down,1
174,555.9318,0,1,None,Right,2
175,556.4152,0,1,None,Right,3
176,556.8484,0,1,None,Right,3
177,557.2151,0,1,None,Right,3
178,557.5317,0,1,None,Right,3
179,557.8318,0,1,None,Right,3
180,559.4318,0,1,None,Right,4
181,560.2818,0,1,None,Right,5
182,562.7151,0,1,None,Right,5
183,564.5151,0,1,None,Right,5
184,565.1651,0,1,None,Right,0
185,566.6652,0,1,None,Left,1
186,566.9318,0,1,None,Left,1
187,567.1818,0,1,None,Left,1
188,567.4318,0,1,None,Left,1
189,567.6818,0,1,None,Left,1
190,567.9484,0,1,None,Left,1
191,568.2484,0,1,None,Left,1
192,568.5817,0,1,None,Left,1
193,568.9152,0,1,None,Left,1
194,569.2318,0,1,None,Left,1
195,569.6318,0,1,None,Left,1
196,570.4318,0,1,None,Up,1
197,570.6984,0,1,None,Up,1
198,570.9484,0,1,None,Up,1
199,572.0317,0,1,None,Right,1
200,572.2818,0,1,None,Right,1
201,572.5484,0,1,None,Right,1
202,572.7984,0,1,None,Right,1
203,573.0485,0,1,None,Right,1
204,573.3318,0,1,None,Right,1
205,573.6984,0,1,None,Right,1
206,573.7151,0,1,Success,None,-1
207,577.7317,0,2,Start,None,-1
208,586.7482,0,2,None,Up,1
209,587.7484,0,2,None,Left,1
210,588.1151,0,2,None,Left,2
211,588.7317,0,2,None,Left,2
212,589.3651,0,2,None,Up,1
213,589.7983,0,2,None,Left,1
214,590.0483,0,2,None,Left,1
215,590.6151,0,2,None,Down,1
216,590.8651,0,2,None,Down,1
217,591.2317,0,2,None,Down,1
218,591.5817,0,2,None,Down,1
219,591.915,0,2,None,Down,1
220,592.165,0,2,None,Down,1
221,592.6484,0,2,None,Right,1
222,592.8984,0,2,None,Right,1
223,593.1484,0,2,None,Right,1
224,593.3984,0,2,None,Right,1
225,593.6484,0,2,None,Right,1
226,593.915,0,2,None,Right,1
227,594.165,0,2,None,Right,1
228,594.415,0,2,None,Right,1
229,594.665,0,2,None,Right,1
230,594.915,0,2,None,Right,1
231,595.165,0,2,None,Right,1
232,595.415,0,2,None,Right,1
233,595.665,0,2,None,Right,1
234,595.915,0,2,None,Right,1
235,596.165,0,2,None,Right,1
236,597.165,0,2,None,Up,1
237,597.4317,0,2,None,Up,1
238,597.7484,0,2,None,Up,1
239,598.3317,0,2,None,Up,1
240,598.6984,0,2,None,Left,1
241,598.9984,0,2,None,Left,1
242,599.2485,0,2,None,Left,1
