Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,49.81258,-1,-1,Login,None,-1
2,65.02926,0,0,Start,None,-1
3,78.27926,0,0,Pause,None,-1
4,79.92925,0,0,Resume,None,-1
5,85.32922,0,0,Undo,None,0
6,88.77922,0,0,Pause,None,-1
7,90.14586,0,0,Resume,None,-1
8,91.47921,0,0,Pause,None,-1
9,92.19701,0,0,Restart,None,-1
10,102.4125,0,0,None,Right,1
11,103.1126,0,0,None,Right,1
12,103.3792,0,0,None,Right,2
13,103.6292,0,0,None,Right,2
14,103.9791,0,0,None,Right,2
15,106.8625,0,0,None,Right,2
16,106.8792,0,0,Success,None,-1
17,112.4459,0,1,Start,None,-1
18,117.1626,0,1,None,Right,1
19,117.4126,0,1,None,Right,1
20,117.6792,0,1,None,Right,1
21,117.9459,0,1,None,Right,1
22,118.2125,0,1,None,Right,1
23,118.4792,0,1,None,Right,1
24,119.6125,0,1,None,Left,1
25,119.8625,0,1,None,Left,1
26,120.1458,0,1,None,Left,1
27,120.4959,0,1,None,Left,1
28,120.9125,0,1,None,Right,1
29,121.8291,0,1,None,Right,1
30,122.0792,0,1,None,Right,1
31,122.3292,0,1,None,Right,1
32,122.6125,0,1,None,Right,1
33,123.0792,0,1,None,Left,1
34,124.2958,0,1,None,Left,1
35,124.5626,0,1,None,Up,1
36,125.196,0,1,None,Down,1
37,125.4625,0,1,None,Up,1
38,125.7126,0,1,None,Up,0
39,125.9626,0,1,None,Up,0
40,126.2293,0,1,None,Left,1
41,126.4793,0,1,None,Left,1
42,126.746,0,1,None,Left,1
43,127.0126,0,1,None,Right,1
44,127.496,0,1,None,Left,1
45,128.2292,0,1,None,Right,1
46,128.696,0,1,None,Right,1
47,128.996,0,1,None,Right,1
48,129.246,0,1,None,Right,1
49,129.5459,0,1,None,Right,1
50,130.0792,0,1,None,Down,1
51,130.346,0,1,None,Left,1
52,130.896,0,1,None,Left,1
53,131.296,0,1,None,Left,1
54,131.5625,0,1,None,Left,1
55,131.996,0,1,None,Down,1
56,132.2626,0,1,None,Down,0
57,132.5292,0,1,None,Down,0
58,132.9458,0,1,None,Right,1
59,133.196,0,1,None,Right,1
60,133.4626,0,1,None,Right,1
61,133.7292,0,1,None,Right,1
62,133.9792,0,1,None,Right,1
63,134.2293,0,1,None,Right,1
64,134.4959,0,1,None,Right,1
65,134.7626,0,1,None,Right,1
66,135.0126,0,1,None,Down,1
67,135.296,0,1,None,Down,1
68,135.546,0,1,None,Left,1
69,135.8126,0,1,None,Left,1
70,136.0791,0,1,None,Left,2
71,136.8132,0,1,None,Left,3
72,138.0792,0,1,None,Down,1
73,138.3458,0,1,None,Left,1
74,138.5958,0,1,None,Left,1
75,138.8625,0,1,None,Left,1
76,139.1125,0,1,None,Left,1
77,139.3791,0,1,None,Left,1
78,139.6292,0,1,None,Left,1
79,139.8958,0,1,None,Left,1
80,140.1458,0,1,None,Left,1
81,140.3959,0,1,None,Up,1
82,140.6958,0,1,None,Left,2
83,141.1792,0,1,None,Down,1
84,141.4458,0,1,None,Left,1
85,141.8792,0,1,None,Up,2
86,142.1791,0,1,None,Up,2
87,142.5792,0,1,None,Up,2
88,142.8458,0,1,None,Left,1
89,143.1291,0,1,None,Up,1
90,143.3958,0,1,None,Right,2
