Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,22.71609,-1,-1,Login,None,-1
2,42.66606,0,0,Start,None,-1
3,53.06599,0,0,None,Up,1
4,53.58275,0,0,None,Down,1
5,54.19942,0,0,None,Right,1
6,54.76606,0,0,None,Left,1
7,55.18275,0,0,None,Left,1
8,55.48273,0,0,None,Down,1
9,55.73274,0,0,None,Right,1
10,56.04942,0,0,None,Right,1
11,57.76606,0,0,None,Right,1
12,58.03274,0,0,None,Right,2
13,58.5994,0,0,None,Right,2
14,58.98274,0,0,None,Up,1
15,59.24941,0,0,None,Right,1
16,59.49941,0,0,None,Right,1
17,59.51606,0,0,Success,None,-1
18,63.96605,0,1,Start,None,-1
19,65.79939,0,1,None,Right,1
20,66.13273,0,1,None,Right,1
21,71.54939,0,1,None,Up,1
22,71.8494,0,1,None,Up,0
23,74.91602,0,1,None,Down,1
24,75.26604,0,1,None,Right,1
25,76.24939,0,1,None,Left,1
26,76.64939,0,1,None,Up,1
27,77.21606,0,1,None,Right,1
28,77.86604,0,1,None,Left,1
29,78.14935,0,1,None,Right,1
30,78.39938,0,1,None,Right,1
31,78.89937,0,1,None,Down,1
32,79.14938,0,1,None,Right,1
33,79.41603,0,1,None,Right,1
34,80.34939,0,1,None,Right,1
35,80.99935,0,1,None,Left,1
36,81.46609,0,1,None,Up,1
37,81.81609,0,1,None,Up,0
38,82.23264,0,1,None,Down,1
39,82.48268,0,1,None,Down,1
40,83.1494,0,1,None,Left,1
41,83.41608,0,1,None,Up,1
42,83.8494,0,1,None,Left,1
43,84.11607,0,1,None,Left,1
44,84.716,0,1,None,Left,1
45,85.09938,0,1,None,Right,1
46,85.3494,0,1,None,Up,1
47,85.71603,0,1,None,Up,0
48,86.11602,0,1,None,Down,1
49,86.46607,0,1,None,Down,1
50,86.73268,0,1,None,Left,1
51,86.9827,0,1,None,Left,1
52,87.29937,0,1,None,Right,1
53,87.66602,0,1,None,Right,1
54,88.04935,0,1,None,Left,1
55,88.29935,0,1,None,Up,1
56,88.55005,0,1,None,Right,1
57,88.84975,0,1,None,Right,1
58,89.34938,0,1,None,Right,1
59,89.6994,0,1,None,Right,1
60,90.0494,0,1,None,Right,1
61,90.31599,0,1,None,Up,1
62,90.56602,0,1,None,Left,1
63,90.81602,0,1,None,Left,1
64,91.16604,0,1,None,Down,1
65,91.43267,0,1,None,Up,1
66,91.79937,0,1,None,Up,0
67,92.13272,0,1,None,Right,1
68,92.86604,0,1,None,Right,1
69,93.4994,0,1,None,Down,1
70,93.84934,0,1,None,Left,1
71,97.61604,0,1,None,Left,1
72,97.88268,0,1,None,Left,1
73,98.49931,0,1,None,Left,1
74,104.466,0,1,None,Right,1
75,104.716,0,1,None,Right,1
76,105.0493,0,1,None,Right,1
77,111.166,0,1,None,Right,1
78,111.5659,0,1,None,Left,1
79,112.1326,0,1,None,Right,1
80,112.4994,0,1,None,Right,1
81,112.766,0,1,None,Right,1
82,113.016,0,1,None,Right,1
83,113.266,0,1,None,Right,1
84,113.5325,0,1,None,Right,0
85,113.7827,0,1,None,Right,0
86,114.1993,0,1,None,Right,0
87,114.5493,0,1,None,Left,1
88,114.816,0,1,None,Up,1
89,115.0826,0,1,None,Up,1
90,115.3327,0,1,None,Up,1
91,115.666,0,1,None,Left,1
92,115.916,0,1,None,Left,4
93,116.1826,0,1,None,Left,4
94,116.466,0,1,None,Left,4
95,117.1326,0,1,None,Right,1
96,117.3827,0,1,None,Right,1
97,117.766,0,1,None,Down,0
98,118.0326,0,1,None,Down,0
99,118.2827,0,1,None,Right,1
100,118.5327,0,1,None,Down,1
101,118.8826,0,1,None,Down,1
102,119.266,0,1,None,Left,1
103,119.516,0,1,None,Down,1
104,119.766,0,1,None,Down,1
105,120.016,0,1,None,Right,1
106,120.4994,0,1,None,Right,1
107,120.766,0,1,None,Down,1
108,121.0326,0,1,None,Down,1
109,121.2827,0,1,None,Left,1
110,121.566,0,1,None,Left,2
111,121.816,0,1,None,Left,3
112,122.0994,0,1,None,Left,3
113,122.4493,0,1,None,Left,3
114,122.766,0,1,None,Left,3
115,123.016,0,1,None,Left,3
116,123.2826,0,1,None,Left,4
117,123.5326,0,1,None,Left,5
118,124.3493,0,1,None,Right,1
119,124.5993,0,1,None,Right,1
120,124.8659,0,1,None,Right,1
121,125.2326,0,1,None,Right,1
122,125.4992,0,1,None,Right,1
123,125.7493,0,1,None,Right,1
124,125.9993,0,1,None,Right,1
125,126.2493,0,1,None,Right,1
126,126.4993,0,1,None,Up,1
127,126.766,0,1,None,Left,0
128,127.0326,0,1,None,Left,0
129,127.3993,0,1,None,Up,1
130,127.6493,0,1,None,Left,1
131,127.916,0,1,None,Left,1
132,128.166,0,1,None,Left,1
133,128.4494,0,1,None,Left,1
134,128.716,0,1,None,Left,1
135,129.1326,0,1,None,Left,1
136,129.1492,0,1,Success,None,-1
137,132.1326,0,1,Start,None,-1
138,133.4326,0,1,Pause,None,-1
139,134.7326,0,1,Stop,None,-1
140,135.2326,0,2,Start,None,-1
141,137.5992,0,2,None,Left,1
142,139.266,0,2,None,Right,1
143,139.5326,0,2,None,Right,1
144,140.416,0,2,None,Right,1
145,140.716,0,2,None,Right,2
146,140.966,0,2,Defeat,None,-1
147,142.8326,0,2,Restart,None,-1
148,144.9826,0,2,None,Up,1
149,145.2326,0,2,None,Left,1
150,145.4827,0,2,None,Left,2
151,146.716,0,2,None,Left,2
152,148.0326,0,2,None,Down,1
153,148.4326,0,2,None,Down,1
154,148.6826,0,2,None,Down,1
155,149.0327,0,2,None,Down,1
156,149.2992,0,2,None,Down,1
157,149.5493,0,2,None,Right,1
158,149.916,0,2,None,Right,1
159,150.166,0,2,None,Right,1
160,150.4326,0,2,None,Right,1
161,150.8326,0,2,None,Right,1
162,151.2326,0,2,None,Right,1
163,151.566,0,2,None,Right,1
164,151.966,0,2,None,Right,1
165,152.3492,0,2,None,Right,1
166,152.716,0,2,None,Right,1
167,153.0826,0,2,None,Right,1
168,153.516,0,2,None,Up,0
169,154.116,0,2,None,Right,1
170,154.3825,0,2,None,Up,1
171,154.7493,0,2,None,Up,1
172,155.5326,0,2,None,Up,1
173,155.866,0,2,None,Up,1
174,156.1826,0,2,None,Left,1
175,156.4326,0,2,None,Left,1
176,156.716,0,2,None,Left,1
177,156.7326,0,2,Success,None,-1
178,158.4659,0,3,Start,None,-1
179,163.116,0,3,None,Left,1
180,163.8326,0,3,None,Right,1
181,166.2492,0,3,None,Left,1
182,166.6326,0,3,None,Right,1
183,166.8992,0,3,None,Right,1
184,167.366,0,3,None,Right,1
185,167.7326,0,3,None,Right,2
186,167.9993,0,3,None,Right,2
187,168.4326,0,3,None,Down,1
188,168.6826,0,3,None,Right,1
189,168.9326,0,3,None,Right,1
190,169.1826,0,3,None,Up,1
191,169.1993,0,3,Success,None,-1
192,185.8826,1,0,Start,None,-1
193,189.016,1,0,None,Right,1
194,189.7992,1,0,None,Up,1
195,190.1325,1,0,None,Up,1
196,190.6826,1,0,None,Up,1
197,190.9492,1,0,None,Right,1
198,191.266,1,0,None,Right,1
199,191.6326,1,0,None,Right,1
200,191.8992,1,0,None,Right,1
201,192.1825,1,0,None,Right,1
202,192.6659,1,0,None,Right,1
203,196.2825,1,0,None,Right,1
204,196.7325,1,0,None,Left,1
205,197.0659,1,0,None,Up,1
206,197.3826,1,0,None,Up,1
207,198.4825,1,0,None,Up,1
208,199.8659,1,0,None,Right,1
209,200.3659,1,0,None,Down,1
210,200.6325,1,0,None,Down,1
211,200.8826,1,0,None,Down,1
212,201.1492,1,0,None,Left,1
213,201.4325,1,0,None,Left,1
214,201.9326,1,0,None,Down,1
215,202.1992,1,0,None,Down,1
216,202.5659,1,0,None,Down,0
217,203.3326,1,0,None,Up,1
218,203.5992,1,0,None,Left,1
219,203.8825,1,0,None,Left,0
220,204.1491,1,0,None,Left,0
221,204.4491,1,0,None,Right,1
222,204.7158,1,0,None,Right,1
223,204.9658,1,0,None,Right,1
224,205.3325,1,0,None,Up,1
225,205.5991,1,0,None,Left,1
226,210.2825,1,0,None,Down,1
227,210.5491,1,0,None,Down,0
228,210.9158,1,0,None,Right,1
229,211.3658,1,0,None,Down,1
230,211.7492,1,0,None,Down,1
231,212.1351,1,0,None,Down,1
232,212.4847,1,0,None,Left,2
233,212.851,1,0,None,Right,1
234,213.1174,1,0,None,Up,1
235,213.5004,1,0,None,Up,1
236,213.7668,1,0,None,Up,1
237,214.0332,1,0,None,Up,1
238,214.3662,1,0,None,Left,1
239,215.6826,1,0,None,Right,1
240,215.9492,1,0,None,Right,1
241,216.2158,1,0,None,Down,1
242,216.5493,1,0,None,Down,1
243,216.7993,1,0,None,Down,1
244,217.0659,1,0,None,Down,1
245,217.3992,1,0,None,Left,1
246,217.7659,1,0,None,Left,1
247,218.0159,1,0,None,Left,3
248,218.6325,1,0,None,Right,1
249,218.9326,1,0,None,Down,1
250,219.2992,1,0,None,Left,0
251,219.5826,1,0,None,Up,1
252,219.8326,1,0,None,Left,1
253,220.3326,1,0,None,Right,1
254,220.5826,1,0,None,Down,1
255,220.8326,1,0,None,Down,1
256,221.0992,1,0,None,Left,1
257,221.3658,1,0,None,Left,1
258,221.6826,1,0,None,Left,0
259,221.9326,1,0,None,Up,1
260,222.3326,1,0,None,Up,2
261,225.1992,1,0,Redo,None,0
262,226.3826,1,0,None,Down,1
263,227.9492,1,0,Redo,None,0
264,228.2992,1,0,Redo,None,0
265,229.4991,1,0,Redo,None,0
266,229.8326,1,0,Redo,None,0
267,230.7325,1,0,Undo,None,1
268,232.1658,1,0,Redo,None,1
269,235.9325,1,0,Redo,None,0
270,236.1992,1,0,Redo,None,0
271,236.5326,1,0,Redo,None,0
272,237.7159,1,0,Pause,None,-1
273,239.3324,1,0,Restart,None,-1
274,240.0992,1,0,None,Right,1
275,240.3657,1,0,None,Right,1
276,240.6158,1,0,None,Up,1
277,241.0325,1,0,None,Up,1
278,241.2826,1,0,None,Up,1
279,242.4325,1,0,None,Right,1
280,243.2325,1,0,Redo,None,0
281,252.6324,1,0,None,Right,1
282,252.8991,1,0,None,Right,1
283,253.2824,1,0,None,Right,1
284,253.5324,1,0,None,Right,1
285,253.7825,1,0,None,Right,1
286,254.0491,1,0,None,Down,1
287,254.3824,1,0,None,Down,1
288,254.7991,1,0,None,Left,0
289,255.1324,1,0,None,Down,1
290,255.499,1,0,None,Left,1
291,255.7824,1,0,None,Down,2
292,256.7657,1,0,Redo,None,0
293,257.1158,1,0,Redo,None,0
294,257.4324,1,0,Redo,None,0
295,257.7491,1,0,Redo,None,0
296,258.0657,1,0,Redo,None,0
297,259.6991,1,0,Undo,None,2
298,260.5991,1,0,Redo,None,2
299,261.2991,1,0,Undo,None,2
300,263.0824,1,0,Pause,None,-1
301,264.2823,1,0,Resume,None,-1
302,265.8657,1,0,None,Right,1
303,266.199,1,0,None,Up,1
304,266.4491,1,0,None,Up,1
305,266.6991,1,0,None,Up,1
306,267.1824,1,0,None,Left,1
307,267.4324,1,0,None,Left,1
308,270.7989,1,0,None,Left,1
309,271.049,1,0,None,Left,1
310,271.3324,1,0,None,Left,1
311,272.3824,1,0,None,Right,1
312,272.6324,1,0,None,Right,1
313,273.099,1,0,None,Left,1
314,273.3657,1,0,None,Left,1
315,276.2324,1,0,None,Right,1
316,276.4824,1,0,None,Right,1
317,276.7491,1,0,None,Right,1
318,277.0157,1,0,None,Right,1
319,277.2824,1,0,None,Right,1
320,277.5324,1,0,None,Right,1
321,277.799,1,0,None,Down,1
322,278.049,1,0,None,Down,1
323,278.299,1,0,None,Down,1
324,278.7824,1,0,None,Left,1
325,279.6824,1,0,None,Left,1
326,287.1657,1,0,None,Down,2
327,287.5324,1,0,None,Down,2
328,287.899,1,0,None,Down,2
329,288.7324,1,0,None,Down,2
330,292.699,1,0,None,Right,1
331,294.349,1,0,None,Left,1
332,294.5991,1,0,None,Left,1
333,294.9657,1,0,None,Up,1
334,295.2324,1,0,None,Up,0
335,295.499,1,0,None,Left,1
336,295.749,1,0,None,Left,0
337,295.999,1,0,None,Up,1
338,296.249,1,0,None,Left,1
339,296.6991,1,0,None,Up,1
340,296.9656,1,0,None,Up,1
341,297.299,1,0,None,Right,1
342,297.5824,1,0,None,Down,2
343,297.8324,1,0,None,Down,2
344,298.3324,1,0,None,Down,2
345,298.6989,1,0,None,Right,1
346,298.949,1,0,None,Down,1
347,299.2156,1,0,None,Left,2
348,299.5657,1,0,None,Left,2
349,299.9323,1,0,None,Left,2
350,300.1823,1,0,None,Left,2
351,300.5823,1,0,None,Down,1
352,300.8324,1,0,None,Left,1
353,301.0824,1,0,None,Up,2
354,301.3824,1,0,None,Up,2
355,301.699,1,0,None,Up,2
356,302.0156,1,0,None,Up,2
357,302.349,1,0,None,Up,2
358,302.5991,1,0,None,Up,2
359,302.9823,1,0,None,Up,2
360,303.3156,1,0,None,Left,1
361,303.5657,1,0,None,Up,2
362,303.8323,1,0,Defeat,None,-1
363,305.7657,1,0,Restart,None,-1
364,306.799,1,0,None,Left,1
365,307.049,1,0,None,Up,1
366,307.299,1,0,None,Up,1
367,307.8657,1,0,None,Up,2
368,308.116,1,0,Defeat,None,-1
369,309.4657,1,0,Restart,None,-1
370,314.8156,1,0,None,Right,1
371,315.099,1,0,None,Down,1
372,315.3989,1,0,None,Down,1
373,315.649,1,0,None,Down,1
374,315.949,1,0,None,Right,1
375,316.2156,1,0,None,Right,1
376,316.4989,1,0,None,Right,0
377,316.949,1,0,None,Down,1
378,317.2823,1,0,None,Right,1
379,317.599,1,0,None,Right,1
380,317.849,1,0,None,Up,1
381,318.1823,1,0,None,Right,1
382,318.4824,1,0,None,Right,1
383,318.749,1,0,None,Right,1
384,319.0156,1,0,None,Right,1
385,319.2656,1,0,None,Right,1
386,319.549,1,0,None,Up,1
387,319.899,1,0,None,Up,1
388,320.149,1,0,None,Up,1
389,320.449,1,0,None,Right,1
390,320.7823,1,0,None,Right,1
391,321.0323,1,0,None,Right,1
392,321.2823,1,0,None,Right,0
393,321.5323,1,0,None,Right,0
394,321.7823,1,0,None,Right,0
395,322.0323,1,0,None,Down,1
396,322.299,1,0,None,Right,0
397,322.6656,1,0,None,Down,1
398,322.9323,1,0,None,Right,1
399,323.1823,1,0,None,Up,4
400,323.4323,1,0,None,Up,4
401,324.399,1,0,None,Up,4
402,326.3156,1,0,None,Left,1
403,326.5656,1,0,None,Left,1
404,326.8823,1,0,None,Left,1
405,336.1656,1,0,None,Down,1
406,336.4323,1,0,None,Down,1
407,336.6823,1,0,None,Down,1
408,336.9323,1,0,None,Left,1
409,337.1989,1,0,None,Left,1
410,337.449,1,0,None,Left,1
411,337.7155,1,0,None,Left,1
412,337.9656,1,0,None,Down,1
413,338.2323,1,0,None,Left,1
414,338.749,1,0,None,Left,1
415,339.4323,1,0,None,Up,1
416,339.8657,1,0,None,Left,1
417,340.1489,1,0,None,Up,1
418,340.399,1,0,None,Up,1
419,340.7323,1,0,None,Right,1
420,340.9823,1,0,None,Down,2
421,341.3156,1,0,None,Down,2
422,341.8823,1,0,None,Down,2
423,342.1323,1,0,None,Right,1
424,342.3823,1,0,None,Down,1
425,342.7323,1,0,None,Left,2
426,343.0323,1,0,None,Left,2
427,343.3823,1,0,None,Left,2
428,343.6989,1,0,None,Left,2
429,344.0489,1,0,None,Left,2
430,344.4155,1,0,None,Left,2
431,344.6656,1,0,None,Left,2
432,344.9322,1,0,None,Down,1
433,345.1823,1,0,None,Left,1
434,345.4489,1,0,None,Up,2
435,345.7155,1,0,None,Up,2
436,346.0323,1,0,None,Up,2
437,346.3822,1,0,None,Up,2
438,346.7323,1,0,None,Up,2
439,346.9823,1,0,None,Up,2
440,347.2489,1,0,None,Up,3
441,347.5155,1,0,None,Up,1
442,348.1823,1,0,None,Right,1
443,348.7489,1,0,None,Left,1
444,348.999,1,0,None,Left,1
445,349.3323,1,0,None,Left,1
446,349.5823,1,0,None,Left,1
447,349.8323,1,0,None,Left,1
448,350.0823,1,0,None,Left,1
449,350.3489,1,0,None,Down,1
450,350.6323,1,0,None,Down,1
451,350.999,1,0,None,Left,1
452,351.3823,1,0,None,Left,1
453,351.649,1,0,None,Left,1
454,352.0323,1,0,None,Left,1
455,353.9656,1,0,None,Right,1
456,356.7655,1,0,None,Right,1
457,357.1489,1,0,None,Right,1
458,357.4156,1,0,None,Right,1
459,357.6656,1,0,None,Right,1
460,357.9323,1,0,None,Up,1
461,358.2156,1,0,None,Up,1
462,358.4822,1,0,None,Right,1
463,358.7989,1,0,None,Right,1
