Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,58.83828,-1,-1,Login,None,-1
2,113.4383,0,0,Start,None,-1
3,118.3049,0,0,None,Right,1
4,119.3883,0,0,None,Left,1
5,119.6549,0,0,None,Left,1
6,119.9049,0,0,None,Left,1
7,128.2049,0,0,None,Right,1
8,128.4549,0,0,None,Right,1
9,128.7215,0,0,None,Right,1
10,128.9882,0,0,None,Right,1
11,129.2716,0,0,None,Right,2
12,129.7049,0,0,None,Right,2
13,129.9716,0,0,None,Right,2
14,137.4049,0,0,Pause,None,-1
15,140.8382,0,0,Restart,None,-1
16,141.4882,0,0,None,Right,1
17,141.7549,0,0,None,Right,1
18,142.0716,0,0,None,Right,2
19,142.3382,0,0,None,Right,2
20,142.6215,0,0,None,Right,2
21,143.1382,0,0,None,Right,2
22,143.1548,0,0,Success,None,-1
23,147.7382,0,1,Start,None,-1
24,154.6715,0,1,None,Right,1
25,154.9216,0,1,None,Right,1
26,155.1882,0,1,None,Right,1
27,155.8215,0,1,None,Right,1
28,156.7381,0,1,None,Right,1
29,157.1382,0,1,None,Left,1
30,157.4048,0,1,None,Left,1
31,158.1715,0,1,None,Right,1
32,158.4215,0,1,None,Right,1
33,158.6715,0,1,None,Right,1
34,159.6715,0,1,None,Right,1
35,159.9215,0,1,None,Right,1
36,160.7214,0,1,None,Left,1
37,161.0215,0,1,None,Left,1
38,161.2881,0,1,None,Left,1
39,161.5381,0,1,None,Left,1
40,161.7881,0,1,None,Left,1
41,162.2381,0,1,None,Left,1
42,162.4882,0,1,None,Left,1
43,163.8714,0,1,None,Down,1
44,164.8381,0,1,None,Right,1
45,165.1048,0,1,None,Right,1
46,165.3548,0,1,None,Right,1
47,166.0548,0,1,None,Left,1
48,166.6548,0,1,None,Up,1
49,167.6214,0,1,None,Left,1
50,167.8715,0,1,None,Left,1
51,168.1215,0,1,None,Down,1
52,168.6214,0,1,None,Down,0
53,169.3047,0,1,None,Down,0
54,169.5547,0,1,None,Down,0
55,169.8047,0,1,None,Left,1
56,170.0547,0,1,None,Left,1
57,170.3047,0,1,None,Left,1
58,170.8714,0,1,None,Up,1
59,171.2548,0,1,None,Up,1
60,171.7881,0,1,None,Right,1
61,172.0381,0,1,None,Right,1
62,172.3047,0,1,None,Right,1
63,172.5547,0,1,None,Right,1
64,172.8214,0,1,None,Right,1
65,173.0714,0,1,None,Right,1
66,173.338,0,1,None,Right,1
67,173.5881,0,1,None,Right,1
68,173.8548,0,1,None,Right,1
69,174.1215,0,1,None,Right,1
70,174.3715,0,1,None,Right,1
71,175.3547,0,1,None,Down,1
72,175.7048,0,1,None,Right,1
73,175.9714,0,1,None,Right,1
74,176.238,0,1,None,Right,0
75,176.488,0,1,None,Right,0
76,176.7713,0,1,None,Left,1
77,177.0214,0,1,None,Left,1
78,177.2714,0,1,None,Left,1
79,177.5214,0,1,None,Left,1
80,177.7714,0,1,None,Left,1
81,178.0214,0,1,None,Left,1
82,178.3393,0,1,None,Left,1
83,178.6057,0,1,None,Left,1
84,178.8721,0,1,None,Left,1
85,180.0214,0,1,None,Left,1
86,180.2714,0,1,None,Left,1
87,184.0546,0,1,Pause,None,-1
88,185.2713,0,1,Restart,None,-1
89,186.7047,0,1,None,Right,1
90,186.9547,0,1,None,Right,1
91,187.2047,0,1,None,Right,1
92,187.4547,0,1,None,Right,1
93,187.9714,0,1,None,Left,1
94,188.2214,0,1,None,Left,1
95,188.488,0,1,None,Left,1
96,188.738,0,1,None,Left,1
97,189.088,0,1,None,Left,1
98,189.338,0,1,None,Left,1
99,189.588,0,1,None,Left,1
100,190.8047,0,1,None,Up,1
101,191.0713,0,1,None,Up,1
102,191.738,0,1,None,Right,0
103,191.988,0,1,None,Right,0
104,192.438,0,1,None,Down,1
105,192.938,0,1,None,Right,1
106,193.188,0,1,None,Right,1
107,193.4547,0,1,None,Right,1
108,193.7047,0,1,None,Right,1
109,194.538,0,1,None,Right,1
110,194.788,0,1,None,Right,1
111,195.088,0,1,None,Right,1
112,195.3546,0,1,None,Right,1
113,195.888,0,1,None,Left,1
114,196.8547,0,1,None,Down,1
115,197.1047,0,1,None,Down,1
116,197.3713,0,1,None,Right,1
117,197.6213,0,1,None,Right,1
118,197.8713,0,1,None,Right,1
119,199.6213,0,1,None,Left,1
120,199.888,0,1,None,Left,1
121,200.138,0,1,None,Left,1
122,200.7213,0,1,None,Right,1
123,200.9713,0,1,None,Right,1
124,201.2213,0,1,None,Right,1
125,201.488,0,1,None,Up,1
126,201.9547,0,1,None,Left,1
127,202.5047,0,1,None,Left,1
128,202.7547,0,1,None,Left,1
129,203.0047,0,1,None,Left,1
130,203.2713,0,1,None,Left,1
131,203.5213,0,1,None,Left,1
132,203.7713,0,1,None,Left,1
133,204.0214,0,1,None,Up,1
134,204.388,0,1,None,Right,1
135,204.638,0,1,None,Right,1
136,204.9046,0,1,None,Right,1
137,205.4546,0,1,None,Down,1
138,205.7213,0,1,None,Down,1
139,205.9713,0,1,None,Down,0
140,206.5546,0,1,None,Right,1
141,206.8046,0,1,None,Right,1
142,212.4713,0,1,Pause,None,-1
143,213.1879,0,1,Restart,None,-1
144,214.6546,0,1,None,Right,1
145,214.9047,0,1,None,Right,1
146,215.1713,0,1,None,Right,1
147,215.4879,0,1,None,Right,1
148,215.8213,0,1,None,Left,1
149,216.238,0,1,None,Up,1
150,216.488,0,1,None,Up,0
151,216.7546,0,1,None,Up,0
152,217.2547,0,1,None,Down,1
153,217.5213,0,1,None,Down,1
154,217.7713,0,1,None,Down,0
155,218.0213,0,1,None,Down,0
156,218.2879,0,1,None,Left,1
157,218.5379,0,1,None,Left,1
158,220.0046,0,1,None,Left,1
159,220.2713,0,1,None,Left,1
160,220.5213,0,1,None,Left,1
161,220.7879,0,1,None,Left,1
162,221.0379,0,1,None,Left,1
163,221.5213,0,1,None,Left,1
164,221.7713,0,1,None,Left,0
165,222.0379,0,1,None,Left,0
166,222.288,0,1,None,Left,0
167,222.5547,0,1,None,Left,0
168,222.8213,0,1,None,Up,1
169,223.0713,0,1,None,Up,1
170,223.3379,0,1,None,Up,1
171,223.6046,0,1,None,Up,1
172,223.8546,0,1,None,Up,1
173,224.1212,0,1,None,Up,1
174,224.3712,0,1,None,Right,1
175,224.6379,0,1,None,Right,1
176,224.8879,0,1,None,Right,1
177,225.1546,0,1,None,Right,1
178,225.4212,0,1,None,Right,1
179,225.6879,0,1,None,Right,1
180,225.9379,0,1,None,Right,1
181,226.2046,0,1,None,Right,1
182,226.4712,0,1,None,Right,1
183,226.7379,0,1,None,Right,1
184,226.9879,0,1,None,Right,1
185,227.2379,0,1,None,Right,1
186,227.4879,0,1,None,Right,1
187,227.7379,0,1,None,Right,1
188,227.9879,0,1,None,Right,1
189,228.2546,0,1,None,Down,1
190,228.5046,0,1,None,Down,1
191,228.7546,0,1,None,Down,1
192,229.0046,0,1,None,Down,1
193,229.2712,0,1,None,Down,1
194,229.5212,0,1,None,Down,1
195,229.7713,0,1,None,Down,1
196,230.0379,0,1,None,Down,1
197,230.2879,0,1,None,Left,1
198,230.8546,0,1,None,Left,2
199,231.1212,0,1,None,Left,3
200,231.3879,0,1,None,Left,3
201,232.4379,0,1,None,Down,1
202,232.9046,0,1,None,Left,1
203,233.4545,0,1,None,Up,0
204,233.7045,0,1,None,Up,0
205,240.1545,0,1,Pause,None,-1
206,241.2213,0,1,Restart,None,-1
207,241.9379,0,1,None,Left,1
208,242.3713,0,1,None,Left,1
209,242.6379,0,1,None,Left,1
210,242.8879,0,1,None,Left,1
211,243.2378,0,1,None,Down,1
212,243.4878,0,1,None,Down,1
213,243.7378,0,1,None,Down,1
214,243.9878,0,1,None,Down,1
215,244.2546,0,1,None,Right,1
216,244.5212,0,1,None,Right,1
217,244.7712,0,1,None,Right,1
218,245.0212,0,1,None,Right,1
219,245.2878,0,1,None,Right,1
220,245.5545,0,1,None,Right,1
221,245.8212,0,1,None,Right,1
222,246.0712,0,1,None,Right,1
223,246.3212,0,1,None,Right,1
224,246.5712,0,1,None,Right,1
225,246.8378,0,1,None,Right,1
226,247.1045,0,1,None,Right,1
227,247.4712,0,1,None,Left,1
228,247.8546,0,1,None,Up,1
229,248.1212,0,1,None,Left,2
230,248.3878,0,1,None,Left,2
231,248.6378,0,1,None,Left,2
232,248.8878,0,1,None,Left,2
233,249.1545,0,1,None,Left,2
234,249.4045,0,1,None,Left,3
235,249.6712,0,1,None,Left,4
236,249.9379,0,1,None,Left,4
237,250.7379,0,1,None,Left,4
238,251.8712,0,1,None,Right,1
239,252.7046,0,1,None,Right,1
240,252.9712,0,1,None,Right,1
241,253.2378,0,1,None,Down,1
242,253.7046,0,1,None,Right,1
243,253.9712,0,1,None,Right,1
244,254.2212,0,1,None,Right,1
245,254.4879,0,1,None,Right,1
246,254.7545,0,1,None,Right,1
247,255.0212,0,1,None,Right,1
248,255.2712,0,1,None,Right,1
249,255.5212,0,1,None,Right,1
250,255.9045,0,1,None,Up,1
251,256.1712,0,1,None,Up,1
252,256.6878,0,1,None,Up,1
253,256.9378,0,1,None,Left,1
254,257.2045,0,1,None,Left,1
255,257.4712,0,1,None,Left,1
256,257.7212,0,1,None,Left,1
257,257.9878,0,1,None,Left,1
258,258.2379,0,1,None,Left,1
259,258.2545,0,1,Success,None,-1
260,262.4378,0,2,Start,None,-1
261,267.8044,0,2,None,Left,1
262,268.0545,0,2,None,Left,2
263,268.3045,0,2,None,Left,2
264,268.5711,0,2,None,Left,2
265,269.1712,0,2,None,Down,1
266,269.4378,0,2,None,Down,1
267,269.6878,0,2,None,Down,1
268,269.9544,0,2,None,Down,1
269,270.2045,0,2,None,Down,1
270,270.5045,0,2,None,Right,1
271,270.7545,0,2,None,Right,1
272,271.0045,0,2,None,Right,1
273,271.2709,0,2,None,Right,1
274,271.5376,0,2,None,Right,1
275,271.7876,0,2,None,Right,1
276,272.0378,0,2,None,Right,1
277,272.2878,0,2,None,Right,1
278,272.5378,0,2,None,Right,1
279,272.7878,0,2,None,Right,1
280,273.0545,0,2,None,Right,1
281,273.3211,0,2,None,Right,1
282,273.5711,0,2,None,Right,1
283,273.8378,0,2,None,Right,1
284,274.2545,0,2,None,Up,1
285,274.5545,0,2,None,Up,1
286,274.8211,0,2,None,Up,1
287,275.0712,0,2,None,Up,1
288,275.3378,0,2,None,Up,1
289,275.6711,0,2,None,Left,1
290,275.9211,0,2,None,Left,1
291,276.1712,0,2,None,Left,1
292,276.4378,0,2,None,Left,1
293,276.4544,0,2,Success,None,-1
294,278.6544,0,3,Start,None,-1
295,284.4377,0,3,None,Right,1
296,284.6877,0,3,None,Right,1
297,284.9377,0,3,None,Right,2
298,285.1877,0,3,None,Right,2
299,285.4378,0,3,None,Right,2
300,286.8878,0,3,None,Right,2
301,286.9044,0,3,Success,None,-1
302,303.871,1,0,Start,None,-1
303,311.4544,1,0,None,Up,1
304,311.7044,1,0,None,Up,1
305,313.6378,1,0,None,Right,1
306,313.9877,1,0,None,Right,1
307,314.2544,1,0,None,Right,1
308,314.5044,1,0,None,Right,0
309,314.7544,1,0,None,Right,0
310,315.4377,1,0,None,Down,1
311,315.8378,1,0,None,Right,1
312,316.0878,1,0,None,Right,0
313,316.4044,1,0,None,Down,1
314,316.6544,1,0,None,Right,1
315,316.9044,1,0,None,Right,0
316,321.5044,1,0,None,Left,1
317,321.9044,1,0,None,Down,1
318,322.1544,1,0,None,Down,1
319,322.4044,1,0,None,Down,0
320,322.6544,1,0,None,Right,1
321,322.9044,1,0,None,Right,0
322,323.1711,1,0,None,Right,0
323,323.4211,1,0,None,Right,0
324,323.6711,1,0,None,Right,0
325,323.9377,1,0,None,Right,0
326,324.3544,1,0,None,Down,1
327,324.6877,1,0,None,Right,1
328,324.9377,1,0,None,Right,1
329,325.2878,1,0,None,Up,1
330,325.6877,1,0,None,Up,2
331,328.4876,1,0,None,Right,1
332,328.7377,1,0,None,Up,1
333,328.9877,1,0,None,Up,1
334,329.2544,1,0,None,Up,1
335,329.5044,1,0,None,Left,1
336,329.7544,1,0,None,Left,1
337,330.0044,1,0,None,Left,1
338,330.2544,1,0,None,Down,0
339,330.7877,1,0,None,Right,1
340,331.0377,1,0,None,Down,1
341,331.321,1,0,None,Right,0
342,331.571,1,0,None,Right,0
343,332.1377,1,0,None,Up,1
344,332.621,1,0,None,Left,1
345,332.871,1,0,None,Left,0
346,333.1377,1,0,None,Left,0
347,335.5877,1,0,Undo,None,1
348,336.1544,1,0,Undo,None,1
349,337.8377,1,0,Redo,None,1
350,338.6376,1,0,Redo,None,1
351,339.1543,1,0,Redo,None,0
352,339.571,1,0,Redo,None,0
353,342.121,1,0,Pause,None,-1
354,343.0543,1,0,Restart,None,-1
355,351.7043,1,0,None,Right,1
356,351.9543,1,0,None,Right,1
357,353.0377,1,0,None,Up,1
358,353.3043,1,0,None,Up,1
359,353.5543,1,0,None,Right,1
360,354.221,1,0,None,Down,1
361,354.5877,1,0,None,Right,1
362,354.8377,1,0,None,Right,0
363,355.0877,1,0,None,Right,0
364,355.3377,1,0,None,Down,1
365,355.5877,1,0,None,Down,1
366,355.8543,1,0,None,Down,1
367,356.1043,1,0,None,Down,0
368,356.371,1,0,None,Right,1
369,361.9543,1,0,None,Right,0
370,362.2043,1,0,None,Right,0
371,366.9043,1,0,None,Left,1
372,367.3043,1,0,None,Up,1
