Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,51.85297,-1,-1,Login,None,-1
2,103.9029,0,0,Start,None,-1
3,110.4362,0,0,None,Right,1
4,110.9196,0,0,None,Left,1
5,111.6695,0,0,None,Up,1
6,112.2029,0,0,None,Down,1
7,112.9696,0,0,None,Down,1
8,113.6695,0,0,None,Right,1
9,114.2195,0,0,None,Up,1
10,114.5695,0,0,None,Right,1
11,114.9195,0,0,None,Right,2
12,115.1862,0,0,None,Right,2
13,115.5362,0,0,None,Right,2
14,115.9695,0,0,None,Right,2
15,115.9862,0,0,Success,None,-1
16,119.5695,0,1,Start,None,-1
17,122.3195,0,1,None,Right,1
18,122.6862,0,1,None,Right,1
19,125.7862,0,1,None,Right,1
20,126.6028,0,1,None,Left,1
21,127.1529,0,1,None,Up,1
22,127.4195,0,1,None,Right,1
23,127.9362,0,1,None,Left,1
24,128.2028,0,1,None,Down,1
25,128.4695,0,1,None,Down,1
26,128.7361,0,1,None,Right,1
27,129.2861,0,1,None,Up,1
28,129.5362,0,1,None,Up,1
29,129.8028,0,1,None,Up,0
30,130.3362,0,1,None,Down,1
31,130.7028,0,1,None,Down,1
32,131.0528,0,1,None,Left,1
33,132.2195,0,1,None,Left,1
34,133.2027,0,1,None,Right,1
35,133.4528,0,1,None,Right,1
36,134.1362,0,1,None,Left,1
37,135.4362,0,1,None,Up,1
38,136.0528,0,1,None,Down,1
39,136.3194,0,1,None,Down,0
40,136.5695,0,1,None,Right,1
41,136.8361,0,1,None,Right,1
42,137.2527,0,1,None,Right,1
43,137.5361,0,1,None,Right,1
44,137.8861,0,1,None,Up,1
45,138.8361,0,1,None,Left,1
46,139.5361,0,1,None,Left,1
47,139.8194,0,1,None,Left,1
48,140.2528,0,1,None,Left,1
49,140.5859,0,1,None,Left,1
50,142.8361,0,1,None,Left,1
51,143.1361,0,1,None,Left,1
52,143.6861,0,1,None,Left,1
53,143.9861,0,1,None,Left,1
54,144.6694,0,1,None,Down,1
