Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,1431.171,-1,-1,Login,None,-1
2,1479.255,0,0,Start,None,-1
3,1497.421,0,0,None,Right,1
4,1497.971,0,0,None,Right,1
5,1499.587,0,0,None,Right,2
6,1501.071,0,0,None,Right,2
7,1501.637,0,0,None,Right,2
8,1502.587,0,0,None,Right,2
9,1502.604,0,0,Success,None,-1
10,1512.037,0,1,Start,None,-1
11,1521.437,0,1,None,Right,1
12,1521.871,0,1,None,Right,1
13,1522.287,0,1,None,Right,1
14,1522.654,0,1,None,Right,1
15,1523.12,0,1,None,Right,1
16,1523.62,0,1,None,Right,1
17,1526.887,0,1,None,Left,1
18,1535.47,0,1,None,Down,1
19,1535.87,0,1,None,Right,1
20,1536.487,0,1,None,Up,1
21,1537.837,0,1,None,Left,1
22,1538.537,0,1,None,Left,1
23,1538.837,0,1,None,Left,1
24,1539.22,0,1,None,Left,1
25,1539.871,0,1,None,Left,1
26,1554.654,0,1,None,Down,1
27,1555.07,0,1,None,Down,0
28,1555.87,0,1,None,Up,1
29,1556.837,0,1,None,Right,1
30,1557.287,0,1,None,Up,1
31,1557.587,0,1,None,Right,1
32,1558.087,0,1,None,Right,1
33,1558.42,0,1,None,Right,1
34,1558.67,0,1,None,Right,1
35,1558.97,0,1,None,Down,1
36,1559.587,0,1,None,Down,1
37,1560.537,0,1,None,Left,1
38,1560.787,0,1,None,Left,1
39,1561.287,0,1,None,Left,1
40,1562.637,0,1,None,Up,1
41,1562.987,0,1,None,Right,1
42,1563.237,0,1,None,Right,1
43,1563.87,0,1,None,Right,1
44,1564.12,0,1,None,Right,1
45,1565.504,0,1,None,Left,1
46,1566.02,0,1,None,Left,1
47,1575.354,0,1,Redo,None,0
48,1579.47,0,1,None,Left,1
49,1579.854,0,1,None,Left,1
50,1580.67,0,1,None,Left,1
51,1581.437,0,1,None,Left,1
52,1582.02,0,1,None,Left,1
53,1582.52,0,1,None,Up,1
54,1583.504,0,1,None,Right,1
55,1584.02,0,1,None,Right,1
56,1584.27,0,1,None,Right,1
57,1584.52,0,1,None,Right,1
58,1584.77,0,1,None,Right,1
59,1585.137,0,1,None,Right,1
60,1585.437,0,1,None,Down,1
61,1592.454,0,1,Redo,None,0
62,1594.604,0,1,Redo,None,0
63,1598.07,0,1,None,Left,1
64,1599.954,0,1,Pause,None,-1
65,1602.037,0,1,Resume,None,-1
66,1604.137,0,1,None,Left,1
67,1604.854,0,1,None,Left,1
68,1605.52,0,1,None,Up,1
69,1605.82,0,1,None,Up,0
70,1606.07,0,1,None,Right,1
71,1606.354,0,1,None,Right,1
72,1606.837,0,1,None,Up,0
73,1607.087,0,1,None,Left,1
74,1607.454,0,1,None,Left,1
75,1607.737,0,1,None,Up,0
76,1607.987,0,1,None,Up,0
77,1608.554,0,1,None,Right,1
78,1608.954,0,1,None,Right,1
79,1609.237,0,1,None,Right,1
80,1609.553,0,1,None,Down,1
81,1610.07,0,1,None,Down,1
82,1610.654,0,1,None,Left,1
83,1611.02,0,1,None,Left,1
84,1611.287,0,1,None,Left,1
85,1613.454,0,1,None,Right,1
86,1614.037,0,1,None,Right,1
87,1614.387,0,1,None,Right,1
88,1615.02,0,1,None,Up,1
89,1622.487,0,1,None,Left,1
90,1623.187,0,1,None,Left,1
91,1625.554,0,1,Pause,None,-1
92,1627.737,0,1,Restart,None,-1
93,1633.287,0,1,None,Up,1
94,1637.72,0,1,None,Right,1
95,1638.354,0,1,None,Right,1
96,1640.553,0,1,None,Down,1
97,1640.803,0,1,None,Down,1
98,1642.253,0,1,None,Up,1
99,1642.503,0,1,None,Up,1
100,1642.753,0,1,None,Up,0
101,1643.004,0,1,None,Up,0
102,1645.92,0,1,None,Right,1
103,1646.42,0,1,None,Right,1
104,1646.703,0,1,None,Right,1
105,1647.07,0,1,None,Right,1
106,1647.42,0,1,None,Down,1
107,1647.87,0,1,None,Right,1
108,1648.22,0,1,None,Right,1
109,1648.52,0,1,None,Right,1
110,1648.97,0,1,None,Right,1
111,1649.337,0,1,None,Right,1
112,1649.67,0,1,None,Right,0
113,1650.07,0,1,None,Right,0
114,1650.42,0,1,None,Left,1
115,1650.67,0,1,None,Left,1
116,1650.92,0,1,None,Left,1
117,1651.337,0,1,None,Up,1
118,1651.587,0,1,None,Up,0
119,1651.87,0,1,None,Left,1
120,1652.253,0,1,None,Left,1
121,1652.57,0,1,None,Down,1
122,1652.987,0,1,None,Down,1
123,1653.937,0,1,None,Right,1
124,1655.537,0,1,None,Left,1
125,1655.853,0,1,None,Left,1
126,1656.303,0,1,None,Left,1
127,1656.62,0,1,None,Left,1
128,1656.903,0,1,None,Left,1
129,1657.153,0,1,None,Left,1
130,1657.52,0,1,None,Left,1
131,1657.987,0,1,None,Left,1
132,1658.27,0,1,None,Left,1
133,1658.587,0,1,None,Left,1
134,1659.02,0,1,None,Left,1
135,1659.37,0,1,None,Left,1
136,1659.72,0,1,None,Left,0
137,1660.237,0,1,None,Up,1
138,1660.703,0,1,None,Up,1
139,1661.07,0,1,None,Up,1
140,1661.437,0,1,None,Up,1
141,1661.887,0,1,None,Up,1
142,1662.353,0,1,None,Right,1
143,1662.62,0,1,None,Right,1
144,1662.87,0,1,None,Right,1
145,1663.12,0,1,None,Right,1
146,1663.37,0,1,None,Right,1
147,1663.62,0,1,None,Right,1
148,1663.87,0,1,None,Right,1
149,1664.12,0,1,None,Right,1
150,1664.37,0,1,None,Right,1
151,1664.62,0,1,None,Right,1
152,1664.87,0,1,None,Right,1
153,1665.12,0,1,None,Right,1
154,1665.37,0,1,None,Right,1
155,1665.637,0,1,None,Right,1
156,1665.97,0,1,None,Right,1
157,1666.337,0,1,None,Down,1
158,1666.587,0,1,None,Down,1
159,1666.837,0,1,None,Down,1
160,1667.47,0,1,None,Down,1
161,1667.853,0,1,None,Left,1
162,1668.103,0,1,None,Left,1
163,1668.353,0,1,None,Left,1
164,1668.603,0,1,None,Left,1
165,1669.253,0,1,None,Left,1
166,1669.753,0,1,None,Right,1
167,1670.07,0,1,None,Right,1
168,1671.453,0,1,Pause,None,-1
169,1672.287,0,1,Restart,None,-1
170,1673.32,0,1,None,Left,1
171,1673.57,0,1,None,Left,1
172,1673.82,0,1,None,Left,1
173,1674.137,0,1,None,Left,1
174,1674.987,0,1,None,Up,1
175,1675.253,0,1,None,Up,1
176,1675.503,0,1,None,Up,1
177,1675.937,0,1,None,Up,1
178,1676.187,0,1,None,Up,1
179,1676.47,0,1,None,Right,1
180,1676.72,0,1,None,Right,1
181,1676.97,0,1,None,Right,1
182,1677.237,0,1,None,Right,1
183,1677.487,0,1,None,Right,1
184,1677.737,0,1,None,Right,1
185,1677.987,0,1,None,Right,1
186,1678.237,0,1,None,Right,1
187,1678.487,0,1,None,Right,1
188,1678.737,0,1,None,Right,1
189,1678.987,0,1,None,Right,1
190,1679.237,0,1,None,Right,1
191,1679.487,0,1,None,Right,1
192,1680.153,0,1,None,Right,1
193,1680.52,0,1,None,Down,1
194,1680.77,0,1,None,Down,1
195,1681.27,0,1,None,Down,1
196,1681.537,0,1,None,Down,1
197,1681.903,0,1,None,Down,1
198,1682.237,0,1,None,Left,1
199,1682.487,0,1,None,Left,1
200,1682.987,0,1,None,Left,1
201,1683.32,0,1,None,Left,1
202,1683.903,0,1,None,Left,1
203,1684.42,0,1,None,Down,1
204,1684.67,0,1,None,Right,1
205,1685.02,0,1,None,Up,1
206,1685.387,0,1,None,Up,1
