Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,21.74165,-1,-1,Login,None,-1
2,46.15827,0,0,Start,None,-1
3,53.80829,0,0,None,Up,1
4,54.52499,0,0,None,Down,1
5,54.85826,0,0,None,Left,1
6,55.10828,0,0,None,Left,1
7,55.35842,0,0,None,Left,1
8,57.5083,0,0,None,Up,1
9,58.95826,0,0,None,Up,1
10,59.60826,0,0,None,Up,1
11,59.99162,0,0,None,Right,4
12,63.65829,0,0,None,Right,4
13,64.3083,0,0,None,Right,4
14,65.47494,0,0,None,Right,4
15,67.00832,0,0,None,Up,1
16,67.30828,0,0,None,Right,1
17,67.60829,0,0,None,Down,0
18,67.87494,0,0,None,Down,0
19,68.1749,0,0,None,Right,1
20,68.4249,0,0,None,Right,1
21,68.67494,0,0,None,Right,1
22,69.10827,0,0,None,Down,1
23,69.35852,0,0,None,Down,0
24,69.64159,0,0,None,Left,4
25,69.89159,0,0,None,Left,4
26,70.15827,0,0,None,Left,4
27,75.00827,0,0,None,Up,1
28,75.25832,0,0,None,Up,1
29,75.8249,0,0,None,Left,1
30,77.52492,0,0,None,Left,1
31,77.77496,0,0,None,Left,1
32,78.04155,0,0,None,Left,1
33,78.55825,0,0,None,Down,1
34,78.80827,0,0,None,Down,1
35,79.07493,0,0,None,Down,0
36,79.34155,0,0,None,Left,1
37,79.65828,0,0,None,Down,1
38,79.9249,0,0,None,Down,1
39,80.19151,0,0,None,Down,1
40,81.70824,0,0,None,Right,1
41,82.09156,0,0,None,Right,1
42,82.40826,0,0,None,Right,1
43,82.67484,0,0,None,Right,1
44,84.44152,0,0,None,Right,1
45,84.7583,0,0,None,Up,1
46,85.0249,0,0,None,Right,2
47,85.54159,0,0,None,Right,2
48,85.87492,0,0,None,Right,2
49,86.12492,0,0,None,Right,2
50,86.4583,0,0,None,Down,1
51,86.47495,0,0,Success,None,-1
52,92.69153,0,1,Start,None,-1
53,98.17486,0,1,None,Down,1
54,98.62489,0,1,None,Left,1
55,98.90828,0,1,None,Left,1
56,99.20824,0,1,None,Left,1
57,99.47488,0,1,None,Down,1
58,99.75825,0,1,None,Down,1
59,100.1082,0,1,None,Down,1
60,100.4083,0,1,None,Right,1
61,100.6748,0,1,None,Right,1
62,101.0583,0,1,None,Right,1
63,101.3249,0,1,None,Right,1
64,101.6749,0,1,None,Up,1
65,101.9249,0,1,None,Up,0
66,102.5583,0,1,None,Down,1
67,104.1415,0,1,None,Right,1
68,104.4083,0,1,None,Right,1
69,104.6749,0,1,None,Right,1
70,104.9749,0,1,None,Right,1
71,105.2249,0,1,None,Right,1
72,105.4915,0,1,None,Right,1
73,106.8249,0,1,None,Up,1
74,107.0749,0,1,None,Up,0
75,107.3249,0,1,None,Left,2
76,107.7249,0,1,None,Down,1
77,107.9749,0,1,None,Left,1
78,108.2249,0,1,None,Left,1
79,108.4749,0,1,None,Left,1
80,108.7415,0,1,None,Left,1
81,109.0082,0,1,None,Left,1
82,109.2749,0,1,None,Left,1
83,109.5415,0,1,None,Left,1
84,109.8083,0,1,None,Left,1
85,110.0749,0,1,None,Left,1
86,110.3249,0,1,None,Left,1
87,110.5915,0,1,None,Up,1
88,110.8415,0,1,None,Up,1
89,111.1083,0,1,None,Up,1
90,111.3748,0,1,None,Up,1
91,111.6249,0,1,None,Up,1
92,111.9749,0,1,None,Up,1
93,112.4915,0,1,None,Up,1
94,112.7748,0,1,None,Right,1
95,113.0582,0,1,None,Right,4
96,114.4749,0,1,None,Up,1
97,114.7249,0,1,None,Right,1
98,114.9749,0,1,None,Right,1
99,115.2415,0,1,None,Right,1
100,115.5082,0,1,None,Right,1
101,115.7582,0,1,None,Down,1
102,116.0082,0,1,None,Down,0
103,116.2749,0,1,None,Left,4
104,117.0582,0,1,None,Left,4
105,117.5749,0,1,None,Left,4
106,117.9582,0,1,None,Left,4
107,118.6582,0,1,None,Up,1
108,119.0915,0,1,None,Left,1
109,119.3415,0,1,None,Left,1
110,119.5915,0,1,None,Left,1
111,120.2416,0,1,None,Right,1
112,120.7082,0,1,None,Down,2
113,120.9748,0,1,Defeat,None,-1
114,125.2249,0,1,Restart,None,-1
115,129.7582,0,1,None,Left,1
116,130.0582,0,1,None,Left,1
117,130.7081,0,1,None,Left,1
118,131.0249,0,1,None,Down,1
119,131.2915,0,1,None,Down,1
120,131.5582,0,1,None,Down,1
121,131.8248,0,1,None,Down,1
122,132.2581,0,1,None,Right,1
123,132.6582,0,1,None,Right,1
124,133.1082,0,1,None,Right,1
125,133.4248,0,1,None,Right,1
126,133.7582,0,1,None,Right,1
127,134.0248,0,1,None,Right,1
128,134.2914,0,1,None,Right,1
129,134.5582,0,1,None,Right,1
130,134.8249,0,1,None,Right,1
131,135.1415,0,1,None,Right,1
132,141.6582,0,1,None,Right,1
133,141.9082,0,1,None,Right,1
134,142.1749,0,1,None,Right,1
135,142.4415,0,1,None,Up,1
136,142.7582,0,1,None,Up,1
137,143.3582,0,1,None,Up,1
138,143.6581,0,1,None,Left,1
139,143.9248,0,1,None,Left,1
140,144.1748,0,1,None,Left,1
141,144.5248,0,1,None,Left,1
142,144.7748,0,1,None,Left,1
143,145.0248,0,1,None,Left,1
144,145.3248,0,1,None,Left,1
145,146.0748,0,1,None,Left,1
146,146.7082,0,1,None,Right,1
147,146.9582,0,1,None,Right,1
148,147.2248,0,1,None,Up,1
149,147.8581,0,1,None,Left,1
150,148.1915,0,1,None,Right,1
151,148.4582,0,1,None,Right,1
152,148.8248,0,1,None,Right,1
153,149.6248,0,1,None,Down,1
154,152.2081,0,1,None,Right,1
155,152.5915,0,1,None,Right,1
156,152.8581,0,1,None,Right,1
157,153.1082,0,1,None,Down,1
158,153.5414,0,1,None,Down,1
159,153.8248,0,1,None,Down,1
160,154.1081,0,1,None,Left,1
161,154.3581,0,1,None,Left,1
162,154.6414,0,1,None,Up,1
163,154.9415,0,1,None,Right,2
164,155.4582,0,1,None,Down,1
165,155.7248,0,1,None,Right,1
166,157.9414,0,1,None,Up,2
167,158.2415,0,1,None,Up,2
168,158.5415,0,1,None,Up,2
169,158.8082,0,1,None,Up,2
170,159.0914,0,1,None,Up,2
171,159.4248,0,1,None,Up,2
172,159.8581,0,1,None,Up,2
173,160.4581,0,1,None,Right,1
174,160.7748,0,1,None,Up,1
175,161.5081,0,1,None,Left,2
176,161.7581,0,1,None,Left,2
177,162.0081,0,1,None,Left,2
178,162.2582,0,1,None,Left,2
179,162.5247,0,1,None,Left,2
180,162.7747,0,1,None,Left,2
181,163.0248,0,1,None,Left,2
182,163.2914,0,1,None,Left,2
183,163.9081,0,1,None,Down,1
184,164.1581,0,1,None,Left,1
185,164.4081,0,1,None,Left,4
186,164.8581,0,1,None,Right,1
187,165.1081,0,1,None,Right,1
188,165.4581,0,1,None,Up,1
189,165.7081,0,1,None,Left,2
190,165.9748,0,1,None,Left,2
191,166.2248,0,1,None,Left,2
192,166.4748,0,1,None,Left,2
193,166.8082,0,1,None,Up,1
194,167.1247,0,1,None,Left,1
195,167.3747,0,1,None,Down,3
196,167.9748,0,1,None,Right,1
197,168.2414,0,1,None,Right,1
198,168.8581,0,1,None,Down,1
199,169.8081,0,1,None,Right,1
200,170.2414,0,1,None,Down,1
201,170.4914,0,1,None,Down,1
202,171.7248,0,1,None,Left,1
203,175.3248,0,1,None,Left,1
204,175.5914,0,1,None,Down,1
