Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,20.26095,-1,-1,Login,None,-1
2,73.19422,0,0,Start,None,-1
3,107.2941,0,0,Pause,None,-1
4,110.9274,0,0,Resume,None,-1
5,114.6107,0,0,None,Right,1
6,114.8608,0,0,None,Right,1
7,119.2607,0,0,None,Right,2
8,120.1774,0,0,None,Right,2
9,122.0274,0,0,None,Down,1
10,122.3107,0,0,None,Down,0
11,123.5274,0,0,None,Right,1
12,123.8774,0,0,None,Right,1
13,124.6774,0,0,None,Up,1
14,124.6941,0,0,Success,None,-1
15,128.7107,0,1,Start,None,-1
16,140.3107,0,1,None,Down,1
17,143.2107,0,1,None,Right,1
18,143.4774,0,1,None,Right,1
19,143.7274,0,1,None,Right,1
20,146.844,0,1,None,Left,1
21,147.5941,0,1,None,Left,1
22,158.7774,0,1,None,Right,1
23,159.0275,0,1,None,Right,1
24,159.2941,0,1,None,Right,1
25,159.9107,0,1,None,Right,1
26,160.3274,0,1,None,Right,1
27,161.2274,0,1,None,Up,1
28,162.4441,0,1,None,Down,1
29,162.7106,0,1,None,Down,0
30,165.1774,0,1,None,Left,1
31,165.544,0,1,None,Left,1
32,166.5773,0,1,None,Left,1
33,166.844,0,1,None,Left,1
34,169.6773,0,1,None,Down,0
35,170.894,0,1,None,Down,0
36,171.2773,0,1,None,Up,1
37,171.8273,0,1,None,Up,1
38,172.3774,0,1,None,Down,1
39,172.9107,0,1,None,Right,1
40,173.394,0,1,None,Down,1
41,174.1273,0,1,None,Up,1
42,184.894,0,1,None,Up,1
43,185.644,0,1,None,Down,1
44,186.5774,0,1,None,Down,1
45,187.2441,0,1,None,Right,1
46,187.6273,0,1,None,Right,1
47,188.794,0,1,None,Up,1
48,189.294,0,1,None,Right,1
49,203.4273,0,1,None,Left,1
50,203.744,0,1,None,Left,1
51,204.1939,0,1,None,Left,1
52,206.2439,0,1,None,Down,1
53,206.494,0,1,None,Down,0
54,206.744,0,1,None,Down,0
55,207.3272,0,1,None,Up,1
56,207.9606,0,1,None,Up,1
57,208.2106,0,1,None,Up,0
58,209.144,0,1,None,Right,1
