Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,22.06146,-1,-1,Login,None,-1
2,66.67806,0,0,Start,None,-1
3,74.79476,0,0,None,Right,1
4,75.06144,0,0,None,Right,1
5,76.66139,0,0,None,Right,2
6,80.01135,0,0,None,Right,2
7,80.36142,0,0,None,Right,2
8,81.61135,0,0,None,Left,1
9,84.34469,0,0,None,Right,1
10,84.7114,0,0,None,Up,1
11,85.0447,0,0,None,Right,1
12,85.66172,0,0,None,Right,1
13,85.92812,0,0,None,Down,1
14,86.31141,0,0,None,Left,2
15,86.32806,0,0,Success,None,-1
16,92.27798,0,1,Start,None,-1
17,95.81135,0,1,None,Up,1
18,96.07797,0,1,None,Right,1
19,96.32813,0,1,None,Right,1
20,96.59464,0,1,None,Right,1
21,96.86127,0,1,None,Right,1
22,97.11132,0,1,None,Right,1
23,97.71136,0,1,None,Down,1
24,98.02805,0,1,None,Right,1
25,99.24473,0,1,None,Right,1
26,99.66135,0,1,None,Left,1
27,99.92793,0,1,None,Left,1
28,100.1779,0,1,None,Left,1
29,100.428,0,1,None,Left,1
30,100.678,0,1,None,Left,1
31,100.928,0,1,None,Left,1
32,101.2279,0,1,None,Down,1
33,101.478,0,1,None,Right,1
34,101.728,0,1,None,Right,1
35,101.978,0,1,None,Right,1
36,102.2946,0,1,None,Down,0
37,102.5447,0,1,None,Down,0
38,102.9114,0,1,None,Down,0
39,103.178,0,1,None,Left,1
40,103.4614,0,1,None,Left,1
41,103.7279,0,1,None,Left,1
42,104.0447,0,1,None,Down,0
43,104.4947,0,1,None,Left,1
44,104.8614,0,1,None,Up,1
45,105.1114,0,1,None,Up,1
46,105.4114,0,1,None,Up,0
47,105.6614,0,1,None,Up,0
48,105.9114,0,1,None,Left,1
49,106.4114,0,1,None,Left,1
50,106.6614,0,1,None,Left,1
51,106.9114,0,1,None,Left,1
52,107.178,0,1,None,Left,1
53,107.4613,0,1,None,Left,0
54,107.7613,0,1,None,Left,0
55,108.0114,0,1,None,Down,1
56,108.278,0,1,None,Down,1
57,108.528,0,1,None,Down,1
58,108.778,0,1,None,Down,1
59,109.0447,0,1,None,Down,1
60,109.3113,0,1,None,Right,1
61,109.5779,0,1,None,Right,1
62,109.828,0,1,None,Right,1
63,110.078,0,1,None,Right,1
64,110.328,0,1,None,Right,1
65,110.578,0,1,None,Right,1
66,110.8447,0,1,None,Right,1
67,111.1113,0,1,None,Right,1
68,111.3614,0,1,None,Right,1
69,111.6114,0,1,None,Right,1
70,111.878,0,1,None,Right,1
71,112.1446,0,1,None,Right,1
72,112.3949,0,1,None,Right,1
73,112.6613,0,1,None,Right,1
74,112.9113,0,1,None,Up,1
75,113.1613,0,1,None,Up,1
76,113.4113,0,1,None,Up,1
77,113.678,0,1,None,Up,1
78,113.928,0,1,None,Left,1
79,114.178,0,1,None,Left,1
80,114.4446,0,1,None,Left,1
81,117.0113,0,1,None,Left,1
82,117.7947,0,1,None,Left,1
83,118.078,0,1,None,Left,1
84,118.5946,0,1,None,Left,1
85,118.9613,0,1,None,Left,1
86,119.2446,0,1,None,Left,1
87,119.4947,0,1,None,Left,1
88,119.7613,0,1,None,Left,1
89,120.0113,0,1,None,Right,1
90,120.278,0,1,None,Right,1
91,120.528,0,1,None,Right,1
92,120.778,0,1,None,Right,1
93,121.1113,0,1,None,Up,1
94,121.5446,0,1,None,Right,1
95,121.8113,0,1,None,Right,1
96,122.078,0,1,None,Right,1
97,122.3447,0,1,None,Left,1
98,122.6113,0,1,None,Left,1
99,122.8792,0,1,None,Left,1
100,123.3288,0,1,None,Right,1
101,123.745,0,1,None,Down,1
102,124.1946,0,1,None,Down,1
103,124.5446,0,1,None,Down,0
104,124.7947,0,1,None,Down,0
105,125.278,0,1,None,Right,1
106,125.6947,0,1,None,Right,1
107,126.078,0,1,None,Up,1
108,126.4613,0,1,None,Right,1
109,126.8446,0,1,None,Up,1
110,127.0947,0,1,None,Up,0
111,127.3613,0,1,None,Left,1
112,129.128,0,1,None,Left,1
113,130.0446,0,1,None,Down,1
114,130.4446,0,1,Undo,None,1
115,131.928,0,1,Redo,None,1
116,132.2946,0,1,Redo,None,0
117,132.678,0,1,Redo,None,0
118,133.478,0,1,Redo,None,0
119,133.978,0,1,None,Down,1
120,134.3946,0,1,None,Down,0
121,134.7446,0,1,None,Down,0
122,135.178,0,1,None,Right,1
123,135.4446,0,1,None,Right,1
124,135.6947,0,1,None,Right,1
125,135.9612,0,1,None,Right,1
126,136.2112,0,1,None,Right,1
127,136.8613,0,1,None,Down,1
128,137.1612,0,1,None,Down,1
129,137.428,0,1,None,Left,2
130,138.5446,0,1,None,Left,3
131,139.1613,0,1,None,Left,3
132,139.4946,0,1,None,Down,1
133,139.8112,0,1,None,Left,1
134,140.1446,0,1,None,Up,0
135,140.6446,0,1,None,Left,1
136,140.8946,0,1,None,Left,1
137,141.1612,0,1,None,Up,1
138,141.5279,0,1,None,Right,3
139,141.7779,0,1,None,Right,3
140,142.0446,0,1,None,Right,3
141,142.3112,0,1,None,Right,3
