Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,20.61926,-1,-1,Login,None,-1
2,49.53596,0,0,Start,None,-1
3,78.96912,0,0,None,Down,1
4,81.78591,0,0,None,Up,1
5,83.76921,0,0,None,Right,1
6,84.03584,0,0,None,Right,1
7,84.68585,0,0,None,Right,2
8,86.0692,0,0,None,Right,2
9,86.35248,0,0,None,Right,2
10,87.58586,0,0,None,Right,2
11,87.60251,0,0,Success,None,-1
12,103.6191,0,1,Start,None,-1
13,112.8024,0,1,None,Right,1
14,113.1858,0,1,None,Right,1
15,113.5692,0,1,None,Right,1
16,114.3691,0,1,None,Right,1
17,115.0858,0,1,None,Left,1
18,115.369,0,1,None,Left,1
19,115.8858,0,1,None,Down,1
20,116.2858,0,1,None,Right,1
21,116.7691,0,1,None,Right,1
22,117.2691,0,1,None,Left,1
23,117.5192,0,1,None,Left,1
24,118.0358,0,1,None,Up,1
25,118.6191,0,1,None,Up,1
26,119.0691,0,1,None,Right,1
27,119.6358,0,1,None,Right,1
28,120.3191,0,1,None,Down,1
29,120.7524,0,1,None,Right,1
30,121.1024,0,1,None,Right,1
31,121.9524,0,1,None,Right,1
32,122.5524,0,1,None,Left,1
33,122.8358,0,1,None,Left,1
34,123.2191,0,1,None,Left,1
35,123.8857,0,1,None,Left,1
36,124.2358,0,1,None,Left,1
37,126.6191,0,1,None,Down,1
38,128.2691,0,1,None,Down,0
39,128.9524,0,1,None,Up,1
40,129.4691,0,1,None,Up,1
41,131.4857,0,1,None,Down,1
42,131.8524,0,1,None,Right,1
43,132.1024,0,1,None,Right,1
44,132.3524,0,1,None,Right,1
45,132.8691,0,1,None,Right,1
46,133.4357,0,1,None,Right,1
47,134.2357,0,1,None,Right,1
48,134.4857,0,1,None,Right,1
49,135.019,0,1,None,Right,1
50,135.3691,0,1,None,Right,1
51,135.7357,0,1,None,Right,0
52,136.1857,0,1,None,Left,1
53,136.4358,0,1,None,Left,1
54,136.7691,0,1,None,Left,1
55,137.0856,0,1,None,Left,1
56,137.3357,0,1,None,Left,1
57,137.5857,0,1,None,Left,1
58,137.8857,0,1,None,Left,1
59,138.1357,0,1,None,Left,1
60,138.4523,0,1,None,Left,1
61,138.9191,0,1,None,Left,1
62,144.669,0,1,None,Down,1
63,145.119,0,1,None,Right,1
64,145.369,0,1,None,Right,1
65,145.6191,0,1,None,Right,1
66,146.3857,0,1,None,Right,1
67,146.7523,0,1,None,Right,1
68,147.2357,0,1,None,Up,1
69,147.8357,0,1,None,Up,1
70,148.4524,0,1,None,Down,1
71,148.7523,0,1,None,Down,1
72,149.0524,0,1,None,Down,0
73,149.4357,0,1,None,Left,1
74,150.119,0,1,None,Left,1
75,150.3857,0,1,None,Left,1
76,151.2191,0,1,None,Left,1
77,151.4856,0,1,None,Left,1
78,152.2357,0,1,None,Down,0
79,152.619,0,1,None,Up,1
80,155.8691,0,1,None,Up,1
81,159.0023,0,1,None,Right,1
82,159.4023,0,1,None,Right,1
83,159.819,0,1,None,Down,1
84,160.1522,0,1,None,Down,1
85,160.7023,0,1,None,Right,1
86,160.9857,0,1,None,Right,1
87,161.319,0,1,None,Right,1
88,161.6856,0,1,None,Up,1
89,162.319,0,1,None,Up,1
90,162.9523,0,1,None,Down,1
91,163.369,0,1,None,Left,1
92,163.619,0,1,None,Left,1
93,164.0357,0,1,None,Left,1
94,165.0857,0,1,None,Left,1
95,165.8691,0,1,None,Down,1
96,167.2023,0,1,None,Right,1
97,167.4523,0,1,None,Right,1
98,169.7189,0,1,None,Up,1
99,170.1357,0,1,None,Right,1
100,170.4189,0,1,None,Right,1
101,170.9523,0,1,None,Right,1
102,171.919,0,1,None,Right,1
103,172.319,0,1,None,Right,1
104,172.8856,0,1,None,Right,1
105,173.8022,0,1,None,Left,1
106,174.069,0,1,None,Left,1
107,174.6689,0,1,None,Down,1
108,174.919,0,1,None,Down,0
109,175.219,0,1,None,Down,0
110,175.6357,0,1,None,Up,1
111,175.9023,0,1,None,Up,1
112,176.5189,0,1,None,Left,1
113,176.7856,0,1,None,Left,1
114,177.0356,0,1,None,Left,1
115,177.3022,0,1,None,Left,1
116,177.5522,0,1,None,Left,1
117,177.8023,0,1,None,Left,1
118,178.1523,0,1,None,Left,1
119,178.4522,0,1,None,Left,1
120,178.7856,0,1,None,Left,1
121,179.1189,0,1,None,Left,1
122,179.6856,0,1,None,Down,1
123,180.6856,0,1,None,Down,1
124,181.6022,0,1,None,Right,1
125,182.6689,0,1,None,Right,1
126,183.569,0,1,None,Right,1
127,184.3522,0,1,None,Right,1
128,187.1689,0,1,None,Right,1
129,189.3022,0,1,None,Right,1
130,190.119,0,1,None,Right,1
131,190.4213,0,1,None,Right,1
132,190.6877,0,1,None,Right,1
133,191.004,0,1,None,Right,1
134,191.5368,0,1,None,Right,1
135,192.1862,0,1,None,Right,1
136,192.6857,0,1,None,Right,1
137,193.3522,0,1,None,Left,1
138,193.6522,0,1,None,Left,1
139,194.0522,0,1,None,Left,1
140,194.3522,0,1,None,Left,1
141,194.6189,0,1,None,Left,1
142,195.0189,0,1,None,Left,1
143,195.3856,0,1,None,Left,1
144,195.6522,0,1,None,Left,1
145,195.9022,0,1,None,Left,1
146,196.1689,0,1,None,Left,1
147,197.3522,0,1,None,Up,1
148,197.9355,0,1,None,Up,1
149,200.0522,0,1,None,Right,1
150,200.3189,0,1,None,Right,1
151,200.5689,0,1,None,Right,1
152,201.4189,0,1,None,Right,1
153,201.7855,0,1,None,Right,1
154,202.1355,0,1,None,Right,1
155,202.4022,0,1,None,Right,1
156,202.6689,0,1,None,Right,1
157,203.1021,0,1,None,Left,1
158,203.3689,0,1,None,Left,1
159,203.6355,0,1,None,Left,1
160,204.2022,0,1,None,Down,1
161,204.7522,0,1,None,Down,1
162,205.4189,0,1,None,Left,1
163,205.8689,0,1,None,Left,1
164,207.3522,0,1,None,Up,1
165,208.0022,0,1,None,Left,1
166,208.4688,0,1,None,Left,1
167,208.8188,0,1,None,Left,1
168,209.0689,0,1,None,Left,1
169,209.3355,0,1,None,Left,1
170,209.7188,0,1,None,Left,1
171,212.6688,0,1,Redo,None,0
172,214.7522,0,1,Undo,None,1
173,216.0522,0,1,Redo,None,1
174,217.5355,0,1,None,Right,1
175,217.8689,0,1,None,Right,1
176,218.1355,0,1,None,Right,1
177,219.9188,0,1,None,Right,1
178,223.5022,0,1,None,Right,1
179,224.5021,0,1,None,Down,1
180,225.3689,0,1,None,Up,1
181,225.7855,0,1,None,Up,1
182,226.2688,0,1,None,Right,1
183,226.5354,0,1,None,Right,1
184,226.9188,0,1,None,Left,1
185,227.4188,0,1,None,Left,1
