Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,37.37602,-1,-1,Login,None,-1
2,64.35929,0,0,Start,None,-1
3,77.85923,0,0,None,Right,1
4,78.27592,0,0,None,Right,1
5,78.69255,0,0,None,Right,2
6,79.22593,0,0,None,Right,2
7,79.70916,0,0,None,Right,2
8,81.32597,0,0,None,Right,2
9,81.34261,0,0,Success,None,-1
10,84.09253,0,1,Start,None,-1
11,90.24257,0,1,None,Right,1
12,90.65918,0,1,None,Right,1
13,91.09249,0,1,None,Right,1
14,91.49245,0,1,None,Right,1
15,92.07592,0,1,None,Right,1
16,97.17585,0,1,None,Right,1
17,98.25916,0,1,None,Right,1
18,98.82589,0,1,None,Left,1
19,99.19246,0,1,None,Left,1
20,99.45918,0,1,None,Left,1
21,99.72585,0,1,None,Left,1
22,99.99248,0,1,None,Left,1
23,100.5591,0,1,None,Up,1
24,100.9759,0,1,None,Right,1
25,101.5591,0,1,None,Right,1
26,101.9258,0,1,None,Right,1
27,102.326,0,1,None,Up,0
28,102.7758,0,1,None,Right,1
29,103.1092,0,1,None,Down,1
30,103.4425,0,1,None,Down,1
31,103.6925,0,1,None,Down,0
32,103.9591,0,1,None,Down,0
33,104.2259,0,1,None,Left,1
34,104.4924,0,1,None,Left,1
35,104.7425,0,1,None,Left,1
36,104.9925,0,1,None,Left,1
37,105.2425,0,1,None,Left,1
38,108.8591,0,1,None,Right,1
39,109.1091,0,1,None,Right,1
40,109.3591,0,1,None,Up,1
41,109.6092,0,1,None,Up,1
42,110.0258,0,1,None,Down,1
43,110.2924,0,1,None,Up,1
44,110.5758,0,1,None,Down,1
45,110.8424,0,1,None,Down,1
46,111.0924,0,1,None,Down,0
47,111.4258,0,1,None,Down,0
48,111.6925,0,1,None,Right,1
49,111.9591,0,1,None,Right,1
50,112.2092,0,1,None,Right,1
51,112.4592,0,1,None,Up,1
52,113.0091,0,1,None,Up,1
53,113.2592,0,1,None,Up,0
54,113.5258,0,1,None,Left,1
55,114.0758,0,1,None,Down,1
56,114.3258,0,1,None,Down,1
57,114.6924,0,1,None,Down,0
58,114.9424,0,1,None,Down,0
59,115.2092,0,1,None,Right,1
60,115.7091,0,1,None,Up,1
61,115.9591,0,1,None,Up,1
62,116.7758,0,1,None,Left,1
63,117.0424,0,1,None,Left,1
64,117.3091,0,1,None,Left,1
65,117.5591,0,1,None,Left,1
66,117.8091,0,1,None,Down,1
67,118.0757,0,1,None,Down,1
68,118.3258,0,1,None,Down,0
69,118.5758,0,1,None,Right,1
70,118.8424,0,1,None,Right,1
71,119.1091,0,1,None,Right,1
72,119.459,0,1,None,Right,1
73,119.9091,0,1,None,Up,1
74,120.1758,0,1,None,Up,1
75,120.4258,0,1,None,Up,0
76,121.9424,0,1,None,Down,1
77,122.2091,0,1,None,Down,1
78,126.8757,0,1,None,Left,1
79,127.1257,0,1,None,Left,1
80,127.3757,0,1,None,Left,1
81,127.7757,0,1,None,Left,1
82,128.159,0,1,None,Up,1
83,128.409,0,1,None,Up,1
84,128.6757,0,1,None,Up,0
85,128.9257,0,1,None,Right,1
86,129.2923,0,1,None,Down,1
87,129.5923,0,1,None,Down,1
88,129.9757,0,1,None,Down,0
89,130.559,0,1,None,Up,1
90,131.9423,0,1,None,Left,1
91,132.1923,0,1,None,Left,1
92,133.2257,0,1,None,Right,1
93,133.6591,0,1,None,Up,1
94,134.2757,0,1,None,Down,1
95,134.5757,0,1,None,Down,1
96,135.1091,0,1,None,Up,1
97,138.0257,0,1,None,Right,1
98,138.3091,0,1,None,Right,1
99,138.7256,0,1,None,Right,1
100,139.0756,0,1,None,Right,1
101,139.6423,0,1,None,Down,1
102,139.8923,0,1,None,Down,0
