Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,55.97592,-1,-1,Login,None,-1
2,95.99248,0,0,Start,None,-1
3,107.4925,0,0,None,Right,1
4,107.7425,0,0,None,Right,1
5,107.9926,0,0,None,Right,2
6,108.9759,0,0,None,Right,2
7,109.7092,0,0,None,Right,2
8,109.9593,0,0,None,Right,2
9,109.9759,0,0,Success,None,-1
10,112.6926,0,1,Start,None,-1
11,121.1759,0,1,None,Right,1
12,121.5758,0,1,None,Right,1
13,121.8925,0,1,None,Right,1
14,122.5425,0,1,None,Right,1
15,122.8092,0,1,None,Right,1
16,123.0758,0,1,None,Right,1
17,124.7592,0,1,None,Right,1
18,125.2759,0,1,None,Left,1
19,125.5425,0,1,None,Left,1
20,125.8092,0,1,None,Left,1
21,126.0592,0,1,None,Left,1
22,126.7758,0,1,None,Right,1
23,127.4759,0,1,None,Left,1
24,128.1425,0,1,None,Down,1
25,128.3925,0,1,None,Down,0
26,128.9758,0,1,None,Up,1
27,129.2425,0,1,None,Up,1
28,129.5925,0,1,None,Up,0
29,130.5425,0,1,None,Down,1
30,130.8759,0,1,None,Down,1
31,131.2758,0,1,None,Left,1
32,131.5259,0,1,None,Left,1
33,131.7925,0,1,None,Left,1
34,132.0425,0,1,None,Left,1
35,132.3091,0,1,None,Left,1
36,132.6592,0,1,None,Left,1
37,133.1258,0,1,None,Left,1
38,133.4091,0,1,None,Down,1
39,133.6924,0,1,None,Down,1
40,133.9425,0,1,None,Down,1
41,134.5258,0,1,None,Right,1
42,134.7758,0,1,None,Right,1
43,135.0425,0,1,None,Right,1
44,135.2926,0,1,None,Right,1
45,135.5592,0,1,None,Right,1
46,135.8258,0,1,None,Right,1
47,136.0925,0,1,None,Right,1
48,136.3425,0,1,None,Right,1
49,136.6091,0,1,None,Right,1
50,136.8759,0,1,None,Right,1
51,137.1425,0,1,None,Right,1
52,137.3925,0,1,None,Right,1
53,137.6591,0,1,None,Right,1
54,138.8759,0,1,None,Up,1
55,139.1425,0,1,None,Up,1
56,139.3925,0,1,None,Up,1
57,139.9425,0,1,None,Up,1
58,140.5258,0,1,None,Left,1
59,140.8091,0,1,None,Left,1
60,141.0759,0,1,None,Left,1
61,142.0759,0,1,None,Left,1
62,146.0091,0,1,Pause,None,-1
63,147.4925,0,1,Restart,None,-1
64,156.2925,0,1,None,Right,1
65,156.5591,0,1,None,Right,1
66,156.8092,0,1,None,Right,1
67,157.1925,0,1,None,Up,1
68,157.6758,0,1,None,Down,1
69,157.9425,0,1,None,Down,1
70,160.7925,0,1,None,Right,1
71,161.0591,0,1,None,Right,1
72,161.3091,0,1,None,Right,1
73,161.8258,0,1,None,Up,1
74,164.8759,0,1,None,Left,1
75,165.409,0,1,None,Left,1
76,166.0423,0,1,None,Left,1
77,166.4924,0,1,None,Left,1
78,166.8924,0,1,None,Left,1
79,167.5591,0,1,None,Left,1
80,168.0256,0,1,None,Left,1
81,168.5591,0,1,None,Left,1
82,176.6591,0,1,Pause,None,-1
83,177.8924,0,1,Stop,None,-1
84,187.8925,0,1,Start,None,-1
85,191.1924,0,1,None,Down,1
86,191.5257,0,1,None,Down,0
87,191.8591,0,1,None,Down,0
88,192.7591,0,1,None,Up,1
89,193.0258,0,1,None,Up,1
90,193.3591,0,1,None,Up,0
91,193.9591,0,1,None,Right,1
92,194.3424,0,1,None,Right,1
93,194.6091,0,1,None,Right,1
94,195.0258,0,1,None,Down,1
95,195.2924,0,1,None,Down,1
96,195.5424,0,1,None,Down,0
97,195.8424,0,1,None,Right,1
98,196.1091,0,1,None,Right,1
99,196.6591,0,1,None,Right,1
100,196.9924,0,1,None,Up,1
101,202.1757,0,1,None,Right,1
102,202.4424,0,1,None,Right,1
103,202.6924,0,1,None,Right,1
104,203.3757,0,1,None,Up,1
105,203.6591,0,1,None,Up,1
106,203.9257,0,1,None,Up,1
107,204.2424,0,1,None,Left,4
108,204.8924,0,1,None,Left,4
109,205.4091,0,1,None,Left,4
110,205.6591,0,1,None,Left,4
111,206.8757,0,1,None,Up,1
112,207.4424,0,1,None,Left,1
113,207.6924,0,1,None,Left,1
114,207.9591,0,1,None,Left,1
115,208.2257,0,1,None,Left,1
116,208.4758,0,1,None,Left,1
117,210.0757,0,1,None,Right,1
118,210.7591,0,1,None,Down,1
119,211.2757,0,1,None,Left,4
120,211.5257,0,1,None,Left,4
121,211.7757,0,1,None,Left,4
122,212.3258,0,1,None,Up,1
123,212.7591,0,1,None,Left,1
124,213.0091,0,1,None,Left,1
125,213.2757,0,1,None,Left,1
126,213.809,0,1,None,Right,1
127,214.5757,0,1,None,Down,2
128,214.8423,0,1,Defeat,None,-1
129,216.8424,0,1,Restart,None,-1
130,219.309,0,1,None,Left,1
131,219.5591,0,1,None,Left,1
132,219.8257,0,1,None,Left,1
133,220.0923,0,1,None,Left,1
134,221.6591,0,1,None,Up,1
135,221.9091,0,1,None,Up,1
136,222.1591,0,1,None,Up,1
137,222.4257,0,1,None,Up,1
138,222.6923,0,1,None,Up,1
139,222.9423,0,1,None,Right,1
140,223.1923,0,1,None,Right,1
141,223.4424,0,1,None,Right,1
142,223.6924,0,1,None,Right,1
143,223.9424,0,1,None,Right,1
144,224.209,0,1,None,Right,1
145,224.4591,0,1,None,Right,1
146,224.7091,0,1,None,Right,1
147,224.9591,0,1,None,Right,1
148,225.2257,0,1,None,Right,1
149,225.4757,0,1,None,Right,1
150,225.7257,0,1,None,Right,1
151,227.009,0,1,None,Down,1
152,227.7257,0,1,None,Left,1
153,227.9757,0,1,None,Left,1
154,228.2423,0,1,None,Left,1
155,229.0591,0,1,None,Down,1
156,229.4257,0,1,None,Right,4
157,229.6757,0,1,None,Right,4
158,230.0257,0,1,None,Right,4
159,230.6923,0,1,None,Up,1
160,231.0091,0,1,None,Right,1
161,231.4423,0,1,None,Left,1
162,231.9923,0,1,None,Right,1
163,232.259,0,1,None,Right,1
164,232.6756,0,1,None,Down,2
165,234.3757,0,1,None,Down,2
166,235.809,0,1,None,Up,1
167,236.059,0,1,None,Up,1
168,236.3257,0,1,None,Up,1
169,236.5757,0,1,None,Right,1
170,237.2257,0,1,None,Down,1
171,237.4757,0,1,None,Down,2
172,237.759,0,1,None,Down,2
173,238.0256,0,1,None,Down,2
174,238.2756,0,1,None,Down,2
175,238.8591,0,1,None,Left,1
176,239.3757,0,1,None,Up,2
177,239.659,0,1,None,Up,2
178,240.359,0,1,None,Right,1
179,240.8923,0,1,None,Down,1
180,241.259,0,1,None,Down,1
181,241.759,0,1,None,Down,2
182,242.0257,0,1,None,Down,2
183,242.3257,0,1,None,Down,2
184,242.6591,0,1,None,Down,2
185,243.6257,0,1,None,Left,1
186,243.9923,0,1,None,Down,1
187,244.2424,0,1,None,Down,1
188,244.6423,0,1,None,Right,1
189,244.8923,0,1,None,Right,0
190,245.659,0,1,None,Up,2
191,246.0257,0,1,None,Up,2
192,246.3257,0,1,None,Up,2
193,247.6091,0,1,None,Left,1
194,247.8757,0,1,None,Left,1
195,248.9923,0,1,None,Right,1
196,249.2423,0,1,None,Right,1
197,249.9591,0,1,None,Left,1
198,250.2256,0,1,None,Left,1
199,250.8257,0,1,None,Down,1
200,251.5423,0,1,None,Up,1
201,251.8756,0,1,None,Left,2
202,257.659,0,1,Redo,None,0
203,259.3426,0,1,Pause,None,-1
204,260.5257,0,1,Restart,None,-1
205,263.6423,0,1,None,Right,1
206,263.8923,0,1,None,Right,1
207,264.1423,0,1,None,Right,1
208,264.3923,0,1,None,Right,1
209,264.6589,0,1,None,Right,1
210,264.9089,0,1,None,Right,1
211,265.1589,0,1,None,Right,1
212,265.4089,0,1,None,Right,1
213,265.6589,0,1,None,Right,1
214,265.909,0,1,None,Right,1
215,266.1756,0,1,None,Up,1
216,268.459,0,1,None,Up,1
217,268.8756,0,1,None,Up,1
218,269.709,0,1,None,Down,1
219,270.209,0,1,None,Down,1
220,270.4756,0,1,None,Down,1
221,270.7423,0,1,None,Down,1
222,270.9923,0,1,None,Down,1
223,271.309,0,1,None,Down,1
224,271.5757,0,1,None,Down,1
225,271.8423,0,1,None,Down,1
226,272.2423,0,1,None,Left,1
227,272.5923,0,1,None,Left,1
228,272.959,0,1,None,Left,1
229,273.2422,0,1,None,Up,1
230,273.509,0,1,None,Up,1
231,273.759,0,1,None,Left,2
232,274.0256,0,1,None,Left,2
233,274.2756,0,1,None,Left,2
234,274.5256,0,1,None,Left,2
235,274.7756,0,1,None,Left,2
236,275.5089,0,1,None,Down,1
237,275.9922,0,1,None,Left,1
238,276.4756,0,1,None,Left,1
239,276.8923,0,1,None,Up,0
240,277.3256,0,1,None,Left,1
241,277.5757,0,1,None,Left,1
242,278.5256,0,1,None,Left,1
243,278.909,0,1,None,Up,1
244,279.2423,0,1,None,Right,2
245,280.359,0,1,None,Down,1
246,281.159,0,1,None,Left,1
247,281.409,0,1,None,Left,1
248,281.6923,0,1,None,Up,1
249,282.0756,0,1,None,Right,1
250,282.3422,0,1,None,Right,1
251,282.5923,0,1,None,Right,4
252,283.1589,0,1,None,Left,1
253,283.4089,0,1,None,Left,1
254,283.659,0,1,None,Left,1
255,284.2589,0,1,None,Right,1
256,284.7756,0,1,None,Up,1
257,285.0256,0,1,None,Up,1
258,285.2756,0,1,None,Up,1
259,285.5256,0,1,None,Right,1
260,285.7756,0,1,None,Right,1
261,286.0422,0,1,None,Right,1
262,286.2923,0,1,None,Right,1
263,286.559,0,1,None,Right,1
264,286.809,0,1,None,Right,1
265,286.8256,0,1,Success,None,-1
266,289.3256,0,2,Start,None,-1
267,294.5923,0,2,None,Right,1
268,294.8589,0,2,None,Right,1
269,295.1089,0,2,None,Right,2
270,295.3755,0,2,Defeat,None,-1
271,296.8089,0,2,Restart,None,-1
272,298.1923,0,2,None,Right,1
273,298.5423,0,2,None,Right,1
274,298.8423,0,2,None,Right,2
275,299.0923,0,2,Defeat,None,-1
276,300.1422,0,2,Restart,None,-1
277,300.4256,0,2,None,Left,1
278,300.6923,0,2,None,Left,2
279,301.4089,0,2,None,Left,2
280,302.2589,0,2,None,Up,1
281,303.0589,0,2,None,Left,1
282,303.609,0,2,None,Down,2
283,303.9089,0,2,None,Down,2
284,304.1589,0,2,None,Down,2
285,304.4589,0,2,None,Down,2
286,304.809,0,2,None,Down,2
287,305.459,0,2,None,Left,1
288,306.0256,0,2,None,Down,1
289,306.4089,0,2,None,Right,2
290,306.6756,0,2,None,Right,2
291,306.9256,0,2,None,Right,2
292,307.1756,0,2,None,Right,2
293,307.4422,0,2,None,Right,2
294,307.6922,0,2,None,Right,2
295,307.9589,0,2,None,Right,2
296,308.2089,0,2,None,Right,2
297,308.4589,0,2,None,Right,2
298,308.7755,0,2,None,Right,2
299,309.0255,0,2,None,Right,2
300,309.2755,0,2,None,Right,2
301,309.7422,0,2,None,Right,2
302,310.6089,0,2,None,Down,1
303,310.9422,0,2,None,Right,1
304,311.3255,0,2,None,Up,2
305,311.6088,0,2,None,Up,2
