Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,16.13133,-1,-1,Login,None,-1
2,56.64789,0,0,Start,None,-1
3,58.36456,0,0,None,Left,1
4,58.86453,0,0,None,Left,1
5,59.11455,0,0,None,Left,1
6,59.41453,0,0,None,Up,1
7,60.38123,0,0,None,Up,1
8,60.71453,0,0,None,Up,1
9,61.16454,0,0,None,Up,1
10,61.49788,0,0,None,Right,1
11,61.78123,0,0,None,Right,1
12,62.14789,0,0,None,Right,1
13,62.41454,0,0,None,Down,0
14,63.18128,0,0,None,Left,1
15,63.66465,0,0,None,Left,1
16,63.93129,0,0,None,Down,0
17,64.51461,0,0,None,Down,0
18,64.78122,0,0,None,Right,1
19,65.0979,0,0,None,Right,1
20,65.53129,0,0,None,Down,0
21,65.86468,0,0,None,Down,0
22,78.18127,0,0,None,Down,0
23,78.43127,0,0,None,Left,1
24,78.69789,0,0,None,Left,1
25,78.94797,0,0,None,Left,1
26,79.21462,0,0,None,Left,1
27,79.46462,0,0,None,Down,1
28,80.03143,0,0,None,Down,1
29,80.29793,0,0,None,Down,1
30,80.66461,0,0,None,Right,1
31,80.96465,0,0,None,Right,1
32,81.21468,0,0,None,Right,1
33,81.46468,0,0,None,Right,1
34,81.73121,0,0,None,Right,1
35,81.98126,0,0,None,Right,1
36,82.23135,0,0,None,Right,2
37,82.4979,0,0,None,Right,2
38,86.08125,0,0,None,Right,2
39,86.8646,0,0,None,Left,1
40,87.13129,0,0,None,Left,1
41,87.48122,0,0,None,Down,0
42,87.81454,0,0,None,Left,1
43,88.06456,0,0,None,Down,1
44,88.31457,0,0,None,Right,2
45,88.56458,0,0,None,Right,2
46,89.49789,0,0,None,Right,2
47,90.11459,0,0,None,Down,1
48,90.66458,0,0,None,Right,1
49,90.94791,0,0,None,Right,1
50,91.23124,0,0,None,Up,1
51,91.48124,0,0,None,Left,2
52,91.49789,0,0,Success,None,-1
53,95.21457,0,1,Start,None,-1
54,96.93124,0,1,None,Left,1
55,97.19788,0,1,None,Left,1
56,98.01453,0,1,None,Right,1
57,98.26456,0,1,None,Right,1
58,98.51457,0,1,None,Right,1
59,98.78122,0,1,None,Right,1
60,99.04782,0,1,None,Right,1
61,99.29787,0,1,None,Right,1
62,99.74781,0,1,None,Right,1
63,99.99786,0,1,None,Right,1
64,100.5646,0,1,None,Down,1
65,101.2811,0,1,None,Left,1
66,101.6312,0,1,None,Left,1
67,101.8979,0,1,None,Left,1
68,102.1479,0,1,None,Left,1
69,102.4145,0,1,None,Left,1
70,102.6645,0,1,None,Up,1
71,102.9312,0,1,None,Up,1
72,103.1812,0,1,None,Up,0
73,103.4312,0,1,None,Left,1
74,103.8312,0,1,None,Up,0
75,104.5146,0,1,None,Left,1
76,104.8146,0,1,None,Up,0
77,105.1646,0,1,None,Up,0
78,105.4312,0,1,None,Left,1
79,105.6812,0,1,None,Left,1
80,105.9312,0,1,None,Up,1
81,106.6646,0,1,None,Up,1
82,106.9645,0,1,None,Up,1
83,107.2813,0,1,None,Right,1
84,107.5313,0,1,None,Right,1
85,107.7813,0,1,None,Down,0
86,108.3146,0,1,None,Left,1
87,108.5812,0,1,None,Down,0
88,108.9812,0,1,None,Right,1
89,109.2312,0,1,None,Right,1
90,109.4978,0,1,None,Down,0
91,109.7978,0,1,None,Right,1
92,110.0479,0,1,None,Right,1
93,110.2979,0,1,None,Right,1
94,110.5479,0,1,None,Right,1
95,110.8645,0,1,None,Right,1
96,111.1645,0,1,None,Right,1
97,111.4645,0,1,None,Down,0
98,111.9313,0,1,None,Right,1
