Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,32.43813,-1,-1,Login,None,-1
2,72.92147,0,0,Start,None,-1
3,78.1048,0,0,None,Right,1
4,78.50476,0,0,None,Left,1
5,81.78806,0,0,None,Up,1
6,82.10477,0,0,None,Right,1
7,84.45477,0,0,None,Right,1
8,84.70477,0,0,None,Right,2
9,85.38809,0,0,None,Right,2
10,85.65472,0,0,None,Right,2
11,85.90475,0,0,None,Right,2
12,86.30474,0,0,None,Down,1
13,86.3214,0,0,Success,None,-1
14,89.0881,0,1,Start,None,-1
15,92.75477,0,1,None,Right,1
16,93.10471,0,1,None,Right,1
17,93.45475,0,1,None,Right,1
18,93.70475,0,1,None,Right,1
19,94.4548,0,1,None,Right,1
20,94.90481,0,1,None,Right,1
21,96.63805,0,1,None,Down,1
22,97.02145,0,1,None,Left,1
23,97.30479,0,1,None,Left,1
24,97.57138,0,1,None,Left,1
25,97.8214,0,1,None,Left,1
26,98.2048,0,1,None,Up,1
27,98.7048,0,1,None,Up,1
28,98.9548,0,1,None,Right,1
29,99.87145,0,1,None,Down,1
30,100.2047,0,1,None,Down,1
31,100.5047,0,1,None,Right,1
32,101.7381,0,1,None,Left,1
33,102.0713,0,1,None,Left,1
34,102.3214,0,1,None,Up,1
35,104.5381,0,1,None,Down,1
36,104.938,0,1,None,Down,0
37,105.3048,0,1,None,Left,1
38,106.6547,0,1,None,Right,1
39,107.0381,0,1,None,Right,1
40,108.5047,0,1,None,Up,1
41,108.7713,0,1,None,Up,1
42,109.2714,0,1,None,Left,1
43,114.0547,0,1,Redo,None,0
44,115.0214,0,1,Redo,None,0
45,115.8214,0,1,Redo,None,0
46,117.7213,0,1,Undo,None,1
47,119.0047,0,1,None,Right,1
48,119.2547,0,1,None,Right,1
49,119.5047,0,1,None,Right,1
50,124.1714,0,1,None,Left,1
51,124.438,0,1,None,Left,1
52,124.7047,0,1,None,Left,1
53,125.238,0,1,None,Up,0
54,125.6547,0,1,None,Down,1
55,125.938,0,1,None,Down,1
56,129.6047,0,1,None,Left,1
57,130.788,0,1,None,Down,0
58,131.1047,0,1,None,Left,1
59,131.3713,0,1,None,Left,1
60,131.6547,0,1,None,Left,1
61,131.9047,0,1,None,Left,1
62,132.2547,0,1,None,Up,1
63,132.5213,0,1,None,Up,1
64,132.8213,0,1,None,Up,0
65,133.0713,0,1,None,Right,1
66,133.3213,0,1,None,Right,1
67,133.5714,0,1,None,Right,1
68,133.8214,0,1,None,Right,1
69,134.088,0,1,None,Right,1
70,134.3546,0,1,None,Right,1
71,134.7047,0,1,None,Right,1
72,134.9547,0,1,None,Right,1
73,135.2547,0,1,None,Right,1
74,135.5047,0,1,None,Right,1
75,135.9547,0,1,None,Down,1
76,136.238,0,1,None,Down,1
77,136.5047,0,1,None,Down,0
78,136.7547,0,1,None,Left,1
79,137.0213,0,1,None,Left,1
80,137.3047,0,1,None,Left,1
81,137.5547,0,1,None,Left,1
82,138.5047,0,1,None,Left,1
83,138.7547,0,1,None,Left,1
84,139.7547,0,1,None,Right,1
85,140.3713,0,1,None,Right,1
86,141.0047,0,1,None,Down,0
87,141.2547,0,1,None,Down,0
88,145.3047,0,1,Undo,None,1
89,145.7713,0,1,Undo,None,1
90,147.088,0,1,Redo,None,1
91,147.538,0,1,Redo,None,1
92,148.038,0,1,Redo,None,0
93,148.3713,0,1,Redo,None,0
94,148.638,0,1,Redo,None,0
95,151.4046,0,1,Pause,None,-1
96,154.338,0,1,Stop,None,-1
97,154.988,0,0,Start,None,-1
98,157.9713,0,0,None,Right,1
99,158.2213,0,0,None,Right,1
100,158.488,0,0,None,Right,2
101,159.538,0,0,None,Right,2
102,159.9546,0,0,None,Up,1
103,160.2047,0,0,None,Right,1
104,160.4713,0,0,None,Right,1
105,161.038,0,0,None,Down,1
106,161.0546,0,0,Success,None,-1
107,166.8713,0,1,Start,None,-1
108,171.2879,0,1,None,Left,1
109,171.5379,0,1,None,Left,1
110,171.8046,0,1,None,Left,1
111,172.0713,0,1,None,Left,1
112,172.338,0,1,None,Down,1
113,172.6046,0,1,None,Down,1
114,172.8546,0,1,None,Down,1
115,173.1046,0,1,None,Down,1
116,173.3546,0,1,None,Down,1
117,173.6213,0,1,None,Right,1
118,173.8713,0,1,None,Right,1
119,174.1379,0,1,None,Right,1
120,174.388,0,1,None,Right,1
121,174.6546,0,1,None,Right,1
122,174.9212,0,1,None,Right,1
123,175.1713,0,1,None,Right,1
124,175.4213,0,1,None,Right,1
125,175.6879,0,1,None,Right,1
126,175.9379,0,1,None,Right,1
127,176.1879,0,1,None,Right,1
128,176.4379,0,1,None,Right,1
129,176.7046,0,1,None,Right,1
130,176.9546,0,1,None,Right,1
131,177.2212,0,1,None,Up,1
132,177.4713,0,1,None,Up,1
133,177.7213,0,1,None,Up,1
134,177.9879,0,1,None,Up,1
135,178.2379,0,1,None,Left,1
136,178.4879,0,1,None,Left,1
137,178.7379,0,1,None,Left,1
138,179.0046,0,1,None,Left,1
139,179.3379,0,1,None,Up,1
140,181.0213,0,1,None,Down,1
141,181.3046,0,1,None,Right,1
142,181.8713,0,1,None,Up,1
143,183.1546,0,1,None,Down,1
144,183.5546,0,1,None,Left,1
145,183.8046,0,1,None,Left,1
146,184.0546,0,1,None,Left,1
147,186.0046,0,1,None,Right,1
148,186.2546,0,1,None,Right,1
149,186.5212,0,1,None,Right,1
150,186.7713,0,1,None,Right,1
151,187.0379,0,1,None,Right,1
152,187.3046,0,1,None,Right,1
153,187.7546,0,1,None,Down,1
154,188.0046,0,1,None,Down,1
155,188.2713,0,1,None,Down,1
156,188.5379,0,1,None,Down,1
157,188.8046,0,1,None,Left,1
158,189.0546,0,1,None,Left,1
159,189.3212,0,1,None,Left,1
160,189.5712,0,1,None,Left,1
161,197.1046,0,1,None,Left,1
162,197.3546,0,1,None,Left,1
163,197.6212,0,1,None,Left,1
164,197.8712,0,1,None,Left,1
165,198.1212,0,1,None,Left,1
166,198.3712,0,1,None,Left,1
167,198.6212,0,1,None,Left,1
168,199.0046,0,1,None,Up,1
169,199.2712,0,1,None,Up,1
170,199.5712,0,1,None,Right,2
171,199.8212,0,1,None,Right,2
172,200.0712,0,1,None,Right,2
173,200.3379,0,1,None,Right,2
174,200.9712,0,1,None,Right,2
175,201.2379,0,1,None,Right,3
176,202.5045,0,1,None,Down,1
177,202.7546,0,1,None,Down,1
178,204.4879,0,1,None,Right,1
179,204.9212,0,1,None,Up,1
180,205.5546,0,1,None,Right,1
181,205.9546,0,1,None,Up,0
182,206.2046,0,1,None,Up,0
183,208.7045,0,1,Pause,None,-1
184,209.5045,0,1,Restart,None,-1
185,210.8712,0,1,None,Right,1
186,211.3546,0,1,None,Down,1
187,211.6046,0,1,None,Down,0
188,211.9045,0,1,None,Right,1
189,212.1546,0,1,None,Right,1
190,212.4212,0,1,None,Right,1
191,212.6712,0,1,None,Right,1
192,212.9212,0,1,None,Right,1
193,213.1879,0,1,None,Right,1
194,213.4379,0,1,None,Right,1
195,213.6903,0,1,None,Right,1
196,213.9567,0,1,None,Down,1
197,214.2231,0,1,None,Down,1
198,214.4895,0,1,None,Down,1
199,214.7559,0,1,None,Down,1
200,215.0223,0,1,None,Down,1
201,215.2887,0,1,None,Left,1
202,215.5551,0,1,None,Left,1
203,215.8215,0,1,None,Left,1
204,216.0879,0,1,None,Left,1
205,216.3545,0,1,None,Left,1
206,216.6046,0,1,None,Left,1
207,216.8712,0,1,None,Left,1
208,217.1212,0,1,None,Left,1
209,217.3879,0,1,None,Left,1
210,217.6545,0,1,None,Left,1
211,218.0213,0,1,None,Up,1
212,219.1379,0,1,None,Right,1
213,219.3879,0,1,None,Right,1
214,219.6379,0,1,None,Right,1
215,219.9045,0,1,None,Right,1
216,220.1712,0,1,None,Right,1
217,220.4213,0,1,None,Right,1
218,220.6713,0,1,None,Right,1
219,220.9378,0,1,None,Right,1
220,221.1879,0,1,None,Right,1
221,221.4379,0,1,None,Up,1
222,221.8881,0,1,None,Left,1
223,222.1712,0,1,None,Up,1
224,222.4713,0,1,None,Right,2
225,225.2714,0,1,None,Down,1
226,225.7046,0,1,None,Left,1
227,225.9547,0,1,None,Left,1
228,226.2047,0,1,None,Left,1
229,226.4712,0,1,None,Left,1
230,226.7213,0,1,None,Left,1
231,226.9879,0,1,None,Left,1
232,227.2545,0,1,None,Left,1
233,227.5046,0,1,None,Left,1
234,227.7712,0,1,None,Left,1
235,228.0213,0,1,None,Left,1
236,228.2713,0,1,None,Left,1
237,228.5379,0,1,None,Left,1
238,229.1712,0,1,None,Up,1
239,229.4212,0,1,None,Up,1
240,229.6713,0,1,None,Up,1
241,229.9379,0,1,None,Right,1
242,230.1879,0,1,None,Right,1
243,230.4379,0,1,None,Right,1
244,230.7046,0,1,None,Right,1
245,230.9712,0,1,None,Right,1
246,231.2212,0,1,None,Right,1
247,234.1212,0,1,None,Right,1
248,234.8046,0,1,None,Right,1
249,235.0546,0,1,None,Right,1
250,236.4045,0,1,None,Up,1
251,236.7046,0,1,None,Right,1
252,237.2546,0,1,None,Right,1
253,237.5046,0,1,None,Right,1
254,237.7712,0,1,None,Down,1
255,238.0212,0,1,None,Down,0
256,238.2879,0,1,None,Right,1
257,238.5379,0,1,None,Right,1
258,238.7879,0,1,None,Right,1
259,239.0546,0,1,None,Down,1
260,239.3046,0,1,None,Down,1
261,239.5712,0,1,None,Down,1
262,239.8378,0,1,None,Down,1
263,240.0879,0,1,None,Left,1
264,240.3379,0,1,None,Left,1
265,240.5879,0,1,None,Left,1
266,240.8545,0,1,None,Left,1
267,241.1212,0,1,None,Left,1
268,241.3878,0,1,None,Left,1
269,241.6379,0,1,None,Left,1
270,241.9045,0,1,None,Left,1
271,242.1545,0,1,None,Left,1
272,242.4045,0,1,None,Up,1
273,242.6545,0,1,None,Up,1
274,242.9212,0,1,None,Up,0
275,243.1879,0,1,None,Left,1
276,243.438,0,1,None,Left,2
277,244.7045,0,1,None,Left,3
278,245.1878,0,1,None,Left,3
279,246.3045,0,1,None,Down,1
280,246.5711,0,1,None,Down,1
281,246.8212,0,1,None,Left,1
282,247.0712,0,1,None,Left,1
283,247.3378,0,1,None,Left,1
284,247.5879,0,1,None,Left,0
285,247.8379,0,1,None,Left,0
286,248.1047,0,1,None,Up,1
287,248.3712,0,1,None,Up,1
288,248.6212,0,1,None,Up,1
289,249.0045,0,1,None,Right,1
290,249.4545,0,1,None,Right,1
291,249.8046,0,1,None,Down,2
292,250.5712,0,1,None,Up,1
293,250.8712,0,1,None,Left,1
294,251.1212,0,1,None,Left,1
295,251.3878,0,1,None,Left,0
296,251.6378,0,1,None,Left,0
297,251.9046,0,1,None,Down,1
298,252.1712,0,1,None,Down,1
299,252.7711,0,1,None,Right,1
300,253.0212,0,1,None,Right,2
301,253.2712,0,1,None,Right,2
302,253.5378,0,1,None,Right,2
303,253.7878,0,1,None,Right,2
304,254.0379,0,1,None,Right,2
305,254.3046,0,1,None,Right,2
306,254.5712,0,1,None,Right,2
307,254.8378,0,1,None,Right,2
308,255.0878,0,1,None,Right,2
309,255.3378,0,1,None,Right,2
310,255.6046,0,1,None,Right,2
311,256.7879,0,1,None,Down,1
312,257.0878,0,1,None,Right,1
313,257.4713,0,1,None,Up,2
314,258.4046,0,1,None,Left,1
315,258.8712,0,1,None,Left,1
316,259.2212,0,1,None,Down,1
317,259.8378,0,1,None,Left,1
318,260.3546,0,1,None,Right,1
319,260.6046,0,1,None,Right,1
320,260.8712,0,1,None,Right,1
321,261.3712,0,1,None,Right,1
322,261.7212,0,1,None,Right,1
323,262.0546,0,1,None,Up,1
324,262.3546,0,1,None,Up,1
325,262.7712,0,1,None,Left,3
326,263.2212,0,1,None,Right,1
327,263.5545,0,1,None,Up,1
328,263.8378,0,1,None,Left,1
329,264.2045,0,1,None,Up,1
330,264.4545,0,1,None,Left,1
331,264.7212,0,1,None,Left,1
332,265.0212,0,1,None,Up,1
333,265.3878,0,1,None,Left,1
334,279.7211,0,1,Pause,None,-1
335,281.1378,0,1,Resume,None,-1
336,282.1046,0,1,Pause,None,-1
337,282.9044,0,1,Stop,None,-1
338,291.9044,0,0,Start,None,-1
339,310.1877,0,0,Pause,None,-1
340,312.1044,0,0,Stop,None,-1
341,312.6711,0,1,Start,None,-1
342,320.8376,0,1,None,Left,1
343,321.0877,0,1,None,Left,1
344,321.3377,0,1,None,Left,1
345,321.5877,0,1,None,Left,1
346,321.8544,0,1,None,Down,1
347,322.1044,0,1,None,Down,1
348,322.3544,0,1,None,Down,1
349,322.6211,0,1,None,Down,1
350,322.8711,0,1,None,Down,1
351,323.1377,0,1,None,Up,1
352,323.3877,0,1,None,Up,1
353,323.671,0,1,None,Up,1
354,323.9711,0,1,None,Up,1
355,324.271,0,1,None,Up,1
356,324.5211,0,1,None,Up,1
357,324.8211,0,1,None,Up,1
358,325.3377,0,1,None,Up,1
359,325.7544,0,1,None,Right,1
360,326.1877,0,1,None,Right,4
361,326.8377,0,1,None,Up,1
362,327.0877,0,1,None,Up,1
363,327.3377,0,1,None,Right,1
364,327.6044,0,1,None,Right,1
365,327.8544,0,1,None,Right,1
366,328.1044,0,1,None,Right,1
367,328.3544,0,1,None,Right,1
368,328.7544,0,1,None,Down,1
369,329.021,0,1,None,Down,1
370,329.7044,0,1,None,Left,1
371,330.021,0,1,None,Left,4
372,339.7211,0,1,None,Right,1
