Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,18.05082,-1,-1,Login,None,-1
2,60.96703,0,0,Start,None,-1
3,74.30035,0,0,None,Left,1
4,74.61699,0,0,None,Right,1
5,74.86699,0,0,None,Right,1
6,75.38366,0,0,None,Right,1
7,76.28364,0,0,None,Right,2
8,78.517,0,0,None,Right,2
9,79.4003,0,0,None,Down,1
10,79.71698,0,0,None,Right,1
11,80.35033,0,0,None,Right,1
12,80.70027,0,0,None,Up,1
13,80.71693,0,0,Success,None,-1
14,85.88362,0,0,Start,None,-1
15,87.36695,0,0,None,Up,1
16,87.68364,0,0,None,Up,0
17,88.01697,0,0,None,Up,0
18,88.31695,0,0,None,Right,1
19,88.95029,0,0,None,Right,1
20,89.21696,0,0,None,Right,2
21,89.4836,0,0,None,Right,2
22,89.96698,0,0,None,Right,2
23,90.31693,0,0,None,Down,1
24,90.58358,0,0,None,Right,1
25,90.60023,0,0,Success,None,-1
26,93.25025,0,1,Start,None,-1
27,98.11693,0,1,None,Right,1
28,98.46693,0,1,None,Right,1
29,98.73358,0,1,None,Right,1
30,98.98365,0,1,None,Right,1
31,99.41692,0,1,None,Right,1
32,99.76691,0,1,None,Right,1
33,100.6503,0,1,None,Down,1
34,101.0003,0,1,None,Left,1
35,101.2669,0,1,None,Left,1
36,101.6169,0,1,None,Left,1
37,102.0502,0,1,None,Up,1
38,102.4503,0,1,None,Left,1
39,107.7169,0,1,None,Down,1
40,108.2669,0,1,None,Right,1
41,108.6336,0,1,None,Right,1
42,109.0003,0,1,None,Right,1
43,109.3669,0,1,None,Up,1
44,109.6335,0,1,None,Up,1
45,109.9002,0,1,None,Left,1
46,110.1503,0,1,None,Left,1
47,110.4169,0,1,None,Up,0
48,110.8336,0,1,None,Right,1
49,111.2336,0,1,None,Right,1
50,111.4836,0,1,None,Right,1
51,111.7502,0,1,None,Down,1
52,112.1002,0,1,None,Left,1
53,112.3502,0,1,None,Left,1
54,112.9169,0,1,None,Left,1
55,113.2169,0,1,None,Left,1
56,113.4835,0,1,None,Down,1
57,113.8669,0,1,None,Right,1
58,114.1502,0,1,None,Right,1
59,114.4169,0,1,None,Up,1
60,114.7669,0,1,None,Up,1
61,115.0502,0,1,None,Left,1
62,116.5502,0,1,None,Down,1
63,116.8669,0,1,None,Left,1
64,117.2003,0,1,None,Left,1
65,117.4835,0,1,None,Up,1
66,117.7502,0,1,None,Up,0
67,118.1002,0,1,None,Left,1
68,118.3668,0,1,None,Left,1
69,118.6168,0,1,None,Left,1
70,118.9503,0,1,None,Left,1
71,119.4669,0,1,None,Left,1
72,119.7169,0,1,None,Left,1
73,119.9669,0,1,None,Left,0
74,120.2835,0,1,None,Left,0
75,120.5502,0,1,None,Down,1
76,120.8002,0,1,None,Down,1
77,121.1169,0,1,None,Down,1
78,121.6503,0,1,None,Right,1
79,122.1002,0,1,None,Down,1
80,122.4002,0,1,None,Right,1
81,122.7503,0,1,None,Right,2
82,123.0668,0,1,None,Right,3
83,124.2003,0,1,None,Right,3
84,124.6169,0,1,None,Right,3
85,124.8835,0,1,None,Right,3
86,125.1835,0,1,None,Right,3
87,125.9669,0,1,None,Down,1
88,126.2336,0,1,None,Left,1
89,126.5002,0,1,None,Left,1
90,126.7502,0,1,None,Left,1
91,127.0002,0,1,None,Left,1
92,127.2669,0,1,None,Left,1
93,127.6669,0,1,None,Left,1
94,127.9835,0,1,None,Up,1
95,128.3168,0,1,None,Up,1
96,128.7835,0,1,None,Right,0
97,129.0668,0,1,None,Up,1
98,129.3335,0,1,None,Right,1
99,129.6501,0,1,None,Right,1
100,129.9502,0,1,None,Right,1
101,130.2335,0,1,None,Right,1
102,130.4835,0,1,None,Right,1
103,130.7335,0,1,None,Right,1
104,130.7501,0,1,Success,None,-1
105,134.6168,0,0,Start,None,-1
106,137.4335,0,0,Undo,None,0
107,138.9834,0,0,None,Right,1
108,139.5668,0,0,None,Right,1
109,139.8168,0,0,None,Right,2
110,140.0668,0,0,None,Right,2
111,140.5835,0,0,None,Down,1
112,140.8501,0,0,None,Right,1
113,141.3168,0,0,None,Right,1
114,141.5834,0,0,None,Up,1
115,141.6001,0,0,Success,None,-1
116,144.2168,0,2,Start,None,-1
117,150.7668,0,2,None,Right,1
118,151.0501,0,2,None,Right,1
119,151.5501,0,2,None,Right,2
120,151.8168,0,2,Defeat,None,-1
121,153.8835,0,2,Restart,None,-1
122,155.6834,0,2,None,Left,1
123,155.9834,0,2,None,Left,2
124,156.3834,0,2,None,Left,2
125,156.7168,0,2,None,Down,1
126,157.0001,0,2,None,Down,1
127,157.3501,0,2,None,Down,1
128,157.6167,0,2,None,Down,1
129,157.9668,0,2,None,Right,1
130,158.2334,0,2,None,Right,1
131,158.5668,0,2,None,Right,1
132,158.8334,0,2,None,Right,1
133,159.1168,0,2,None,Right,1
134,159.5001,0,2,None,Right,1
135,159.8501,0,2,None,Right,1
136,160.1668,0,2,None,Right,1
137,160.4833,0,2,None,Right,1
138,160.8667,0,2,None,Right,1
139,161.2334,0,2,None,Right,1
140,161.6001,0,2,None,Right,1
141,161.9167,0,2,None,Up,1
142,162.2167,0,2,None,Up,1
143,162.4667,0,2,None,Up,1
144,162.7334,0,2,None,Up,1
145,162.9834,0,2,None,Left,1
146,163.2334,0,2,None,Left,1
147,163.6001,0,2,None,Left,1
148,163.6168,0,2,Success,None,-1
149,166.15,0,3,Start,None,-1
150,171.9834,0,3,None,Right,1
151,172.3668,0,3,None,Right,1
152,172.85,0,3,None,Right,2
153,173.3333,0,3,None,Right,2
154,173.6667,0,3,None,Down,1
155,174.0001,0,3,None,Right,1
156,174.3001,0,3,None,Right,1
157,174.6167,0,3,None,Up,1
158,174.6334,0,3,Success,None,-1
159,191.05,1,0,Start,None,-1
160,194.3666,1,0,None,Up,1
161,195,1,0,None,Right,1
162,195.4166,1,0,None,Up,1
163,196.05,1,0,None,Up,1
164,196.5166,1,0,None,Right,1
165,197.05,1,0,None,Down,1
166,197.4999,1,0,None,Up,1
167,197.7666,1,0,None,Up,1
168,198.15,1,0,None,Left,1
169,198.45,1,0,None,Left,1
170,198.8,1,0,None,Left,1
171,199.3666,1,0,None,Down,2
172,199.6333,1,0,Defeat,None,-1
173,202.1167,1,0,Restart,None,-1
174,203.7167,1,0,None,Up,1
175,204.2166,1,0,None,Right,1
176,204.6,1,0,None,Down,1
177,204.95,1,0,None,Down,1
178,205.25,1,0,None,Down,1
179,205.9832,1,0,None,Up,1
180,206.2333,1,0,None,Up,1
181,206.4999,1,0,None,Up,1
182,206.8166,1,0,None,Right,1
183,207.1666,1,0,None,Right,1
184,207.5499,1,0,None,Right,1
185,207.9832,1,0,None,Down,1
186,208.6833,1,0,None,Left,0
187,209.5499,1,0,None,Right,1
188,210.2666,1,0,None,Down,2
189,212.5833,1,0,None,Right,1
190,215.3833,1,0,None,Down,0
191,220.1332,1,0,None,Left,1
192,220.3832,1,0,None,Left,1
193,220.8832,1,0,None,Up,1
194,221.2999,1,0,None,Left,0
195,221.5667,1,0,None,Up,1
196,221.8332,1,0,None,Left,1
197,222.1499,1,0,None,Up,1
198,222.4332,1,0,None,Up,1
199,222.9999,1,0,None,Right,1
200,223.5333,1,0,None,Right,1
201,223.9165,1,0,None,Right,1
202,224.2499,1,0,None,Right,1
203,224.7165,1,0,None,Right,1
204,225.0499,1,0,None,Down,1
205,225.3832,1,0,None,Down,1
206,225.6832,1,0,None,Down,1
207,226.0165,1,0,None,Down,1
208,228.3665,1,0,None,Up,1
209,228.6999,1,0,None,Up,1
210,229.2,1,0,None,Up,1
211,229.4665,1,0,None,Left,1
212,229.7332,1,0,None,Left,1
213,230.0665,1,0,None,Up,1
214,230.3331,1,0,None,Left,1
215,230.6832,1,0,None,Left,1
216,230.9332,1,0,None,Left,1
217,231.1832,1,0,None,Down,1
218,231.4998,1,0,None,Down,1
219,231.7499,1,0,None,Right,1
220,232.0499,1,0,None,Down,1
221,232.3499,1,0,None,Right,1
222,232.6498,1,0,None,Down,1
223,232.9503,1,0,None,Down,2
224,233.3166,1,0,None,Up,1
225,233.5832,1,0,None,Left,1
226,233.8499,1,0,None,Up,1
227,234.0999,1,0,None,Up,1
228,234.4831,1,0,None,Up,0
229,234.7832,1,0,None,Left,1
230,235.0499,1,0,None,Up,1
231,235.3998,1,0,None,Up,1
232,235.6499,1,0,None,Up,1
233,235.8999,1,0,None,Right,1
234,236.1999,1,0,None,Right,1
235,236.5332,1,0,None,Right,1
236,236.9498,1,0,None,Right,1
237,237.2665,1,0,None,Right,1
238,237.5665,1,0,None,Down,1
239,237.8331,1,0,None,Down,1
240,238.0998,1,0,None,Down,1
241,238.3499,1,0,None,Down,1
242,238.6165,1,0,None,Down,1
243,238.9832,1,0,None,Left,2
244,239.3499,1,0,None,Left,2
245,241.0998,1,0,None,Left,2
246,241.3832,1,0,None,Down,1
247,241.6498,1,0,None,Left,1
248,241.8998,1,0,None,Up,2
249,242.4998,1,0,None,Right,1
250,242.9831,1,0,None,Left,1
251,243.2998,1,0,None,Up,2
252,246.4665,1,0,Undo,None,2
253,246.9665,1,0,Undo,None,1
254,247.3498,1,0,Undo,None,1
255,247.6832,1,0,Undo,None,2
256,247.9332,1,0,Undo,None,1
257,248.1999,1,0,Undo,None,1
258,248.4665,1,0,Undo,None,2
259,248.7331,1,0,Undo,None,2
260,248.9831,1,0,Undo,None,2
261,249.6998,1,0,Undo,None,1
262,249.9499,1,0,Undo,None,1
263,250.2665,1,0,Undo,None,1
264,250.9665,1,0,Redo,None,1
265,251.8999,1,0,Redo,None,1
266,252.4165,1,0,Undo,None,1
267,252.6665,1,0,Undo,None,1
268,253.0331,1,0,Undo,None,1
269,253.2831,1,0,Undo,None,1
270,253.5331,1,0,Undo,None,1
271,253.7998,1,0,Undo,None,1
272,254.0998,1,0,Undo,None,1
273,254.4331,1,0,Undo,None,1
274,254.7832,1,0,Undo,None,1
275,255.1499,1,0,Undo,None,1
276,255.4831,1,0,Undo,None,1
277,255.8165,1,0,Undo,None,1
278,256.1498,1,0,Undo,None,1
279,256.4665,1,0,Undo,None,1
280,256.7997,1,0,Undo,None,1
281,257.1331,1,0,Undo,None,1
282,257.4998,1,0,Undo,None,1
283,257.7498,1,0,Undo,None,2
284,258.1665,1,0,Undo,None,1
285,258.6165,1,0,Undo,None,1
286,259.7998,1,0,Undo,None,1
287,263.6831,1,0,Undo,None,1
288,264.0164,1,0,Undo,None,1
289,264.2664,1,0,Undo,None,1
290,264.5831,1,0,Undo,None,1
291,264.9165,1,0,Undo,None,1
292,265.2665,1,0,Undo,None,1
293,265.6165,1,0,Undo,None,1
294,265.9998,1,0,Undo,None,1
295,266.2498,1,0,Undo,None,1
296,266.4998,1,0,Undo,None,1
297,266.8164,1,0,Undo,None,1
298,267.1664,1,0,Undo,None,1
299,267.6165,1,0,Undo,None,1
300,267.8831,1,0,Undo,None,1
301,268.1331,1,0,Undo,None,1
302,268.4498,1,0,Undo,None,1
303,268.7997,1,0,Undo,None,1
304,269.0664,1,0,Undo,None,1
305,269.383,1,0,Undo,None,1
306,269.6331,1,0,Undo,None,1
307,269.9831,1,0,Undo,None,1
