Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,7.749491,-1,-1,Login,None,-1
2,34.54935,0,0,Start,None,-1
3,42.53274,0,0,None,Right,1
4,45.28275,0,0,None,Right,1
5,45.71607,0,0,None,Right,2
6,46.33274,0,0,None,Right,2
7,47.11603,0,0,None,Up,1
8,47.64935,0,0,None,Right,1
9,47.89938,0,0,None,Right,1
10,48.31601,0,0,None,Down,1
11,48.3327,0,0,Success,None,-1
12,51.8827,0,1,Start,None,-1
13,53.16608,0,1,None,Right,1
14,53.46603,0,1,None,Right,1
15,53.84933,0,1,None,Right,1
16,54.54935,0,1,None,Right,1
17,54.96603,0,1,None,Right,1
18,56.88268,0,1,None,Right,1
19,59.26608,0,1,None,Left,1
20,59.88268,0,1,None,Right,1
21,61.79933,0,1,Pause,None,-1
22,63.01599,0,1,Stop,None,-1
23,65.58263,0,1,Start,None,-1
24,67.49928,0,1,None,Right,1
25,67.93268,0,1,None,Right,1
26,68.18268,0,1,None,Right,1
27,68.44932,0,1,None,Right,1
28,68.71594,0,1,None,Right,1
29,69.08266,0,1,None,Down,1
30,69.43267,0,1,None,Left,1
31,69.79931,0,1,None,Right,1
32,70.04931,0,1,None,Right,1
33,70.33262,0,1,None,Up,1
34,73.08276,0,1,Pause,None,-1
35,74.616,0,1,Resume,None,-1
36,75.73268,0,1,Pause,None,-1
37,76.33267,0,1,Stop,None,-1
38,81.01595,0,1,Start,None,-1
39,82.28261,0,1,None,Up,1
40,82.56602,0,1,None,Up,0
41,82.94928,0,1,None,Up,0
42,83.43259,0,1,None,Left,1
43,83.69929,0,1,None,Left,1
44,83.94929,0,1,None,Left,1
45,84.46597,0,1,None,Down,1
46,84.716,0,1,None,Down,1
47,85.04926,0,1,None,Down,1
48,85.29926,0,1,None,Down,1
49,85.63263,0,1,None,Right,2
50,85.89926,0,1,None,Right,3
51,86.59926,0,1,None,Down,1
52,86.88271,0,1,None,Right,1
53,87.24924,0,1,None,Right,1
54,87.49928,0,1,None,Right,1
55,87.74928,0,1,None,Right,1
56,88.0159,0,1,None,Right,1
57,88.26595,0,1,None,Right,1
58,89.16597,0,1,None,Right,1
59,89.53271,0,1,None,Right,1
60,89.93261,0,1,None,Right,1
61,90.19925,0,1,None,Right,1
62,90.44929,0,1,None,Right,1
63,90.76595,0,1,None,Up,1
64,91.01597,0,1,None,Up,1
65,91.5826,0,1,None,Up,1
66,91.89927,0,1,None,Up,1
67,92.24926,0,1,None,Left,1
68,92.4993,0,1,None,Left,1
69,92.76591,0,1,None,Left,1
70,93.0326,0,1,None,Left,1
71,93.29919,0,1,None,Left,1
72,93.74924,0,1,None,Right,1
73,94.1826,0,1,None,Down,1
74,94.58259,0,1,None,Up,1
75,95.36594,0,1,None,Right,1
76,95.84924,0,1,None,Right,1
77,96.11593,0,1,None,Right,1
78,96.54925,0,1,None,Down,1
79,96.81587,0,1,None,Down,1
80,97.66596,0,1,None,Left,0
81,98.03255,0,1,None,Down,1
82,98.28265,0,1,None,Left,2
83,98.54925,0,1,None,Left,3
84,98.81588,0,1,None,Left,3
85,99.06591,0,1,None,Left,3
86,99.38251,0,1,None,Left,3
87,100.0159,0,1,None,Down,1
88,100.5659,0,1,None,Right,1
89,100.8326,0,1,None,Right,1
90,101.1492,0,1,None,Right,1
91,101.516,0,1,None,Right,1
92,101.7661,0,1,None,Right,1
93,102.2326,0,1,None,Up,1
94,102.4826,0,1,None,Up,1
95,102.7326,0,1,None,Up,1
96,103.0326,0,1,None,Up,1
97,103.4826,0,1,None,Left,1
98,103.7326,0,1,None,Left,1
99,104.116,0,1,None,Left,1
100,104.3825,0,1,None,Left,1
101,104.6326,0,1,None,Down,1
102,104.9325,0,1,None,Left,1
103,105.1826,0,1,None,Left,1
104,105.1992,0,1,Success,None,-1
105,111.649,0,2,Start,None,-1
106,114.5825,0,2,None,Right,1
107,114.9825,0,2,None,Right,1
108,115.4658,0,2,None,Right,2
109,115.7159,0,2,Defeat,None,-1
110,117.0658,0,2,Restart,None,-1
111,118.0492,0,2,None,Left,1
112,118.6992,0,2,None,Left,2
113,119.3492,0,2,None,Left,2
114,119.8159,0,2,None,Down,1
115,120.0825,0,2,None,Down,1
116,120.6325,0,2,None,Down,1
117,120.8991,0,2,None,Down,1
118,121.4991,0,2,None,Right,1
119,121.7492,0,2,None,Right,1
120,121.9992,0,2,None,Right,1
121,122.2658,0,2,None,Right,1
122,122.5159,0,2,None,Right,1
123,122.7825,0,2,None,Right,1
124,123.0325,0,2,None,Right,1
125,123.2991,0,2,None,Right,1
126,123.5492,0,2,None,Right,1
127,123.8159,0,2,None,Right,1
128,124.0825,0,2,None,Right,1
129,124.3325,0,2,None,Right,1
130,124.5826,0,2,None,Up,1
131,124.8491,0,2,None,Up,1
132,125.1825,0,2,None,Up,1
133,125.7825,0,2,None,Up,1
134,126.0825,0,2,None,Left,1
135,126.3325,0,2,None,Left,1
136,126.5826,0,2,None,Left,1
137,126.5992,0,2,Success,None,-1
138,128.7493,0,3,Start,None,-1
139,131.5325,0,3,None,Left,1
140,131.7825,0,3,None,Left,1
141,132.0325,0,3,None,Left,1
142,132.6325,0,3,None,Down,1
143,133.2158,0,3,None,Up,1
144,133.4824,0,3,None,Up,1
145,134.2159,0,3,None,Right,1
146,134.466,0,3,None,Right,1
147,134.7325,0,3,None,Right,1
148,134.9826,0,3,None,Right,1
149,135.2491,0,3,None,Right,1
150,135.4991,0,3,None,Right,2
151,135.7491,0,3,None,Right,2
152,135.9991,0,3,None,Right,2
153,136.2491,0,3,None,Right,2
154,136.7991,0,3,None,Down,1
155,136.8158,0,3,Success,None,-1
156,143.7824,1,0,Start,None,-1
157,146.5491,1,0,None,Up,1
158,147.0158,1,0,None,Right,1
159,147.4991,1,0,None,Up,1
160,147.7991,1,0,None,Right,1
161,148.1159,1,0,None,Up,1
162,148.4325,1,0,None,Right,1
163,148.7158,1,0,None,Right,1
164,148.9825,1,0,None,Right,1
165,149.249,1,0,None,Right,1
166,149.8658,1,0,None,Right,1
167,152.6826,1,0,None,Left,1
168,153.2658,1,0,None,Right,1
169,156.9824,1,0,None,Right,1
170,157.3991,1,0,None,Down,1
171,157.6658,1,0,None,Down,1
172,158.0824,1,0,None,Down,1
173,158.4658,1,0,None,Down,1
174,158.7658,1,0,None,Left,2
175,159.3658,1,0,None,Right,1
176,159.6825,1,0,None,Up,1
177,159.9491,1,0,None,Up,1
178,160.5658,1,0,None,Up,1
179,160.8158,1,0,None,Up,1
180,161.2324,1,0,None,Left,1
181,161.7324,1,0,None,Right,1
182,161.9826,1,0,None,Right,1
183,162.6158,1,0,None,Right,1
184,163.0491,1,0,None,Right,1
185,163.4659,1,0,None,Right,1
186,165.3158,1,0,None,Right,1
187,165.7824,1,0,None,Right,1
188,171.2324,1,0,Redo,None,0
189,171.7657,1,0,Redo,None,0
190,173.6491,1,0,Pause,None,-1
191,174.3324,1,0,Restart,None,-1
192,175.699,1,0,None,Left,1
193,176.0657,1,0,None,Up,1
194,176.3324,1,0,None,Up,1
195,176.749,1,0,None,Up,2
196,176.999,1,0,Defeat,None,-1
197,179.4823,1,0,Restart,None,-1
198,180.6324,1,0,None,Right,1
199,181.099,1,0,None,Up,1
200,181.4824,1,0,None,Right,1
201,181.8157,1,0,None,Right,1
202,182.2323,1,0,None,Up,1
203,182.549,1,0,None,Up,1
204,182.9824,1,0,None,Right,1
205,183.249,1,0,None,Right,1
206,183.8657,1,0,None,Down,1
207,184.1157,1,0,None,Down,0
208,184.3824,1,0,None,Down,0
209,184.6657,1,0,None,Up,1
210,184.9157,1,0,None,Right,1
211,185.1823,1,0,None,Right,1
212,185.7823,1,0,None,Up,1
213,186.3323,1,0,None,Down,1
214,186.8157,1,0,None,Right,1
215,187.549,1,0,None,Down,1
216,187.799,1,0,None,Right,1
217,188.049,1,0,None,Right,1
218,188.3823,1,0,None,Right,1
219,188.6323,1,0,None,Right,1
220,188.9823,1,0,None,Right,1
221,189.3824,1,0,None,Right,1
222,189.7324,1,0,None,Down,4
223,190.699,1,0,None,Left,1
224,191.0323,1,0,None,Down,1
225,191.3657,1,0,None,Down,1
226,191.7824,1,0,None,Right,0
227,192.549,1,0,None,Left,1
228,195.2657,1,0,None,Left,1
229,195.5324,1,0,None,Left,1
230,195.7824,1,0,None,Left,1
231,196.2157,1,0,None,Left,1
232,196.6657,1,0,None,Left,2
233,197.8157,1,0,None,Left,3
234,198.7823,1,0,None,Right,1
235,199.1157,1,0,None,Down,1
236,199.4657,1,0,None,Left,0
237,199.8489,1,0,None,Down,1
238,200.1489,1,0,None,Left,1
239,200.5489,1,0,None,Left,1
240,200.8157,1,0,None,Up,1
241,201.0823,1,0,None,Up,2
242,202.3325,1,0,None,Right,1
243,202.7823,1,0,None,Down,0
244,203.4989,1,0,None,Left,1
245,203.9156,1,0,None,Down,1
246,204.1656,1,0,None,Left,1
247,204.4823,1,0,None,Up,2
248,204.749,1,0,None,Up,2
249,205.0657,1,0,None,Up,0
250,205.9657,1,0,None,Down,1
251,206.2657,1,0,None,Right,1
252,206.5823,1,0,None,Up,0
253,208.6156,1,0,Undo,None,1
254,208.9323,1,0,Undo,None,1
255,209.2322,1,0,Undo,None,2
256,209.4823,1,0,Undo,None,2
257,209.8489,1,0,Undo,None,1
258,210.1989,1,0,Undo,None,1
259,210.5324,1,0,Undo,None,1
260,210.8656,1,0,Undo,None,1
261,211.1156,1,0,Undo,None,2
262,213.0656,1,0,Pause,None,-1
263,213.7489,1,0,Restart,None,-1
264,215.4489,1,0,None,Right,1
265,216.1656,1,0,None,Right,1
266,216.9156,1,0,None,Up,1
267,217.2823,1,0,None,Up,1
268,217.7322,1,0,None,Right,1
269,218.1322,1,0,None,Up,1
270,218.3989,1,0,None,Right,1
271,218.6655,1,0,None,Right,1
272,219.2656,1,0,None,Right,1
273,219.5322,1,0,None,Right,1
274,221.4156,1,0,None,Left,1
275,221.7322,1,0,None,Left,1
276,222.1322,1,0,None,Left,1
277,222.3823,1,0,None,Left,1
278,222.6327,1,0,None,Left,1
279,223.0822,1,0,None,Left,1
280,223.7322,1,0,None,Down,1
281,224.2322,1,0,None,Right,1
282,224.5322,1,0,None,Right,1
283,224.9822,1,0,None,Down,1
284,225.3156,1,0,None,Right,1
285,225.7822,1,0,None,Down,1
286,226.0822,1,0,None,Right,1
287,226.3822,1,0,None,Down,2
288,227.3156,1,0,None,Down,2
289,231.4822,1,0,Redo,None,0
290,231.7322,1,0,Redo,None,0
291,231.9822,1,0,Redo,None,0
292,232.2322,1,0,Redo,None,0
293,233.3322,1,0,Redo,None,0
294,234.4155,1,0,Undo,None,2
295,234.6656,1,0,Undo,None,2
296,234.9489,1,0,Undo,None,1
297,236.3989,1,0,None,Left,0
298,236.9322,1,0,None,Down,1
299,237.4988,1,0,None,Down,1
300,238.5155,1,0,None,Down,0
301,238.9822,1,0,None,Up,1
302,239.9988,1,0,None,Right,2
303,240.6155,1,0,None,Right,3
304,241.3488,1,0,None,Left,1
305,241.6822,1,0,None,Down,1
306,241.9822,1,0,None,Right,0
307,242.4655,1,0,None,Down,1
308,242.7155,1,0,None,Right,1
309,243.0488,1,0,None,Right,1
310,243.2988,1,0,None,Right,1
311,243.7155,1,0,None,Up,1
312,243.9655,1,0,None,Up,2
313,244.2322,1,0,None,Up,2
314,245.9155,1,0,None,Up,2
315,246.4988,1,0,None,Up,2
316,246.9655,1,0,None,Left,1
317,247.2655,1,0,None,Up,1
318,247.5322,1,0,None,Right,2
319,247.7822,1,0,None,Right,2
320,249.0322,1,0,None,Up,1
321,249.4156,1,0,None,Right,1
322,249.7822,1,0,None,Right,1
323,250.2156,1,0,None,Down,1
324,250.6822,1,0,None,Left,2
325,250.9655,1,0,None,Left,2
326,251.3656,1,0,None,Left,2
327,251.6655,1,0,None,Left,2
328,251.9321,1,0,None,Left,2
329,252.3655,1,0,None,Left,2
330,252.6321,1,0,None,Left,2
331,253.1821,1,0,None,Left,2
332,253.5321,1,0,None,Left,2
333,253.9988,1,0,None,Down,1
334,254.2988,1,0,None,Left,1
335,254.7155,1,0,None,Left,1
336,255.0654,1,0,None,Up,2
337,255.3155,1,0,Defeat,None,-1
338,257.1987,1,0,Undo,None,-1
339,258.4655,1,0,None,Right,1
340,262.0655,1,0,None,Right,1
341,262.3488,1,0,None,Up,1
342,262.6154,1,0,None,Up,1
343,262.9655,1,0,None,Left,1
344,263.3154,1,0,None,Down,2
345,263.7488,1,0,None,Right,1
346,264.0655,1,0,None,Down,1
347,264.3321,1,0,None,Left,2
348,264.8655,1,0,None,Left,2
349,265.2488,1,0,None,Right,1
350,265.5322,1,0,None,Right,1
351,265.7987,1,0,None,Right,1
352,266.0488,1,0,None,Right,0
353,266.2988,1,0,None,Right,0
354,266.5488,1,0,None,Right,0
355,266.7988,1,0,None,Right,0
356,267.2655,1,0,None,Down,1
357,267.5322,1,0,None,Down,0
358,267.7988,1,0,None,Right,1
359,268.1825,1,0,None,Down,1
360,268.9155,1,0,None,Down,1
361,269.2155,1,0,None,Right,1
362,269.4655,1,0,None,Right,1
363,269.7155,1,0,None,Right,2
364,269.9821,1,0,None,Right,2
365,270.4821,1,0,None,Right,2
366,270.7321,1,0,None,Right,2
367,271.1155,1,0,None,Down,1
368,271.3821,1,0,None,Right,1
369,271.7654,1,0,None,Up,2
370,272.0154,1,0,None,Up,2
371,272.2821,1,0,None,Up,2
372,272.5321,1,0,None,Up,2
373,272.7821,1,0,None,Up,2
374,273.0487,1,0,None,Up,2
375,273.2987,1,0,None,Up,2
376,273.5487,1,0,None,Right,1
377,273.7987,1,0,None,Up,1
378,274.3321,1,0,None,Left,2
379,274.5822,1,0,None,Left,2
380,274.8487,1,0,None,Left,2
381,275.0987,1,0,None,Left,2
382,275.3655,1,0,None,Left,2
383,275.6654,1,0,None,Left,2
384,275.9321,1,0,None,Left,2
385,276.3154,1,0,None,Left,2
386,276.5821,1,0,None,Left,2
387,276.8321,1,0,None,Left,2
388,277.1487,1,0,None,Left,2
389,277.5154,1,0,None,Left,2
390,277.8654,1,0,None,Up,1
391,278.1987,1,0,None,Left,1
392,278.4487,1,0,None,Down,2
393,278.7654,1,0,None,Down,2
394,279.0655,1,0,None,Right,1
395,279.3987,1,0,None,Right,1
396,279.6487,1,0,None,Right,1
397,279.8987,1,0,None,Right,1
398,280.1821,1,0,None,Right,1
399,280.5154,1,0,None,Right,1
400,280.9154,1,0,None,Right,1
401,281.1654,1,0,None,Right,1
402,281.4821,1,0,None,Down,1
403,281.7321,1,0,None,Down,1
404,281.7487,1,0,Success,None,-1
405,284.2821,1,1,Start,None,-1
406,287.9654,1,1,None,Up,1
407,288.7154,1,1,None,Down,1
408,289.2654,1,1,None,Up,1
409,289.5487,1,1,None,Right,1
410,289.8154,1,1,None,Right,0
411,290.282,1,1,None,Left,1
412,290.8155,1,1,None,Left,1
413,291.8487,1,1,None,Left,1
