Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,21.95945,-1,-1,Login,None,-1
2,53.84283,0,0,Start,None,-1
3,71.70941,0,0,None,Right,1
4,72.726,0,0,None,Right,1
5,73.12608,0,0,None,Right,2
6,74.60933,0,0,None,Right,2
7,74.85938,0,0,None,Right,2
8,75.19271,0,0,None,Right,2
9,75.20936,0,0,Success,None,-1
10,78.69262,0,1,Start,None,-1
11,82.75935,0,1,None,Right,1
12,83.00939,0,1,None,Right,1
13,83.25941,0,1,None,Right,1
14,83.80934,0,1,None,Right,1
15,84.12608,0,1,None,Right,1
16,84.39265,0,1,None,Right,1
17,86.15937,0,1,None,Left,1
18,86.44267,0,1,None,Left,1
19,86.70941,0,1,None,Left,1
20,86.97601,0,1,None,Left,1
21,87.29267,0,1,None,Left,1
22,88.20934,0,1,None,Left,1
23,88.45934,0,1,None,Left,1
24,89.35938,0,1,None,Right,1
25,89.62601,0,1,None,Right,1
26,91.1926,0,1,None,Right,1
27,91.45937,0,1,None,Right,1
28,92.076,0,1,None,Left,1
29,92.47599,0,1,None,Left,1
30,93.9593,0,1,None,Right,1
31,94.25934,0,1,None,Right,1
32,99.94263,0,1,None,Down,1
33,100.2093,0,1,None,Down,0
34,100.476,0,1,None,Down,0
35,100.726,0,1,None,Up,1
36,101.076,0,1,None,Up,1
37,101.8093,0,1,None,Down,1
38,102.276,0,1,None,Down,1
39,103.6093,0,1,None,Right,1
40,103.8594,0,1,None,Right,1
41,104.126,0,1,None,Right,1
42,104.3925,0,1,None,Right,1
43,104.6426,0,1,None,Right,1
44,104.9094,0,1,None,Left,1
45,105.7427,0,1,None,Up,1
46,106.026,0,1,None,Left,1
47,106.376,0,1,None,Left,1
48,106.6426,0,1,None,Left,1
49,106.9093,0,1,None,Left,1
50,107.1594,0,1,None,Left,1
51,107.7926,0,1,None,Left,1
52,116.4261,0,1,None,Left,1
53,116.6926,0,1,None,Left,1
54,117.326,0,1,None,Down,1
55,117.5926,0,1,None,Down,0
56,118.276,0,1,None,Up,1
57,118.5426,0,1,None,Up,1
58,120.3593,0,1,None,Right,1
59,120.6427,0,1,None,Right,1
60,125.0426,0,1,None,Right,1
61,125.3593,0,1,None,Right,1
62,125.6259,0,1,None,Right,1
63,125.9259,0,1,None,Down,1
64,126.3926,0,1,None,Down,1
65,126.7593,0,1,None,Left,1
66,127.1759,0,1,None,Left,1
67,128.3093,0,1,Redo,None,0
68,128.9093,0,1,Redo,None,0
69,129.9092,0,1,Redo,None,0
70,130.7426,0,1,Redo,None,0
71,131.0092,0,1,Redo,None,0
72,131.2593,0,1,Redo,None,0
73,131.9259,0,1,Undo,None,1
74,132.5093,0,1,Undo,None,1
75,133.6426,0,1,Redo,None,1
76,136.8425,0,1,None,Up,1
77,137.1092,0,1,None,Up,1
78,137.3592,0,1,None,Up,0
79,138.1093,0,1,None,Right,1
80,138.3759,0,1,None,Right,1
81,138.6259,0,1,None,Right,1
82,138.8925,0,1,None,Right,1
83,139.2926,0,1,None,Down,1
84,139.6426,0,1,None,Left,1
85,140.6092,0,1,None,Left,1
86,140.8592,0,1,None,Left,1
87,141.4759,0,1,None,Left,1
88,141.7259,0,1,None,Left,1
89,142.7259,0,1,None,Left,1
90,150.6759,0,1,Redo,None,0
91,151.5759,0,1,None,Right,1
92,151.8425,0,1,None,Right,1
93,153.0425,0,1,None,Right,1
94,154.0258,0,1,None,Right,1
95,154.2925,0,1,None,Right,1
96,155.3092,0,1,None,Left,1
97,155.9592,0,1,None,Left,1
98,156.6093,0,1,None,Left,1
99,157.1425,0,1,None,Left,1
100,157.3925,0,1,None,Left,1
101,158.4093,0,1,None,Down,1
102,158.6758,0,1,None,Down,0
103,158.9258,0,1,None,Right,1
104,159.3092,0,1,None,Right,1
105,159.7759,0,1,None,Right,1
106,160.6925,0,1,None,Left,1
107,161.1258,0,1,None,Left,1
108,161.3758,0,1,None,Left,1
109,162.6258,0,1,None,Right,1
110,163.2092,0,1,None,Right,1
111,163.7759,0,1,None,Right,1
112,164.6758,0,1,None,Left,1
113,165.0925,0,1,None,Left,1
114,166.3758,0,1,None,Up,1
115,166.7758,0,1,None,Right,1
116,167.2758,0,1,None,Right,1
