Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,16.61866,-1,-1,Login,None,-1
2,59.25218,0,0,Start,None,-1
3,76.63549,0,0,None,Right,1
4,76.88549,0,0,None,Right,1
5,77.48546,0,0,None,Right,2
6,78.43546,0,0,None,Right,2
7,79.03542,0,0,None,Right,2
8,84.71882,0,0,None,Right,2
9,84.73547,0,0,Success,None,-1
10,91.80208,0,1,Start,None,-1
11,104.7354,0,1,None,Right,1
12,105.0188,0,1,None,Right,1
13,105.3355,0,1,None,Right,1
14,106.5187,0,1,None,Right,1
15,106.7687,0,1,None,Right,1
16,107.9521,0,1,None,Right,1
17,111.0187,0,1,None,Right,1
18,111.5855,0,1,None,Right,1
19,112.0855,0,1,None,Left,1
20,112.3522,0,1,None,Left,1
21,112.6187,0,1,None,Left,1
22,112.8688,0,1,None,Left,1
23,113.1355,0,1,None,Left,1
24,113.4521,0,1,None,Up,1
25,113.9854,0,1,None,Down,1
26,114.2855,0,1,None,Down,1
27,115.0521,0,1,None,Left,1
28,115.4521,0,1,None,Right,1
29,115.8354,0,1,None,Right,1
30,116.2856,0,1,None,Right,1
31,116.5854,0,1,None,Right,1
32,117.2021,0,1,None,Up,1
33,118.0187,0,1,None,Up,1
34,118.5521,0,1,None,Left,1
35,118.8187,0,1,None,Left,1
36,119.0687,0,1,None,Left,1
37,119.3187,0,1,None,Left,1
38,119.9187,0,1,None,Down,1
39,120.452,0,1,None,Right,1
40,120.7021,0,1,None,Right,1
41,120.9687,0,1,None,Right,1
42,121.2187,0,1,None,Right,1
43,121.852,0,1,None,Right,1
44,122.1021,0,1,None,Right,1
45,122.3688,0,1,None,Right,1
46,122.8019,0,1,None,Right,1
47,123.2354,0,1,None,Right,1
48,123.4854,0,1,None,Right,0
49,124.1353,0,1,None,Left,1
50,124.4018,0,1,None,Left,1
51,124.7688,0,1,None,Left,1
52,125.0354,0,1,None,Left,1
53,125.4186,0,1,None,Left,1
54,125.6852,0,1,None,Left,1
55,125.9518,0,1,None,Left,1
56,126.3518,0,1,None,Left,1
57,126.7518,0,1,None,Down,1
58,127.5184,0,1,None,Down,0
59,128.7184,0,1,None,Up,1
60,129.0684,0,1,None,Up,1
61,129.8854,0,1,None,Right,1
62,130.1853,0,1,None,Right,1
63,130.5854,0,1,None,Right,1
64,131.052,0,1,None,Down,1
65,138.2354,0,1,None,Down,1
66,139.802,0,1,None,Left,1
67,140.0686,0,1,None,Left,1
68,145.452,0,1,Redo,None,0
69,146.4687,0,1,Redo,None,0
70,147.7186,0,1,None,Left,1
71,148.1353,0,1,None,Left,1
72,148.952,0,1,None,Up,1
73,149.2686,0,1,None,Up,1
74,149.5353,0,1,None,Up,0
75,149.7853,0,1,None,Up,0
76,150.052,0,1,None,Left,1
77,150.302,0,1,None,Left,1
78,150.552,0,1,None,Left,1
79,150.8021,0,1,None,Left,1
80,151.0521,0,1,None,Left,1
81,151.3187,0,1,None,Left,1
82,151.6187,0,1,None,Left,1
83,152.0854,0,1,None,Up,1
84,152.3854,0,1,None,Up,1
85,152.652,0,1,None,Up,1
86,152.902,0,1,None,Right,1
87,153.1687,0,1,None,Right,1
88,153.4353,0,1,None,Right,1
89,154.102,0,1,None,Left,1
90,154.352,0,1,None,Left,1
91,154.6186,0,1,None,Left,1
92,155.0019,0,1,None,Down,1
93,155.252,0,1,None,Down,1
94,155.5186,0,1,None,Down,1
95,155.7851,0,1,None,Down,1
96,156.7352,0,1,Pause,None,-1
97,160.302,0,1,Restart,None,-1
98,161.5019,0,1,Pause,None,-1
99,162.602,0,1,Stop,None,-1
100,169.6183,0,1,Start,None,-1
101,171.6517,0,1,None,Down,1
102,173.2516,0,1,None,Down,0
103,173.9017,0,1,None,Left,1
104,174.235,0,1,None,Left,1
105,174.5017,0,1,None,Left,1
106,175.2186,0,1,None,Down,1
107,175.6519,0,1,None,Down,1
108,176.1018,0,1,None,Right,2
109,176.5685,0,1,None,Right,3
110,177.085,0,1,None,Right,3
111,177.3517,0,1,None,Right,3
112,177.6017,0,1,None,Right,3
113,177.8517,0,1,None,Right,3
114,179.4522,0,1,None,Left,1
115,179.7186,0,1,None,Left,1
116,179.985,0,1,None,Left,1
117,180.3352,0,1,None,Left,1
118,180.5852,0,1,None,Left,1
119,180.8517,0,1,None,Left,1
120,181.1183,0,1,None,Left,1
121,181.4183,0,1,None,Up,1
122,181.785,0,1,None,Up,1
123,182.1017,0,1,None,Up,1
124,182.385,0,1,None,Right,1
125,182.7516,0,1,None,Right,1
126,183.1016,0,1,None,Right,1
127,183.4516,0,1,None,Right,1
128,183.7016,0,1,None,Right,1
129,184.0683,0,1,None,Right,1
130,184.3683,0,1,None,Right,1
131,184.385,0,1,Success,None,-1
132,188.1686,0,2,Start,None,-1
133,195.5352,0,2,None,Right,1
134,195.8019,0,2,None,Right,1
135,196.6186,0,2,None,Up,1
136,196.9352,0,2,None,Right,2
137,197.1853,0,2,Defeat,None,-1
138,200.4352,0,2,Restart,None,-1
139,201.1521,0,2,None,Left,1
140,201.4519,0,2,None,Left,2
141,201.8685,0,2,None,Left,2
142,202.4019,0,2,None,Up,1
143,202.7019,0,2,None,Left,1
144,202.9519,0,2,None,Left,1
145,203.3019,0,2,None,Down,1
146,203.7019,0,2,None,Right,2
147,203.9519,0,2,None,Right,2
148,204.2019,0,2,None,Right,2
149,204.5852,0,2,None,Right,2
150,204.9352,0,2,None,Right,2
151,206.0519,0,2,None,Down,1
152,206.3019,0,2,None,Right,1
153,206.6352,0,2,None,Up,2
154,207.2352,0,2,None,Left,1
155,207.5852,0,2,None,Up,1
156,208.0352,0,2,None,Right,2
157,208.3852,0,2,None,Right,3
158,208.6352,0,2,Defeat,None,-1
159,213.9185,0,2,Restart,None,-1
160,214.8685,0,2,None,Left,1
161,215.1352,0,2,None,Left,2
162,215.4352,0,2,None,Left,2
163,215.9518,0,2,None,Up,1
164,216.2685,0,2,None,Left,1
165,216.5185,0,2,None,Left,1
166,216.8685,0,2,None,Down,1
167,217.4519,0,2,None,Right,2
168,217.7352,0,2,None,Right,2
169,217.9852,0,2,None,Right,2
170,218.2519,0,2,None,Right,2
171,218.5184,0,2,None,Right,2
172,218.7685,0,2,None,Right,2
173,219.0685,0,2,None,Right,3
174,219.3186,0,2,Defeat,None,-1
175,220.7518,0,2,Restart,None,-1
176,221.4685,0,2,None,Right,1
177,221.9018,0,2,None,Right,1
178,222.1853,0,2,None,Right,2
179,222.4518,0,2,Defeat,None,-1
180,223.5351,0,2,Restart,None,-1
181,226.1351,0,2,None,Left,1
182,226.4185,0,2,None,Left,2
183,226.7851,0,2,None,Left,2
184,227.2352,0,2,None,Down,1
185,227.4852,0,2,None,Down,1
186,227.7852,0,2,None,Down,1
187,228.1351,0,2,None,Down,1
188,228.4852,0,2,None,Right,1
189,228.7352,0,2,None,Right,1
190,229.0017,0,2,None,Right,1
191,229.3018,0,2,None,Right,1
192,229.6685,0,2,None,Right,1
193,230.0184,0,2,None,Right,1
194,230.3352,0,2,None,Right,1
195,230.7018,0,2,None,Right,1
196,231.0352,0,2,None,Right,1
197,231.4185,0,2,None,Right,1
198,231.7352,0,2,None,Right,1
199,232.0685,0,2,None,Right,1
200,232.6851,0,2,None,Up,1
201,232.9351,0,2,None,Up,1
202,233.1852,0,2,None,Up,1
203,233.4684,0,2,None,Up,1
204,233.7352,0,2,None,Left,1
205,234.0018,0,2,None,Left,1
206,234.2519,0,2,None,Left,1
207,234.2686,0,2,Success,None,-1
208,237.6684,0,3,Start,None,-1
209,245.4351,0,3,None,Right,1
210,245.7017,0,3,None,Right,1
211,245.9518,0,3,None,Right,2
212,246.2851,0,3,None,Right,2
213,246.835,0,3,None,Down,1
214,247.1184,0,3,None,Right,1
215,247.385,0,3,None,Right,1
216,247.6351,0,3,None,Up,1
217,247.6517,0,3,Success,None,-1
218,266.1517,1,0,Start,None,-1
219,268.8684,1,0,None,Left,1
220,269.885,1,0,None,Right,1
221,270.2017,1,0,None,Right,1
222,270.4518,1,0,None,Up,1
223,270.8351,1,0,None,Up,1
224,271.3017,1,0,None,Up,1
225,271.635,1,0,None,Right,1
226,272.0018,1,0,None,Right,1
227,272.385,1,0,None,Right,1
228,272.635,1,0,None,Right,1
