Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,17.66716,-1,-1,Login,None,-1
2,65.08382,0,0,Start,None,-1
3,116.067,0,0,None,Right,1
4,117.9003,0,0,None,Left,1
5,118.4336,0,0,None,Right,1
6,118.8502,0,0,None,Left,1
7,135.517,0,0,None,Right,1
8,135.8169,0,0,None,Right,1
9,136.2169,0,0,None,Right,2
10,137.8669,0,0,None,Up,0
11,139.0836,0,0,None,Right,2
12,139.717,0,0,None,Up,1
13,140.2169,0,0,None,Right,1
14,140.6003,0,0,None,Right,1
15,141.0336,0,0,None,Down,1
16,141.0502,0,0,Success,None,-1
17,145.9836,0,1,Start,None,-1
18,162.267,0,1,None,Right,1
19,162.5336,0,1,None,Right,1
20,167.3504,0,1,None,Down,1
21,167.7503,0,1,None,Down,0
22,168.3004,0,1,None,Down,0
23,170.367,0,1,None,Up,1
24,170.617,0,1,None,Up,1
25,171.5836,0,1,None,Down,1
26,172.267,0,1,None,Right,1
27,174.1837,0,1,None,Right,1
28,177.2836,0,1,None,Down,1
29,177.5336,0,1,None,Down,0
30,178.5003,0,1,None,Left,1
31,179.4336,0,1,None,Up,1
32,179.9669,0,1,None,Up,1
33,180.6002,0,1,None,Right,1
34,181.7003,0,1,None,Right,1
35,182.2336,0,1,None,Left,1
36,183.1336,0,1,None,Down,1
37,186.8501,0,1,None,Right,1
38,187.1002,0,1,None,Right,1
39,188.4669,0,1,None,Down,1
40,188.7335,0,1,None,Down,0
41,189.717,0,1,None,Up,1
42,190.9669,0,1,None,Right,1
43,191.2502,0,1,None,Right,1
44,191.5835,0,1,None,Right,1
45,191.8504,0,1,None,Right,1
46,192.2835,0,1,None,Down,1
47,192.5335,0,1,None,Down,1
48,192.7836,0,1,None,Down,1
49,193.0502,0,1,None,Down,1
50,193.6002,0,1,None,Left,1
51,193.8503,0,1,None,Left,1
52,194.5002,0,1,None,Left,1
53,195.0501,0,1,None,Up,1
54,196.3001,0,1,None,Right,2
55,198.4169,0,1,None,Right,2
56,199.3668,0,1,None,Down,1
57,200.0168,0,1,None,Right,1
58,200.8335,0,1,None,Up,2
59,201.1668,0,1,None,Up,2
60,201.4169,0,1,None,Up,2
61,206.7169,0,1,None,Right,1
62,207.2669,0,1,None,Up,1
63,207.9169,0,1,None,Left,2
64,208.1835,0,1,None,Left,2
65,208.4336,0,1,None,Left,2
66,208.7336,0,1,None,Left,2
67,210.2003,0,1,None,Up,1
68,210.8502,0,1,None,Left,1
69,211.2168,0,1,None,Left,1
70,213.1002,0,1,None,Down,1
71,213.6502,0,1,None,Right,2
72,214.1669,0,1,None,Right,2
73,214.5169,0,1,None,Right,2
74,215.1335,0,1,None,Right,2
75,215.7668,0,1,None,Up,1
76,216.1004,0,1,None,Right,1
77,216.6169,0,1,None,Down,2
78,216.8669,0,1,None,Down,2
79,217.1172,0,1,None,Down,2
80,218.0668,0,1,None,Right,1
81,218.5501,0,1,None,Down,1
82,218.8668,0,1,None,Left,2
83,219.1169,0,1,None,Left,2
84,220.4169,0,1,None,Down,1
85,220.8002,0,1,None,Left,1
86,221.0502,0,1,None,Left,1
87,221.3168,0,1,None,Left,1
88,221.5668,0,1,None,Left,1
89,221.8168,0,1,None,Left,1
90,222.0668,0,1,None,Left,1
91,222.3168,0,1,None,Left,1
92,222.5668,0,1,None,Left,1
93,222.8335,0,1,None,Left,1
94,223.1502,0,1,None,Left,1
95,223.4002,0,1,None,Left,1
96,223.9335,0,1,None,Up,0
97,225.0835,0,1,None,Right,1
98,225.5502,0,1,None,Up,1
99,225.8668,0,1,None,Right,2
100,226.1168,0,1,None,Right,2
101,226.3835,0,1,None,Right,2
102,226.6335,0,1,None,Right,2
103,230.4669,0,1,None,Down,1
104,231.1335,0,1,None,Right,1
105,231.5334,0,1,None,Right,1
106,232.0668,0,1,None,Up,1
107,233.1503,0,1,None,Right,2
108,233.5002,0,1,None,Right,3
109,233.9001,0,1,None,Right,3
110,235.2001,0,1,None,Right,3
111,235.7168,0,1,None,Down,1
112,236.2834,0,1,None,Right,1
113,237.4168,0,1,None,Up,2
114,243.0668,0,1,Undo,None,2
115,243.4501,0,1,Undo,None,1
116,243.8335,0,1,Undo,None,1
117,244.1002,0,1,Undo,None,3
118,245.9001,0,1,None,Down,1
119,246.2334,0,1,None,Right,1
120,247.3501,0,1,None,Up,2
121,249.0668,0,1,None,Down,1
122,250.8501,0,1,None,Up,1
123,255.3668,0,1,None,Up,2
124,256.4001,0,1,None,Right,1
125,256.6667,0,1,None,Right,1
126,257.1001,0,1,None,Down,1
127,257.8001,0,1,None,Left,2
128,258.1168,0,1,None,Left,2
129,259.0002,0,1,None,Down,1
130,259.5668,0,1,None,Left,1
131,259.8334,0,1,None,Left,1
132,260.0834,0,1,None,Left,1
133,260.3501,0,1,None,Left,1
134,260.6001,0,1,None,Left,1
135,260.8501,0,1,None,Left,1
136,261.5167,0,1,None,Up,1
137,263.8834,0,1,None,Right,2
138,264.2002,0,1,None,Right,2
139,264.5501,0,1,None,Right,2
140,265.8167,0,1,None,Down,1
141,266.0667,0,1,None,Down,1
142,266.7501,0,1,None,Right,1
143,267.0001,0,1,None,Right,1
144,267.2667,0,1,None,Right,1
145,267.5333,0,1,None,Right,1
146,268.2168,0,1,None,Up,1
147,268.5501,0,1,None,Up,1
148,269.5833,0,1,None,Up,1
149,269.8667,0,1,None,Up,1
150,270.1168,0,1,None,Up,1
151,270.6168,0,1,None,Left,1
152,270.9001,0,1,None,Left,1
153,272.0167,0,1,None,Down,1
154,272.2667,0,1,None,Down,0
155,277.0501,0,1,None,Right,2
156,277.3001,0,1,None,Right,2
157,277.8667,0,1,None,Up,1
158,280.7167,0,1,Undo,None,1
159,281.7833,0,1,Undo,None,2
160,282.9501,0,1,None,Up,1
161,283.7834,0,1,None,Right,1
162,284.1001,0,1,None,Down,2
163,284.3667,0,1,None,Down,2
164,284.6334,0,1,None,Down,2
165,285.3667,0,1,None,Right,1
166,285.7334,0,1,None,Down,1
167,286.55,0,1,None,Left,2
168,286.8,0,1,None,Left,2
169,287.05,0,1,None,Left,2
170,287.3,0,1,None,Left,2
171,288.0001,0,1,None,Down,1
172,288.3167,0,1,None,Left,1
173,288.8001,0,1,None,Up,2
174,301.8501,0,1,None,Right,1
175,303.0667,0,1,None,Right,1
176,303.3167,0,1,None,Right,1
177,304.1667,0,1,None,Left,1
178,304.45,0,1,None,Left,1
179,304.7001,0,1,None,Left,1
180,304.9667,0,1,None,Left,1
181,305.6167,0,1,None,Up,1
182,306.5167,0,1,None,Right,4
183,306.8167,0,1,None,Right,4
184,309.2002,0,1,None,Down,1
185,309.5333,0,1,None,Down,1
186,309.7833,0,1,None,Down,1
187,310.0333,0,1,None,Right,1
188,310.2833,0,1,None,Right,1
189,310.55,0,1,None,Right,1
190,310.8167,0,1,None,Right,1
191,311.35,0,1,None,Right,0
192,312.25,0,1,None,Up,1
193,312.5,0,1,None,Up,1
194,312.7667,0,1,None,Up,1
195,313.0333,0,1,None,Up,1
196,313.5999,0,1,None,Left,1
197,313.9667,0,1,None,Left,1
198,314.3499,0,1,None,Down,2
199,314.6667,0,1,None,Down,2
200,315.2666,0,1,None,Right,1
201,316.2,0,1,None,Down,1
202,316.4999,0,1,None,Left,2
203,316.9167,0,1,None,Left,2
204,317.1833,0,1,None,Left,2
205,317.45,0,1,None,Left,2
206,317.75,0,1,None,Left,2
207,318.0167,0,1,None,Left,2
208,318.3167,0,1,None,Left,2
209,318.5667,0,1,None,Left,2
210,318.8167,0,1,None,Left,2
211,319.5,0,1,None,Left,2
212,320.2667,0,1,None,Down,1
213,320.6833,0,1,None,Left,1
214,321.15,0,1,None,Up,2
215,321.6666,0,1,None,Up,2
216,322.5666,0,1,None,Right,1
217,322.8166,0,1,None,Right,1
218,323.0833,0,1,None,Right,1
219,323.3833,0,1,None,Right,1
220,323.6334,0,1,None,Right,1
221,323.9,0,1,None,Right,1
222,324.1833,0,1,None,Right,1
223,324.4333,0,1,None,Right,1
224,324.6833,0,1,None,Right,1
225,324.9333,0,1,None,Right,1
226,325.6166,0,1,None,Up,1
227,326.2167,0,1,None,Left,2
228,326.4832,0,1,None,Left,2
229,326.7332,0,1,None,Left,2
230,326.9833,0,1,None,Left,2
231,327.2501,0,1,None,Left,2
232,327.5166,0,1,None,Left,2
233,327.7832,0,1,None,Left,2
234,328.0333,0,1,None,Left,2
235,329.6,0,1,None,Right,1
236,329.8666,0,1,None,Right,1
237,330.1166,0,1,None,Right,1
238,330.3666,0,1,None,Right,1
239,330.6167,0,1,None,Right,1
240,330.8832,0,1,None,Right,1
241,331.2332,0,1,None,Right,1
242,331.6666,0,1,None,Right,1
243,332.3166,0,1,None,Up,1
244,333.0502,0,1,None,Up,1
245,333.6999,0,1,None,Left,1
246,333.95,0,1,None,Left,1
