Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,240.5763,-1,-1,Login,None,-1
2,312.5429,0,0,Start,None,-1
3,326.8262,0,0,None,Right,1
4,327.3262,0,0,None,Right,1
5,327.7262,0,0,None,Right,2
6,328.7596,0,0,None,Right,2
7,329.1595,0,0,None,Down,1
8,329.5596,0,0,None,Right,1
9,329.8762,0,0,None,Right,1
10,330.1762,0,0,None,Up,1
11,330.1928,0,0,Success,None,-1
12,342.6928,0,1,Start,None,-1
13,353.6428,0,1,None,Right,1
14,353.9095,0,1,None,Right,1
15,354.4928,0,1,None,Right,1
16,355.0594,0,1,None,Up,1
17,355.4594,0,1,None,Down,1
18,355.726,0,1,None,Down,1
19,356.6761,0,1,None,Right,1
20,358.1427,0,1,None,Up,1
21,358.8094,0,1,None,Right,1
22,359.1094,0,1,None,Right,1
23,360.1927,0,1,None,Right,1
24,360.4594,0,1,None,Left,1
25,360.7261,0,1,None,Left,1
26,361.0595,0,1,None,Left,1
27,361.326,0,1,None,Left,1
28,361.5761,0,1,None,Left,1
29,362.5594,0,1,None,Up,1
30,363.8095,0,1,None,Up,0
31,364.2261,0,1,None,Right,1
32,364.6761,0,1,None,Right,1
33,365.0594,0,1,None,Left,1
34,365.5928,0,1,None,Down,1
35,365.9095,0,1,None,Down,1
36,366.4595,0,1,None,Left,1
37,369.626,0,1,None,Up,1
38,369.876,0,1,None,Right,1
39,370.1261,0,1,None,Right,1
40,372.276,0,1,None,Right,1
41,373.1595,0,1,None,Left,1
42,373.4261,0,1,None,Left,1
43,373.7594,0,1,None,Down,1
44,374.1094,0,1,None,Down,0
45,374.5095,0,1,None,Up,1
46,374.7761,0,1,None,Up,1
47,375.1094,0,1,None,Left,1
48,379.6761,0,1,None,Down,1
49,380.0094,0,1,None,Down,1
50,380.3761,0,1,None,Right,1
51,380.7926,0,1,None,Right,1
52,381.0761,0,1,None,Down,0
53,381.3598,0,1,None,Right,1
54,381.7428,0,1,None,Up,1
55,382.026,0,1,None,Right,1
56,382.3261,0,1,None,Right,1
57,382.7594,0,1,None,Down,1
58,383.3927,0,1,None,Up,1
59,383.6427,0,1,None,Up,1
60,383.9094,0,1,None,Right,1
61,384.1594,0,1,None,Right,1
62,384.4094,0,1,None,Right,1
63,384.6594,0,1,None,Down,1
64,385.076,0,1,None,Down,1
65,385.3261,0,1,None,Down,1
66,385.6094,0,1,None,Left,1
67,385.976,0,1,None,Down,1
68,386.3426,0,1,None,Left,2
69,387.1927,0,1,None,Left,3
70,387.9594,0,1,None,Down,1
71,388.2094,0,1,None,Left,1
72,388.4594,0,1,None,Left,1
73,388.726,0,1,None,Left,1
74,389.276,0,1,None,Up,1
75,390.226,0,1,None,Down,1
76,390.4927,0,1,None,Right,1
77,390.7593,0,1,None,Right,1
78,391.026,0,1,None,Right,1
79,391.4261,0,1,None,Up,1
80,391.7261,0,1,None,Left,3
81,391.9927,0,1,None,Left,3
82,392.376,0,1,None,Left,3
83,392.9093,0,1,None,Left,3
84,393.226,0,1,None,Left,4
85,393.7761,0,1,None,Left,5
86,394.7094,0,1,None,Down,1
87,394.9594,0,1,None,Left,1
88,395.226,0,1,None,Left,1
89,395.4926,0,1,None,Left,1
90,395.7591,0,1,None,Left,1
91,396.0091,0,1,None,Left,1
92,396.5424,0,1,None,Up,1
93,396.8424,0,1,None,Right,5
94,398.8257,0,1,None,Right,5
95,399.3424,0,1,None,Right,5
96,399.5924,0,1,None,Right,5
97,399.8925,0,1,None,Right,5
98,400.1591,0,1,None,Right,5
99,400.4091,0,1,None,Right,5
100,400.6591,0,1,None,Right,5
101,400.9091,0,1,None,Right,5
102,401.5424,0,1,None,Down,1
103,401.7924,0,1,None,Right,1
104,402.1424,0,1,None,Right,1
105,402.3924,0,1,None,Right,1
106,402.6925,0,1,None,Right,1
107,402.9591,0,1,None,Up,2
108,403.2092,0,1,None,Up,2
109,403.4757,0,1,None,Up,2
110,403.8258,0,1,None,Right,1
111,404.0924,0,1,None,Up,1
112,404.3424,0,1,None,Left,2
113,404.5924,0,1,None,Left,2
114,404.8591,0,1,None,Left,2
115,405.6257,0,1,None,Left,2
116,408.2425,0,1,None,Up,1
117,408.5257,0,1,None,Left,1
118,408.9424,0,1,None,Down,2
119,409.6593,0,1,None,Left,1
120,409.9426,0,1,None,Down,1
121,410.1926,0,1,None,Right,2
122,410.5426,0,1,None,Right,2
123,411.1093,0,1,None,Right,2
124,416.5926,0,1,None,Up,1
125,416.9592,0,1,None,Right,1
126,417.2593,0,1,None,Right,1
127,417.6259,0,1,None,Down,1
128,417.9093,0,1,None,Left,2
129,418.1759,0,1,None,Left,2
130,418.426,0,1,None,Left,2
131,418.6926,0,1,None,Left,2
132,418.9426,0,1,None,Left,2
133,419.2593,0,1,None,Left,2
134,419.2759,0,1,Success,None,-1
135,431.2258,0,2,Start,None,-1
136,438.5093,0,2,None,Up,1
137,438.776,0,2,None,Right,1
138,439.0426,0,2,None,Right,1
139,439.626,0,2,None,Right,2
140,439.876,0,2,Defeat,None,-1
141,441.9595,0,2,Restart,None,-1
