Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,29.72819,-1,-1,Login,None,-1
2,122.4279,0,0,Start,None,-1
3,140.2445,0,0,None,Up,1
4,144.0279,0,0,None,Right,1
5,144.5779,0,0,None,Right,1
6,145.028,0,0,None,Right,2
7,145.5945,0,0,None,Right,2
8,147.728,0,0,None,Left,1
9,148.178,0,0,None,Left,1
10,148.8945,0,0,None,Down,1
11,151.5612,0,0,None,Right,2
12,152.6945,0,0,None,Up,1
13,153.3779,0,0,None,Right,1
14,154.2779,0,0,None,Left,1
15,154.7446,0,0,None,Down,1
16,155.1612,0,0,None,Right,2
17,155.4778,0,0,None,Right,2
18,161.0445,0,0,None,Up,0
19,161.7279,0,0,None,Left,1
20,164.8111,0,0,None,Up,1
21,165.2778,0,0,None,Right,2
22,167.8945,0,0,None,Up,0
23,168.3444,0,0,None,Up,0
24,169.0779,0,0,None,Left,1
25,172.2444,0,0,None,Down,1
26,172.4945,0,0,None,Down,1
27,173.0278,0,0,None,Right,1
28,173.2945,0,0,None,Right,1
29,173.6278,0,0,None,Right,1
30,174.7444,0,0,None,Up,1
31,175.3777,0,0,None,Left,2
32,175.3944,0,0,Success,None,-1
33,181.8111,0,1,Start,None,-1
34,190.0277,0,1,None,Right,1
35,191.211,0,1,None,Up,1
36,191.961,0,1,None,Right,1
37,192.3444,0,1,None,Right,1
38,193.3778,0,1,None,Right,1
39,194.3277,0,1,None,Left,1
40,194.8944,0,1,None,Left,1
41,196.7944,0,1,None,Down,1
42,197.2944,0,1,None,Right,1
43,197.6444,0,1,None,Right,1
44,197.9277,0,1,None,Right,1
45,198.2444,0,1,None,Right,1
46,199.3944,0,1,None,Left,1
47,199.6444,0,1,None,Left,1
48,199.8944,0,1,None,Left,1
49,200.1944,0,1,None,Left,1
50,200.461,0,1,None,Left,1
51,200.711,0,1,None,Down,1
52,201.2943,0,1,None,Right,1
53,201.5443,0,1,None,Right,1
54,201.7944,0,1,None,Right,1
55,202.261,0,1,None,Left,1
56,203.0444,0,1,None,Up,1
57,203.311,0,1,None,Up,1
58,203.561,0,1,None,Up,0
59,203.9777,0,1,None,Up,0
60,204.2776,0,1,None,Left,1
61,212.0943,0,1,None,Right,1
62,213.3109,0,1,None,Right,1
63,213.6777,0,1,None,Right,1
64,214.0444,0,1,None,Right,1
65,214.3443,0,1,None,Down,1
66,215.1943,0,1,None,Left,1
67,215.4444,0,1,None,Left,1
68,215.8777,0,1,None,Left,1
69,216.5109,0,1,None,Right,1
70,216.761,0,1,None,Right,1
71,217.0277,0,1,None,Right,1
72,217.2943,0,1,None,Right,1
73,217.5609,0,1,None,Left,1
74,217.8777,0,1,None,Left,1
75,218.2276,0,1,None,Left,1
76,218.4776,0,1,None,Left,1
77,218.8777,0,1,None,Down,1
78,219.3109,0,1,None,Right,1
