Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,18.19081,-1,-1,Login,None,-1
2,80.79066,0,0,Start,None,-1
3,89.30734,0,0,None,Right,1
4,90.17398,0,0,None,Right,1
5,90.65733,0,0,None,Right,2
6,91.87399,0,0,None,Right,2
7,92.25732,0,0,None,Right,2
8,92.72397,0,0,None,Right,2
9,92.74062,0,0,Success,None,-1
10,96.02392,0,1,Start,None,-1
11,107.1739,0,1,None,Right,1
12,107.5239,0,1,None,Right,1
13,109.4239,0,1,None,Up,1
14,109.7239,0,1,None,Right,1
15,110.524,0,1,None,Right,1
16,110.8739,0,1,None,Right,1
17,111.1906,0,1,None,Right,1
18,111.5572,0,1,None,Down,1
19,113.8073,0,1,None,Down,1
20,114.6239,0,1,None,Left,1
21,114.9406,0,1,None,Left,1
22,115.6239,0,1,None,Left,1
23,116.2573,0,1,None,Left,1
24,116.8739,0,1,None,Left,1
25,117.1739,0,1,None,Up,1
26,117.5073,0,1,None,Up,1
27,117.9739,0,1,None,Right,1
28,118.2406,0,1,None,Right,1
29,118.9073,0,1,None,Down,1
30,119.6406,0,1,None,Left,1
31,120.4073,0,1,None,Down,1
32,120.8573,0,1,None,Right,1
33,121.2239,0,1,None,Right,1
34,122.2406,0,1,None,Up,1
35,127.8406,0,1,None,Down,1
36,128.4573,0,1,None,Up,1
37,129.1572,0,1,None,Right,1
38,129.6072,0,1,None,Right,1
39,130.0405,0,1,None,Right,1
40,130.3406,0,1,None,Left,1
41,130.8239,0,1,None,Right,1
42,131.1572,0,1,None,Right,1
43,131.5239,0,1,None,Down,1
44,131.8905,0,1,None,Down,0
45,132.5573,0,1,None,Up,1
46,132.8238,0,1,None,Up,1
47,133.0905,0,1,None,Left,1
48,133.6739,0,1,None,Down,1
49,134.1572,0,1,None,Left,1
50,134.5405,0,1,None,Left,1
51,134.8572,0,1,None,Left,1
52,135.4072,0,1,None,Left,1
53,136.0239,0,1,None,Left,1
54,136.2906,0,1,None,Left,1
55,136.5905,0,1,None,Left,1
56,137.3072,0,1,None,Left,1
57,137.6238,0,1,None,Left,1
58,137.8906,0,1,None,Left,1
59,138.2739,0,1,None,Left,1
60,139.0905,0,1,None,Left,1
61,139.4739,0,1,None,Left,0
62,139.9239,0,1,None,Down,1
63,140.4239,0,1,None,Right,1
64,140.6905,0,1,None,Right,1
65,140.9405,0,1,None,Right,1
66,141.1905,0,1,None,Right,1
67,141.5239,0,1,None,Right,1
68,141.8072,0,1,None,Right,1
69,142.1239,0,1,None,Right,1
70,142.6072,0,1,None,Right,1
71,142.9905,0,1,None,Right,1
72,144.0238,0,1,None,Down,0
73,144.7072,0,1,None,Left,1
74,145.0739,0,1,None,Left,1
75,145.5239,0,1,None,Right,1
76,145.8739,0,1,None,Right,1
77,146.2072,0,1,None,Left,1
78,146.4572,0,1,None,Left,1
79,146.8572,0,1,None,Up,1
80,147.2238,0,1,None,Right,1
81,147.8406,0,1,None,Up,1
82,148.3907,0,1,None,Left,1
83,149.1073,0,1,None,Right,1
84,149.4239,0,1,None,Right,1
85,149.7739,0,1,None,Right,1
86,150.024,0,1,None,Right,1
87,150.274,0,1,None,Right,1
88,150.8572,0,1,None,Left,1
89,151.1073,0,1,None,Left,1
90,151.3739,0,1,None,Down,1
91,151.874,0,1,None,Right,1
92,152.124,0,1,None,Right,1
93,152.8406,0,1,None,Right,1
94,169.1738,0,1,None,Left,1
95,169.4905,0,1,None,Left,1
96,169.7406,0,1,None,Left,1
97,170.2071,0,1,None,Left,1
98,170.4572,0,1,None,Left,1
99,171.0072,0,1,None,Left,1
100,171.5406,0,1,None,Up,1
101,171.9738,0,1,None,Right,1
102,172.6738,0,1,None,Down,1
103,172.9906,0,1,None,Down,1
104,173.6572,0,1,None,Left,1
105,177.5238,0,1,None,Up,1
106,177.8405,0,1,None,Right,1
107,178.1072,0,1,None,Right,1
108,178.3572,0,1,None,Right,1
109,178.6238,0,1,None,Right,1
110,178.8905,0,1,None,Right,1
111,179.1405,0,1,None,Right,1
112,179.4071,0,1,None,Right,1
113,179.6572,0,1,None,Right,1
114,179.9238,0,1,None,Right,1
115,180.1738,0,1,None,Right,0
116,180.4406,0,1,None,Right,0
117,180.7072,0,1,None,Right,0
118,180.9738,0,1,None,Right,0
119,181.4905,0,1,None,Down,1
120,181.8572,0,1,None,Down,1
121,182.7072,0,1,None,Down,1
