Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,21.2968,-1,-1,Login,None,-1
2,63.39666,0,0,Start,None,-1
3,70.67998,0,0,None,Up,1
4,71.59663,0,0,None,Down,1
5,75.32997,0,0,None,Down,1
6,75.62995,0,0,None,Right,1
7,75.96333,0,0,None,Right,1
8,76.22997,0,0,None,Right,2
9,76.4966,0,0,None,Right,2
10,77.02996,0,0,None,Right,2
11,78.21326,0,0,None,Left,1
12,78.49661,0,0,None,Left,1
13,78.74661,0,0,None,Left,1
14,79.26331,0,0,None,Up,1
15,79.54661,0,0,None,Right,2
16,80.31335,0,0,None,Right,2
17,80.62997,0,0,None,Down,1
18,80.92993,0,0,None,Right,1
19,81.82996,0,0,None,Up,2
20,83.24667,0,0,None,Left,1
21,84.2466,0,0,None,Up,1
22,87.87993,0,0,None,Right,2
23,88.66332,0,0,None,Right,2
24,90.56332,0,0,None,Right,2
25,92.52994,0,0,None,Down,1
26,92.87991,0,0,None,Down,1
27,93.26326,0,0,None,Left,2
28,94.72982,0,0,None,Right,1
29,102.2799,0,0,Redo,None,0
30,103.4632,0,0,Redo,None,0
31,106.3632,0,0,Undo,None,1
32,106.6299,0,0,Undo,None,2
33,106.8799,0,0,Undo,None,1
34,107.1299,0,0,Undo,None,1
35,107.4132,0,0,Undo,None,2
36,107.6967,0,0,Undo,None,2
37,108.0299,0,0,Undo,None,2
38,108.3799,0,0,Undo,None,1
39,108.6466,0,0,Undo,None,1
40,108.9799,0,0,Undo,None,2
41,109.2467,0,0,Undo,None,1
42,109.5632,0,0,Undo,None,1
43,109.8132,0,0,Undo,None,2
44,110.0799,0,0,Undo,None,2
45,110.4298,0,0,Undo,None,1
46,110.6965,0,0,Undo,None,1
47,110.9798,0,0,Undo,None,1
48,111.2299,0,0,Undo,None,1
49,111.4966,0,0,Undo,None,2
50,111.8465,0,0,Undo,None,2
51,112.1132,0,0,Undo,None,2
52,115.5965,0,0,None,Left,1
53,115.8465,0,0,None,Up,1
54,116.2299,0,0,None,Right,1
55,116.5299,0,0,None,Right,2
56,116.8632,0,0,None,Right,2
57,117.4465,0,0,None,Right,2
58,118.2799,0,0,None,Down,1
59,119.2632,0,0,None,Up,1
60,119.7133,0,0,None,Left,1
61,120.4132,0,0,None,Left,1
62,121.0132,0,0,None,Left,1
63,121.4632,0,0,None,Down,1
64,122.2799,0,0,None,Right,2
65,122.8132,0,0,None,Right,2
66,123.4132,0,0,None,Right,2
67,125.9131,0,0,None,Right,2
68,126.4132,0,0,None,Left,1
69,126.6965,0,0,None,Left,1
70,127.0632,0,0,None,Up,1
71,127.3965,0,0,None,Left,1
72,127.9464,0,0,None,Up,0
73,128.5465,0,0,None,Right,1
74,128.7965,0,0,None,Right,1
75,129.1965,0,0,None,Up,1
76,129.5465,0,0,None,Right,1
77,129.9298,0,0,None,Right,1
78,131.4131,0,0,None,Down,1
79,132.1632,0,0,None,Left,2
80,132.1798,0,0,Success,None,-1
81,139.5631,0,1,Start,None,-1
82,145.1965,0,1,None,Right,1
83,145.6798,0,1,None,Right,1
84,145.947,0,1,None,Right,1
85,146.2134,0,1,None,Right,1
86,147.0964,0,1,None,Right,1
87,147.3631,0,1,None,Right,1
88,147.8965,0,1,None,Right,1
89,148.4131,0,1,None,Left,1
90,148.7131,0,1,None,Left,1
91,148.9798,0,1,None,Left,1
92,149.2464,0,1,None,Left,1
93,149.6798,0,1,None,Left,1
94,150.0631,0,1,None,Down,1
95,150.3464,0,1,None,Right,1
96,150.7297,0,1,None,Right,1
97,151.1464,0,1,None,Up,1
98,151.3964,0,1,None,Up,1
99,151.7297,0,1,None,Left,1
100,152.0131,0,1,None,Left,1
101,152.3131,0,1,None,Up,0
102,152.7631,0,1,None,Left,1
103,153.0297,0,1,None,Left,1
104,153.4964,0,1,None,Left,1
105,155.6797,0,1,None,Down,1
106,156.0631,0,1,None,Down,1
107,156.3297,0,1,None,Down,0
108,156.8465,0,1,None,Right,1
109,157.1131,0,1,None,Right,1
110,157.3797,0,1,None,Right,1
111,157.6297,0,1,None,Right,1
112,157.8964,0,1,None,Right,1
113,158.1464,0,1,None,Right,1
114,158.3965,0,1,None,Right,1
115,158.663,0,1,None,Right,1
